"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
37,5,348.126767151963,50,14,14.4977974654691,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
41,1,360.366758209501,50,10,10.5008007808917,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
41,3,340.265666462035,52,12,12.5000806570664,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
42,6,337.807498749102,53,12,12.50084874619,"FISHED",0.221474710921757,0.25,1,"MED HIGH NA","R2"
44,5,349.466616191861,53,10,10.500329295159,"FISHED",0.221474710921757,0.25,1,"MED HIGH NA","R2"
45,12,344.916302638656,50,6,6.50057125508772,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
46,2,324.286137997807,50,5,5.50051346500673,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
46,4,312.46934371459,50,5,5.50151734606581,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
46,7,357.048927130114,52,7,7.49883112856004,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
46,10,339.927616444491,52,7,7.50090014907802,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
47,1,343.288420881659,51,5,5.49994238787875,"FISHED",0.244513458386064,0.25,1,"MED HIGH NA","R2"
47,7,304.871072640308,50,4,4.49893559150485,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
48,12,279.723376345263,51,4,4.49901129121362,"FISHED",0.244513458386064,0.25,1,"MED HIGH NA","R2"
49,8,225.260426056576,50,2,2.50034120532273,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
49,9,240.601155911021,50,2,2.49898865797661,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
49,14,329.085817563441,52,4,4.49975968194297,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
50,5,244.297743520243,51,2,2.49990378639216,"FISHED",0.244513458386064,0.25,1,"MED HIGH NA","R2"
50,8,155.45077018089,50,1,1.49987922045037,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
51,5,50.4198335682776,50,0,0.500788780546962,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
51,6,49.7508996395982,50,0,0.498673809294525,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
51,8,49.8757463257858,50,0,0.500776997525929,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
51,9,50.2315995518863,50,0,0.499399980069554,"FISHED",0.259961597668007,0.25,1,"MED HIGH NA","R2"
51,10,307.75588178565,56,6,6.49928960359727,"FISHED",0.20679778077174,0.25,1,"MED HIGH NA","R2"
52,3,162.074026495702,52,1,1.4996487856633,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
52,6,310.584370526574,57,6,6.49975647056366,"FISHED",0.285400634096004,0.25,1,"MED HIGH NA","R2"
52,7,155.787359468447,52,1,1.50112987520634,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
52,8,162.507890303785,52,1,1.50038988038597,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
52,11,243.744749013115,54,3,3.50099556116752,"FISHED",0.275297210016288,0.25,1,"MED HIGH NA","R2"
52,12,48.9149291623234,51,0,0.500052416417095,"FISHED",0.244513458386064,0.25,1,"MED HIGH NA","R2"
53,1,274.804716774421,55,3,3.49977637005891,"FISHED",0.287787825521082,0.25,1,"MED HIGH NA","R2"
53,8,49.080230890635,52,0,0.501894846470387,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
53,9,50.8941556081277,52,0,0.499814280421829,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
53,12,48.5717829434896,52,0,0.499996227639281,"FISHED",0.22469021093566,0.25,1,"MED HIGH NA","R2"
54,1,284.320221749196,57,4,4.49875005799409,"FISHED",0.285400634096004,0.25,1,"MED HIGH NA","R2"
54,4,158.675432768661,54,1,1.49914737125861,"FISHED",0.275297210016288,0.25,1,"MED HIGH NA","R2"
