"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,349.927426782571,12,12,12.4994933954763,"M",0,0.25,1,"MED LOW NA","R2"
1,2,158.058693363182,1,1,1.5003395893577,"M",0,0.25,1,"MED LOW NA","R2"
1,3,51.2982059506358,0,0,0.500189545092169,"M",0,0.25,1,"MED LOW NA","R2"
1,4,50.0604163701087,0,0,0.501141164149467,"M",0,0.25,1,"MED LOW NA","R2"
1,5,230.658846423363,2,2,2.50186147586828,"M",0,0.25,1,"MED LOW NA","R2"
1,6,342.906871407935,13,13,13.5005443359781,"M",0,0.25,1,"MED LOW NA","R2"
1,7,336.03135887023,8,8,8.50011068929037,"M",0,0.25,1,"MED LOW NA","R2"
1,8,340.353235196077,8,8,8.4991546538119,"M",0,0.25,1,"MED LOW NA","R2"
1,9,223.064859605337,2,2,2.50184572454397,"M",0,0.25,1,"MED LOW NA","R2"
1,10,352.381557619964,5,5,5.50009299179686,"M",0,0.25,1,"MED LOW NA","R2"
1,11,50.1247712441804,0,0,0.50039987474092,"M",0,0.25,1,"MED LOW NA","R2"
1,12,312.86793238788,5,5,5.50031998241306,"M",0,0.25,1,"MED LOW NA","R2"
1,13,47.8439126283882,0,0,0.499270921471081,"M",0,0.25,1,"MED LOW NA","R2"
1,14,49.7851536038425,0,0,0.500008201088154,"M",0,0.25,1,"MED LOW NA","R2"
2,1,252.369167379418,4,3,3.50053770624114,"M",0,0.25,1,"MED LOW NA","R2"
2,2,156.760135465646,2,1,1.50030782667804,"M",0,0.25,1,"MED LOW NA","R2"
2,3,50.5643865083502,1,0,0.498954794316015,"M",0,0.25,1,"MED LOW NA","R2"
2,4,49.9258564160082,1,0,0.501794337139222,"M",0,0.25,1,"MED LOW NA","R2"
2,5,297.28531722307,5,4,4.49880604510981,"M",0,0.25,1,"MED LOW NA","R2"
2,6,317.628089580629,5,4,4.50003389988721,"M",0,0.25,1,"MED LOW NA","R2"
2,7,49.2544804520006,1,0,0.501173259233692,"M",0,0.25,1,"MED LOW NA","R2"
2,8,378.44265562191,12,11,11.4996395185082,"M",0,0.25,1,"MED LOW NA","R2"
2,9,49.3849368944919,1,0,0.501040421372219,"M",0,0.25,1,"MED LOW NA","R2"
2,10,229.228300414883,3,2,2.50053294255142,"M",0,0.25,1,"MED LOW NA","R2"
2,11,147.65746956513,2,1,1.49936252090759,"M",0,0.25,1,"MED LOW NA","R2"
2,12,49.9302221298176,1,0,0.499622903305268,"M",0,0.25,1,"MED LOW NA","R2"
2,13,323.450990196207,9,8,8.4994062516256,"M",0,0.25,1,"MED LOW NA","R2"
2,14,328.436583625287,8,7,7.50047195349022,"M",0,0.25,1,"MED LOW NA","R2"
3,1,322.266320647813,8,6,6.50028655350804,"M",0,0.25,1,"MED LOW NA","R2"
3,2,162.397301826194,3,1,1.49991402988753,"M",0,0.25,1,"MED LOW NA","R2"
3,3,337.067682250407,8,6,6.50074494682005,"M",0,0.25,1,"MED LOW NA","R2"
3,4,231.302357291408,4,2,2.50187030715006,"M",0,0.25,1,"MED LOW NA","R2"
3,5,367.005835941449,16,14,14.4995693130676,"M",0,0.25,1,"MED LOW NA","R2"
3,6,361.597546505933,11,9,9.49979536082381,"M",0,0.25,1,"MED LOW NA","R2"
3,7,318.98852773905,6,4,4.49897057903735,"M",0,0.25,1,"MED LOW NA","R2"
3,8,331.521416929633,13,11,11.5025277111999,"M",0,0.25,1,"MED LOW NA","R2"
3,9,315.056996482557,6,4,4.50051748829464,"M",0,0.25,1,"MED LOW NA","R2"
3,10,159.414319719338,3,1,1.49932144517183,"M",0,0.25,1,"MED LOW NA","R2"
3,11,315.657224513952,9,7,7.49917902619458,"M",0,0.25,1,"MED LOW NA","R2"
4,1,155.715403105156,4,1,1.50047215718517,"M",0,0.25,1,"MED LOW NA","R2"
4,2,309.604973492531,12,9,9.5010021418176,"M",0,0.25,1,"MED LOW NA","R2"
4,3,226.147526392341,5,2,2.49975305279478,"M",0,0.25,1,"MED LOW NA","R2"
4,4,226.000159493907,5,2,2.50069369717103,"M",0,0.25,1,"MED LOW NA","R2"
4,5,266.15378533493,6,3,3.49899084489302,"M",0,0.25,1,"MED LOW NA","R2"
4,6,217.604267580226,5,2,2.4996599934942,"M",0,0.25,1,"MED LOW NA","R2"
4,7,157.00208856609,4,1,1.50157995836081,"M",0,0.25,1,"MED LOW NA","R2"
4,8,48.4680406834885,3,0,0.499946510393609,"M",0,0.25,1,"MED LOW NA","R2"
4,9,267.137520474374,6,3,3.50083791223394,"M",0,0.25,1,"MED LOW NA","R2"
4,10,275.997834049547,7,4,4.50124804549401,"M",0,0.25,1,"MED LOW NA","R2"
4,11,233.349592960334,5,2,2.50082674507022,"M",0,0.25,1,"MED LOW NA","R2"
5,1,279.674769940091,7,3,3.49873273300161,"M",0,0.25,1,"MED LOW NA","R2"
5,2,162.749163977776,5,1,1.50115863086981,"M",0,0.25,1,"MED LOW NA","R2"
5,3,306.127935178819,8,4,4.50136777990558,"M",0,0.25,1,"MED LOW NA","R2"
5,4,49.5269862739074,4,0,0.499709836115504,"M",0,0.25,1,"MED LOW NA","R2"
5,5,158.515027744154,5,1,1.50242560644496,"M",0,0.25,1,"MED LOW NA","R2"
5,6,335.310615062714,9,5,5.50069202186104,"M",0,0.25,1,"MED LOW NA","R2"
5,7,308.095696157626,12,8,8.49959978370251,"M",0,0.25,1,"MED LOW NA","R2"
5,8,159.462241799518,5,1,1.49944924659932,"M",0,0.25,1,"MED LOW NA","R2"
5,9,328.708760111033,10,6,6.50010707921324,"M",0,0.25,1,"MED LOW NA","R2"
5,10,162.667687353747,5,1,1.50030364554319,"M",0,0.25,1,"MED LOW NA","R2"
5,11,168.309448870252,5,1,1.4999748296354,"M",0,0.25,1,"MED LOW NA","R2"
6,1,155.091291380216,6,1,1.49948910135695,"M",0,0.25,1,"MED LOW NA","R2"
6,2,282.797157845373,9,4,4.49899839942341,"M",0,0.25,1,"MED LOW NA","R2"
6,3,358.372187739917,15,10,10.5014224418682,"M",0,0.25,1,"MED LOW NA","R2"
6,4,217.196621949417,7,2,2.4986998617306,"M",0,0.25,1,"MED LOW NA","R2"
6,5,51.5373695962822,5,0,0.499049354332932,"M",0,0.25,1,"MED LOW NA","R2"
6,6,49.0913935994552,5,0,0.501748259895061,"M",0,0.25,1,"MED LOW NA","R2"
6,7,50.0596361136371,5,0,0.499973845481206,"M",0,0.25,1,"MED LOW NA","R2"
6,8,326.544282366072,12,7,7.50036093683899,"M",0,0.25,1,"MED LOW NA","R2"
6,9,307.9266775383,10,5,5.50035530572127,"M",0,0.25,1,"MED LOW NA","R2"
6,10,158.887104378466,6,1,1.49955255664733,"M",0,0.25,1,"MED LOW NA","R2"
6,11,50.2289724810021,5,0,0.501006080634506,"M",0,0.25,1,"MED LOW NA","R2"
6,12,49.6314965337293,5,0,0.500318865208715,"M",0,0.25,1,"MED LOW NA","R2"
6,13,240.91761411029,7,2,2.50018632971795,"M",0,0.25,1,"MED LOW NA","R2"
6,14,355.065073009622,12,7,7.50031243583322,"M",0,0.25,1,"MED LOW NA","R2"
7,1,295.251559463992,10,4,4.50043131301469,"M",0,0.25,1,"MED LOW NA","R2"
7,2,268.545071135812,9,3,3.4990262090128,"M",0,0.25,1,"MED LOW NA","R2"
7,3,50.5585711975953,6,0,0.499228404518969,"M",0,0.25,1,"MED LOW NA","R2"
7,4,216.808248212738,8,2,2.50013520272351,"M",0,0.25,1,"MED LOW NA","R2"
7,5,298.316190321335,10,4,4.501214835803,"M",0,0.25,1,"MED LOW NA","R2"
7,6,256.578600012613,9,3,3.49974270799406,"M",0,0.25,1,"MED LOW NA","R2"
7,7,326.878993985391,16,10,10.5009590243084,"M",0,0.25,1,"MED LOW NA","R2"
7,8,354.88463822045,11,5,5.50084056376379,"M",0,0.25,1,"MED LOW NA","R2"
7,9,156.398350823632,7,1,1.50100394339192,"M",0,0.25,1,"MED LOW NA","R2"
7,10,217.181511644089,8,2,2.4997427191736,"M",0,0.25,1,"MED LOW NA","R2"
7,11,229.708493289821,8,2,2.50282198245322,"M",0,0.25,1,"MED LOW NA","R2"
7,12,49.5282688668294,6,0,0.499160144039435,"M",0,0.25,1,"MED LOW NA","R2"
8,1,50.1711185855791,7,0,0.49975604832042,"M",0,0.25,1,"MED LOW NA","R2"
8,2,335.083474805475,19,12,12.5005882951509,"M",0,0.25,1,"MED LOW NA","R2"
8,3,48.587149940292,7,0,0.499637421670027,"M",0,0.25,1,"MED LOW NA","R2"
8,4,49.7923451908654,7,0,0.500308895867043,"M",0,0.25,1,"MED LOW NA","R2"
8,5,361.764256086569,20,13,13.4993995863359,"M",0,0.25,1,"MED LOW NA","R2"
8,6,385.251199114756,20,13,13.501491820471,"M",0,0.25,1,"MED LOW NA","R2"
8,7,49.1716009700626,7,0,0.500640124730603,"M",0,0.25,1,"MED LOW NA","R2"
8,8,306.853618051298,10,3,3.50074353509985,"M",0,0.25,1,"MED LOW NA","R2"
8,9,330.528271756494,11,4,4.50012290189143,"M",0,0.25,1,"MED LOW NA","R2"
8,10,225.855558410207,9,2,2.49937696523981,"M",0,0.25,1,"MED LOW NA","R2"
8,11,157.37387199117,8,1,1.50170573972577,"M",0,0.25,1,"MED LOW NA","R2"
8,12,317.825915880861,11,4,4.50007844371687,"M",0,0.25,1,"MED LOW NA","R2"
8,13,50.5321513972198,7,0,0.499765375761288,"M",0,0.25,1,"MED LOW NA","R2"
8,14,227.847603649324,9,2,2.50031380460747,"M",0,0.25,1,"MED LOW NA","R2"
8,15,53.343856717338,7,0,0.500675389834597,"M",0,0.25,1,"MED LOW NA","R2"
9,1,309.323479408141,12,4,4.49873313883977,"M",0,0.25,1,"MED LOW NA","R2"
