"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,10,378.240436325921,50,12,12.5019584657075,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
41,12,365.288484604701,53,13,13.5005351908763,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
42,1,388.659088608421,51,10,10.5002682618903,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
42,4,310.283479730017,51,10,10.5008943444531,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
43,7,331.927157965418,51,9,9.50019136301432,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
44,3,360.510417884353,50,7,7.49952060978484,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
44,8,356.785222750335,50,7,7.50058092534853,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
45,7,367.47413033554,51,7,7.49878704383947,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
45,10,302.623646366496,51,7,7.50002724001925,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
46,7,328.621285534809,53,8,8.50113567599587,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
48,2,300.799174114461,56,9,9.50021872800329,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
49,3,337.277816978073,53,5,5.49910677997638,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
49,10,241.691280984749,50,2,2.50109109821311,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
49,11,345.911162247167,52,4,4.50154859469543,"FISHED",0.292488415469416,0.25,1,"MED LOW NA","R2"
49,12,336.366009426947,53,5,5.49994098056021,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
50,1,305.879012389335,53,4,4.4986757475445,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
50,4,232.417933921839,51,2,2.50115826737026,"FISHED",0.227086375723593,0.25,1,"MED LOW NA","R2"
50,8,160.906324973405,50,1,1.50123417785586,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
51,1,269.572902351715,53,3,3.50097241990493,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
51,4,49.776408065446,50,0,0.499198514440881,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
51,5,279.622870775369,53,3,3.49939090122799,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
51,6,52.2501344346546,50,0,0.498225395642792,"FISHED",0.298546430352144,0.25,1,"MED LOW NA","R2"
52,2,159.002179328991,52,1,1.50064065245183,"FISHED",0.292488415469416,0.25,1,"MED LOW NA","R2"
53,1,52.4785632910355,52,0,0.500783232205737,"FISHED",0.292488415469416,0.25,1,"MED LOW NA","R2"
53,6,328.082345714963,60,8,8.49926241837379,"FISHED",0.232258947845548,0.25,1,"MED LOW NA","R2"
53,7,48.8693148369234,52,0,0.499650163500517,"FISHED",0.292488415469416,0.25,1,"MED LOW NA","R2"
53,9,154.66098308752,53,1,1.49972237499217,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
54,4,50.664893431952,53,0,0.500200950656408,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
54,5,288.375281505264,56,3,3.50257084001388,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
54,7,155.979535557198,54,1,1.49987703812524,"FISHED",0.227280314918607,0.25,1,"MED LOW NA","R2"
54,9,223.386275726555,55,2,2.4985574211281,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
54,10,49.3494429969796,53,0,0.497724338449257,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
54,11,52.2051637703989,53,0,0.50014241140654,"FISHED",0.29633785134647,0.25,1,"MED LOW NA","R2"
54,12,277.053869816027,56,3,3.4996776529365,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
55,4,230.70210740134,56,2,2.49850898975485,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
55,5,48.9708707328385,54,0,0.500581705615668,"FISHED",0.227280314918607,0.25,1,"MED LOW NA","R2"
55,6,156.902090029696,55,1,1.49946173758625,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
55,7,165.692172944673,55,1,1.50072337107163,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
55,10,50.9902926707713,54,0,0.500367768104586,"FISHED",0.227280314918607,0.25,1,"MED LOW NA","R2"
55,12,160.708605258697,55,1,1.49801694115674,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
56,4,316.250630991653,60,5,5.4980875689288,"FISHED",0.232258947845548,0.25,1,"MED LOW NA","R2"
56,6,50.5689826058199,55,0,0.498527352769433,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
56,7,162.64253082686,56,1,1.49878570197727,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
56,8,293.6725387597,59,4,4.49873186865167,"FISHED",0.267932082759216,0.25,1,"MED LOW NA","R2"
56,10,48.0770216625617,55,0,0.499986111925082,"FISHED",0.212951283110306,0.25,1,"MED LOW NA","R2"
56,11,156.946460860865,56,1,1.50153592076201,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
57,3,47.3833166069477,56,0,0.501815758357522,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
57,5,318.126576668576,61,5,5.49822064061566,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
57,9,51.6895436584642,56,0,0.500228049724812,"FISHED",0.276771982805803,0.25,1,"MED LOW NA","R2"
58,1,154.342255483181,58,1,1.49981305934438,"FISHED",0.20749036418274,0.25,1,"MED LOW NA","R2"
58,2,50.2359611459402,57,0,0.499170697135293,"FISHED",0.228054402233101,0.25,1,"MED LOW NA","R2"
58,3,312.090647658053,61,4,4.50045248123696,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
58,4,218.835395942002,59,2,2.50015515531195,"FISHED",0.267932082759216,0.25,1,"MED LOW NA","R2"
58,5,336.172366610121,62,5,5.50110963573235,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
58,7,51.2486302068242,57,0,0.501048116218153,"FISHED",0.228054402233101,0.25,1,"MED LOW NA","R2"
58,9,152.269594576949,58,1,1.50076320480912,"FISHED",0.20749036418274,0.25,1,"MED LOW NA","R2"
58,10,149.615450032863,58,1,1.4986985303376,"FISHED",0.20749036418274,0.25,1,"MED LOW NA","R2"
58,11,48.357432518274,57,0,0.499996323492945,"FISHED",0.228054402233101,0.25,1,"MED LOW NA","R2"
59,3,335.286561116734,62,4,4.49986038856816,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
59,6,50.0106399215789,58,0,0.500320506335389,"FISHED",0.20749036418274,0.25,1,"MED LOW NA","R2"
59,7,48.237260790329,58,0,0.498354218016396,"FISHED",0.20749036418274,0.25,1,"MED LOW NA","R2"
59,10,228.493224433238,60,2,2.4992317700697,"FISHED",0.232258947845548,0.25,1,"MED LOW NA","R2"
59,11,324.110508325012,65,7,7.499717954442,"FISHED",0.26379080186598,0.25,1,"MED LOW NA","R2"
60,2,230.474249412073,61,2,2.49940349508054,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
60,3,229.588986755153,61,2,2.50157928640325,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
60,4,220.952770931953,61,2,2.49966308509162,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
60,5,225.093319757181,61,2,2.50016247966852,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
60,10,158.836423598048,60,1,1.49957715263501,"FISHED",0.232258947845548,0.25,1,"MED LOW NA","R2"
61,6,337.201120553067,66,6,6.50052785939214,"FISHED",0.275630394928157,0.25,1,"MED LOW NA","R2"
61,9,49.7421377630097,60,0,0.499794021993418,"FISHED",0.232258947845548,0.25,1,"MED LOW NA","R2"
61,10,263.518652735298,63,3,3.50113609988883,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
62,2,225.397586333318,63,2,2.49862604668668,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
62,3,157.116397856759,62,1,1.499001813231,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
62,4,52.3888986293877,61,0,0.498818107384231,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
62,5,156.8738882105,62,1,1.50020730708194,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
62,6,49.3315745363964,61,0,0.499446415175151,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
62,13,49.0754998457886,61,0,0.500054809895617,"FISHED",0.239889652491547,0.25,1,"MED LOW NA","R2"
63,2,50.9890521205179,62,0,0.501573210575413,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
63,3,213.952955488389,64,2,2.50010308381085,"FISHED",0.231174721173011,0.25,1,"MED LOW NA","R2"
63,4,274.195498242775,65,3,3.50063420228477,"FISHED",0.26379080186598,0.25,1,"MED LOW NA","R2"
63,5,254.078999095908,65,3,3.50039130443434,"FISHED",0.26379080186598,0.25,1,"MED LOW NA","R2"
63,7,158.68997259219,63,1,1.5009568604679,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
63,12,241.894470087767,64,2,2.50004396978769,"FISHED",0.231174721173011,0.25,1,"MED LOW NA","R2"
63,13,50.2708861538577,62,0,0.499754307848972,"FISHED",0.203163285600022,0.25,1,"MED LOW NA","R2"
64,2,51.8921609008279,63,0,0.498372652125654,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
64,6,51.0750124347426,63,0,0.499971935785465,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
64,10,47.5858996873586,63,0,0.498006485020157,"FISHED",0.2350222453475,0.25,1,"MED LOW NA","R2"
65,3,162.263214637139,65,1,1.49965861387449,"FISHED",0.26379080186598,0.25,1,"MED LOW NA","R2"
