"Year","season","fleet","CPUE","sd"
0,1,2,0.000106419103602888,0.1
1,1,2,0.000209720500628481,0.1
2,1,2,0.000318035928365904,0.1
3,1,2,0.000301355481083462,0.1
4,1,2,0.000342230070803671,0.1
5,1,2,0.000440119418741424,0.1
6,1,2,0.000408717700444131,0.1
7,1,2,0.000466798902552648,0.1
8,1,2,0.000468199050702052,0.1
9,1,2,0.000564882733100828,0.1
10,1,2,0.000539166384923922,0.1
11,1,2,0.000726673193295228,0.1
12,1,2,0.000610009994226823,0.1
13,1,2,0.000453584705004452,0.1
14,1,2,0.000452239033826033,0.1
15,1,2,0.000495660570513089,0.1
16,1,2,0.000502420980677008,0.1
17,1,2,0.000519523096475475,0.1
18,1,2,0.000440708236514321,0.1
19,1,2,0.000483518157658269,0.1
20,1,2,0.000483579882699741,0.1
21,1,2,0.000455512587570594,0.1
22,1,2,0.000447900610054353,0.1
23,1,2,0.000514023897421709,0.1
24,1,2,0.000556295413562387,0.1
25,1,2,0.000539791010064293,0.1
26,1,2,0.000484550696477158,0.1
27,1,2,0.000461421715333385,0.1
28,1,2,0.000503861137883608,0.1
29,1,2,0.000531988922999406,0.1
30,1,2,0.000395191562190337,0.1
31,1,2,0.000427023846057967,0.1
32,1,2,0.000473547471814162,0.1
33,1,2,0.000458916397277387,0.1
34,1,2,0.000504530465483956,0.1
35,1,2,0.000579791915975933,0.1
36,1,2,0.000475483663356834,0.1
37,1,2,0.000447603431629692,0.1
38,1,2,0.000481370356135971,0.1
39,1,2,0.000519171731057601,0.1
40,1,2,0.000533150987043703,0.1
41,1,2,0.000557883784463079,0.1
42,1,2,0.000618493340666834,0.1
43,1,2,0.000538969993622925,0.1
44,1,2,0.000580879908667661,0.1
45,1,2,0.000426995823618547,0.1
46,1,2,0.00056893103886604,0.1
47,1,2,0.000467290792208593,0.1
48,1,2,0.000427566707786664,0.1
49,1,2,0.000597033295814747,0.1
50,1,2,0.000555942166903116,0.1
51,1,2,0.000324349582402337,0.1
52,1,2,0.000322181040080094,0.1
53,1,2,0.00029805857052485,0.1
54,1,2,0.00031577055260106,0.1
55,1,2,0.000285303443338262,0.1
56,1,2,0.000295302568981862,0.1
57,1,2,0.000339949924621008,0.1
58,1,2,0.000204199435209157,0.1
59,1,2,0.000196818033578935,0.1
60,1,2,0.000252538576135313,0.1
61,1,2,0.000263355699233988,0.1
62,1,2,0.000176863091016405,0.1
63,1,2,0.000188009035975116,0.1
64,1,2,0.000216545479541681,0.1
65,1,2,0.000213123011890558,0.1
66,1,2,0.000222393977799386,0.1
67,1,2,0.00014976270098727,0.1
68,1,2,0.000197119203302105,0.1
69,1,2,0.00015987416874637,0.1
70,1,2,0.000138727100471706,0.1
71,1,2,0.000155520144053945,0.1
72,1,2,0.000206288251883513,0.1
73,1,2,0.000159734354634467,0.1
74,1,2,0.000184963299070784,0.1
75,1,2,0.000161937494926436,0.1
76,1,2,0.000180631102172275,0.1
77,1,2,0.000192577743048079,0.1
78,1,2,0.00017054629870277,0.1
79,1,2,0.00015903889967794,0.1
80,1,2,0.000181601281913331,0.1
81,1,2,0.000143259265499946,0.1
82,1,2,0.000219177441341379,0.1
83,1,2,0.000181272526973506,0.1
84,1,2,0.000193654339494537,0.1
85,1,2,0.000169313914352041,0.1
86,1,2,0.000204489805060484,0.1
87,1,2,0.000218048522327584,0.1
88,1,2,0.000157585392335423,0.1
89,1,2,0.000191443885957925,0.1
90,1,2,0.000179556999220602,0.1
91,1,2,0.00022349199245113,0.1
92,1,2,0.000194360697772918,0.1
93,1,2,0.000179993756607445,0.1
94,1,2,0.00017469915502099,0.1
95,1,2,0.000128270857051352,0.1
96,1,2,0.000116076201691924,0.1
97,1,2,0.000132401522478493,0.1
98,1,2,0.000147860600325405,0.1
99,1,2,0.000112605207493659,0.1
