"Year","season","fleet","CPUE","sd"
0,1,2,0.000105807969072673,0.1
1,1,2,0.000224544691030468,0.1
2,1,2,0.000275139978528111,0.1
3,1,2,0.000409992747090119,0.1
4,1,2,0.000345703174688003,0.1
5,1,2,0.000396879696619174,0.1
6,1,2,0.000473851213305571,0.1
7,1,2,0.000466337803432226,0.1
8,1,2,0.00039522365252392,0.1
9,1,2,0.000466669073961276,0.1
10,1,2,0.000432544650107179,0.1
11,1,2,0.000434307161890016,0.1
12,1,2,0.00049904561035657,0.1
13,1,2,0.000478342311958089,0.1
14,1,2,0.000510985679485031,0.1
15,1,2,0.000497989335843199,0.1
16,1,2,0.000460963266871801,0.1
17,1,2,0.000395750395027252,0.1
18,1,2,0.00032740689481979,0.1
19,1,2,0.000359483590924013,0.1
20,1,2,0.000419634015889298,0.1
21,1,2,0.00031297496416423,0.1
22,1,2,0.00044960891676349,0.1
23,1,2,0.000523049618872521,0.1
24,1,2,0.00050513391513782,0.1
25,1,2,0.000555886073786432,0.1
26,1,2,0.000435078990727804,0.1
27,1,2,0.000408434879374222,0.1
28,1,2,0.000451127013325963,0.1
29,1,2,0.000496250466253837,0.1
30,1,2,0.000505338111636505,0.1
31,1,2,0.000575278716626199,0.1
32,1,2,0.000426266420901227,0.1
33,1,2,0.000459213208876564,0.1
34,1,2,0.000416105686085303,0.1
35,1,2,0.000349076242508073,0.1
36,1,2,0.000472906309657323,0.1
37,1,2,0.000371333101629928,0.1
38,1,2,0.000488489223279007,0.1
39,1,2,0.000516602878275211,0.1
40,1,2,0.000449668524395232,0.1
41,1,2,0.000597590499765828,0.1
42,1,2,0.000555117505499041,0.1
43,1,2,0.000507172867719668,0.1
44,1,2,0.000448488302630671,0.1
45,1,2,0.000538601204287682,0.1
46,1,2,0.000647964534804411,0.1
47,1,2,0.00060592479650244,0.1
48,1,2,0.000592736005815247,0.1
49,1,2,0.00054919695939649,0.1
50,1,2,0.000574563306595723,0.1
51,1,2,0.000505454370727343,0.1
52,1,2,0.000393875849245096,0.1
53,1,2,0.000281657063767811,0.1
54,1,2,0.00027686327380787,0.1
55,1,2,0.00025597624884269,0.1
56,1,2,0.000279164199834338,0.1
57,1,2,0.000237894948006458,0.1
58,1,2,0.000247668398262745,0.1
59,1,2,0.000205539523346891,0.1
60,1,2,0.000213531565473002,0.1
61,1,2,0.000209735559220446,0.1
62,1,2,0.000200462396333997,0.1
63,1,2,0.000188269460034987,0.1
64,1,2,0.000194675696802123,0.1
65,1,2,0.000147551412353667,0.1
66,1,2,0.000191995095429893,0.1
67,1,2,0.000201020100628708,0.1
68,1,2,0.000155141939167255,0.1
69,1,2,0.000162832957491653,0.1
70,1,2,0.000195718450988894,0.1
71,1,2,0.000126862745865323,0.1
72,1,2,0.000229446391441334,0.1
73,1,2,0.000260217478536904,0.1
74,1,2,0.000239092538595989,0.1
75,1,2,0.00024380922512908,0.1
76,1,2,0.000229214880835679,0.1
77,1,2,0.000162629783943595,0.1
78,1,2,0.000186173118091973,0.1
79,1,2,0.000212114448650283,0.1
80,1,2,0.000209486468933336,0.1
81,1,2,0.000318143432292863,0.1
82,1,2,0.000316213517485459,0.1
83,1,2,0.000278570499851787,0.1
84,1,2,0.000248334695015059,0.1
85,1,2,0.000231122514961987,0.1
86,1,2,0.000200464616454055,0.1
87,1,2,0.000238820366439697,0.1
88,1,2,0.000223882488909339,0.1
89,1,2,0.000178088715245066,0.1
90,1,2,0.000191963499009807,0.1
91,1,2,0.00027667868256217,0.1
92,1,2,0.000280197799016405,0.1
93,1,2,0.000233629140124207,0.1
94,1,2,0.000230860656976385,0.1
95,1,2,0.000245939443927183,0.1
96,1,2,0.000267121458096295,0.1
97,1,2,0.000241665041750421,0.1
98,1,2,0.000262806237478046,0.1
99,1,2,0.000219306673265665,0.1
