"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,61.3845814343767,0,0,0.499434442897569,"M",0,0.25,1,"HIGH HIGH MED",NA
1,2,94.433740375934,1,1,1.4991922998962,"M",0,0.25,1,"HIGH HIGH MED",NA
1,3,169.485527691976,5,5,5.50051405419945,"M",0,0.25,1,"HIGH HIGH MED",NA
1,4,95.9485824355106,1,1,1.49949196507191,"M",0,0.25,1,"HIGH HIGH MED",NA
1,5,65.0420323974895,0,0,0.498928611305323,"M",0,0.25,1,"HIGH HIGH MED",NA
1,6,161.294721239838,4,4,4.50134241452166,"M",0,0.25,1,"HIGH HIGH MED",NA
1,7,174.61201364171,5,5,5.50034450131151,"M",0,0.25,1,"HIGH HIGH MED",NA
1,8,127.548695833629,2,2,2.50052703275961,"M",0,0.25,1,"HIGH HIGH MED",NA
1,9,63.1954430840688,0,0,0.50093231255324,"M",0,0.25,1,"HIGH HIGH MED",NA
1,10,94.2411022549059,1,1,1.49821836258412,"M",0,0.25,1,"HIGH HIGH MED",NA
1,11,122.300680115449,2,2,2.49910639858957,"M",0,0.25,1,"HIGH HIGH MED",NA
1,12,143.147926897248,3,3,3.49948320094914,"M",0,0.25,1,"HIGH HIGH MED",NA
2,1,63.5579900095653,1,0,0.498975593504856,"M",0,0.25,1,"HIGH HIGH MED",NA
2,2,61.7091593936968,1,0,0.499889084778493,"M",0,0.25,1,"HIGH HIGH MED",NA
2,3,124.80011515766,3,2,2.5003412208019,"M",0,0.25,1,"HIGH HIGH MED",NA
2,4,124.305993214516,3,2,2.49924916565073,"M",0,0.25,1,"HIGH HIGH MED",NA
2,5,101.704882573888,2,1,1.50075095885801,"M",0,0.25,1,"HIGH HIGH MED",NA
2,6,63.6243830459218,1,0,0.500236951683117,"M",0,0.25,1,"HIGH HIGH MED",NA
2,7,162.312635730104,5,4,4.49952689186152,"M",0,0.25,1,"HIGH HIGH MED",NA
2,8,60.5345658110569,1,0,0.499956304608205,"M",0,0.25,1,"HIGH HIGH MED",NA
2,9,190.625742555347,8,7,7.49942677873237,"M",0,0.25,1,"HIGH HIGH MED",NA
2,10,130.747032401494,3,2,2.4990755737671,"M",0,0.25,1,"HIGH HIGH MED",NA
2,11,62.2731591566267,1,0,0.500754666833533,"M",0,0.25,1,"HIGH HIGH MED",NA
2,12,99.1494951541266,2,1,1.50040515892398,"M",0,0.25,1,"HIGH HIGH MED",NA
2,13,139.295948593676,4,3,3.49963124552343,"M",0,0.25,1,"HIGH HIGH MED",NA
3,1,122.037878392749,4,2,2.49868217055719,"M",0,0.25,1,"HIGH HIGH MED",NA
3,2,60.4065441173165,2,0,0.499215872695767,"M",0,0.25,1,"HIGH HIGH MED",NA
3,3,143.118428781819,5,3,3.49885806204917,"M",0,0.25,1,"HIGH HIGH MED",NA
3,4,206.771695898781,10,8,8.49882161778814,"M",0,0.25,1,"HIGH HIGH MED",NA
3,5,218.929222866077,9,7,7.50033271846284,"M",0,0.25,1,"HIGH HIGH MED",NA
3,6,160.54981431404,5,3,3.50103811493869,"M",0,0.25,1,"HIGH HIGH MED",NA
3,7,95.465304932441,3,1,1.499778260058,"M",0,0.25,1,"HIGH HIGH MED",NA
3,8,97.6258719281707,3,1,1.50060840349781,"M",0,0.25,1,"HIGH HIGH MED",NA
3,9,120.243746571238,4,2,2.50033447444737,"M",0,0.25,1,"HIGH HIGH MED",NA
4,1,97.3002726422188,4,1,1.50078548765728,"M",0,0.25,1,"HIGH HIGH MED",NA
4,2,104.087545772721,4,1,1.50228036953194,"M",0,0.25,1,"HIGH HIGH MED",NA
4,3,62.8572487162873,3,0,0.49830771583664,"M",0,0.25,1,"HIGH HIGH MED",NA
4,4,161.802972656677,7,4,4.50076965936373,"M",0,0.25,1,"HIGH HIGH MED",NA
4,5,62.4249887435892,3,0,0.497757395047292,"M",0,0.25,1,"HIGH HIGH MED",NA
4,6,185.94195786058,9,6,6.5002035221395,"M",0,0.25,1,"HIGH HIGH MED",NA
4,7,64.2787724023942,3,0,0.501448540624225,"M",0,0.25,1,"HIGH HIGH MED",NA
4,8,222.364623309473,13,10,10.4998850240513,"M",0,0.25,1,"HIGH HIGH MED",NA
4,9,155.123281897904,6,3,3.4994661940367,"M",0,0.25,1,"HIGH HIGH MED",NA
4,10,63.6277771932834,3,0,0.499569401328632,"M",0,0.25,1,"HIGH HIGH MED",NA
4,11,179.37800246522,9,6,6.50128896813971,"M",0,0.25,1,"HIGH HIGH MED",NA
4,12,132.670503688607,5,2,2.49936311080261,"M",0,0.25,1,"HIGH HIGH MED",NA
5,1,146.490001683296,7,3,3.4995026502908,"M",0,0.25,1,"HIGH HIGH MED",NA
5,2,201.24204638252,13,9,9.50134413565705,"M",0,0.25,1,"HIGH HIGH MED",NA
