"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
49,12,12.4996013967903,20.8688128818201,"HIGH LOW HIGH",0,NA
6,5,5.49959338201871,19.0394745840443,"HIGH LOW HIGH",0,NA
70,0,0.49838024382578,6.384419599154,"HIGH LOW HIGH",0.141120429313742,NA
34,6,6.49912454075703,17.77320965786,"HIGH LOW HIGH",0,NA
29,0,0.499570438217314,6.21978812926507,"HIGH LOW HIGH",0,NA
15,7,7.4995316896131,20.2086141136576,"HIGH LOW HIGH",0,NA
93,3,3.49919186214619,14.4011034272223,"HIGH LOW HIGH",0.345027602626942,NA
27,2,2.50095579584548,12.4799386239711,"HIGH LOW HIGH",0,NA
46,1,1.49996383862355,10.5384571488234,"HIGH LOW HIGH",0,NA
4,3,3.50130667271088,14.8258576364786,"HIGH LOW HIGH",0,NA
69,4,4.49996381675313,15.9885421788594,"HIGH LOW HIGH",0.171967362961732,NA
6,0,0.498884123416138,6.05506817354143,"HIGH LOW HIGH",0,NA
30,2,2.49986833803667,12.0143219757094,"HIGH LOW HIGH",0,NA
7,1,1.50160212714059,9.8833030985506,"HIGH LOW HIGH",0,NA
14,0,0.500819024854951,6.48079939076572,"HIGH LOW HIGH",0,NA
62,0,0.500334380241325,6.14315087613354,"HIGH LOW HIGH",0.307450116355903,NA
6,6,6.49931216764722,17.2316023803434,"HIGH LOW HIGH",0,NA
12,1,1.50083338984646,9.99847011649797,"HIGH LOW HIGH",0,NA
26,1,1.49736973629096,9.85885394767258,"HIGH LOW HIGH",0,NA
38,3,3.49992604696745,14.3285054552149,"HIGH LOW HIGH",0,NA
87,3,3.50008512427562,14.4863598974514,"HIGH LOW HIGH",0.347143530962057,NA
59,2,2.50050649070052,12.090578290768,"HIGH LOW HIGH",0.386587188160047,NA
47,4,4.49854021475095,17.7522371530487,"HIGH LOW HIGH",0,NA
9,6,6.50263983721137,17.8085365271446,"HIGH LOW HIGH",0,NA
24,11,11.4993469711795,23.3279425997892,"HIGH LOW HIGH",0,NA
83,1,1.49943687370254,10.3444872407398,"HIGH LOW HIGH",0.176093160384335,NA
18,7,7.50104919819727,22.3246352611932,"HIGH LOW HIGH",0,NA
36,9,9.49910732083767,22.3859669956367,"HIGH LOW HIGH",0,NA
72,0,0.499519999161578,6.17774123182867,"HIGH LOW HIGH",0.14747515572235,NA
37,2,2.49896378968898,12.446770210251,"HIGH LOW HIGH",0,NA
61,0,0.499439263230313,6.36511327827828,"HIGH LOW HIGH",0.365636787493713,NA
62,0,0.499199360386159,6.16446913485677,"HIGH LOW HIGH",0.380209633498453,NA
80,1,1.49919623583777,9.31880046477507,"HIGH LOW HIGH",0.105691020586528,NA
54,0,0.501662137830172,6.45888303360946,"HIGH LOW HIGH",0.312809722637758,NA
34,1,1.50166645019094,10.0354948491447,"HIGH LOW HIGH",0,NA
48,3,3.50288130586476,14.5966808171748,"HIGH LOW HIGH",0,NA
91,0,0.500456902716321,6.22736154002946,"HIGH LOW HIGH",0.312179178604856,NA
4,4,4.50113722962063,15.2613351766202,"HIGH LOW HIGH",0,NA
70,0,0.50050622986788,6.3531420513803,"HIGH LOW HIGH",0.162835826957598,NA
78,4,4.50040352604079,17.340412389503,"HIGH LOW HIGH",0.131787541392259,NA
64,0,0.500084246979681,6.60717500004171,"HIGH LOW HIGH",0.362944777216762,NA
17,0,0.499863387990752,6.09595188734534,"HIGH LOW HIGH",0,NA
20,9,9.49917034124288,19.3656488077103,"HIGH LOW HIGH",0,NA
63,0,0.500556097720979,6.22816607304601,"HIGH LOW HIGH",0.306446851463988,NA
37,2,2.50083418805331,11.090698470966,"HIGH LOW HIGH",0,NA
63,0,0.500716719701856,6.03747755785482,"HIGH LOW HIGH",0.385541601665318,NA
34,0,0.498885272716261,6.28360382670864,"HIGH LOW HIGH",0,NA
6,0,0.498213632139008,6.40905491245848,"HIGH LOW HIGH",0,NA
46,0,0.500315715112128,6.05386619882435,"HIGH LOW HIGH",0,NA
43,1,1.5001972180145,10.0181347515379,"HIGH LOW HIGH",0,NA
4,3,3.49903148265561,15.5378086401439,"HIGH LOW HIGH",0,NA
33,0,0.498433241273419,6.36851304555357,"HIGH LOW HIGH",0,NA
27,2,2.49874423175077,13.0343727569553,"HIGH LOW HIGH",0,NA
25,1,1.49895792221393,10.1342171958367,"HIGH LOW HIGH",0,NA
27,5,5.50006475329447,16.94311304797,"HIGH LOW HIGH",0,NA
25,6,6.49854290141177,18.9771380953363,"HIGH LOW HIGH",0,NA
79,0,0.499499347618604,6.10254186217428,"HIGH LOW HIGH",0.112394706555642,NA
5,0,0.501574977362109,6.06051433364575,"HIGH LOW HIGH",0,NA
32,1,1.49904537631054,10.095388253878,"HIGH LOW HIGH",0,NA
56,3,3.49958536073835,15.0363467978681,"HIGH LOW HIGH",0.322609661892056,NA
15,2,2.49875067788446,13.3559275272919,"HIGH LOW HIGH",0,NA
96,1,1.4979853863661,9.69482405684347,"HIGH LOW HIGH",0.335335170198232,NA
46,0,0.499211246650131,6.37346815023181,"HIGH LOW HIGH",0,NA
28,1,1.49920018874247,10.1116091366219,"HIGH LOW HIGH",0,NA
50,2,2.50032404070957,11.5821956941882,"HIGH LOW HIGH",0.365586292650551,NA
77,6,6.49986706372019,20.2191781661668,"HIGH LOW HIGH",0.135164763219655,NA
73,0,0.499739264533751,6.14763586350703,"HIGH LOW HIGH",0.14558027361054,NA
82,0,0.499885533217109,6.43403998595557,"HIGH LOW HIGH",0.192695387033746,NA
45,0,0.500113694572598,6.72083093570035,"HIGH LOW HIGH",0,NA
40,3,3.50051978463643,14.2368309765209,"HIGH LOW HIGH",0,NA
54,0,0.50034262058714,6.49855494561958,"HIGH LOW HIGH",0.378032834944315,NA
9,3,3.5005376747285,15.0151184934198,"HIGH LOW HIGH",0,NA
3,3,3.49967936266215,13.8431988549531,"HIGH LOW HIGH",0,NA
73,3,3.49943195496869,15.4523347241386,"HIGH LOW HIGH",0.14558027361054,NA
43,6,6.50016425275714,17.8807595369735,"HIGH LOW HIGH",0,NA
42,0,0.500159258709858,6.20718006107755,"HIGH LOW HIGH",0,NA
97,2,2.50055301109592,13.0332915411369,"HIGH LOW HIGH",0.353602359187789,NA
15,0,0.5000769695154,6.28849311511517,"HIGH LOW HIGH",0,NA
84,2,2.50195939203932,12.4116252378329,"HIGH LOW HIGH",0.339457040373236,NA
4,0,0.500963028663704,6.25767241759441,"HIGH LOW HIGH",0,NA
29,2,2.49888329894896,11.6386437154581,"HIGH LOW HIGH",0,NA
28,14,14.4996338924937,22.0557145244373,"HIGH LOW HIGH",0,NA
80,2,2.49931748479365,12.7336278293406,"HIGH LOW HIGH",0.147445458499715,NA
14,2,2.5008892350982,12.4162703394675,"HIGH LOW HIGH",0,NA
7,7,7.49841191255562,17.6912501768403,"HIGH LOW HIGH",0,NA
38,4,4.50074483339719,16.3402246473881,"HIGH LOW HIGH",0,NA
61,1,1.49970969039014,9.63479962137852,"HIGH LOW HIGH",0.308104418870062,NA
23,0,0.500477170614805,6.06752807735113,"HIGH LOW HIGH",0,NA
27,0,0.501295400914176,6.42375770809113,"HIGH LOW HIGH",0,NA
92,0,0.500156644579192,6.10312653208204,"HIGH LOW HIGH",0.313612288376316,NA
14,3,3.49977033952432,13.4858450727902,"HIGH LOW HIGH",0,NA
1,1,1.50070849197454,9.82522387083369,"HIGH LOW HIGH",0,NA
62,0,0.499738852413311,6.30890940795952,"HIGH LOW HIGH",0.380209633498453,NA
22,1,1.4992308559528,9.79892487267169,"HIGH LOW HIGH",0,NA
45,6,6.50179929358318,19.2301200716727,"HIGH LOW HIGH",0,NA
88,2,2.499544331101,12.9970813076387,"HIGH LOW HIGH",0.377657457930036,NA
76,1,1.50075884788282,10.0629905600834,"HIGH LOW HIGH",0.120298154861666,NA
83,1,1.50018167897715,10.0360668084613,"HIGH LOW HIGH",0.156493121059611,NA
60,5,5.49870636971773,16.7660754408864,"HIGH LOW HIGH",0.399304079660215,NA
12,1,1.49914530147931,9.64815520929783,"HIGH LOW HIGH",0,NA
23,10,10.5003772981737,23.1762657773865,"HIGH LOW HIGH",0,NA
23,0,0.499036651350655,6.27708467990552,"HIGH LOW HIGH",0,NA
26,0,0.501555615896199,6.21498041421612,"HIGH LOW HIGH",0,NA
88,3,3.49947021066915,15.1015840178404,"HIGH LOW HIGH",0.377657457930036,NA
90,0,0.500844332983482,6.10477941610997,"HIGH LOW HIGH",0.387016850081272,NA
32,0,0.500506179651493,6.13404042449636,"HIGH LOW HIGH",0,NA
93,1,1.49977544983936,10.0819880046451,"HIGH LOW HIGH",0.309596604760736,NA
32,3,3.49817197589536,15.6574567951007,"HIGH LOW HIGH",0,NA
52,7,7.49932760754558,16.3849293150364,"HIGH LOW HIGH",0.332625550031662,NA
24,5,5.50016130867617,17.5294394532661,"HIGH LOW HIGH",0,NA
23,3,3.49927519350568,16.0537757124906,"HIGH LOW HIGH",0,NA
60,0,0.500249594580948,6.28752376642676,"HIGH LOW HIGH",0.326170864398591,NA
74,1,1.50090569850193,9.81569883641768,"HIGH LOW HIGH",0.177617893042043,NA
66,1,1.49899615832534,10.2405113650868,"HIGH LOW HIGH",0.382915459130891,NA
27,8,8.49905704514112,19.8096896621964,"HIGH LOW HIGH",0,NA
72,1,1.49955026170866,9.94092622652287,"HIGH LOW HIGH",0.188187239971012,NA
21,0,0.498059336458475,6.25504647833165,"HIGH LOW HIGH",0,NA
25,1,1.50164576067419,9.63426090127716,"HIGH LOW HIGH",0,NA
44,3,3.49974330604153,14.6852527603326,"HIGH LOW HIGH",0,NA
0,0,0.499018590964636,6.23627244787548,"HIGH LOW HIGH",0,NA
12,0,0.499915679425609,6.31467404870241,"HIGH LOW HIGH",0,NA
26,2,2.49862075497004,11.9333457970785,"HIGH LOW HIGH",0,NA
35,5,5.49884097067919,16.6476094659821,"HIGH LOW HIGH",0,NA
78,2,2.49939273287255,13.3400254406654,"HIGH LOW HIGH",0.151925752102397,NA
50,4,4.50055677490598,16.6268956880364,"HIGH LOW HIGH",0.363315919274464,NA
73,1,1.5001371076335,9.39798289015629,"HIGH LOW HIGH",0.189690870651975,NA
83,3,3.49956927830893,14.6908665226917,"HIGH LOW HIGH",0.168766628904268,NA
32,9,9.49941545109614,19.1620711910485,"HIGH LOW HIGH",0,NA
15,1,1.49927301531702,9.96495920179085,"HIGH LOW HIGH",0,NA
29,0,0.498328636149696,6.01077596149148,"HIGH LOW HIGH",0,NA
34,1,1.50182516298807,9.85573962992188,"HIGH LOW HIGH",0,NA
83,0,0.50062991335491,6.13820497748725,"HIGH LOW HIGH",0.176093160384335,NA
76,1,1.50036800822384,9.66530148625013,"HIGH LOW HIGH",0.153092259191908,NA
53,0,0.500665879282011,6.23303721666167,"HIGH LOW HIGH",0.378603737871163,NA
33,0,0.499388748639022,6.26444729861472,"HIGH LOW HIGH",0,NA
62,1,1.50145820579764,8.99967264887291,"HIGH LOW HIGH",0.380209633498453,NA
50,1,1.50279495763855,9.42349679558961,"HIGH LOW HIGH",0.365586292650551,NA
37,4,4.49942024809301,17.6811515519386,"HIGH LOW HIGH",0,NA
43,10,10.4979822916876,18.2561811857927,"HIGH LOW HIGH",0,NA
64,0,0.499453948761279,6.41235827186229,"HIGH LOW HIGH",0.322425874741748,NA
12,0,0.500910119974873,6.16859028420742,"HIGH LOW HIGH",0,NA
10,0,0.498981053075335,6.45755383797613,"HIGH LOW HIGH",0,NA
15,2,2.49899637532001,13.2187215149983,"HIGH LOW HIGH",0,NA
32,1,1.49932632602571,8.84433614325162,"HIGH LOW HIGH",0,NA
58,0,0.500070249916952,6.42097253587491,"HIGH LOW HIGH",0.304556782287546,NA
8,5,5.50019627068226,16.9280578129901,"HIGH LOW HIGH",0,NA
96,0,0.501498635397012,6.22696345549798,"HIGH LOW HIGH",0.378162368922494,NA
58,0,0.501329565297258,6.25607241926039,"HIGH LOW HIGH",0.331736282189377,NA
19,7,7.49793583674488,20.256676990354,"HIGH LOW HIGH",0,NA
4,0,0.499681750857762,6.18836880519686,"HIGH LOW HIGH",0,NA
31,1,1.49948986933455,9.08087363323411,"HIGH LOW HIGH",0,NA
27,0,0.49984361889329,6.12838618051223,"HIGH LOW HIGH",0,NA
61,7,7.49997200931297,18.3827452287968,"HIGH LOW HIGH",0.398153359442949,NA
24,0,0.500453542026495,6.17065046508654,"HIGH LOW HIGH",0,NA
75,0,0.500460624526848,6.11111432027684,"HIGH LOW HIGH",0.151377748395316,NA
58,0,0.501315458983948,6.29606394915086,"HIGH LOW HIGH",0.331736282189377,NA
36,0,0.50087539391397,6.0935045609625,"HIGH LOW HIGH",0,NA
51,10,10.5019170165886,21.7763502673337,"HIGH LOW HIGH",0.392255522753112,NA
