"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,6,221.963783262168,50,11,11.5006288634754,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
40,7,236.280992272828,50,11,11.4987125196325,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
42,2,249.506399303704,51,10,10.4992502003051,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
43,3,186.519027297697,50,8,8.50014531564195,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
43,6,196.220616698173,53,11,11.5006327057706,"FISHED",0.336785211646929,0.25,1,"HIGH LOW HIGH",NA
44,4,187.972533634441,50,7,7.50188405814447,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
45,6,185.037744837236,51,7,7.49739420559978,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
46,8,186.648149673857,50,5,5.50021168557838,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
46,10,215.309958291699,51,6,6.498432864298,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
46,12,183.625616544603,51,6,6.50039808816,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
47,2,177.72870098615,51,5,5.49994975807661,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
47,5,167.273900177365,50,4,4.50058193405229,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
49,3,134.204452207627,50,2,2.5000912149445,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
49,4,135.363335979167,50,2,2.50227808253117,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
49,6,113.105086323825,50,2,2.50065710741506,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
49,7,191.293114782634,56,8,8.49844851021171,"FISHED",0.300828289566562,0.25,1,"HIGH LOW HIGH",NA
49,8,125.385713004977,50,2,2.4995485251555,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
49,12,115.623736365709,50,2,2.50123778862458,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
50,3,100.849806178453,50,1,1.49949526999055,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
50,8,164.089428063143,52,3,3.50131877203041,"FISHED",0.332625550031662,0.25,1,"HIGH LOW HIGH",NA
50,9,95.8185643523009,50,1,1.50098880978097,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
51,2,97.3496950552001,51,1,1.50011297882391,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
51,3,100.808711716789,51,1,1.49936887451849,"FISHED",0.392255522753112,0.25,1,"HIGH LOW HIGH",NA
51,4,62.9368413918489,50,0,0.500203786104924,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
51,6,61.646340088276,50,0,0.49951140489503,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
51,8,158.862072552702,54,4,4.49930501982228,"FISHED",0.378032834944315,0.25,1,"HIGH LOW HIGH",NA
51,10,65.3573725601967,50,0,0.499620247087549,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
51,11,61.1480221140921,50,0,0.499743174326424,"FISHED",0.381781950872391,0.25,1,"HIGH LOW HIGH",NA
51,12,108.921465256861,52,2,2.50063513055825,"FISHED",0.332625550031662,0.25,1,"HIGH LOW HIGH",NA
51,14,211.421632973575,57,7,7.5015104170083,"FISHED",0.323659566952847,0.25,1,"HIGH LOW HIGH",NA
