"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,66.6558961267861,0,0,0.500572103019219,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,2,100.200575854047,1,1,1.49955550524583,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,3,93.2414776815185,1,1,1.49909276724452,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,4,193.752774501423,5,5,5.50024206880697,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,5,246.716436020298,13,13,13.5002984008042,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,6,98.2522387083369,1,1,1.49939480770163,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,7,169.269328803722,5,5,5.50096614190178,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,8,173.952196323149,6,6,6.49765592665325,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,9,120.174110946693,2,2,2.49905919344661,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,10,101.044317081442,1,1,1.50179336901921,"M",0,0.25,1,"HIGH LOW HIGH",NA
1,11,61.6834724253153,0,0,0.499035472956394,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,1,63.6540670763413,1,0,0.499740695068852,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,2,175.055063557198,7,6,6.50139093362818,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,3,101.051812100145,2,1,1.49887763243806,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,4,189.60811046125,10,9,9.49757777298166,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,5,126.573225258172,3,2,2.49880409471106,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,6,99.7312185783851,2,1,1.4997560928969,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,7,63.3236306452386,1,0,0.499835039919174,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,8,164.970065431172,5,4,4.50061396864295,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,9,96.5333217813694,2,1,1.50056479783518,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,10,63.6600737223168,1,0,0.502164811556234,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,11,139.791373917554,4,3,3.49822832766019,"M",0,0.25,1,"HIGH LOW HIGH",NA
2,12,160.272120321943,6,5,5.49884735766078,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,1,130.582851570321,4,2,2.50065926547367,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,2,191.016374777542,9,7,7.49892890723923,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,3,192.018788037125,7,5,5.49961221383402,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,4,64.1706184010077,2,0,0.499650937131717,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,5,60.8263214316446,2,0,0.499710704388051,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,6,157.16698937235,5,3,3.5009249611629,"M",0,0.25,1,"HIGH LOW HIGH",NA
3,7,99.6644358500864,3,1,1.49966303286383,"M",0,0.25,1,"HIGH LOW HIGH",NA
