"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,60.9457008730516,0,0,0.500457112127055,0,0.25,0.05,"HIGH LOW HIGH",NA
1,1,1,94.4135260395819,1,1,1.49998155374507,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,1,1,119.55115555506,2,2,2.50123844336489,0,0.25,0.5,"HIGH LOW HIGH",NA
1,1,1,138.431988549531,3,3,3.49967936266215,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
1,1,1,152.613351766202,4,4,4.50113722962063,0,0.25,0.95,"HIGH LOW HIGH",NA
1,2,2,61.9618409494372,0,0,0.499187960126256,0,0.25,0.05,"HIGH LOW HIGH",NA
1,2,2,96.7636172589906,1,1,1.49880884747674,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,2,2,123.338996921479,2,2,2.49914285573486,0,0.25,0.5,"HIGH LOW HIGH",NA
1,2,2,143.632524410521,3,3,3.50099572673046,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
1,3,3,60.8724505254519,0,0,0.498615590718869,0,0.25,0.05,"HIGH LOW HIGH",NA
1,3,3,94.2450987804879,1,1,1.49966709710238,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,4,4,61.5824367085974,0,0,0.498798391714982,0,0.25,0.05,"HIGH LOW HIGH",NA
1,4,4,95.8831679013625,1,1,1.49910846885231,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,4,4,121.915555449765,2,2,2.500432003807,0,0.25,0.5,"HIGH LOW HIGH",NA
1,4,4,141.672720323648,3,3,3.49913956806778,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
1,4,4,156.667332828092,4,4,4.50173354038058,0,0.25,0.95,"HIGH LOW HIGH",NA
1,4,4,168.047427370687,5,5,5.50158485125044,0,0.25,0.98806954215117,"HIGH LOW HIGH",NA
1,4,4,176.684299564617,6,6,6.50003243350583,0,0.25,0.997237569060774,"HIGH LOW HIGH",NA
1,4,4,183.239215344542,7,7,7.4991777588018,0,0.25,0.999364902956742,"HIGH LOW HIGH",NA
1,4,4,188.214039553717,8,8,8.49913478481237,0,0.25,0.999854227405248,"HIGH LOW HIGH",NA
1,4,4,191.989660285257,9,9,9.49944507718973,0,0.25,0.999966553716173,"HIGH LOW HIGH",NA
1,5,5,62.4207725837954,0,0,0.502433035257487,0,0.25,0.05,"HIGH LOW HIGH",NA
1,5,5,97.8333602427058,1,1,1.49999861800494,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,5,5,125.075458563577,2,2,2.50047602271624,0,0.25,0.5,"HIGH LOW HIGH",NA
1,6,6,63.6919466909852,0,0,0.50052763999016,0,0.25,0.05,"HIGH LOW HIGH",NA
1,6,6,100.823497131723,1,1,1.49812070262343,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,6,6,129.969658193602,2,2,2.5009407034912,0,0.25,0.5,"HIGH LOW HIGH",NA
1,6,6,152.847741509861,3,3,3.49955499295053,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
1,7,7,63.7740828499352,0,0,0.499462973318294,0,0.25,0.05,"HIGH LOW HIGH",NA
1,7,7,101.018072937973,1,1,1.50114592887484,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,7,7,130.290193005643,2,2,2.49743568489953,0,0.25,0.5,"HIGH LOW HIGH",NA
1,8,8,62.815530531144,0,0,0.499178728100719,0,0.25,0.05,"HIGH LOW HIGH",NA
1,8,8,98.7576713063261,1,1,1.50012028256698,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
1,9,9,59.3323772461751,0,0,0.498913001721686,0,0.25,0.05,"HIGH LOW HIGH",NA
1,10,10,62.3627244787548,0,0,0.499018590964636,0,0.25,0.05,"HIGH LOW HIGH",NA
2,11,1,61.7106192518009,1,0,0.501866959642494,0,0.25,0.05,"HIGH LOW HIGH",NA
2,11,1,96.1802327585046,2,1,1.49995938698642,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
2,12,2,64.7986403912691,1,0,0.500485458888229,0,0.25,0.05,"HIGH LOW HIGH",NA
2,12,2,103.459164346011,2,1,1.50099494991884,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
2,12,2,134.332772157781,3,2,2.50077013200897,0,0.25,0.5,"HIGH LOW HIGH",NA
2,12,2,158.987887034931,4,3,3.49987542484455,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
2,13,3,62.767666102139,1,0,0.499572379636615,0,0.25,0.05,"HIGH LOW HIGH",NA
2,13,3,98.6453938976156,2,1,1.49970915742054,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
2,13,3,126.398696114289,3,2,2.50051380853995,0,0.25,0.5,"HIGH LOW HIGH",NA
2,13,3,147.867329477049,4,3,3.50027006593337,0,0.25,0.813394503136629,"HIGH LOW HIGH",NA
2,13,3,164.474442204259,5,4,4.50142950143561,0,0.25,0.95,"HIGH LOW HIGH",NA
2,13,3,177.320914006822,6,5,5.49972527261498,0,0.25,0.98806954215117,"HIGH LOW HIGH",NA
2,13,3,187.258333020282,7,6,6.49956186006591,0,0.25,0.997237569060774,"HIGH LOW HIGH",NA
2,14,4,63.0528733289101,1,0,0.500162011013164,0,0.25,0.05,"HIGH LOW HIGH",NA
2,14,4,99.3152495585578,2,1,1.49955704691597,0,0.25,0.186605496863371,"HIGH LOW HIGH",NA
