"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,61.6893944570064,0,0,0.500173209582901,"M",0,0.25,1,"HIGH LOW MED",NA
1,2,224.99011951846,14,14,14.500853479546,"M",0,0.25,1,"HIGH LOW MED",NA
1,3,155.939471685045,3,3,3.50032973900781,"M",0,0.25,1,"HIGH LOW MED",NA
1,4,61.756927649696,0,0,0.499558190578693,"M",0,0.25,1,"HIGH LOW MED",NA
1,5,165.282756677682,5,5,5.50009891323382,"M",0,0.25,1,"HIGH LOW MED",NA
1,6,180.235308982277,8,8,8.50046618762513,"M",0,0.25,1,"HIGH LOW MED",NA
1,7,60.3933198392762,0,0,0.49977742422166,"M",0,0.25,1,"HIGH LOW MED",NA
1,8,161.433051842323,5,5,5.4983809602689,"M",0,0.25,1,"HIGH LOW MED",NA
1,9,94.1243263556869,1,1,1.50001414315343,"M",0,0.25,1,"HIGH LOW MED",NA
1,10,176.898268372949,5,5,5.49793614483053,"M",0,0.25,1,"HIGH LOW MED",NA
1,11,63.5510059524832,0,0,0.500505886638512,"M",0,0.25,1,"HIGH LOW MED",NA
2,1,184.818263871693,7,6,6.49943457205732,"M",0,0.25,1,"HIGH LOW MED",NA
2,2,62.9960351265576,1,0,0.499895619098868,"M",0,0.25,1,"HIGH LOW MED",NA
2,3,62.3782688077236,1,0,0.498964207581779,"M",0,0.25,1,"HIGH LOW MED",NA
2,4,121.035649253888,3,2,2.50074700027585,"M",0,0.25,1,"HIGH LOW MED",NA
2,5,64.0047521201222,1,0,0.501140898501047,"M",0,0.25,1,"HIGH LOW MED",NA
2,6,175.531454536102,7,6,6.4991526856772,"M",0,0.25,1,"HIGH LOW MED",NA
2,7,163.463487092557,10,9,9.50053399072793,"M",0,0.25,1,"HIGH LOW MED",NA
2,8,65.3374689951969,1,0,0.499991648352353,"M",0,0.25,1,"HIGH LOW MED",NA
2,9,160.015187476085,5,4,4.49884618676929,"M",0,0.25,1,"HIGH LOW MED",NA
2,10,151.441226241926,4,3,3.49975424064508,"M",0,0.25,1,"HIGH LOW MED",NA
2,11,121.766315458634,3,2,2.49937809595399,"M",0,0.25,1,"HIGH LOW MED",NA
3,1,202.688579520661,8,6,6.50096876789505,"M",0,0.25,1,"HIGH LOW MED",NA
3,2,100.935629387908,3,1,1.49990145935432,"M",0,0.25,1,"HIGH LOW MED",NA
3,3,64.7359107144017,2,0,0.501155699465063,"M",0,0.25,1,"HIGH LOW MED",NA
3,4,160.983801875231,5,3,3.5008406011418,"M",0,0.25,1,"HIGH LOW MED",NA
3,5,190.374849002448,6,4,4.49939209247312,"M",0,0.25,1,"HIGH LOW MED",NA
3,6,59.9452973018116,2,0,0.500999698381926,"M",0,0.25,1,"HIGH LOW MED",NA
3,7,64.0594608686086,2,0,0.499527826913488,"M",0,0.25,1,"HIGH LOW MED",NA
3,8,63.1211297584383,2,0,0.49910839086249,"M",0,0.25,1,"HIGH LOW MED",NA
3,9,191.281570447678,7,5,5.49979733857683,"M",0,0.25,1,"HIGH LOW MED",NA
3,10,63.3023930740372,2,0,0.501720972635265,"M",0,0.25,1,"HIGH LOW MED",NA
3,11,63.9211421257127,2,0,0.500563887607712,"M",0,0.25,1,"HIGH LOW MED",NA
3,12,62.8017159795734,2,0,0.500890708915401,"M",0,0.25,1,"HIGH LOW MED",NA
3,13,128.731295016608,4,2,2.49973627408164,"M",0,0.25,1,"HIGH LOW MED",NA
3,14,166.0889942318,7,5,5.49947470174055,"M",0,0.25,1,"HIGH LOW MED",NA
3,15,169.165762693565,8,6,6.49900749849359,"M",0,0.25,1,"HIGH LOW MED",NA
4,1,188.426204630366,15,12,12.4985835283581,"M",0,0.25,1,"HIGH LOW MED",NA
4,2,143.88722725406,6,3,3.49962682775375,"M",0,0.25,1,"HIGH LOW MED",NA
4,3,102.923214986438,4,1,1.49994501002651,"M",0,0.25,1,"HIGH LOW MED",NA
4,4,194.524388978806,9,6,6.50054622173775,"M",0,0.25,1,"HIGH LOW MED",NA
4,5,192.171346662314,8,5,5.499465497608,"M",0,0.25,1,"HIGH LOW MED",NA
4,6,60.337343609246,3,0,0.500621370624873,"M",0,0.25,1,"HIGH LOW MED",NA
4,7,99.3718157611077,4,1,1.49965569364776,"M",0,0.25,1,"HIGH LOW MED",NA
4,8,60.8432795213568,3,0,0.499055479836718,"M",0,0.25,1,"HIGH LOW MED",NA
4,9,63.8725573648913,3,0,0.500891118470216,"M",0,0.25,1,"HIGH LOW MED",NA
4,10,129.181403174643,5,2,2.49986142090735,"M",0,0.25,1,"HIGH LOW MED",NA
4,11,146.420379363623,6,3,3.49865419240067,"M",0,0.25,1,"HIGH LOW MED",NA
4,12,150.080774688983,7,4,4.50110264947722,"M",0,0.25,1,"HIGH LOW MED",NA
5,1,95.8124218568785,5,1,1.50113821495459,"M",0,0.25,1,"HIGH LOW MED",NA
5,2,103.310371415698,5,1,1.49981120980093,"M",0,0.25,1,"HIGH LOW MED",NA
5,3,61.1454798785972,4,0,0.499231464641241,"M",0,0.25,1,"HIGH LOW MED",NA
5,4,59.6798305841735,4,0,0.499467998415839,"M",0,0.25,1,"HIGH LOW MED",NA
5,5,63.2522136623777,4,0,0.500240585612026,"M",0,0.25,1,"HIGH LOW MED",NA
5,6,156.96801590598,7,3,3.49754744237738,"M",0,0.25,1,"HIGH LOW MED",NA
5,7,62.1468483873865,4,0,0.500208418612208,"M",0,0.25,1,"HIGH LOW MED",NA
5,8,172.017487023187,8,4,4.49937922475076,"M",0,0.25,1,"HIGH LOW MED",NA
5,9,101.570760483244,5,1,1.50057237070991,"M",0,0.25,1,"HIGH LOW MED",NA
5,10,152.568709825421,8,4,4.49937586215123,"M",0,0.25,1,"HIGH LOW MED",NA
5,11,200.176904819946,10,6,6.50003639740533,"M",0,0.25,1,"HIGH LOW MED",NA
5,12,64.5412200773664,4,0,0.501085730080593,"M",0,0.25,1,"HIGH LOW MED",NA
6,1,65.9687777091203,5,0,0.499072702291136,"M",0,0.25,1,"HIGH LOW MED",NA
6,2,189.19453590816,10,5,5.49812361414865,"M",0,0.25,1,"HIGH LOW MED",NA
6,3,207.801621699698,11,6,6.49956680134925,"M",0,0.25,1,"HIGH LOW MED",NA
6,4,126.059142860303,7,2,2.50083037442065,"M",0,0.25,1,"HIGH LOW MED",NA
6,5,62.7487745557568,5,0,0.498788499710776,"M",0,0.25,1,"HIGH LOW MED",NA
6,6,61.9905023073924,5,0,0.502480445039751,"M",0,0.25,1,"HIGH LOW MED",NA
6,7,63.6164440473518,5,0,0.500915485740409,"M",0,0.25,1,"HIGH LOW MED",NA
6,8,95.8708049907778,6,1,1.50026181790401,"M",0,0.25,1,"HIGH LOW MED",NA
6,9,62.3535932643925,5,0,0.499839030625777,"M",0,0.25,1,"HIGH LOW MED",NA
6,10,131.312016819281,7,2,2.49908937406831,"M",0,0.25,1,"HIGH LOW MED",NA
6,11,126.149983316813,7,2,2.50000158209999,"M",0,0.25,1,"HIGH LOW MED",NA
7,1,188.198539127908,13,7,7.49919037217654,"M",0,0.25,1,"HIGH LOW MED",NA
7,2,98.8582990287589,7,1,1.50036072485135,"M",0,0.25,1,"HIGH LOW MED",NA
7,3,217.192416436041,14,8,8.49931775741951,"M",0,0.25,1,"HIGH LOW MED",NA
7,4,100.572234150175,7,1,1.49881352802652,"M",0,0.25,1,"HIGH LOW MED",NA
7,5,124.846296948963,8,2,2.4996423488613,"M",0,0.25,1,"HIGH LOW MED",NA
7,6,97.795149469332,7,1,1.50156964471142,"M",0,0.25,1,"HIGH LOW MED",NA
7,7,96.3471454100784,7,1,1.50043232219291,"M",0,0.25,1,"HIGH LOW MED",NA
7,8,59.9014561470088,6,0,0.499606707945583,"M",0,0.25,1,"HIGH LOW MED",NA
7,9,99.3114384072073,7,1,1.49921521524151,"M",0,0.25,1,"HIGH LOW MED",NA
7,10,63.3696068498641,6,0,0.499762036130976,"M",0,0.25,1,"HIGH LOW MED",NA
7,11,128.665147925096,8,2,2.50026182591801,"M",0,0.25,1,"HIGH LOW MED",NA
8,1,152.044765204318,11,4,4.49986809369974,"M",0,0.25,1,"HIGH LOW MED",NA
8,2,123.277323442922,9,2,2.50108056563414,"M",0,0.25,1,"HIGH LOW MED",NA
8,3,128.277537239381,9,2,2.50138143282125,"M",0,0.25,1,"HIGH LOW MED",NA
8,4,60.5132897025599,7,0,0.501285386532703,"M",0,0.25,1,"HIGH LOW MED",NA
8,5,100.075089791307,8,1,1.49917608462968,"M",0,0.25,1,"HIGH LOW MED",NA
8,6,132.042984461303,9,2,2.50216160764465,"M",0,0.25,1,"HIGH LOW MED",NA
8,7,210.84961762556,14,7,7.4997736808847,"M",0,0.25,1,"HIGH LOW MED",NA
8,8,120.963015768399,9,2,2.4997455055663,"M",0,0.25,1,"HIGH LOW MED",NA
8,9,122.528370878729,9,2,2.50168434853109,"M",0,0.25,1,"HIGH LOW MED",NA
8,10,227.990721616668,15,8,8.49998087777754,"M",0,0.25,1,"HIGH LOW MED",NA
8,11,62.719182835554,7,0,0.499312430818693,"M",0,0.25,1,"HIGH LOW MED",NA
8,12,188.611516888768,15,8,8.50068285989108,"M",0,0.25,1,"HIGH LOW MED",NA
9,1,182.802386833676,13,5,5.49937830488306,"M",0,0.25,1,"HIGH LOW MED",NA
9,2,211.65486489762,18,10,10.4996246486151,"M",0,0.25,1,"HIGH LOW MED",NA
9,3,62.2356964301035,8,0,0.498773584523997,"M",0,0.25,1,"HIGH LOW MED",NA
9,4,203.378970078641,18,10,10.5012848269753,"M",0,0.25,1,"HIGH LOW MED",NA
9,5,120.823245914284,10,2,2.49848688557743,"M",0,0.25,1,"HIGH LOW MED",NA
9,6,206.13584279078,14,6,6.49885763698169,"M",0,0.25,1,"HIGH LOW MED",NA
9,7,183.371437170956,13,5,5.49892293779635,"M",0,0.25,1,"HIGH LOW MED",NA
9,8,60.8406149846602,8,0,0.500036697071229,"M",0,0.25,1,"HIGH LOW MED",NA
9,9,164.557061534465,14,6,6.50009195845766,"M",0,0.25,1,"HIGH LOW MED",NA
9,10,142.103778177161,11,3,3.49891110496346,"M",0,0.25,1,"HIGH LOW MED",NA
10,1,62.7437803204252,9,0,0.500614200870882,"M",0,0.25,1,"HIGH LOW MED",NA
10,2,161.799679290063,15,6,6.49940890779036,"M",0,0.25,1,"HIGH LOW MED",NA
