"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,11,250.395550939927,51,12,12.5001959418835,"FISHED",0.360525202634744,0.25,1,"HIGH LOW MED",NA
41,2,211.79635322223,50,10,10.5005993763263,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
43,7,215.156007149755,50,8,8.50137900690857,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
44,9,183.957542992474,50,7,7.49908825878,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
44,11,220.551855660693,52,9,9.49967040300449,"FISHED",0.358254875964485,0.25,1,"HIGH LOW MED",NA
45,4,196.684075151297,50,6,6.50013728311642,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
45,9,199.691306439094,52,8,8.50099960129215,"FISHED",0.358254875964485,0.25,1,"HIGH LOW MED",NA
46,4,173.045678489849,50,5,5.49972129829385,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
47,3,181.661720916468,52,6,6.49866180182673,"FISHED",0.358254875964485,0.25,1,"HIGH LOW MED",NA
47,4,154.626993092322,50,4,4.50122400743746,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
47,8,180.093383971612,50,4,4.49971057721083,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
48,9,136.485781653769,50,3,3.50080176304174,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
48,10,140.351892426156,50,3,3.49854460481888,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
48,12,157.362070262332,50,3,3.50100071497305,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
48,13,182.994412919856,53,6,6.49935882563419,"FISHED",0.379744304670021,0.25,1,"HIGH LOW MED",NA
49,3,156.108458922623,52,4,4.50008491458987,"FISHED",0.358254875964485,0.25,1,"HIGH LOW MED",NA
49,4,116.258899374427,50,2,2.49906821698446,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
49,5,155.190428348088,52,4,4.49911021349521,"FISHED",0.358254875964485,0.25,1,"HIGH LOW MED",NA
49,6,128.851208361926,50,2,2.50005351003946,"FISHED",0.367915243678726,0.25,1,"HIGH LOW MED",NA
