"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
52,0,0.500387309178544,6.25979803209575,"HIGH LOW MED",0.300304214959033,"early","high",NA
38,5,5.49941310243862,18.3967013357643,"HIGH LOW MED",0,"early","high",NA
28,4,4.50049910905619,16.9483808639447,"HIGH LOW MED",0,"early","high",NA
52,6,6.49961277626881,16.6405415346215,"HIGH LOW MED",0.300750410719775,"early","high",NA
95,1,1.50040178185599,9.60998163114458,"HIGH LOW MED",0.282103594881482,"late","low",NA
14,7,7.49858102556119,21.4007391276192,"HIGH LOW MED",0,"early","high",NA
39,9,9.49949150271851,20.1310497620083,"HIGH LOW MED",0,"early","high",NA
19,0,0.500692412854641,6.16179336101449,"HIGH LOW MED",0,"early","high",NA
39,2,2.50036496014387,12.5171883316763,"HIGH LOW MED",0,"early","high",NA
35,1,1.50016896455472,9.97910835074561,"HIGH LOW MED",0,"early","high",NA
29,1,1.49900777209474,9.99153069517653,"HIGH LOW MED",0,"early","high",NA
78,4,4.50167571688569,14.7803373219884,"HIGH LOW MED",0.186102491198108,"late","low",NA
52,1,1.50122486406235,9.76876766287329,"HIGH LOW MED",0.300304214959033,"early","high",NA
15,7,7.49901247462302,20.8903339949673,"HIGH LOW MED",0,"early","high",NA
43,3,3.49946262991699,14.3429717802027,"HIGH LOW MED",0,"early","high",NA
32,4,4.50071035870732,16.7709887612859,"HIGH LOW MED",0,"early","high",NA
6,0,0.498879529436023,6.34720723987325,"HIGH LOW MED",0,"early","high",NA
93,1,1.49998269165878,9.9168176902547,"HIGH LOW MED",0.218683668831363,"late","low",NA
57,1,1.5006596999324,10.2627585756388,"HIGH LOW MED",0.305358975171111,"early","high",NA
87,0,0.500937454302297,6.15309292534033,"HIGH LOW MED",0.260122326877899,"late","low",NA
80,0,0.500452817987683,6.46457105152386,"HIGH LOW MED",0.178750507417135,"late","low",NA
53,8,8.50051561937438,23.5324785908989,"HIGH LOW MED",0.332867748965509,"early","high",NA
8,0,0.500157360594851,6.31326233703547,"HIGH LOW MED",0,"early","high",NA
98,2,2.50133762687895,13.5860938014291,"HIGH LOW MED",0.23316083974205,"late","low",NA
59,2,2.50052221537499,12.4402811464192,"HIGH LOW MED",0.34011380111333,"early","high",NA
12,4,4.50084421048171,16.7112469606397,"HIGH LOW MED",0,"early","high",NA
28,7,7.49929586814087,21.6472434326646,"HIGH LOW MED",0,"early","high",NA
73,2,2.50063792825373,12.5210824078877,"HIGH LOW MED",0.139675756474026,"early","high",NA
38,1,1.49950362598874,10.2001087255601,"HIGH LOW MED",0,"early","high",NA
32,3,3.49941876111525,15.2099057692826,"HIGH LOW MED",0,"early","high",NA
20,5,5.50072253735886,15.5101492836706,"HIGH LOW MED",0,"early","high",NA
60,0,0.500152833189383,6.15777153653519,"HIGH LOW MED",0.335339917661622,"early","high",NA
32,8,8.4994644158502,17.6657853632589,"HIGH LOW MED",0,"early","high",NA
4,3,3.49806332328028,15.2524612833202,"HIGH LOW MED",0,"early","high",NA
84,0,0.498850297398347,6.24304890337122,"HIGH LOW MED",0.269081576657482,"late","low",NA
33,8,8.49918748777615,21.6381516157156,"HIGH LOW MED",0,"early","high",NA
11,2,2.4995254993825,12.1038962998697,"HIGH LOW MED",0,"early","high",NA
58,0,0.498859861897836,6.35654984774596,"HIGH LOW MED",0.324637023638934,"early","high",NA
27,1,1.49933229540099,9.3596935668947,"HIGH LOW MED",0,"early","high",NA
15,0,0.501534868261608,6.65799295833328,"HIGH LOW MED",0,"early","high",NA
45,3,3.50019093961067,15.452905014047,"HIGH LOW MED",0,"early","high",NA
28,0,0.50045808279661,6.43225689850754,"HIGH LOW MED",0,"early","high",NA
13,4,4.49957505317429,15.6550361874267,"HIGH LOW MED",0,"early","high",NA
57,0,0.498405661194311,6.36024002164427,"HIGH LOW MED",0.305358975171111,"early","high",NA
90,10,10.4995651963935,19.2635195756241,"HIGH LOW MED",0.2523445060011,"late","low",NA
93,1,1.49989272193736,8.97320092065086,"HIGH LOW MED",0.241550661553629,"late","low",NA
4,0,0.499152563755294,6.31755673431209,"HIGH LOW MED",0,"early","high",NA
60,0,0.499506568822994,6.38665286059981,"HIGH LOW MED",0.333230220689438,"early","high",NA
49,3,3.49880194147124,13.9990644830784,"HIGH LOW MED",0,"early","high",NA
65,3,3.4997429146536,14.2497111843089,"HIGH LOW MED",0.323399465344846,"early","high",NA
76,1,1.4981445332933,10.2642840088495,"HIGH LOW MED",0.11708741991315,"late","low",NA
51,2,2.49888232119014,12.0568316943994,"HIGH LOW MED",0.357313590124249,"early","high",NA
49,5,5.49921464168209,15.8392367092794,"HIGH LOW MED",0,"early","high",NA
7,2,2.49986132480929,12.6710622179647,"HIGH LOW MED",0,"early","high",NA
98,0,0.500411452826469,5.73632096616311,"HIGH LOW MED",0.296775348298252,"late","low",NA
67,0,0.501284881050743,6.19502816881141,"HIGH LOW MED",0.180470755510032,"early","high",NA
46,0,0.498004116980148,6.44021124947392,"HIGH LOW MED",0,"early","high",NA
