"Year","season","fleet","CPUE","sd"
0,1,2,0.000145085127220205,0.1
1,1,2,0.000215714771092834,0.1
2,1,2,0.000312052242646214,0.1
3,1,2,0.000308648700453017,0.1
4,1,2,0.000405561491608808,0.1
5,1,2,0.000426722703404236,0.1
6,1,2,0.00047566780943457,0.1
7,1,2,0.000429694557573468,0.1
8,1,2,0.000495679888777254,0.1
9,1,2,0.000552088598043983,0.1
10,1,2,0.000486873363676113,0.1
11,1,2,0.000473905647884021,0.1
12,1,2,0.000538713399832369,0.1
13,1,2,0.000552139840755903,0.1
14,1,2,0.000534291744710194,0.1
15,1,2,0.000434391319612534,0.1
16,1,2,0.000521117049764391,0.1
17,1,2,0.000484452159422512,0.1
18,1,2,0.00038896412089511,0.1
19,1,2,0.000479012373332866,0.1
20,1,2,0.000527575575875899,0.1
21,1,2,0.00047594385903367,0.1
22,1,2,0.000455735384904723,0.1
23,1,2,0.00050096280479195,0.1
24,1,2,0.000493603497633134,0.1
25,1,2,0.000482789454412212,0.1
26,1,2,0.000488291497215536,0.1
27,1,2,0.000439037814710627,0.1
28,1,2,0.000435683488705729,0.1
29,1,2,0.000477598054190923,0.1
30,1,2,0.000405866921371239,0.1
31,1,2,0.000424957569917737,0.1
32,1,2,0.00047546949342887,0.1
33,1,2,0.000570560138968798,0.1
34,1,2,0.000416770662493601,0.1
35,1,2,0.000547983586850568,0.1
36,1,2,0.000410421183294663,0.1
37,1,2,0.000435188824428187,0.1
38,1,2,0.000397964067644012,0.1
39,1,2,0.000409711471057009,0.1
40,1,2,0.000354194685658141,0.1
41,1,2,0.000502903250578256,0.1
42,1,2,0.000510782015853649,0.1
43,1,2,0.000625161237993794,0.1
44,1,2,0.000500201384144434,0.1
45,1,2,0.000520022223122869,0.1
46,1,2,0.000524686063845936,0.1
47,1,2,0.00043937531898,0.1
48,1,2,0.000585137107439435,0.1
49,1,2,0.000552275407696349,0.1
50,1,2,0.000493143998623531,0.1
51,1,2,0.000380160951959549,0.1
52,1,2,0.00043355854371075,0.1
53,1,2,0.000369038066225246,0.1
54,1,2,0.000297466143299056,0.1
55,1,2,0.000292452017375894,0.1
56,1,2,0.000297809984101766,0.1
57,1,2,0.000256649398563641,0.1
58,1,2,0.000263398497659698,0.1
59,1,2,0.000244143816651697,0.1
60,1,2,0.000246036227065033,0.1
61,1,2,0.000265723247512898,0.1
62,1,2,0.000187129425078548,0.1
63,1,2,0.000206913471107215,0.1
64,1,2,0.000185071751792616,0.1
65,1,2,0.000161845906319699,0.1
66,1,2,0.000152451594486292,0.1
67,1,2,0.000128436171972014,0.1
68,1,2,8.48519011403098e-05,0.1
69,1,2,5.38918960447353e-05,0.1
70,1,2,9.02152265949968e-05,0.1
71,1,2,0.00015126759690963,0.1
72,1,2,0.000185180870691388,0.1
73,1,2,0.00019212650415999,0.1
74,1,2,0.000212357618856796,0.1
75,1,2,0.000272714886065088,0.1
76,1,2,0.000269579543352345,0.1
77,1,2,0.000145286026686409,0.1
78,1,2,0.000172289795561577,0.1
79,1,2,0.000198644631052786,0.1
80,1,2,0.000259875157845395,0.1
81,1,2,0.000242907968131695,0.1
82,1,2,0.000296366701562157,0.1
83,1,2,0.00033537674397359,0.1
84,1,2,0.000247334912527756,0.1
85,1,2,0.000250272374956783,0.1
86,1,2,0.000169304598096986,0.1
87,1,2,0.000210131691568899,0.1
88,1,2,0.000162728548502442,0.1
89,1,2,0.000193665773933817,0.1
90,1,2,0.000199350552763016,0.1
91,1,2,0.000189747331281875,0.1
92,1,2,0.000168505479384211,0.1
93,1,2,0.000157726495700072,0.1
94,1,2,0.000181724648138761,0.1
95,1,2,0.000180182474060433,0.1
96,1,2,0.000150431107986412,0.1
97,1,2,0.000178589503336482,0.1
98,1,2,0.000125796082115195,0.1
99,1,2,0.000170898136086257,0.1
