"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,97.848629749497,1,1,1.50030230847503,"M",0,0.25,1,"HIGH MED HIGH",NA
1,2,126.128163292199,2,2,2.49995926159755,"M",0,0.25,1,"HIGH MED HIGH",NA
1,3,98.1408177507958,1,1,1.50190945163547,"M",0,0.25,1,"HIGH MED HIGH",NA
1,4,93.568153859857,1,1,1.50012211071865,"M",0,0.25,1,"HIGH MED HIGH",NA
1,5,64.2908084744816,0,0,0.498473936245868,"M",0,0.25,1,"HIGH MED HIGH",NA
1,6,187.077217494337,5,5,5.50028230836322,"M",0,0.25,1,"HIGH MED HIGH",NA
1,7,192.901139983593,9,9,9.49947343419359,"M",0,0.25,1,"HIGH MED HIGH",NA
1,8,97.1377099971427,1,1,1.49745229349504,"M",0,0.25,1,"HIGH MED HIGH",NA
1,9,100.984725889733,1,1,1.49974146295914,"M",0,0.25,1,"HIGH MED HIGH",NA
1,10,129.129862551908,2,2,2.50090225128671,"M",0,0.25,1,"HIGH MED HIGH",NA
1,11,152.622622278692,3,3,3.49916941539556,"M",0,0.25,1,"HIGH MED HIGH",NA
1,12,189.581340009189,9,9,9.49874741925776,"M",0,0.25,1,"HIGH MED HIGH",NA
2,1,195.46693714243,7,6,6.50023271739699,"M",0,0.25,1,"HIGH MED HIGH",NA
2,2,144.813461215245,4,3,3.50022534259021,"M",0,0.25,1,"HIGH MED HIGH",NA
2,3,96.3826917044672,2,1,1.50212525047481,"M",0,0.25,1,"HIGH MED HIGH",NA
2,4,173.098255899797,6,5,5.49779440865843,"M",0,0.25,1,"HIGH MED HIGH",NA
2,5,195.114553258394,6,5,5.5023422901151,"M",0,0.25,1,"HIGH MED HIGH",NA
2,6,131.330317404528,3,2,2.4997638720895,"M",0,0.25,1,"HIGH MED HIGH",NA
2,7,128.558064677595,3,2,2.50119326382669,"M",0,0.25,1,"HIGH MED HIGH",NA
2,8,125.191994528161,3,2,2.49987854591117,"M",0,0.25,1,"HIGH MED HIGH",NA
2,9,155.791718619245,5,4,4.50053868931597,"M",0,0.25,1,"HIGH MED HIGH",NA
2,10,62.8130168617488,1,0,0.499196970711461,"M",0,0.25,1,"HIGH MED HIGH",NA
