"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
42,2,197.575023424901,50,9,9.5009442888915,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
42,4,206.665572360514,50,9,9.49987399101982,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
43,3,195.097703360965,52,10,10.4985618494442,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
43,7,177.056032811053,50,8,8.49909373231061,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
45,2,209.843413932589,52,8,8.49943062506206,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
47,9,160.559221224572,50,4,4.50197245380178,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
48,9,217.145484454579,53,6,6.49978597795438,"FISHED",0.314887021924369,0.25,1,"HIGH MED LOW",NA
49,6,190.39902235168,52,4,4.49975797592312,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
49,7,128.595638579821,50,2,2.50035694736664,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
49,9,169.860903323615,52,4,4.49875131291575,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
50,1,120.488839633399,51,2,2.5002128654077,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
50,2,96.4397578788081,50,1,1.49918324348817,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
50,3,143.447113213862,52,3,3.49884969575767,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
50,4,161.728847261589,53,4,4.49988114516813,"FISHED",0.314887021924369,0.25,1,"HIGH MED LOW",NA
51,1,195.855712889669,60,10,10.4996110101716,"FISHED",0.373069747025147,0.25,1,"HIGH MED LOW",NA
51,3,101.658760919248,51,1,1.50100976327705,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
51,5,126.935157392323,52,2,2.5013315618079,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
51,11,63.1665335004694,50,0,0.498907454614824,"FISHED",0.37663151382003,0.25,1,"HIGH MED LOW",NA
52,1,127.457817363501,53,2,2.50072279454483,"FISHED",0.314887021924369,0.25,1,"HIGH MED LOW",NA
52,2,60.7797720942687,51,0,0.500772441035601,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,4,63.3314251651984,51,0,0.501608875888901,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,5,63.2628399011311,51,0,0.499587508014054,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,7,62.5260553376888,51,0,0.501021580571797,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,8,63.5678550827807,51,0,0.498586669057162,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,9,61.5365165425172,51,0,0.500467302074276,"FISHED",0.302998956060037,0.25,1,"HIGH MED LOW",NA
52,11,94.9776769888911,52,1,1.50033875508455,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
53,1,63.5657393784066,52,0,0.502482387156244,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
53,6,62.0078786669906,52,0,0.500303065512763,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
53,7,63.0319661158652,52,0,0.498906562232,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
53,11,62.935119290429,52,0,0.500541611175798,"FISHED",0.355268550361507,0.25,1,"HIGH MED LOW",NA
54,1,124.028267526687,55,2,2.49985757543778,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
54,2,102.784636915736,54,1,1.49994590780357,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
54,3,180.650607476622,57,4,4.49992669036146,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
54,5,178.423750207086,59,6,6.49970589245224,"FISHED",0.382384816301055,0.25,1,"HIGH MED LOW",NA
54,11,97.2969834188111,54,1,1.49944896281782,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
54,12,62.9382776116635,53,0,0.499545993105201,"FISHED",0.314887021924369,0.25,1,"HIGH MED LOW",NA
55,2,176.179738609721,59,5,5.49828138214942,"FISHED",0.382384816301055,0.25,1,"HIGH MED LOW",NA
55,3,63.9100756521494,54,0,0.499906166238435,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
55,4,139.612901666462,57,3,3.50054849447494,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
55,5,170.867365622387,59,5,5.50022593577211,"FISHED",0.382384816301055,0.25,1,"HIGH MED LOW",NA
55,6,119.050845323713,56,2,2.49838001719217,"FISHED",0.320276154554449,0.25,1,"HIGH MED LOW",NA
55,8,64.4765420946476,54,0,0.499805502864098,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
55,10,95.0535571659147,55,1,1.49982433984223,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
55,11,65.5270314897169,54,0,0.49985619514743,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
55,12,59.8743683476187,54,0,0.4987067499953,"FISHED",0.345256040827371,0.25,1,"HIGH MED LOW",NA
56,1,96.0167943061759,56,1,1.50002210926888,"FISHED",0.320276154554449,0.25,1,"HIGH MED LOW",NA
56,6,63.1689475697387,55,0,0.500351529497248,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
56,7,63.4788992526834,55,0,0.5011245641938,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
56,8,148.966698605179,58,3,3.49824867220893,"FISHED",0.360394460638054,0.25,1,"HIGH MED LOW",NA
56,9,62.6576097677424,55,0,0.498145898783537,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
56,10,62.8617468619426,55,0,0.499972037891105,"FISHED",0.398811342427507,0.25,1,"HIGH MED LOW",NA
56,11,130.428295575769,57,2,2.49946915083379,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
57,1,155.430481822185,59,3,3.49917377898833,"FISHED",0.382384816301055,0.25,1,"HIGH MED LOW",NA
57,2,93.5189664710788,57,1,1.49881819174053,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
57,5,61.1082911705434,56,0,0.499593487471953,"FISHED",0.320276154554449,0.25,1,"HIGH MED LOW",NA
57,6,98.7061898161766,57,1,1.50028781893256,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
57,7,62.3038853337049,56,0,0.499111663245935,"FISHED",0.320276154554449,0.25,1,"HIGH MED LOW",NA
57,8,100.967537169147,57,1,1.49969738760975,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
57,10,96.0717602136221,57,1,1.50056194613017,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
58,1,62.9194408450399,57,0,0.500428348571971,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
58,2,150.362561620768,60,3,3.50025213203067,"FISHED",0.373069747025147,0.25,1,"HIGH MED LOW",NA
58,4,94.2383998771906,58,1,1.50162894123809,"FISHED",0.360394460638054,0.25,1,"HIGH MED LOW",NA
58,7,61.5118036223109,57,0,0.499881813188573,"FISHED",0.342500203684904,0.25,1,"HIGH MED LOW",NA
