"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,138.725377198338,3,3,3.50036823944875,"M",0,0.25,1,"HIGH MED LOW",NA
1,2,96.2668516467141,1,1,1.4994502341032,"M",0,0.25,1,"HIGH MED LOW",NA
1,3,187.894575247464,5,5,5.50070215992926,"M",0,0.25,1,"HIGH MED LOW",NA
1,4,62.3058217442765,0,0,0.499034761731687,"M",0,0.25,1,"HIGH MED LOW",NA
1,5,102.091604019063,1,1,1.5006465595936,"M",0,0.25,1,"HIGH MED LOW",NA
1,6,203.277418966343,13,13,13.5008269634461,"M",0,0.25,1,"HIGH MED LOW",NA
1,7,62.7152676571765,0,0,0.500403661980285,"M",0,0.25,1,"HIGH MED LOW",NA
1,8,122.408554908692,2,2,2.50118859994974,"M",0,0.25,1,"HIGH MED LOW",NA
1,9,181.136481101202,5,5,5.50114374868059,"M",0,0.25,1,"HIGH MED LOW",NA
1,10,145.091746717425,3,3,3.49958682314403,"M",0,0.25,1,"HIGH MED LOW",NA
1,11,168.751606968253,5,5,5.49961486092046,"M",0,0.25,1,"HIGH MED LOW",NA
2,1,125.439619922371,3,2,2.49946087844651,"M",0,0.25,1,"HIGH MED LOW",NA
2,2,63.7312980039121,1,0,0.500501705965202,"M",0,0.25,1,"HIGH MED LOW",NA
2,3,125.974226711715,3,2,2.49981926230075,"M",0,0.25,1,"HIGH MED LOW",NA
2,4,194.041203155506,7,6,6.50054573977198,"M",0,0.25,1,"HIGH MED LOW",NA
2,5,248.353848747696,13,12,12.4997553401403,"M",0,0.25,1,"HIGH MED LOW",NA
2,6,188.997968480532,7,6,6.50079566135122,"M",0,0.25,1,"HIGH MED LOW",NA
2,7,146.71649666409,3,2,2.50118575930626,"M",0,0.25,1,"HIGH MED LOW",NA
2,8,118.07976241743,3,2,2.5007907800316,"M",0,0.25,1,"HIGH MED LOW",NA
2,9,188.84421178116,8,7,7.50142295046417,"M",0,0.25,1,"HIGH MED LOW",NA
2,10,96.3687555160114,2,1,1.4989560304724,"M",0,0.25,1,"HIGH MED LOW",NA
2,11,99.6514317051641,2,1,1.49988394799021,"M",0,0.25,1,"HIGH MED LOW",NA
2,12,162.679297236176,5,4,4.50088934280459,"M",0,0.25,1,"HIGH MED LOW",NA
3,1,179.515335819739,8,6,6.50032886196384,"M",0,0.25,1,"HIGH MED LOW",NA
3,2,130.823494020032,4,2,2.49927598763052,"M",0,0.25,1,"HIGH MED LOW",NA
3,3,63.9073584695262,2,0,0.498393947829723,"M",0,0.25,1,"HIGH MED LOW",NA
3,4,63.0199586374647,2,0,0.499949317709263,"M",0,0.25,1,"HIGH MED LOW",NA
3,5,63.642851790749,2,0,0.5006551322536,"M",0,0.25,1,"HIGH MED LOW",NA
3,6,61.7468853635761,2,0,0.499381967794093,"M",0,0.25,1,"HIGH MED LOW",NA
3,7,130.503416419908,4,2,2.50093291607898,"M",0,0.25,1,"HIGH MED LOW",NA
3,8,192.093986626001,10,8,8.50139589784663,"M",0,0.25,1,"HIGH MED LOW",NA
3,9,198.474351392936,13,11,11.499276822891,"M",0,0.25,1,"HIGH MED LOW",NA
3,10,234.757451485267,13,11,11.5001872836662,"M",0,0.25,1,"HIGH MED LOW",NA
3,11,206.965900507102,11,9,9.501786278098,"M",0,0.25,1,"HIGH MED LOW",NA
4,1,199.453335956532,8,5,5.50108998339653,"M",0,0.25,1,"HIGH MED LOW",NA
4,2,101.946775926866,4,1,1.49826731377324,"M",0,0.25,1,"HIGH MED LOW",NA
4,3,205.282646402291,12,9,9.49933116220061,"M",0,0.25,1,"HIGH MED LOW",NA
4,4,64.0915209170229,3,0,0.50137803155175,"M",0,0.25,1,"HIGH MED LOW",NA
4,5,174.962680209456,7,4,4.49986831095024,"M",0,0.25,1,"HIGH MED LOW",NA
4,6,145.786504057571,6,3,3.50033731569039,"M",0,0.25,1,"HIGH MED LOW",NA
4,7,219.46343310879,15,12,12.5021710157383,"M",0,0.25,1,"HIGH MED LOW",NA
4,8,136.93874572751,6,3,3.50040479240715,"M",0,0.25,1,"HIGH MED LOW",NA
4,9,98.8038841374341,4,1,1.50104638542876,"M",0,0.25,1,"HIGH MED LOW",NA
4,10,122.381884587923,5,2,2.49896210104009,"M",0,0.25,1,"HIGH MED LOW",NA
4,11,94.541381655404,4,1,1.49947386880005,"M",0,0.25,1,"HIGH MED LOW",NA
4,12,220.125417902978,12,9,9.49915628040804,"M",0,0.25,1,"HIGH MED LOW",NA
5,1,93.2695495726886,5,1,1.5003332283312,"M",0,0.25,1,"HIGH MED LOW",NA
5,2,94.6487817768241,5,1,1.4996197329719,"M",0,0.25,1,"HIGH MED LOW",NA
5,3,136.04830778713,7,3,3.50029863960331,"M",0,0.25,1,"HIGH MED LOW",NA
5,4,220.729588665594,13,9,9.50012616168381,"M",0,0.25,1,"HIGH MED LOW",NA
5,5,142.486979341908,7,3,3.4999800909109,"M",0,0.25,1,"HIGH MED LOW",NA
5,6,63.1367616315114,4,0,0.4993491868858,"M",0,0.25,1,"HIGH MED LOW",NA
5,7,61.6078941742869,4,0,0.498894717915495,"M",0,0.25,1,"HIGH MED LOW",NA
5,8,114.677713469533,6,2,2.49855732551925,"M",0,0.25,1,"HIGH MED LOW",NA
5,9,123.979950863714,6,2,2.50091904131329,"M",0,0.25,1,"HIGH MED LOW",NA
5,10,95.9397182172041,5,1,1.49994561665023,"M",0,0.25,1,"HIGH MED LOW",NA
5,11,150.371432773319,8,4,4.50073902738944,"M",0,0.25,1,"HIGH MED LOW",NA
5,12,64.9160577515952,4,0,0.499559150867037,"M",0,0.25,1,"HIGH MED LOW",NA
5,13,136.093287423023,6,2,2.49986446926123,"M",0,0.25,1,"HIGH MED LOW",NA
5,14,134.599698015198,7,3,3.49999549938757,"M",0,0.25,1,"HIGH MED LOW",NA
6,1,209.871935760972,11,6,6.50129974932875,"M",0,0.25,1,"HIGH MED LOW",NA
6,2,61.4933950010835,5,0,0.501948114290861,"M",0,0.25,1,"HIGH MED LOW",NA
6,3,91.444456710741,6,1,1.50064221809926,"M",0,0.25,1,"HIGH MED LOW",NA
6,4,92.1942204006684,6,1,1.49951850121807,"M",0,0.25,1,"HIGH MED LOW",NA
6,5,62.2461156664324,5,0,0.50021191720204,"M",0,0.25,1,"HIGH MED LOW",NA
6,6,59.6051436941425,5,0,0.500308155818329,"M",0,0.25,1,"HIGH MED LOW",NA
6,7,178.435495552566,10,5,5.49960699574324,"M",0,0.25,1,"HIGH MED LOW",NA
6,8,138.091465548308,7,2,2.49973853267139,"M",0,0.25,1,"HIGH MED LOW",NA
6,9,128.543799314164,7,2,2.49844340901111,"M",0,0.25,1,"HIGH MED LOW",NA
6,10,190.085895083004,10,5,5.49972435717388,"M",0,0.25,1,"HIGH MED LOW",NA
6,11,127.363295322878,7,2,2.49877925773587,"M",0,0.25,1,"HIGH MED LOW",NA
7,1,121.381040482219,8,2,2.49956680658259,"M",0,0.25,1,"HIGH MED LOW",NA
7,2,101.881782390504,7,1,1.49880261995361,"M",0,0.25,1,"HIGH MED LOW",NA
7,3,124.189642195163,8,2,2.49986112273842,"M",0,0.25,1,"HIGH MED LOW",NA
7,4,188.30295635147,18,12,12.498454622394,"M",0,0.25,1,"HIGH MED LOW",NA
7,5,132.168997456054,8,2,2.4992840757674,"M",0,0.25,1,"HIGH MED LOW",NA
7,6,160.846965837191,10,4,4.49990620681307,"M",0,0.25,1,"HIGH MED LOW",NA
7,7,96.2963891957671,7,1,1.50002705595248,"M",0,0.25,1,"HIGH MED LOW",NA
7,8,63.2487461875343,6,0,0.49998167102718,"M",0,0.25,1,"HIGH MED LOW",NA
7,9,158.077152752491,10,4,4.50138365702698,"M",0,0.25,1,"HIGH MED LOW",NA
7,10,99.6958974203023,7,1,1.49958405930803,"M",0,0.25,1,"HIGH MED LOW",NA
7,11,149.963336329035,10,4,4.49942542744562,"M",0,0.25,1,"HIGH MED LOW",NA
