"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
42,4,205.075705567066,51,10,10.4997309873586,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
43,6,202.295879990784,54,12,12.50086544516,"FISHED",0.32476176507771,0.25,1,"HIGH MED MED",NA
44,1,246.465070163485,50,7,7.50013639080657,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
45,2,161.52777286211,50,6,6.50063328845015,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
45,3,187.307799374225,52,8,8.49970639581826,"FISHED",0.328544955374673,0.25,1,"HIGH MED MED",NA
45,6,183.33234173975,50,6,6.50128259106056,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
46,9,182.688701438359,50,5,5.49974262034417,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
46,11,153.099269537607,50,5,5.50003706053975,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
47,2,200.422335626862,54,8,8.49937899954006,"FISHED",0.32476176507771,0.25,1,"HIGH MED MED",NA
47,5,170.748865779478,50,4,4.49988851439043,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
48,5,150.367723565837,50,3,3.49887835273876,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
48,10,162.764609279823,50,3,3.50033304196501,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
48,13,156.744975728655,50,3,3.50117837284345,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
49,1,153.893849100072,51,3,3.5005517162117,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
49,2,169.693853235466,52,4,4.50062922753305,"FISHED",0.328544955374673,0.25,1,"HIGH MED MED",NA
49,3,138.40251173131,50,2,2.50105650268806,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
49,7,125.341703921351,50,2,2.50076728169025,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
49,10,128.764453260169,50,2,2.49834408113501,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
50,1,119.072561856293,51,2,2.50124752553393,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
50,3,124.108443956036,51,2,2.49958672121308,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
50,7,124.49057775411,51,2,2.50099093485006,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
50,10,133.502645306681,51,2,2.50076868868126,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
50,11,124.32122684345,51,2,2.49938228242493,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
51,3,62.4969463607552,50,0,0.500419873713484,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,4,63.9385191762128,50,0,0.498550939882959,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,6,64.1632549330326,50,0,0.498300421529041,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,8,59.5341798501534,50,0,0.501745052770469,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,10,60.0652524519438,50,0,0.498299902497522,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,11,65.3523691455737,50,0,0.499914907530325,"FISHED",0.386677199532278,0.25,1,"HIGH MED MED",NA
51,12,171.670161341159,55,5,5.50026497325155,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
51,13,144.747623961681,53,3,3.49905517372859,"FISHED",0.309226795518771,0.25,1,"HIGH MED MED",NA
52,1,133.331725163758,54,3,3.49862735106076,"FISHED",0.32476176507771,0.25,1,"HIGH MED MED",NA
52,2,99.5166338563488,52,1,1.49898054258643,"FISHED",0.328544955374673,0.25,1,"HIGH MED MED",NA
52,4,61.428211425514,51,0,0.501117025261082,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
52,5,168.608429135849,57,6,6.49993708265161,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
52,7,61.6968117848074,51,0,0.500528437563694,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
52,9,61.2069054137891,51,0,0.498042779229181,"FISHED",0.386836924683303,0.25,1,"HIGH MED MED",NA
52,11,156.650432797959,54,3,3.49806947567997,"FISHED",0.32476176507771,0.25,1,"HIGH MED MED",NA
53,1,97.0661421006322,53,1,1.499333453531,"FISHED",0.309226795518771,0.25,1,"HIGH MED MED",NA
53,6,150.237675331977,55,3,3.50039860318018,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
53,7,63.7650429511,52,0,0.499968036354586,"FISHED",0.328544955374673,0.25,1,"HIGH MED MED",NA
54,1,61.4144322676591,53,0,0.500049667241329,"FISHED",0.309226795518771,0.25,1,"HIGH MED MED",NA
54,3,60.1057650186068,53,0,0.500606441726795,"FISHED",0.309226795518771,0.25,1,"HIGH MED MED",NA
54,7,192.810628596565,59,6,6.50162025039532,"FISHED",0.323989518079907,0.25,1,"HIGH MED MED",NA
54,9,59.2141755126309,53,0,0.498721583240486,"FISHED",0.309226795518771,0.25,1,"HIGH MED MED",NA
55,1,63.4599271727332,54,0,0.500059981488482,"FISHED",0.32476176507771,0.25,1,"HIGH MED MED",NA
55,2,101.459288331448,55,1,1.50009400845836,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
55,4,153.626789044535,57,3,3.49805679313233,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
55,6,155.930563721224,58,4,4.49994744184508,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
55,8,137.936881885681,57,3,3.50041567730951,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
55,10,125.781538496427,56,2,2.49872932401993,"FISHED",0.324381288234144,0.25,1,"HIGH MED MED",NA
55,11,103.036095485083,55,1,1.50108451513443,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
56,1,62.9182465962644,55,0,0.499218377916037,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
56,2,95.5211571295076,56,1,1.49960145119093,"FISHED",0.324381288234144,0.25,1,"HIGH MED MED",NA
56,3,151.784525657951,58,3,3.50021853122784,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
56,6,65.2798108738112,55,0,0.499301567832442,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
56,7,60.7165941982699,55,0,0.498408136607026,"FISHED",0.356696026562713,0.25,1,"HIGH MED MED",NA
56,9,106.541424017489,56,1,1.49972948024547,"FISHED",0.324381288234144,0.25,1,"HIGH MED MED",NA
57,3,63.8009685658855,56,0,0.501795848078993,"FISHED",0.324381288234144,0.25,1,"HIGH MED MED",NA
57,4,97.0509978906364,57,1,1.49909397903807,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
57,5,124.874368004373,58,2,2.49951103588119,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
57,6,106.527126804253,57,1,1.49854080727851,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
57,9,128.510836676731,58,2,2.50029736875106,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
57,10,124.716372940848,58,2,2.50013221524312,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
58,1,60.9724602340878,57,0,0.499011568870364,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
58,5,92.9023786464424,58,1,1.49872998209759,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
58,6,62.2895982893098,57,0,0.50029220020886,"FISHED",0.381154812895693,0.25,1,"HIGH MED MED",NA
58,8,101.811674579013,58,1,1.50023140707481,"FISHED",0.342459195037372,0.25,1,"HIGH MED MED",NA
