"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,172.257834115759,8,8,8.50083773579587,"M",0,0.25,1,"HIGH MED MED",NA
1,2,168.051486637619,6,6,6.50117816823799,"M",0,0.25,1,"HIGH MED MED",NA
1,3,181.685781595879,10,10,10.4978648750832,"M",0,0.25,1,"HIGH MED MED",NA
1,4,143.88498648827,3,3,3.50121197529127,"M",0,0.25,1,"HIGH MED MED",NA
1,5,222.901273646562,11,11,11.4983753560979,"M",0,0.25,1,"HIGH MED MED",NA
1,6,135.995535039745,2,2,2.50008164881169,"M",0,0.25,1,"HIGH MED MED",NA
1,7,60.675546698185,0,0,0.499498127795853,"M",0,0.25,1,"HIGH MED MED",NA
1,8,199.729873793395,10,10,10.5001825401225,"M",0,0.25,1,"HIGH MED MED",NA
1,9,101.828527247009,1,1,1.49980828023427,"M",0,0.25,1,"HIGH MED MED",NA
1,10,199.133980610567,9,9,9.50132916211708,"M",0,0.25,1,"HIGH MED MED",NA
1,11,122.738363995788,2,2,2.4991845244057,"M",0,0.25,1,"HIGH MED MED",NA
2,1,129.815344967185,4,3,3.49991417019855,"M",0,0.25,1,"HIGH MED MED",NA
2,2,106.186349597574,2,1,1.49967140279433,"M",0,0.25,1,"HIGH MED MED",NA
2,3,147.941876122555,4,3,3.50000743984229,"M",0,0.25,1,"HIGH MED MED",NA
2,4,62.3027995327002,1,0,0.499427890796756,"M",0,0.25,1,"HIGH MED MED",NA
2,5,157.992189978716,5,4,4.49968211595847,"M",0,0.25,1,"HIGH MED MED",NA
2,6,169.87574148061,5,4,4.50092828081575,"M",0,0.25,1,"HIGH MED MED",NA
2,7,63.4527583578579,1,0,0.49986544913397,"M",0,0.25,1,"HIGH MED MED",NA
2,8,60.984812785883,1,0,0.49968739916576,"M",0,0.25,1,"HIGH MED MED",NA
2,9,177.572402726411,7,6,6.50037542991208,"M",0,0.25,1,"HIGH MED MED",NA
2,10,191.418081729472,12,11,11.4990116476228,"M",0,0.25,1,"HIGH MED MED",NA
2,11,190.048806436978,6,5,5.49858770211813,"M",0,0.25,1,"HIGH MED MED",NA
2,12,147.423570292429,4,3,3.49988236740205,"M",0,0.25,1,"HIGH MED MED",NA
2,13,126.200109014905,3,2,2.50007355659291,"M",0,0.25,1,"HIGH MED MED",NA
3,1,153.203424169268,5,3,3.50169636709803,"M",0,0.25,1,"HIGH MED MED",NA
3,2,160.138929831986,5,3,3.49970244941415,"M",0,0.25,1,"HIGH MED MED",NA
3,3,140.333349131234,5,3,3.50036907061795,"M",0,0.25,1,"HIGH MED MED",NA
3,4,232.718630996318,11,9,9.50000454289069,"M",0,0.25,1,"HIGH MED MED",NA
3,5,168.710373322036,6,4,4.50056652093159,"M",0,0.25,1,"HIGH MED MED",NA
3,6,197.517149263526,7,5,5.50039407554924,"M",0,0.25,1,"HIGH MED MED",NA
3,7,101.649788961319,3,1,1.50149430563126,"M",0,0.25,1,"HIGH MED MED",NA
3,8,104.955332404823,3,1,1.49955533635994,"M",0,0.25,1,"HIGH MED MED",NA
3,9,168.268220734325,6,4,4.4993564115165,"M",0,0.25,1,"HIGH MED MED",NA
3,10,133.658083517541,4,2,2.49974502121941,"M",0,0.25,1,"HIGH MED MED",NA
3,11,154.587072676919,6,4,4.50063843908402,"M",0,0.25,1,"HIGH MED MED",NA
3,12,195.093397254293,12,10,10.4994247015566,"M",0,0.25,1,"HIGH MED MED",NA
3,13,61.0970456072652,2,0,0.499546141761534,"M",0,0.25,1,"HIGH MED MED",NA
4,1,151.79376343415,6,3,3.49881734415156,"M",0,0.25,1,"HIGH MED MED",NA
4,2,102.828302483872,4,1,1.49719357417105,"M",0,0.25,1,"HIGH MED MED",NA
4,3,147.045072641555,6,3,3.49908453029967,"M",0,0.25,1,"HIGH MED MED",NA
4,4,132.129530980577,5,2,2.49977721519809,"M",0,0.25,1,"HIGH MED MED",NA
4,5,152.230322182453,6,3,3.50013223094605,"M",0,0.25,1,"HIGH MED MED",NA
4,6,61.5517059843695,3,0,0.498414720212672,"M",0,0.25,1,"HIGH MED MED",NA
4,7,96.9576483144481,4,1,1.50118035209717,"M",0,0.25,1,"HIGH MED MED",NA
4,8,172.567583386476,11,8,8.49924098393014,"M",0,0.25,1,"HIGH MED MED",NA
4,9,64.1921838714837,3,0,0.500695959848641,"M",0,0.25,1,"HIGH MED MED",NA
4,10,137.105433462808,6,3,3.50004350668421,"M",0,0.25,1,"HIGH MED MED",NA
4,11,61.4965751944714,3,0,0.498780122300027,"M",0,0.25,1,"HIGH MED MED",NA
4,12,180.0988342668,17,14,14.4997478748183,"M",0,0.25,1,"HIGH MED MED",NA
4,13,171.026736512172,7,4,4.49795980908629,"M",0,0.25,1,"HIGH MED MED",NA
5,1,92.4062995981304,5,1,1.49991587808068,"M",0,0.25,1,"HIGH MED MED",NA
5,2,176.272792138461,14,10,10.4997135059418,"M",0,0.25,1,"HIGH MED MED",NA
5,3,208.603601878644,12,8,8.50102940419688,"M",0,0.25,1,"HIGH MED MED",NA
5,4,117.256455678943,6,2,2.50118903471613,"M",0,0.25,1,"HIGH MED MED",NA
5,5,181.981942812095,9,5,5.49979942604451,"M",0,0.25,1,"HIGH MED MED",NA
5,6,65.8319860586338,4,0,0.49861976743677,"M",0,0.25,1,"HIGH MED MED",NA
5,7,127.34897528517,6,2,2.50062546793551,"M",0,0.25,1,"HIGH MED MED",NA
5,8,64.2920569078853,4,0,0.499727177222761,"M",0,0.25,1,"HIGH MED MED",NA
5,9,98.5925023234259,5,1,1.49923512532033,"M",0,0.25,1,"HIGH MED MED",NA
5,10,164.689756068352,7,3,3.49899408961,"M",0,0.25,1,"HIGH MED MED",NA
5,11,61.2740336124906,4,0,0.501820546444686,"M",0,0.25,1,"HIGH MED MED",NA
6,1,123.520765905196,7,2,2.50059214715832,"M",0,0.25,1,"HIGH MED MED",NA
6,2,96.9358388353596,6,1,1.4988932368761,"M",0,0.25,1,"HIGH MED MED",NA
6,3,62.8712326856337,5,0,0.497316815406545,"M",0,0.25,1,"HIGH MED MED",NA
6,4,97.9566473261306,6,1,1.49906247704769,"M",0,0.25,1,"HIGH MED MED",NA
6,5,102.91756099964,6,1,1.50029969611755,"M",0,0.25,1,"HIGH MED MED",NA
6,6,174.661302436423,10,5,5.49834599677907,"M",0,0.25,1,"HIGH MED MED",NA
6,7,172.136958542202,9,4,4.50000559806108,"M",0,0.25,1,"HIGH MED MED",NA
6,8,99.0868441710014,6,1,1.50127144762072,"M",0,0.25,1,"HIGH MED MED",NA
6,9,197.493534620824,15,10,10.4997641788816,"M",0,0.25,1,"HIGH MED MED",NA
6,10,213.568917824348,15,10,10.5010881100727,"M",0,0.25,1,"HIGH MED MED",NA
7,1,173.015453697069,12,6,6.49966995319712,"M",0,0.25,1,"HIGH MED MED",NA
