"Year","season","fleet","CPUE","sd"
0,1,2,0.000128072345004557,0.1
1,1,2,0.000205814053369107,0.1
2,1,2,0.000364333275213191,0.1
3,1,2,0.000389788366572171,0.1
4,1,2,0.000358900263966198,0.1
5,1,2,0.000436990222575319,0.1
6,1,2,0.000481533388356164,0.1
7,1,2,0.000462950581068628,0.1
8,1,2,0.000472119233983907,0.1
9,1,2,0.000506445893565467,0.1
10,1,2,0.000447078147531366,0.1
11,1,2,0.000480630791331153,0.1
12,1,2,0.000511391334444556,0.1
13,1,2,0.000514346915471438,0.1
14,1,2,0.000420776056108043,0.1
15,1,2,0.000437936137033399,0.1
16,1,2,0.000510759661239861,0.1
17,1,2,0.000395276929140759,0.1
18,1,2,0.00054942025824376,0.1
19,1,2,0.000437378634381017,0.1
20,1,2,0.000411322241842489,0.1
21,1,2,0.000484042460989446,0.1
22,1,2,0.000396623219352836,0.1
23,1,2,0.000389557468411945,0.1
24,1,2,0.000521958409465376,0.1
25,1,2,0.000475187725328726,0.1
26,1,2,0.00044503679174676,0.1
27,1,2,0.000399691171342811,0.1
28,1,2,0.000535238753365368,0.1
29,1,2,0.000513082074140151,0.1
30,1,2,0.000455350512913081,0.1
31,1,2,0.000478671591837883,0.1
32,1,2,0.000403512701858285,0.1
33,1,2,0.000482081003402125,0.1
34,1,2,0.000366396270521115,0.1
35,1,2,0.00049783697571985,0.1
36,1,2,0.000373090591243071,0.1
37,1,2,0.0004241481396118,0.1
38,1,2,0.000395156468518864,0.1
39,1,2,0.000389385594555247,0.1
40,1,2,0.000350497525925402,0.1
41,1,2,0.000467439285632355,0.1
42,1,2,0.000375534651975387,0.1
43,1,2,0.000469692709299839,0.1
44,1,2,0.000415818188143546,0.1
45,1,2,0.000505826519987785,0.1
46,1,2,0.000424414259447219,0.1
47,1,2,0.000576099037328491,0.1
48,1,2,0.000565156048057289,0.1
49,1,2,0.000464096531250463,0.1
50,1,2,0.000451248771376116,0.1
51,1,2,0.000322533816806158,0.1
52,1,2,0.00037098365035083,0.1
53,1,2,0.000314246621438504,0.1
54,1,2,0.000348595999250194,0.1
55,1,2,0.000436179943376997,0.1
56,1,2,0.000444967997696873,0.1
57,1,2,0.000348987698426914,0.1
58,1,2,0.000401852339651024,0.1
59,1,2,0.000324388902296473,0.1
60,1,2,0.000323782091814913,0.1
61,1,2,0.000337464635058919,0.1
62,1,2,0.000389103813957433,0.1
63,1,2,0.000330557810292416,0.1
64,1,2,0.000330728757465605,0.1
65,1,2,0.000314916877410842,0.1
66,1,2,0.000292883964921503,0.1
67,1,2,0.000370941445748539,0.1
68,1,2,0.000436538819614565,0.1
69,1,2,0.000228339411240237,0.1
70,1,2,0.000234500538438109,0.1
71,1,2,0.000265196266803301,0.1
72,1,2,0.000252306256912372,0.1
73,1,2,0.000170648120322615,0.1
74,1,2,0.000207252536388675,0.1
75,1,2,0.000254703963703631,0.1
76,1,2,0.000244522928267673,0.1
77,1,2,0.000271004891082162,0.1
78,1,2,0.000218674539163838,0.1
79,1,2,0.000238974292076984,0.1
80,1,2,0.000195553143211402,0.1
81,1,2,0.000187881135408099,0.1
82,1,2,0.000198194347407182,0.1
83,1,2,0.000210432077529369,0.1
84,1,2,0.000183440009550805,0.1
85,1,2,0.000143871358979606,0.1
86,1,2,0.000108028948171353,0.1
87,1,2,8.87347503518583e-05,0.1
88,1,2,3.00622182953546e-05,0.1
89,1,2,4.99410578192582e-05,0.1
90,1,2,8.74887288412901e-05,0.1
91,1,2,5.19159796383724e-05,0.1
92,1,2,8.31341633250209e-05,0.1
93,1,2,0.000107880003111348,0.1
94,1,2,0.000213216944733699,0.1
95,1,2,0.000232466938201455,0.1
96,1,2,0.000187875573104094,0.1
97,1,2,0.000159857321938078,0.1
98,1,2,0.000173560790215276,0.1
99,1,2,0.000195246013939915,0.1
