"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,65.8191598985664,0,0,0.498847874907874,0,0.25,0.05,"LOW HIGH HIGH",NA
1,1,1,105.916355626379,1,1,1.49986523944803,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,1,1,138.44156411302,2,2,2.49985746335991,0,0.25,0.5,"LOW HIGH HIGH",NA
1,1,1,164.82468562308,3,3,3.49968280794311,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,1,1,186.225596885506,4,4,4.5002023379369,0,0.25,0.95,"LOW HIGH HIGH",NA
1,1,1,203.585142558964,5,5,5.50113490358467,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
1,1,1,217.666497427154,6,6,6.49775450020498,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
1,1,1,229.088717723337,7,7,7.49906915267912,0,0.25,0.999364902956742,"LOW HIGH HIGH",NA
1,2,2,61.2836690981019,0,0,0.498380371670635,0,0.25,0.05,"LOW HIGH HIGH",NA
1,2,2,95.1923417807524,1,1,1.50028636950348,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,3,3,59.3572982143005,0,0,0.500700246752245,0,0.25,0.05,"LOW HIGH HIGH",NA
1,3,3,90.790912468282,1,1,1.50023466397703,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,3,3,113.785318612813,2,2,2.50005133799289,0,0.25,0.5,"LOW HIGH HIGH",NA
1,3,3,130.606251441836,3,3,3.49980357951901,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,3,3,142.911147661381,4,4,4.49915405511058,0,0.25,0.95,"LOW HIGH HIGH",NA
1,3,3,151.912460044753,5,5,5.5010667779183,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
1,3,3,158.497125463902,6,6,6.50038571859411,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
1,4,4,62.6792558963723,0,0,0.502276230364555,0,0.25,0.05,"LOW HIGH HIGH",NA
1,4,4,98.4381552017806,1,1,1.49985259978722,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,4,4,126.060575440258,2,2,2.49981286071444,0,0.25,0.5,"LOW HIGH HIGH",NA
1,5,5,63.995816235279,0,0,0.499490934962983,0,0.25,0.05,"LOW HIGH HIGH",NA
1,5,5,101.544176863919,1,1,1.50085573913372,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,5,5,131.158125365969,2,2,2.49955537416135,0,0.25,0.5,"LOW HIGH HIGH",NA
1,5,5,154.514296746008,3,3,3.50041671192052,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,5,5,172.935033227535,4,4,4.50095274042806,0,0.25,0.95,"LOW HIGH HIGH",NA
1,5,5,187.463250502556,5,5,5.49859967891137,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
1,5,5,198.921483858313,6,6,6.5012882020278,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
1,6,6,63.1601056830447,0,0,0.500105232332337,0,0.25,0.05,"LOW HIGH HIGH",NA
1,6,6,99.5676208448972,1,1,1.50150616863029,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,6,6,127.906824414797,2,2,2.50011972805164,0,0.25,0.5,"LOW HIGH HIGH",NA
1,6,6,149.965744267083,3,3,3.49841229609187,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,6,6,167.136161348473,4,4,4.50048811026648,0,0.25,0.95,"LOW HIGH HIGH",NA
1,6,6,180.501422418513,5,5,5.49908839465573,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
1,6,6,190.904792506938,6,6,6.50082536037923,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
1,6,6,199.002659703813,7,7,7.50091990058508,0,0.25,0.999364902956742,"LOW HIGH HIGH",NA
1,7,7,63.6055410442039,0,0,0.500797738660009,0,0.25,0.05,"LOW HIGH HIGH",NA
1,7,7,100.618986630749,1,1,1.49896433400788,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,8,8,63.3303282486219,0,0,0.499925931194508,0,0.25,0.05,"LOW HIGH HIGH",NA
1,8,8,99.9688216131909,1,1,1.49990944001554,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,8,8,128.564677474502,2,2,2.50040869202544,0,0.25,0.5,"LOW HIGH HIGH",NA
1,9,9,64.4717613728524,0,0,0.499064467120523,0,0.25,0.05,"LOW HIGH HIGH",NA
1,9,9,102.677538001674,1,1,1.50000742654339,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,9,9,133.034081614656,2,2,2.50060922199993,0,0.25,0.5,"LOW HIGH HIGH",NA
1,10,10,61.3917401352656,0,0,0.499572302084215,0,0.25,0.05,"LOW HIGH HIGH",NA
1,10,10,95.4419753106616,1,1,1.50055177823965,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,10,10,121.204226663935,2,2,2.49943387834015,0,0.25,0.5,"LOW HIGH HIGH",NA
1,10,10,140.695827569788,3,3,3.50045500926405,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,10,10,155.443083182787,4,4,4.50141808685135,0,0.25,0.95,"LOW HIGH HIGH",NA
1,10,10,166.600788964143,5,5,5.50011270143629,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
1,10,10,175.042657849468,6,6,6.49993530227068,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
1,10,10,181.429737028066,7,7,7.50036049613123,0,0.25,0.999364902956742,"LOW HIGH HIGH",NA
1,11,11,62.3483550421095,0,0,0.500093698873612,0,0.25,0.05,"LOW HIGH HIGH",NA
1,11,11,97.6642142039057,1,1,1.49918426964412,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,11,11,124.800382863521,2,2,2.49927966588391,0,0.25,0.5,"LOW HIGH HIGH",NA
1,11,11,145.651401839146,3,3,3.49955067298154,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,12,12,63.4012257111481,0,0,0.49977678602384,0,0.25,0.05,"LOW HIGH HIGH",NA
1,12,12,100.13613185416,1,1,1.50075201065871,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,12,12,128.839333525844,2,2,2.49823636273925,0,0.25,0.5,"LOW HIGH HIGH",NA
1,13,13,63.310148795393,0,0,0.500455691794054,0,0.25,0.05,"LOW HIGH HIGH",NA
1,13,13,99.9212229654744,1,1,1.50070815157061,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
1,13,13,128.486573601636,2,2,2.5001636728557,0,0.25,0.5,"LOW HIGH HIGH",NA
1,13,13,150.774345142458,3,3,3.50053978446047,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
1,14,14,62.745271367546,0,0,0.500333029835025,0,0.25,0.05,"LOW HIGH HIGH",NA
2,15,1,60.597048756459,1,0,0.498733551611569,0,0.25,0.05,"LOW HIGH HIGH",NA
2,16,2,63.9053519469123,1,0,0.500583302294207,0,0.25,0.05,"LOW HIGH HIGH",NA
2,16,2,101.329387070643,2,1,1.50118282515266,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
2,16,2,130.803557938203,3,2,2.50075750685649,0,0.25,0.5,"LOW HIGH HIGH",NA
2,16,2,154.01662797349,4,3,3.49952265631645,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
2,16,2,172.298622160344,5,4,4.50071710313474,0,0.25,0.95,"LOW HIGH HIGH",NA
2,16,2,186.697032665294,6,5,5.50026778862669,0,0.25,0.98806954215117,"LOW HIGH HIGH",NA
2,16,2,198.036836351376,7,6,6.49932706275061,0,0.25,0.997237569060774,"LOW HIGH HIGH",NA
2,16,2,206.967762969609,8,7,7.50085775867009,0,0.25,0.999364902956742,"LOW HIGH HIGH",NA
2,16,2,214.001522324556,9,8,8.49984114545824,0,0.25,0.999854227405248,"LOW HIGH HIGH",NA
2,16,2,219.541123395997,10,9,9.49939117446972,0,0.25,0.999966553716173,"LOW HIGH HIGH",NA
2,16,2,223.903965296341,11,10,10.5000492084513,0,0.25,0.999992326698485,"LOW HIGH HIGH",NA
2,16,2,227.340023092186,12,11,11.4993559866092,0,0.25,0.999998239613493,"LOW HIGH HIGH",NA
2,16,2,230.046170471824,13,12,12.5005651109216,0,0.25,0.99999959613909,"LOW HIGH HIGH",NA
2,16,2,232.177459895761,14,13,13.5017841848374,0,0.25,0.999999907347924,"LOW HIGH HIGH",NA
2,16,2,233.856006542098,15,14,14.5012205608243,0,0.25,0.999999978744154,"LOW HIGH HIGH",NA
2,17,3,62.4455714707197,1,0,0.499588382718655,0,0.25,0.05,"LOW HIGH HIGH",NA
2,17,3,97.8913128468826,2,1,1.5004013225583,0,0.25,0.186605496863371,"LOW HIGH HIGH",NA
2,17,3,125.169748599958,3,2,2.50024649489148,0,0.25,0.5,"LOW HIGH HIGH",NA
2,17,3,146.162765764923,4,3,3.50055834414339,0,0.25,0.813394503136629,"LOW HIGH HIGH",NA
2,17,3,162.318632387107,5,4,4.50153279563036,0,0.25,0.95,"LOW HIGH HIGH",NA
