"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,64.3000699066798,0,0,0.498518874520936,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,2,61.8484029767074,0,0,0.499654976251477,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,3,60.7683889065254,0,0,0.501615876835816,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,4,117.552283045568,2,2,2.49966288353963,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,5,62.8438469013442,0,0,0.49777877547951,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,6,101.752760758344,1,1,1.50172689971513,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,7,99.0139410640685,1,1,1.49914636681676,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,8,98.5952936884551,1,1,1.4996376998212,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,9,216.031562712461,13,13,13.4991625225685,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,10,142.276764609998,3,3,3.50029389911883,"M",0,0.25,1,"LOW HIGH HIGH",NA
1,11,101.274164772293,1,1,1.49988577403826,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,1,118.521024659507,3,2,2.49984677289782,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,2,122.72037655595,3,2,2.50106574889025,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,3,63.3334566798732,1,0,0.501741641508091,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,4,155.481526614966,4,3,3.49889272305693,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,5,102.169893111818,2,1,1.50065780743987,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,6,175.614752037868,6,5,5.49902033795565,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,7,126.779111771766,3,2,2.49957909283596,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,8,174.542946509941,5,4,4.50004839415313,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,9,64.9509749669574,1,0,0.499947289435335,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,10,131.740764379564,3,2,2.5010117839649,"M",0,0.25,1,"LOW HIGH HIGH",NA
2,11,63.5618820773593,1,0,0.499423280355288,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,1,100.381304752042,3,1,1.50163839300172,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,2,61.314741890912,2,0,0.499561370939387,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,3,128.310486279651,4,2,2.50117497307715,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,4,181.986077957693,7,5,5.50119485003514,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,5,64.48012146382,2,0,0.4999433195861,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,6,123.012399407125,4,2,2.50048813244619,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,7,212.61488130125,13,11,11.4991866673657,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,8,163.533285446663,7,5,5.4986611972285,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,9,101.1834962861,3,1,1.50318497315118,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,10,213.052899239382,9,7,7.5006705531563,"M",0,0.25,1,"LOW HIGH HIGH",NA
3,11,61.4688952728647,2,0,0.50009373402132,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,1,164.220610956449,8,5,5.49944346018608,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,2,92.0054304755217,4,1,1.50027973133689,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,3,150.266384788018,6,3,3.49950537220955,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,4,217.31712668685,15,12,12.5002190888273,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,5,232.508857228634,17,14,14.49988754753,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,6,96.0356385795499,4,1,1.50144361811966,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,7,93.4487758472524,4,1,1.50074261991182,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,8,62.3787240991994,3,0,0.498531179136902,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,9,133.398329046498,5,2,2.49849844726914,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,10,169.749909998974,9,6,6.49970128019887,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,11,64.2502752317,3,0,0.499768487446241,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,12,104.686164331734,4,1,1.50048253127418,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,13,98.4572962811807,4,1,1.49907801988235,"M",0,0.25,1,"LOW HIGH HIGH",NA
4,14,61.4694524186442,3,0,0.498690000644748,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,1,93.9753815150552,5,1,1.49952884062205,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,2,242.434286772105,16,12,12.4996634674296,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,3,161.915839009024,10,6,6.50107892265876,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,4,150.388525362336,7,3,3.49897426659531,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,5,124.74192960382,6,2,2.50101681000293,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,6,62.1320489703753,4,0,0.497967888221817,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,7,141.524728555385,8,4,4.50108607865162,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,8,63.9033962367661,4,0,0.499909879118614,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,9,135.456515375309,7,3,3.50026114152231,"M",0,0.25,1,"LOW HIGH HIGH",NA
5,10,93.7509378955748,5,1,1.50182013300066,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,1,187.040239045772,14,9,9.4992959641685,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,2,151.728176132769,8,3,3.50009034464817,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,3,135.809577660782,8,3,3.49927511137561,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,4,214.73785213402,14,9,9.50197154536623,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,5,98.5100546485036,6,1,1.49989138192149,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,6,201.411904572924,11,6,6.50027659101051,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,7,191.305640042358,10,5,5.50105743939873,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,8,161.811482954021,9,4,4.50098601234729,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,9,101.298754557544,6,1,1.4993362171398,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,10,160.68959273067,8,3,3.498732916338,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,11,182.003999085855,17,12,12.4990706006884,"M",0,0.25,1,"LOW HIGH HIGH",NA
6,12,122.089298816907,7,2,2.50043457043455,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,1,165.212191910636,13,7,7.50050920211973,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,2,166.528419594348,11,5,5.50111357650917,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,3,93.9695257909067,7,1,1.50036308392203,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,4,95.2657328036154,7,1,1.49962791248493,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,5,94.6121469782218,7,1,1.50014992524019,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,6,129.591659056215,8,2,2.50005548078178,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,7,207.068767926655,18,12,12.4991892405761,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,8,61.2883140678764,6,0,0.499847968581513,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,9,157.07783765208,10,4,4.5029542876929,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,10,128.12766732703,8,2,2.4982907126033,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,11,115.881300879966,8,2,2.4994147634609,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,12,88.8283719258154,7,1,1.49923852639938,"M",0,0.25,1,"LOW HIGH HIGH",NA
7,13,104.21509595115,7,1,1.49947335069156,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,1,62.0098796989925,7,0,0.499303015044449,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,2,91.7522247677129,8,1,1.50025173482824,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,3,95.4303300209143,8,1,1.49955211362127,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,4,61.9786745440172,7,0,0.499914658885872,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,5,60.9972832366151,7,0,0.498661397587012,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,6,125.751717222731,9,2,2.50054037910796,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,7,62.8490267213913,7,0,0.500968177810323,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,8,64.5270434912284,7,0,0.500566318224904,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,9,101.926359863407,8,1,1.50024656122441,"M",0,0.25,1,"LOW HIGH HIGH",NA
8,10,187.105730153778,11,4,4.50062319252819,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,1,173.678729265134,13,5,5.50012083732551,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,2,184.617866406341,15,7,7.49846799918815,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,3,198.499090770749,16,8,8.49674109523217,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,4,192.599766804146,15,7,7.49984701393783,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,5,101.628592347348,9,1,1.49918461184657,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,6,162.129559561702,12,4,4.50053372854402,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,7,172.814036677827,12,4,4.49926936794698,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,8,184.023469937894,13,5,5.50077195730695,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,9,96.3876899407375,9,1,1.49873288760773,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,10,64.1340784573143,8,0,0.498223118748951,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,11,159.227780154647,13,5,5.49814556002426,"M",0,0.25,1,"LOW HIGH HIGH",NA
9,12,96.508855357926,9,1,1.49944751628799,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,1,99.2675109275448,10,1,1.49989564308729,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,2,243.360621072749,18,9,9.50173621344138,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,3,126.650780346599,11,2,2.50136311156555,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,4,192.407940799223,14,5,5.50075715298653,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,5,144.847366882427,12,3,3.50060247230218,"M",0,0.25,1,"LOW HIGH HIGH",NA
10,6,181.835620489421,16,7,7.50012525143848,"M",0,0.25,1,"LOW HIGH HIGH",NA
