"Year","season","fleet","CPUE","sd"
0,1,2,9.97353259194531e-05,0.1
1,1,2,0.000227725775108506,0.1
2,1,2,0.000303138376028599,0.1
3,1,2,0.000302408487877577,0.1
4,1,2,0.000414645272545155,0.1
5,1,2,0.000445980578831593,0.1
6,1,2,0.000495990194267595,0.1
7,1,2,0.000514313037979165,0.1
8,1,2,0.000516820990640452,0.1
9,1,2,0.000670290771533936,0.1
10,1,2,0.000599549945086922,0.1
11,1,2,0.000588622949408706,0.1
12,1,2,0.000619753537217881,0.1
13,1,2,0.000634882781363664,0.1
14,1,2,0.000645638965955934,0.1
15,1,2,0.000533265182174197,0.1
16,1,2,0.000431440329578992,0.1
17,1,2,0.000465173880078434,0.1
18,1,2,0.000505476305837338,0.1
19,1,2,0.000478788831047817,0.1
20,1,2,0.00048973052304138,0.1
21,1,2,0.00045226061536093,0.1
22,1,2,0.000392061442675577,0.1
23,1,2,0.000582982402444224,0.1
24,1,2,0.000324957898546131,0.1
25,1,2,0.000471621993041914,0.1
26,1,2,0.000401231916313789,0.1
27,1,2,0.000404126983810166,0.1
28,1,2,0.000473223262349989,0.1
29,1,2,0.000478844765744453,0.1
30,1,2,0.000494590115422219,0.1
31,1,2,0.000478409669960395,0.1
32,1,2,0.000459332493345739,0.1
33,1,2,0.000422390211936147,0.1
34,1,2,0.000473121992982212,0.1
35,1,2,0.000637472878933902,0.1
36,1,2,0.000573252683436522,0.1
37,1,2,0.000422829743878034,0.1
38,1,2,0.000436189933545375,0.1
39,1,2,0.000548466836680325,0.1
40,1,2,0.000523468217434403,0.1
41,1,2,0.000528631300042742,0.1
42,1,2,0.000468913379535813,0.1
43,1,2,0.000557377786616446,0.1
44,1,2,0.000446514586235785,0.1
45,1,2,0.000456580694607171,0.1
46,1,2,0.00050111638221791,0.1
47,1,2,0.000513292188405164,0.1
48,1,2,0.000474061633684342,0.1
49,1,2,0.000507418341789228,0.1
50,1,2,0.000566551136251342,0.1
51,1,2,0.000319665807978592,0.1
52,1,2,0.00045083826448226,0.1
53,1,2,0.000397375155081072,0.1
54,1,2,0.000369978829878915,0.1
55,1,2,0.000407372036612975,0.1
56,1,2,0.000332618132655046,0.1
57,1,2,0.000321031958387905,0.1
58,1,2,0.00029572215830818,0.1
59,1,2,0.000308100642823442,0.1
60,1,2,0.000284962395898159,0.1
61,1,2,0.000309871166139383,0.1
62,1,2,0.000346435751235549,0.1
63,1,2,0.00030147092799255,0.1
64,1,2,0.000329814906803637,0.1
65,1,2,0.000372176468301966,0.1
66,1,2,0.000323839880144236,0.1
67,1,2,0.000309543981628171,0.1
68,1,2,0.000273514392620113,0.1
69,1,2,0.000307313761597239,0.1
70,1,2,0.000282968287977942,0.1
71,1,2,0.000232438500896078,0.1
72,1,2,0.000335724694638107,0.1
73,1,2,0.000251839312073564,0.1
74,1,2,0.000275437286408981,0.1
75,1,2,0.000268059690095291,0.1
76,1,2,0.000303983080940128,0.1
77,1,2,0.000273943098138172,0.1
78,1,2,0.000221115199981851,0.1
79,1,2,0.000189819392291818,0.1
80,1,2,0.000240978485528491,0.1
81,1,2,0.000229869048951474,0.1
82,1,2,0.000226927356787013,0.1
83,1,2,0.00028553859423143,0.1
84,1,2,0.000296225505750803,0.1
85,1,2,0.000345606401844509,0.1
86,1,2,0.000311905723350619,0.1
87,1,2,0.000402919091224035,0.1
88,1,2,0.000355534209398986,0.1
89,1,2,0.000404717753844898,0.1
90,1,2,0.000406034467312782,0.1
91,1,2,0.00033209077137744,0.1
92,1,2,0.000272263414090579,0.1
93,1,2,0.000349548565295843,0.1
94,1,2,0.000297147842887269,0.1
95,1,2,0.000400587789527692,0.1
96,1,2,0.000319549295220695,0.1
97,1,2,0.000289899291481574,0.1
98,1,2,0.00022737084151267,0.1
99,1,2,0.000259858134192572,0.1
