"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
45,12,179.752623131495,50,6,6.5003302179614,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
46,5,209.301556607384,54,9,9.50072627666237,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
47,3,158.078233343445,50,4,4.49984888415027,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
47,7,190.998671270692,51,5,5.50081454690504,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
47,10,184.021738145581,53,7,7.50024940859771,"FISHED",0.17762377965264,0.25,1,"LOW HIGH LOW",NA
48,4,165.749126595284,51,4,4.49915574591864,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
48,5,183.662516309825,52,5,5.50071518991752,"FISHED",0.164389253314584,0.25,1,"LOW HIGH LOW",NA
48,11,162.328737532537,50,3,3.50160919292593,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
50,1,122.244502062261,51,2,2.49947839924812,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
50,4,96.6580390060215,50,1,1.49996756064799,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
50,10,183.31313779507,54,5,5.50059821249991,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
51,2,185.070076737265,55,5,5.49857029400209,"FISHED",0.151060852291994,0.25,1,"LOW HIGH LOW",NA
51,6,59.957191363438,50,0,0.499566350455068,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
51,8,94.2284577378842,51,1,1.49835274560346,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
51,9,63.1350609576142,50,0,0.498967673762981,"FISHED",0.142536538955756,0.25,1,"LOW HIGH LOW",NA
51,10,156.045673546167,53,3,3.50035528136648,"FISHED",0.17762377965264,0.25,1,"LOW HIGH LOW",NA
52,4,62.2167122808166,51,0,0.500437615941255,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
52,9,61.2873762660605,51,0,0.498517669859411,"FISHED",0.194814959308133,0.25,1,"LOW HIGH LOW",NA
52,10,208.927025263632,61,10,10.5005199258611,"FISHED",0.125921257259324,0.25,1,"LOW HIGH LOW",NA
53,3,61.6781962475345,52,0,0.499640362405123,"FISHED",0.164389253314584,0.25,1,"LOW HIGH LOW",NA
53,5,135.107572016838,54,2,2.50069638438438,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
53,6,62.0548316145623,52,0,0.50059711545872,"FISHED",0.164389253314584,0.25,1,"LOW HIGH LOW",NA
53,7,167.626211107046,56,4,4.5006108726388,"FISHED",0.101449560653418,0.25,1,"LOW HIGH LOW",NA
53,9,90.8365978931212,53,1,1.49848525443976,"FISHED",0.17762377965264,0.25,1,"LOW HIGH LOW",NA
54,2,127.966087094417,55,2,2.49922308905362,"FISHED",0.151060852291994,0.25,1,"LOW HIGH LOW",NA
54,4,204.306013549933,60,7,7.49853689952431,"FISHED",0.191824947181158,0.25,1,"LOW HIGH LOW",NA
54,5,97.0346311258845,54,1,1.50224987665361,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
54,8,106.564471181749,54,1,1.50017224729112,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
55,2,200.296850395815,61,7,7.49944379255377,"FISHED",0.125921257259324,0.25,1,"LOW HIGH LOW",NA
55,4,61.7646317749169,54,0,0.500609742677555,"FISHED",0.143105449061841,0.25,1,"LOW HIGH LOW",NA
55,14,134.504099339857,56,2,2.49935373768134,"FISHED",0.101449560653418,0.25,1,"LOW HIGH LOW",NA
56,2,63.4482774671689,55,0,0.49878426972288,"FISHED",0.151060852291994,0.25,1,"LOW HIGH LOW",NA
56,8,166.877513408304,60,5,5.49927728866469,"FISHED",0.191824947181158,0.25,1,"LOW HIGH LOW",NA
