"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
7,4,4.49982905879896,17.2109691714511,"LOW HIGH MED",0,NA
73,0,0.500054144990213,6.3044639245679,"LOW HIGH MED",0.351012530643493,NA
75,2,2.50069136688566,12.8535875489697,"LOW HIGH MED",0.344461553520523,NA
55,0,0.50105868379915,6.18293393239772,"LOW HIGH MED",0.12375976133626,NA
77,1,1.50059388741671,9.68797550147,"LOW HIGH MED",0.307589758862741,NA
40,0,0.500815808436136,6.09518577247935,"LOW HIGH MED",0,NA
17,0,0.499206711216271,6.22046184241085,"LOW HIGH MED",0,NA
13,3,3.50042360002702,13.7999375524062,"LOW HIGH MED",0,NA
10,0,0.500170930673373,6.33616837721658,"LOW HIGH MED",0,NA
66,1,1.50038438109913,9.67573419977312,"LOW HIGH MED",0.14507669666782,NA
59,0,0.499628050016339,6.51280482908764,"LOW HIGH MED",0.106154349958524,NA
69,0,0.50043054297164,6.21272613350774,"LOW HIGH MED",0.377049345127307,NA
22,2,2.49974928607418,11.8196197015999,"LOW HIGH MED",0,NA
37,2,2.49822431293568,11.6118512395431,"LOW HIGH MED",0,NA
41,0,0.499799909688323,5.92553266550862,"LOW HIGH MED",0,NA
1,0,0.499471930056212,6.02357722989127,"LOW HIGH MED",0,NA
84,0,0.500002204563234,6.36279702760653,"LOW HIGH MED",0.235099155711941,NA
75,2,2.50033971779564,12.6828808132801,"LOW HIGH MED",0.350160352140665,NA
9,0,0.499738530307286,6.32421873975772,"LOW HIGH MED",0,NA
49,5,5.50069330587146,16.3481280072834,"LOW HIGH MED",0,NA
17,0,0.499392123482082,6.2560042170594,"LOW HIGH MED",0,NA
14,0,0.499910515338147,6.3465945076923,"LOW HIGH MED",0,NA
83,0,0.500860187706408,6.18924314627605,"LOW HIGH MED",0.395687700551935,NA
6,4,4.49945684915813,16.2471833829199,"LOW HIGH MED",0,NA
22,1,1.50045551760954,9.67938854884367,"LOW HIGH MED",0,NA
9,6,6.4997921143706,17.6186668101175,"LOW HIGH MED",0,NA
51,3,3.50183125298872,15.4713910901567,"LOW HIGH MED",0.180385327525437,NA
52,4,4.50151225425354,14.8693500471626,"LOW HIGH MED",0.118218446802348,NA
26,2,2.50167733469323,13.3228567455869,"LOW HIGH MED",0,NA
15,4,4.49870729995428,16.4836880043607,"LOW HIGH MED",0,NA
40,2,2.50107019613656,13.2994541879686,"LOW HIGH MED",0,NA
45,4,4.50116671217013,16.1314274294085,"LOW HIGH MED",0,NA
47,1,1.50174136039382,10.1521874297713,"LOW HIGH MED",0,NA
12,5,5.50036497951431,18.0784891195811,"LOW HIGH MED",0,NA
36,4,4.49866355062136,18.2864154108222,"LOW HIGH MED",0,NA
73,0,0.499791224240276,6.36700974698676,"LOW HIGH MED",0.325996206281707,NA
40,2,2.50010666359943,12.5075881759761,"LOW HIGH MED",0,NA
78,0,0.498823827871734,6.13803828675117,"LOW HIGH MED",0.364001995371655,NA
33,1,1.49826605688955,9.63756506957251,"LOW HIGH MED",0,NA
66,0,0.498799668805061,6.32048062397111,"LOW HIGH MED",0.121645344700664,NA
2,2,2.50084076275247,12.8249638991223,"LOW HIGH MED",0,NA
65,2,2.49786544380836,12.6941373585008,"LOW HIGH MED",0.131906371517107,NA
57,0,0.500137174597003,6.05376060788892,"LOW HIGH MED",0.196850754297338,NA
84,1,1.49946233968756,10.3810209234879,"LOW HIGH MED",0.200357869802974,NA
31,4,4.49894722737733,17.0273649597887,"LOW HIGH MED",0,NA
10,3,3.500332108264,13.9396952099126,"LOW HIGH MED",0,NA
52,1,1.50143471346839,9.56387423440018,"LOW HIGH MED",0.15406021005474,NA
35,1,1.4991234910845,10.1899131577724,"LOW HIGH MED",0,NA
84,0,0.500725385480578,6.09540170537086,"LOW HIGH MED",0.212601325428113,NA
2,0,0.499364444292577,6.26501079008265,"LOW HIGH MED",0,NA
50,7,7.49912551543633,21.0724318857684,"LOW HIGH MED",0.113490433525294,NA
49,8,8.4999127614939,21.4006192415066,"LOW HIGH MED",0,NA
7,2,2.50045672971348,12.9216867042786,"LOW HIGH MED",0,NA
42,0,0.50035361056398,6.37079767232183,"LOW HIGH MED",0,NA
40,0,0.499715084067631,6.1870219979319,"LOW HIGH MED",0,NA
7,1,1.49848291870345,9.63256764225756,"LOW HIGH MED",0,NA
88,0,0.498779546330936,6.54859778230848,"LOW HIGH MED",0.210220224689692,NA
2,0,0.500189467793747,6.22934749269644,"LOW HIGH MED",0,NA
9,9,9.49942671061193,24.4413116670165,"LOW HIGH MED",0,NA
97,0,0.499018637180934,6.31542423285034,"LOW HIGH MED",0.234379089134745,NA
42,1,1.5005090927298,10.3550294792691,"LOW HIGH MED",0,NA
33,9,9.5009497113717,18.6447131813475,"LOW HIGH MED",0,NA
66,1,1.50066625052355,10.7676698294101,"LOW HIGH MED",0.193602236709557,NA
98,5,5.50032988216162,18.0968811226666,"LOW HIGH MED",0.280082525638863,NA
32,0,0.499980025427569,6.33836174294284,"LOW HIGH MED",0,NA
9,2,2.50169823438096,12.9414819002201,"LOW HIGH MED",0,NA
45,2,2.49983829019362,12.7389772360808,"LOW HIGH MED",0,NA
19,5,5.50033198537485,17.0583034730719,"LOW HIGH MED",0,NA
77,1,1.49970085817562,10.1025957540826,"LOW HIGH MED",0.39546149012167,NA
14,2,2.50015070072563,12.6650207642041,"LOW HIGH MED",0,NA
89,1,1.50125841483299,9.47996437269325,"LOW HIGH MED",0.278260985133238,NA
56,1,1.50064040385249,10.6219772423724,"LOW HIGH MED",0.171830055210739,NA
77,0,0.500370729967399,6.09130086204607,"LOW HIGH MED",0.388476464222185,NA
8,6,6.50098511853351,18.1796604896618,"LOW HIGH MED",0,NA
53,1,1.50036240695866,10.1995607647413,"LOW HIGH MED",0.142253165133297,NA
20,5,5.50069699739643,19.0463880588574,"LOW HIGH MED",0,NA
46,1,1.50283511209595,9.90916879045314,"LOW HIGH MED",0,NA
48,8,8.49948549891425,18.9106777926625,"LOW HIGH MED",0,NA
37,1,1.49789799080164,9.31631362802796,"LOW HIGH MED",0,NA
73,1,1.50040448706264,9.94604694782028,"LOW HIGH MED",0.305597063736059,NA
66,1,1.50141938355566,9.81184221865765,"LOW HIGH MED",0.14507669666782,NA
30,0,0.500533900456464,6.29240564888537,"LOW HIGH MED",0,NA
9,1,1.50089918650817,10.4264541244548,"LOW HIGH MED",0,NA
44,1,1.49878161394966,10.0062631814995,"LOW HIGH MED",0,NA
65,0,0.500250263870477,6.23286033923492,"LOW HIGH MED",0.131906371517107,NA
10,3,3.50222832581179,15.5706753488053,"LOW HIGH MED",0,NA
13,1,1.50058598326856,9.87256559381139,"LOW HIGH MED",0,NA
63,2,2.50041129286439,13.191566155169,"LOW HIGH MED",0.170831947610714,NA
86,0,0.499586286841188,6.05315636235348,"LOW HIGH MED",0.284351357887499,NA
48,1,1.50041364772716,9.8500419063009,"LOW HIGH MED",0,NA
61,1,1.49926774634218,9.67063192850565,"LOW HIGH MED",0.118226467096247,NA
34,4,4.50013450006606,17.5400956206256,"LOW HIGH MED",0,NA
55,1,1.49935126969456,9.86663010836897,"LOW HIGH MED",0.113598547619767,NA
48,3,3.50034185671714,13.5946536152162,"LOW HIGH MED",0,NA
10,2,2.49951231842743,13.5442836588275,"LOW HIGH MED",0,NA
25,0,0.500390617137367,6.09896438399665,"LOW HIGH MED",0,NA
26,3,3.50117358626262,15.9121423384836,"LOW HIGH MED",0,NA
93,3,3.49962708396637,14.518729305492,"LOW HIGH MED",0.26769325141795,NA
20,2,2.50049980640217,13.523093045235,"LOW HIGH MED",0,NA
39,4,4.50078481157145,15.7774078641239,"LOW HIGH MED",0,NA
68,3,3.5019733254414,14.7496784923306,"LOW HIGH MED",0.365003821346909,NA
49,1,1.50101950279318,10.0854418117065,"LOW HIGH MED",0,NA
21,1,1.50022291366594,9.84895761774665,"LOW HIGH MED",0,NA
65,0,0.500842149900953,6.23787233119623,"LOW HIGH MED",0.143977138283663,NA
6,0,0.500364167982348,6.04110529718408,"LOW HIGH MED",0,NA
9,2,2.50113932313944,12.695362432523,"LOW HIGH MED",0,NA
99,1,1.50118248914785,9.86411956001959,"LOW HIGH MED",0.229873019317165,NA
10,8,8.49835937200131,19.7601650598351,"LOW HIGH MED",0,NA
33,9,9.49974880050795,20.1184638829601,"LOW HIGH MED",0,NA
41,1,1.50004374379541,10.7522182624706,"LOW HIGH MED",0,NA
71,7,7.49880958190083,18.4970849775725,"LOW HIGH MED",0.370509487204254,NA
27,2,2.49979878030011,12.5183999303906,"LOW HIGH MED",0,NA
41,4,4.4985851711171,17.2609424309026,"LOW HIGH MED",0,NA
15,2,2.50203948997542,14.037454619549,"LOW HIGH MED",0,NA
51,1,1.50074662744664,9.84318215502944,"LOW HIGH MED",0.137257366185077,NA
30,2,2.49931877265928,12.2396065310228,"LOW HIGH MED",0,NA
40,0,0.499601470404562,6.34238090022993,"LOW HIGH MED",0,NA
24,0,0.498485778567008,6.45500589410707,"LOW HIGH MED",0,NA
53,3,3.49920214197964,14.9450957655173,"LOW HIGH MED",0.125860273651779,NA
48,0,0.498071516278239,6.19955715712506,"LOW HIGH MED",0,NA
15,1,1.50049141282409,10.52638064858,"LOW HIGH MED",0,NA
10,3,3.5005445779703,15.1907115466888,"LOW HIGH MED",0,NA
6,4,4.5002914489669,16.8238402491891,"LOW HIGH MED",0,NA
5,1,1.50001049705885,9.36676069941219,"LOW HIGH MED",0,NA
31,1,1.49908115270822,9.69227946433173,"LOW HIGH MED",0,NA
8,1,1.50003811928451,9.26933315713185,"LOW HIGH MED",0,NA
31,1,1.50151957941301,9.76800064593531,"LOW HIGH MED",0,NA
32,4,4.50118376665695,17.9608981740758,"LOW HIGH MED",0,NA
39,9,9.49786351469622,18.4510258523047,"LOW HIGH MED",0,NA
8,1,1.50206561198505,10.3008427437877,"LOW HIGH MED",0,NA
8,8,8.50021335992506,23.7013899957182,"LOW HIGH MED",0,NA
17,9,9.49821152138244,17.9179736175785,"LOW HIGH MED",0,NA
26,1,1.5012862750863,9.67171428933588,"LOW HIGH MED",0,NA
36,11,11.49918844931,20.9672114888506,"LOW HIGH MED",0,NA
11,1,1.49983852238715,9.61518194032694,"LOW HIGH MED",0,NA
70,0,0.499992099310137,6.35397991351784,"LOW HIGH MED",0.355634924466722,NA
18,5,5.49878407076606,15.8001166441838,"LOW HIGH MED",0,NA
11,2,2.49925058005407,12.8586785667202,"LOW HIGH MED",0,NA
99,1,1.50101449011722,9.92920706583843,"LOW HIGH MED",0.240840793191455,NA
14,5,5.49981021902589,19.0292629920364,"LOW HIGH MED",0,NA
28,6,6.49979857743191,19.34385922366,"LOW HIGH MED",0,NA
17,8,8.50056771442726,18.521465063799,"LOW HIGH MED",0,NA
45,4,4.50035161658629,17.6780996422218,"LOW HIGH MED",0,NA
48,5,5.50001414011378,18.4601164343514,"LOW HIGH MED",0,NA
52,4,4.50136965023109,16.0062325801416,"LOW HIGH MED",0.15406021005474,NA
47,0,0.50003167018503,6.36605024664892,"LOW HIGH MED",0,NA
87,1,1.50060199578805,9.96177051651881,"LOW HIGH MED",0.270574638806283,NA
95,7,7.50061833327993,17.9720741190087,"LOW HIGH MED",0.241903875302523,NA
65,0,0.499625147374899,6.21363114707569,"LOW HIGH MED",0.131906371517107,NA
28,0,0.501660799302323,6.36516075478496,"LOW HIGH MED",0,NA
6,5,5.49847373935861,18.5889273369174,"LOW HIGH MED",0,NA
41,0,0.50047419364553,6.33082036465268,"LOW HIGH MED",0,NA
55,5,5.49895079260097,17.3343353551997,"LOW HIGH MED",0.182640860439278,NA
64,4,4.50026419974928,17.1101663145002,"LOW HIGH MED",0.190240884618834,NA
98,4,4.50034711813145,16.251480469299,"LOW HIGH MED",0.280082525638863,NA
30,4,4.49991455816143,16.3996852326126,"LOW HIGH MED",0,NA
7,0,0.502087024673102,6.4653994146477,"LOW HIGH MED",0,NA
31,2,2.49868567188081,11.5438536058943,"LOW HIGH MED",0,NA
93,0,0.500146768313981,6.32172001993896,"LOW HIGH MED",0.285781330312602,NA
43,2,2.50042807145682,11.9556370982985,"LOW HIGH MED",0,NA
77,0,0.499891257415706,6.25916034496085,"LOW HIGH MED",0.307037345529534,NA
45,4,4.50100817989605,15.3928328525294,"LOW HIGH MED",0,NA
64,2,2.50024375890662,11.9423389945192,"LOW HIGH MED",0.134019357850775,NA
23,3,3.50174890500926,14.388761211637,"LOW HIGH MED",0,NA
13,8,8.50036156206823,21.540958085679,"LOW HIGH MED",0,NA
29,4,4.49993425388195,14.142026786656,"LOW HIGH MED",0,NA
16,2,2.49793522687468,12.4075571129479,"LOW HIGH MED",0,NA
5,2,2.49834293442816,12.83356361429,"LOW HIGH MED",0,NA
