"Year","season","fleet","CPUE","sd"
0,1,2,9.84346320974525e-05,0.1
1,1,2,0.000199162843098506,0.1
2,1,2,0.000301554209039062,0.1
3,1,2,0.000395476125225014,0.1
4,1,2,0.000386960089746095,0.1
5,1,2,0.000415278845382109,0.1
6,1,2,0.000507379023216938,0.1
7,1,2,0.000476561803759765,0.1
8,1,2,0.000551779699065241,0.1
9,1,2,0.000525749643818172,0.1
10,1,2,0.000523305210678341,0.1
11,1,2,0.000424412670433576,0.1
12,1,2,0.0006138345697485,0.1
13,1,2,0.00048035076144244,0.1
14,1,2,0.000403663347021335,0.1
15,1,2,0.000431017876811948,0.1
16,1,2,0.000432772557392907,0.1
17,1,2,0.000418887499588422,0.1
18,1,2,0.000353520144933809,0.1
19,1,2,0.000465336957549257,0.1
20,1,2,0.000504638570417009,0.1
21,1,2,0.000499168104277096,0.1
22,1,2,0.000429449443360595,0.1
23,1,2,0.000496795747641578,0.1
24,1,2,0.000550984519110554,0.1
25,1,2,0.000408605318883697,0.1
26,1,2,0.000452158328639945,0.1
27,1,2,0.00052035619419225,0.1
28,1,2,0.000447420866430592,0.1
29,1,2,0.000544326149699885,0.1
30,1,2,0.000516533110261842,0.1
31,1,2,0.00053312647511333,0.1
32,1,2,0.000575426234032483,0.1
33,1,2,0.000457289551295763,0.1
34,1,2,0.000596159448011586,0.1
35,1,2,0.000558171612914072,0.1
36,1,2,0.000533373196114001,0.1
37,1,2,0.000515521342324784,0.1
38,1,2,0.000481474673510482,0.1
39,1,2,0.000523456788821641,0.1
40,1,2,0.000677249132326182,0.1
41,1,2,0.00050272681785878,0.1
42,1,2,0.000472164428501046,0.1
43,1,2,0.000442816633592445,0.1
44,1,2,0.000439669114491361,0.1
45,1,2,0.000524462579870904,0.1
46,1,2,0.000447629232294372,0.1
47,1,2,0.000495133613781924,0.1
48,1,2,0.000475054621807095,0.1
49,1,2,0.000455036810053558,0.1
50,1,2,0.000482937251183974,0.1
51,1,2,0.000416530512835418,0.1
52,1,2,0.000379532765344309,0.1
53,1,2,0.000399063384181988,0.1
54,1,2,0.000373587374253755,0.1
55,1,2,0.000371880567519448,0.1
56,1,2,0.000360782888272281,0.1
57,1,2,0.000336757486831704,0.1
58,1,2,0.000276895289890624,0.1
59,1,2,0.000247907138710525,0.1
60,1,2,0.000210678324909539,0.1
61,1,2,0.000323955223818432,0.1
62,1,2,0.000264713584393312,0.1
63,1,2,0.000303244676919968,0.1
64,1,2,0.000347224275567866,0.1
65,1,2,0.000382765086824529,0.1
66,1,2,0.000367096578661006,0.1
67,1,2,0.000342665288500325,0.1
68,1,2,0.00039468521845359,0.1
69,1,2,0.000271663705246432,0.1
70,1,2,0.000230990000812689,0.1
71,1,2,0.000160197484305264,0.1
72,1,2,0.000165375240365043,0.1
73,1,2,0.000112391762394735,0.1
74,1,2,0.000109301651043304,0.1
75,1,2,0.000147725658075619,0.1
76,1,2,0.000158291700881869,0.1
77,1,2,0.000268907391429186,0.1
78,1,2,0.000243996429292305,0.1
79,1,2,0.000208392442828806,0.1
80,1,2,0.000180811509611775,0.1
81,1,2,0.000180823961108496,0.1
82,1,2,0.00020062347183123,0.1
83,1,2,0.000176814443192283,0.1
84,1,2,0.000175036573342756,0.1
85,1,2,0.000201662509321548,0.1
86,1,2,0.000190379775470943,0.1
87,1,2,0.000268853580848914,0.1
88,1,2,0.000233113260627497,0.1
89,1,2,0.000227133474663804,0.1
90,1,2,0.000258808843143615,0.1
91,1,2,0.0002470672319584,0.1
92,1,2,0.000264262274892017,0.1
93,1,2,0.000255240124873856,0.1
94,1,2,0.000231256019579235,0.1
95,1,2,0.00031221396999868,0.1
96,1,2,0.000224000657727446,0.1
97,1,2,0.000217300048196425,0.1
98,1,2,0.00020190522093912,0.1
99,1,2,0.000195056799199057,0.1
