"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,61.3634210572611,0,0,0.500332542299685,"M",0,0.25,1,"LOW LOW HIGH",NA
1,2,164.571946665833,5,5,5.50040548446907,"M",0,0.25,1,"LOW LOW HIGH",NA
1,3,62.7604562095406,0,0,0.500650171814467,"M",0,0.25,1,"LOW LOW HIGH",NA
1,4,64.1688136550697,0,0,0.500826108037045,"M",0,0.25,1,"LOW LOW HIGH",NA
1,5,62.8465069411374,0,0,0.501110413157998,"M",0,0.25,1,"LOW LOW HIGH",NA
1,6,62.1212874914462,0,0,0.499330189803167,"M",0,0.25,1,"LOW LOW HIGH",NA
1,7,141.503269644959,3,3,3.49843229223885,"M",0,0.25,1,"LOW LOW HIGH",NA
1,8,62.5156268149622,0,0,0.500877620184632,"M",0,0.25,1,"LOW LOW HIGH",NA
1,9,180.962516184508,5,5,5.49877077004787,"M",0,0.25,1,"LOW LOW HIGH",NA
1,10,61.8176900546182,0,0,0.501975288762534,"M",0,0.25,1,"LOW LOW HIGH",NA
1,11,213.460159663156,11,11,11.5011639525146,"M",0,0.25,1,"LOW LOW HIGH",NA
2,1,62.6474776947836,1,0,0.502112284723529,"M",0,0.25,1,"LOW LOW HIGH",NA
2,2,61.4862696370678,1,0,0.499761748704379,"M",0,0.25,1,"LOW LOW HIGH",NA
2,3,61.8479293836579,1,0,0.500304654732421,"M",0,0.25,1,"LOW LOW HIGH",NA
2,4,101.855245828232,2,1,1.50168454342233,"M",0,0.25,1,"LOW LOW HIGH",NA
2,5,100.453158583006,2,1,1.49958004266288,"M",0,0.25,1,"LOW LOW HIGH",NA
2,6,95.9724707339292,2,1,1.49987615476744,"M",0,0.25,1,"LOW LOW HIGH",NA
2,7,61.0705862943863,1,0,0.499140804419395,"M",0,0.25,1,"LOW LOW HIGH",NA
2,8,98.4056127222896,2,1,1.50172726084192,"M",0,0.25,1,"LOW LOW HIGH",NA
2,9,181.025893076841,5,4,4.49905088841752,"M",0,0.25,1,"LOW LOW HIGH",NA
2,10,147.534772575303,4,3,3.50093165870665,"M",0,0.25,1,"LOW LOW HIGH",NA
2,11,166.878271593844,6,5,5.49887520307087,"M",0,0.25,1,"LOW LOW HIGH",NA
3,1,192.450675635903,10,8,8.49878958653043,"M",0,0.25,1,"LOW LOW HIGH",NA
3,2,125.709565156262,4,2,2.49899910287474,"M",0,0.25,1,"LOW LOW HIGH",NA
3,3,126.944813823829,4,2,2.50066374191993,"M",0,0.25,1,"LOW LOW HIGH",NA
3,4,60.814578079507,2,0,0.498736266951048,"M",0,0.25,1,"LOW LOW HIGH",NA
3,5,121.86626346661,4,2,2.50008064869322,"M",0,0.25,1,"LOW LOW HIGH",NA
3,6,149.920768800752,5,3,3.49883970533853,"M",0,0.25,1,"LOW LOW HIGH",NA
3,7,92.6619124980078,3,1,1.4995891954229,"M",0,0.25,1,"LOW LOW HIGH",NA
3,8,63.0803446631804,2,0,0.50069942866449,"M",0,0.25,1,"LOW LOW HIGH",NA
3,9,183.174584481023,8,6,6.50079985346841,"M",0,0.25,1,"LOW LOW HIGH",NA
3,10,180.623668961693,7,5,5.50002818730821,"M",0,0.25,1,"LOW LOW HIGH",NA
4,1,63.5041449075339,3,0,0.501976392666089,"M",0,0.25,1,"LOW LOW HIGH",NA
4,2,166.428987714136,8,5,5.50093920489399,"M",0,0.25,1,"LOW LOW HIGH",NA
4,3,63.0797436804459,3,0,0.500491487068848,"M",0,0.25,1,"LOW LOW HIGH",NA
4,4,63.6346203707202,3,0,0.500720425976803,"M",0,0.25,1,"LOW LOW HIGH",NA
4,5,63.0104391179409,3,0,0.499933384485891,"M",0,0.25,1,"LOW LOW HIGH",NA
4,6,63.9945471648322,3,0,0.499443306179303,"M",0,0.25,1,"LOW LOW HIGH",NA
4,7,213.133374277805,11,8,8.50123244787919,"M",0,0.25,1,"LOW LOW HIGH",NA
4,8,92.3237184396558,4,1,1.5000693579231,"M",0,0.25,1,"LOW LOW HIGH",NA
4,9,91.7196022567678,4,1,1.50070170071288,"M",0,0.25,1,"LOW LOW HIGH",NA
4,10,199.837887235902,11,8,8.50036117377912,"M",0,0.25,1,"LOW LOW HIGH",NA
4,11,117.714090649144,5,2,2.50064850933162,"M",0,0.25,1,"LOW LOW HIGH",NA
4,12,130.135479371545,5,2,2.50041271298025,"M",0,0.25,1,"LOW LOW HIGH",NA
4,13,202.653940694989,9,6,6.49961538201787,"M",0,0.25,1,"LOW LOW HIGH",NA
5,1,132.151626570887,6,2,2.49906623035267,"M",0,0.25,1,"LOW LOW HIGH",NA
5,2,60.6710339970069,4,0,0.50123892932746,"M",0,0.25,1,"LOW LOW HIGH",NA
5,3,192.59984651658,11,7,7.49869503203241,"M",0,0.25,1,"LOW LOW HIGH",NA
5,4,65.3613395470618,4,0,0.500467200746911,"M",0,0.25,1,"LOW LOW HIGH",NA
5,5,121.55074735559,6,2,2.50102306622532,"M",0,0.25,1,"LOW LOW HIGH",NA
5,6,140.853848211136,7,3,3.49895922110133,"M",0,0.25,1,"LOW LOW HIGH",NA
5,7,95.8913096409646,5,1,1.49952218197667,"M",0,0.25,1,"LOW LOW HIGH",NA
5,8,100.449450812087,5,1,1.49964128035643,"M",0,0.25,1,"LOW LOW HIGH",NA
5,9,63.843433727433,4,0,0.49963280183695,"M",0,0.25,1,"LOW LOW HIGH",NA
5,10,95.3728290271969,5,1,1.50014487493637,"M",0,0.25,1,"LOW LOW HIGH",NA
5,11,63.8027264100185,4,0,0.499571022610865,"M",0,0.25,1,"LOW LOW HIGH",NA
5,12,61.6671426840503,4,0,0.498855641288077,"M",0,0.25,1,"LOW LOW HIGH",NA
5,13,200.624360967914,11,7,7.49943731037028,"M",0,0.25,1,"LOW LOW HIGH",NA
5,14,132.91084769149,7,3,3.49929448623956,"M",0,0.25,1,"LOW LOW HIGH",NA
6,1,64.8927666362681,5,0,0.499445453771285,"M",0,0.25,1,"LOW LOW HIGH",NA
6,2,179.543995922745,10,5,5.49910279554355,"M",0,0.25,1,"LOW LOW HIGH",NA
6,3,64.170672627034,5,0,0.50028615855149,"M",0,0.25,1,"LOW LOW HIGH",NA
6,4,94.199660941682,6,1,1.50058125449163,"M",0,0.25,1,"LOW LOW HIGH",NA
6,5,207.442277379778,11,6,6.49985753546892,"M",0,0.25,1,"LOW LOW HIGH",NA
6,6,150.513362040976,8,3,3.50013789294311,"M",0,0.25,1,"LOW LOW HIGH",NA
6,7,154.992900681856,8,3,3.50035775192899,"M",0,0.25,1,"LOW LOW HIGH",NA
6,8,229.107598113836,14,9,9.49971814386784,"M",0,0.25,1,"LOW LOW HIGH",NA
6,9,145.301825530655,8,3,3.50063523992148,"M",0,0.25,1,"LOW LOW HIGH",NA
6,10,130.256704883051,7,2,2.49899457564908,"M",0,0.25,1,"LOW LOW HIGH",NA
6,11,173.092077373714,10,5,5.49950590559121,"M",0,0.25,1,"LOW LOW HIGH",NA
7,1,123.56245737467,8,2,2.50054796797916,"M",0,0.25,1,"LOW LOW HIGH",NA
7,2,211.416740487258,13,7,7.50154795096973,"M",0,0.25,1,"LOW LOW HIGH",NA
7,3,89.2533338103465,7,1,1.49896539043276,"M",0,0.25,1,"LOW LOW HIGH",NA
7,4,139.988058887295,9,3,3.50119933133879,"M",0,0.25,1,"LOW LOW HIGH",NA
7,5,64.9318219626061,6,0,0.499058013277718,"M",0,0.25,1,"LOW LOW HIGH",NA
7,6,62.2134305981142,6,0,0.498911216940184,"M",0,0.25,1,"LOW LOW HIGH",NA
7,7,100.289278663119,7,1,1.50236550187626,"M",0,0.25,1,"LOW LOW HIGH",NA
7,8,62.5313606798086,6,0,0.498687817260646,"M",0,0.25,1,"LOW LOW HIGH",NA
7,9,96.469516020423,7,1,1.5001285521495,"M",0,0.25,1,"LOW LOW HIGH",NA
7,10,63.4915802142668,6,0,0.500752606555569,"M",0,0.25,1,"LOW LOW HIGH",NA
7,11,60.6095258532187,6,0,0.500290888628365,"M",0,0.25,1,"LOW LOW HIGH",NA
7,12,246.153515862638,16,10,10.4982377462183,"M",0,0.25,1,"LOW LOW HIGH",NA
8,1,97.0922804357576,8,1,1.49993771833156,"M",0,0.25,1,"LOW LOW HIGH",NA
8,2,137.716940210428,10,3,3.50022247737396,"M",0,0.25,1,"LOW LOW HIGH",NA
8,3,59.6216616520706,7,0,0.499413426936788,"M",0,0.25,1,"LOW LOW HIGH",NA
8,4,61.3855583321579,7,0,0.500374823402239,"M",0,0.25,1,"LOW LOW HIGH",NA
8,5,187.479950099903,15,8,8.50111314008698,"M",0,0.25,1,"LOW LOW HIGH",NA
8,6,144.249402185847,10,3,3.49867585945992,"M",0,0.25,1,"LOW LOW HIGH",NA
8,7,63.985232502777,7,0,0.500019063431328,"M",0,0.25,1,"LOW LOW HIGH",NA
8,8,188.048128039492,16,9,9.50024943722478,"M",0,0.25,1,"LOW LOW HIGH",NA
8,9,186.727031469896,14,7,7.50130989030002,"M",0,0.25,1,"LOW LOW HIGH",NA
8,10,122.113877026868,9,2,2.50073624382657,"M",0,0.25,1,"LOW LOW HIGH",NA
8,11,92.2466574573913,8,1,1.50076216552036,"M",0,0.25,1,"LOW LOW HIGH",NA
8,12,99.0053879381611,8,1,1.49962439911975,"M",0,0.25,1,"LOW LOW HIGH",NA
9,1,119.964030302887,10,2,2.50099961002565,"M",0,0.25,1,"LOW LOW HIGH",NA
9,2,61.2227526334951,8,0,0.500403257508512,"M",0,0.25,1,"LOW LOW HIGH",NA
9,3,118.953492097844,10,2,2.50051583129085,"M",0,0.25,1,"LOW LOW HIGH",NA
9,4,201.171564576236,19,11,11.5000062042469,"M",0,0.25,1,"LOW LOW HIGH",NA
