"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,14,207.479318078627,53,14,14.4993758052373,"FISHED",0.135424381354824,0.25,1,"LOW LOW HIGH",NA
44,12,217.383865925135,54,11,11.4997730373233,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
45,5,209.730766354431,51,7,7.5001210787041,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
45,10,212.72833118221,51,7,7.49969975633777,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
46,4,165.091264009296,51,6,6.49966094216391,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
47,7,166.978360376978,50,4,4.5009518525786,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
48,5,160.929767818282,51,4,4.49949464804806,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
49,1,145.723724120742,51,3,3.50030086557907,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
49,4,122.257444575774,50,2,2.49884559507602,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
49,10,161.384145435471,52,4,4.50042722903468,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
50,2,134.652573643221,51,2,2.50151081308206,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
50,6,145.828637223107,52,3,3.50053638604648,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
50,8,102.023515990994,50,1,1.49897426073865,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
50,10,181.767642433958,55,6,6.50010057608459,"FISHED",0.117400212259963,0.25,1,"LOW LOW HIGH",NA
50,11,93.7714980737389,50,1,1.50097410302714,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
51,6,142.92785423036,53,3,3.49940970674034,"FISHED",0.135424381354824,0.25,1,"LOW LOW HIGH",NA
51,11,63.6918195793882,50,0,0.499832125336675,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
51,12,62.1526393301954,50,0,0.49894664807863,"FISHED",0.155370923154987,0.25,1,"LOW LOW HIGH",NA
52,3,135.018569714995,53,2,2.49851834652138,"FISHED",0.135424381354824,0.25,1,"LOW LOW HIGH",NA
52,4,61.6112116445397,51,0,0.49926380272473,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
52,5,152.133572410915,54,3,3.49782579582333,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
52,10,103.351142385178,52,1,1.50021468428148,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
52,13,129.582923425104,53,2,2.50199939883668,"FISHED",0.135424381354824,0.25,1,"LOW LOW HIGH",NA
52,14,60.5836491745597,51,0,0.499652862936665,"FISHED",0.146094583696686,0.25,1,"LOW LOW HIGH",NA
53,1,62.2603522815271,52,0,0.500973995679081,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
53,4,62.8196915917468,52,0,0.500216814001736,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
53,5,122.689825865644,54,2,2.49873555222899,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
53,6,63.147517403273,52,0,0.501281664475339,"FISHED",0.158454005979002,0.25,1,"LOW LOW HIGH",NA
54,1,103.8779017448,54,1,1.50029674018969,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
54,3,98.786151375054,54,1,1.50101771769614,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
54,9,219.815741308216,65,12,12.4995663567789,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
54,11,177.126180617237,58,5,5.49973663497844,"FISHED",0.17139934853185,0.25,1,"LOW LOW HIGH",NA
55,1,63.3172611245229,54,0,0.499311363864,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
55,2,64.381105870505,54,0,0.500364374090598,"FISHED",0.167370099108666,0.25,1,"LOW LOW HIGH",NA
55,3,122.556870308935,56,2,2.50038520332719,"FISHED",0.117561639565974,0.25,1,"LOW LOW HIGH",NA
56,2,152.038917656396,59,4,4.49890060292968,"FISHED",0.142236696113832,0.25,1,"LOW LOW HIGH",NA
56,3,93.3991576480764,56,1,1.49944013669522,"FISHED",0.117561639565974,0.25,1,"LOW LOW HIGH",NA
56,4,64.4811171646132,55,0,0.501386224805367,"FISHED",0.117400212259963,0.25,1,"LOW LOW HIGH",NA
57,2,95.9276691059884,57,1,1.49956920348486,"FISHED",0.186400203406811,0.25,1,"LOW LOW HIGH",NA
57,4,64.9140893054382,56,0,0.499254600563923,"FISHED",0.117561639565974,0.25,1,"LOW LOW HIGH",NA
57,6,59.741809071825,56,0,0.500644121702496,"FISHED",0.117561639565974,0.25,1,"LOW LOW HIGH",NA
57,7,95.5419105397543,57,1,1.49851403391389,"FISHED",0.186400203406811,0.25,1,"LOW LOW HIGH",NA
57,8,153.63329571195,59,3,3.49966935629744,"FISHED",0.142236696113832,0.25,1,"LOW LOW HIGH",NA
58,5,132.663622242469,59,2,2.49940891498476,"FISHED",0.142236696113832,0.25,1,"LOW LOW HIGH",NA
59,6,129.8901805027,60,2,2.50001829964977,"FISHED",0.119948113197461,0.25,1,"LOW LOW HIGH",NA
59,8,61.721942169701,58,0,0.499702768293654,"FISHED",0.17139934853185,0.25,1,"LOW LOW HIGH",NA
60,6,200.972792106642,65,6,6.50049251303538,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
60,9,123.390144053434,61,2,2.500179965444,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
61,1,123.970466621947,62,2,2.49862480180908,"FISHED",0.195995137561113,0.25,1,"LOW LOW HIGH",NA
61,4,92.3207147724946,61,1,1.49927545335054,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
61,5,102.791122789226,61,1,1.50234014678499,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
61,11,188.129707060484,65,5,5.50007825874104,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
61,12,98.4326097212743,61,1,1.49873147118339,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
62,1,67.7914649941827,61,0,0.500505740199891,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
62,2,101.201894923245,62,1,1.50056497592057,"FISHED",0.195995137561113,0.25,1,"LOW LOW HIGH",NA
62,3,157.848702976981,64,3,3.50226540728459,"FISHED",0.165149173536338,0.25,1,"LOW LOW HIGH",NA
62,5,66.3916459761914,61,0,0.499974524398361,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
62,6,138.441119964417,64,3,3.5015785212728,"FISHED",0.165149173536338,0.25,1,"LOW LOW HIGH",NA
62,7,63.3761542816984,61,0,0.500580931197905,"FISHED",0.181175879109651,0.25,1,"LOW LOW HIGH",NA
62,8,100.940986365117,62,1,1.50047676234113,"FISHED",0.195995137561113,0.25,1,"LOW LOW HIGH",NA
63,3,151.241831517373,65,3,3.49925358441547,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
63,4,154.844855635462,67,5,5.49895811322754,"FISHED",0.114799763471819,0.25,1,"LOW LOW HIGH",NA
63,8,149.499112536308,66,4,4.5009860521589,"FISHED",0.168954692408443,0.25,1,"LOW LOW HIGH",NA
64,2,128.371007393052,65,2,2.49927824871028,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
64,3,186.534717317593,67,4,4.49986813168719,"FISHED",0.114799763471819,0.25,1,"LOW LOW HIGH",NA
64,8,64.3331193434942,63,0,0.501429702570465,"FISHED",0.16508464938961,0.25,1,"LOW LOW HIGH",NA
65,1,102.08306691672,65,1,1.50062983172774,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
65,4,122.452255635451,66,2,2.49855602585501,"FISHED",0.168954692408443,0.25,1,"LOW LOW HIGH",NA
65,5,60.7878634627152,64,0,0.499644675942626,"FISHED",0.165149173536338,0.25,1,"LOW LOW HIGH",NA
65,6,104.254062717759,65,1,1.49928378017984,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
65,11,60.9074743376286,64,0,0.499048618320397,"FISHED",0.165149173536338,0.25,1,"LOW LOW HIGH",NA
65,12,64.2165326585069,64,0,0.500711457723405,"FISHED",0.165149173536338,0.25,1,"LOW LOW HIGH",NA
66,7,61.6916437628814,65,0,0.499853475177676,"FISHED",0.1497029353166,0.25,1,"LOW LOW HIGH",NA
66,11,189.568296891395,73,8,8.50048469201957,"FISHED",0.197893169079907,0.25,1,"LOW LOW HIGH",NA
67,1,145.229533549988,69,3,3.49763271879445,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
67,7,137.026409233578,69,3,3.5001323531245,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
67,11,65.322518791517,66,0,0.500402755810259,"FISHED",0.168954692408443,0.25,1,"LOW LOW HIGH",NA
68,2,65.8069236648993,67,0,0.500088413966866,"FISHED",0.114799763471819,0.25,1,"LOW LOW HIGH",NA
68,3,96.2231361464815,68,1,1.50051696832856,"FISHED",0.157708591478877,0.25,1,"LOW LOW HIGH",NA
68,4,131.399643737032,69,2,2.49852634714155,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
68,7,99.9339413972498,68,1,1.49971807359532,"FISHED",0.157708591478877,0.25,1,"LOW LOW HIGH",NA
68,10,129.281953584557,69,2,2.49876329127848,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
70,6,130.131102391432,71,2,2.49864132270115,"FISHED",0.180192739213817,0.25,1,"LOW LOW HIGH",NA
70,7,62.0558393589395,69,0,0.498951126798531,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
70,8,98.4169231457293,70,1,1.49885642105279,"FISHED",0.176726542785764,0.25,1,"LOW LOW HIGH",NA
70,10,63.0679923203194,69,0,0.501337708900838,"FISHED",0.130361068807542,0.25,1,"LOW LOW HIGH",NA
71,5,166.395458086328,75,5,5.50019831114483,"FISHED",0.177057728078216,0.25,1,"LOW LOW HIGH",NA
72,5,60.9668843855821,71,0,0.50173998378762,"FISHED",0.180192739213817,0.25,1,"LOW LOW HIGH",NA
72,6,158.048313492776,75,4,4.49993499504391,"FISHED",0.177057728078216,0.25,1,"LOW LOW HIGH",NA
72,9,59.6518773033493,71,0,0.501267325646283,"FISHED",0.180192739213817,0.25,1,"LOW LOW HIGH",NA
73,1,61.4934377226837,72,0,0.499363335652909,"FISHED",0.143975139060058,0.25,1,"LOW LOW HIGH",NA
73,2,61.514371892988,72,0,0.498481933349415,"FISHED",0.143975139060058,0.25,1,"LOW LOW HIGH",NA
73,4,62.656380840409,72,0,0.502463330397876,"FISHED",0.143975139060058,0.25,1,"LOW LOW HIGH",NA
73,7,99.1621531824384,73,1,1.50055713418862,"FISHED",0.197893169079907,0.25,1,"LOW LOW HIGH",NA
73,10,171.349427692906,76,4,4.49905370313037,"FISHED",0.181140648340806,0.25,1,"LOW LOW HIGH",NA
74,2,175.147953291031,77,4,4.50074659357964,"FISHED",0.12526925385464,0.25,1,"LOW LOW HIGH",NA
74,4,64.0709450416195,73,0,0.501227096185092,"FISHED",0.197893169079907,0.25,1,"LOW LOW HIGH",NA
74,6,122.576071608475,75,2,2.49965048738968,"FISHED",0.177057728078216,0.25,1,"LOW LOW HIGH",NA
74,7,146.347513363002,76,3,3.50063332836289,"FISHED",0.181140648340806,0.25,1,"LOW LOW HIGH",NA
75,4,127.41378774672,76,2,2.49955373700146,"FISHED",0.181140648340806,0.25,1,"LOW LOW HIGH",NA
75,6,162.922854718479,78,4,4.50009946477632,"FISHED",0.137976895784959,0.25,1,"LOW LOW HIGH",NA
