"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
38,9,9.49951181279352,19.9346774099031,"LOW LOW HIGH",0,"early","low",NA
10,0,0.500624111462204,6.5718536041525,"LOW LOW HIGH",0,"early","low",NA
14,2,2.50132228663744,12.7446755635229,"LOW LOW HIGH",0,"early","low",NA
29,0,0.500718335455952,6.38280166371876,"LOW LOW HIGH",0,"early","low",NA
66,1,1.49850523127929,10.2741695187462,"LOW LOW HIGH",0.186803487618454,"early","low",NA
40,4,4.50108992253381,17.2284115396512,"LOW LOW HIGH",0,"early","low",NA
60,10,10.5010255213615,18.6602568138589,"LOW LOW HIGH",0.181817278522067,"early","low",NA
21,3,3.49920029026639,15.0117785933309,"LOW LOW HIGH",0,"early","low",NA
64,3,3.49942228804779,15.2649196061911,"LOW LOW HIGH",0.115846456517465,"early","low",NA
41,0,0.501524768401787,6.08600303284597,"LOW LOW HIGH",0,"early","low",NA
44,0,0.500335495151307,6.28069034036863,"LOW LOW HIGH",0,"early","low",NA
40,3,3.49848491160691,15.9243154621571,"LOW LOW HIGH",0,"early","low",NA
48,2,2.49754779167935,12.7950714122582,"LOW LOW HIGH",0,"early","low",NA
1,1,1.50117768114384,9.95388666690047,"LOW LOW HIGH",0,"early","low",NA
27,4,4.50015125836671,16.9959013676948,"LOW LOW HIGH",0,"early","low",NA
40,1,1.50052168970218,9.72652988097279,"LOW LOW HIGH",0,"early","low",NA
26,5,5.49984875673106,15.899434643784,"LOW LOW HIGH",0,"early","low",NA
32,0,0.500003152244435,6.32574695367098,"LOW LOW HIGH",0,"early","low",NA
16,0,0.500199262228931,6.37019226112812,"LOW LOW HIGH",0,"early","low",NA
75,3,3.49862832085825,13.8581864581268,"LOW LOW HIGH",0.166281910147518,"late","low",NA
92,1,1.500892953813,10.2800851244191,"LOW LOW HIGH",0.353007642854936,"late","low",NA
97,1,1.5006192543245,10.0254400275861,"LOW LOW HIGH",0.38139301687479,"late","low",NA
12,3,3.49992486972194,13.996669767829,"LOW LOW HIGH",0,"early","low",NA
46,5,5.50077999927498,17.7440939862465,"LOW LOW HIGH",0,"early","low",NA
30,0,0.500451444342122,6.46084412120426,"LOW LOW HIGH",0,"early","low",NA
42,5,5.49897162457375,17.6731795590448,"LOW LOW HIGH",0,"early","low",NA
4,0,0.500954195474461,6.37759880608821,"LOW LOW HIGH",0,"early","low",NA
46,5,5.49905500096294,17.1817908716978,"LOW LOW HIGH",0,"early","low",NA
89,2,2.50042132213566,12.8477115693241,"LOW LOW HIGH",0.397508763661608,"late","low",NA
28,0,0.500431233503194,6.19121340294737,"LOW LOW HIGH",0,"early","low",NA
62,1,1.49918876673656,9.84872857755693,"LOW LOW HIGH",0.148869631253183,"early","low",NA
48,3,3.50211565484294,15.6350586836816,"LOW LOW HIGH",0,"early","low",NA
91,0,0.499671938865715,6.49753513501173,"LOW LOW HIGH",0.324255580524914,"late","low",NA
73,4,4.49971385730041,17.3430084898481,"LOW LOW HIGH",0.180744549818337,"early","low",NA
57,5,5.49972620932841,21.1069073676154,"LOW LOW HIGH",0.154487468115985,"early","low",NA
50,3,3.49802805916251,14.5584749252554,"LOW LOW HIGH",0.173690115683712,"early","low",NA
7,1,1.4994656274069,10.1835802867952,"LOW LOW HIGH",0,"early","low",NA
21,1,1.50016767557385,9.60771392628288,"LOW LOW HIGH",0,"early","low",NA
46,2,2.50031355837471,10.9911295854042,"LOW LOW HIGH",0,"early","low",NA
2,0,0.499449505803532,6.48592209953235,"LOW LOW HIGH",0,"early","low",NA
19,3,3.49858809149982,14.1954795255184,"LOW LOW HIGH",0,"early","low",NA
3,0,0.499088959749552,6.16948109116562,"LOW LOW HIGH",0,"early","low",NA
38,0,0.498968259168635,6.0295013701046,"LOW LOW HIGH",0,"early","low",NA
80,3,3.49910908962769,15.2092349273143,"LOW LOW HIGH",0.178358966158703,"late","low",NA
7,7,7.49960712767458,17.6946966539983,"LOW LOW HIGH",0,"early","low",NA
41,3,3.49921714307091,13.6559222661181,"LOW LOW HIGH",0,"early","low",NA
73,2,2.50063522226154,12.5993955101978,"LOW LOW HIGH",0.180744549818337,"early","low",NA
41,2,2.50222318552687,13.1045788303381,"LOW LOW HIGH",0,"early","low",NA
96,1,1.4989722923897,9.49526114688337,"LOW LOW HIGH",0.382725336076692,"late","low",NA
79,1,1.50038568167505,9.26185425512429,"LOW LOW HIGH",0.199038319825195,"late","low",NA
32,0,0.500322690969713,6.3022911520593,"LOW LOW HIGH",0,"early","low",NA
17,2,2.50064251629979,13.0957702419297,"LOW LOW HIGH",0,"early","low",NA
41,1,1.49970832249447,9.67087085868364,"LOW LOW HIGH",0,"early","low",NA
43,0,0.498989293632843,6.476935130466,"LOW LOW HIGH",0,"early","low",NA
47,0,0.498809287453373,5.96872063463353,"LOW LOW HIGH",0,"early","low",NA
20,2,2.50114385789139,11.7342031642742,"LOW LOW HIGH",0,"early","low",NA
19,0,0.500889610938605,6.3002503618253,"LOW LOW HIGH",0,"early","low",NA
57,0,0.49938815198637,6.16848656967184,"LOW LOW HIGH",0.12807749893982,"early","low",NA
12,7,7.49900122851925,18.6308652489753,"LOW LOW HIGH",0,"early","low",NA
87,0,0.500918609277778,6.26254958606923,"LOW LOW HIGH",0.319261448085308,"late","low",NA
30,0,0.499689855566533,6.20567209909622,"LOW LOW HIGH",0,"early","low",NA
68,0,0.500996840167816,6.56190605174169,"LOW LOW HIGH",0.199072966980748,"early","low",NA
13,8,8.49915919766029,26.7380943026785,"LOW LOW HIGH",0,"early","low",NA
76,0,0.500233191135886,6.26437105609447,"LOW LOW HIGH",0.180320056551136,"late","low",NA
77,6,6.50121108042248,17.2832563955509,"LOW LOW HIGH",0.195223826845177,"late","low",NA
88,0,0.499330747765503,6.42008345840773,"LOW LOW HIGH",0.392264942033216,"late","low",NA
6,4,4.50049614195729,16.2338147493339,"LOW LOW HIGH",0,"early","low",NA
