"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,136.039370085976,3,3,3.49806239293014,"M",0,0.25,1,"LOW LOW LOW",NA
1,2,246.646333553179,12,12,12.5019755366881,"M",0,0.25,1,"LOW LOW LOW",NA
1,3,61.4035728902755,0,0,0.499583090438463,"M",0,0.25,1,"LOW LOW LOW",NA
1,4,179.738109462777,13,13,13.500559011687,"M",0,0.25,1,"LOW LOW LOW",NA
1,5,63.553601796903,0,0,0.499396835270787,"M",0,0.25,1,"LOW LOW LOW",NA
1,6,94.896671725093,1,1,1.49900251282104,"M",0,0.25,1,"LOW LOW LOW",NA
1,7,222.276894998159,14,14,14.4999074797986,"M",0,0.25,1,"LOW LOW LOW",NA
1,8,63.0508926704895,0,0,0.5027931566344,"M",0,0.25,1,"LOW LOW LOW",NA
1,9,239.067157032059,12,12,12.5010174083854,"M",0,0.25,1,"LOW LOW LOW",NA
1,10,95.7439040859083,1,1,1.50033758100715,"M",0,0.25,1,"LOW LOW LOW",NA
1,11,64.6226426952239,0,0,0.49823825896685,"M",0,0.25,1,"LOW LOW LOW",NA
1,12,116.628903683165,2,2,2.49967085004215,"M",0,0.25,1,"LOW LOW LOW",NA
1,13,153.419066873409,3,3,3.49842279952752,"M",0,0.25,1,"LOW LOW LOW",NA
1,14,129.114452188783,2,2,2.5001418059795,"M",0,0.25,1,"LOW LOW LOW",NA
2,1,133.817623734118,3,2,2.49915379718183,"M",0,0.25,1,"LOW LOW LOW",NA
2,2,128.075650230379,3,2,2.50010298028805,"M",0,0.25,1,"LOW LOW LOW",NA
2,3,61.123587420918,1,0,0.499798840122846,"M",0,0.25,1,"LOW LOW LOW",NA
2,4,126.882188074822,3,2,2.50018286891998,"M",0,0.25,1,"LOW LOW LOW",NA
2,5,143.282277788915,4,3,3.49925729847953,"M",0,0.25,1,"LOW LOW LOW",NA
2,6,61.2125734585682,1,0,0.500824221747179,"M",0,0.25,1,"LOW LOW LOW",NA
2,7,166.500076801229,6,5,5.5005835752627,"M",0,0.25,1,"LOW LOW LOW",NA
2,8,99.7773831703236,2,1,1.49995602518097,"M",0,0.25,1,"LOW LOW LOW",NA
2,9,102.789200788275,2,1,1.50065751827106,"M",0,0.25,1,"LOW LOW LOW",NA
2,10,100.984115692935,2,1,1.50146014968294,"M",0,0.25,1,"LOW LOW LOW",NA
2,11,217.09441155632,10,9,9.50064997715234,"M",0,0.25,1,"LOW LOW LOW",NA
2,12,130.16725700343,3,2,2.50029956191392,"M",0,0.25,1,"LOW LOW LOW",NA
2,13,155.654706348847,6,5,5.50163379060879,"M",0,0.25,1,"LOW LOW LOW",NA
3,1,181.565581854231,6,4,4.50015403887358,"M",0,0.25,1,"LOW LOW LOW",NA
3,2,94.3706637402529,3,1,1.50160567688527,"M",0,0.25,1,"LOW LOW LOW",NA
3,3,216.784604143112,8,6,6.50033554975733,"M",0,0.25,1,"LOW LOW LOW",NA
3,4,207.056446277698,9,7,7.50006101918009,"M",0,0.25,1,"LOW LOW LOW",NA
3,5,61.9678686626023,2,0,0.496475320019612,"M",0,0.25,1,"LOW LOW LOW",NA
3,6,100.902718661523,3,1,1.49982994371758,"M",0,0.25,1,"LOW LOW LOW",NA
3,7,99.1160831662737,3,1,1.49964083978194,"M",0,0.25,1,"LOW LOW LOW",NA
3,8,96.0709950784681,3,1,1.49977709844279,"M",0,0.25,1,"LOW LOW LOW",NA
3,9,132.311854329665,4,2,2.50041067340343,"M",0,0.25,1,"LOW LOW LOW",NA
3,10,99.5801681072812,3,1,1.49996653213474,"M",0,0.25,1,"LOW LOW LOW",NA
3,11,113.98513027752,4,2,2.50157430884111,"M",0,0.25,1,"LOW LOW LOW",NA
4,1,147.444392875337,6,3,3.49895706767706,"M",0,0.25,1,"LOW LOW LOW",NA
4,2,62.8634269709404,3,0,0.500096589111828,"M",0,0.25,1,"LOW LOW LOW",NA
4,3,64.2242390242472,3,0,0.499584075255868,"M",0,0.25,1,"LOW LOW LOW",NA
4,4,60.2904149453116,3,0,0.499242806169972,"M",0,0.25,1,"LOW LOW LOW",NA
4,5,182.01013038722,8,5,5.50031460588512,"M",0,0.25,1,"LOW LOW LOW",NA
4,6,61.238471222601,3,0,0.499055479431207,"M",0,0.25,1,"LOW LOW LOW",NA
4,7,165.280604997798,9,6,6.49997470743392,"M",0,0.25,1,"LOW LOW LOW",NA
4,8,191.24364911694,13,10,10.4983550226195,"M",0,0.25,1,"LOW LOW LOW",NA
4,9,61.6812715446939,3,0,0.50119538451653,"M",0,0.25,1,"LOW LOW LOW",NA
4,10,165.745562003305,9,6,6.50118546968632,"M",0,0.25,1,"LOW LOW LOW",NA
4,11,149.06268842591,6,3,3.50124841659003,"M",0,0.25,1,"LOW LOW LOW",NA
4,12,126.530752205917,5,2,2.49995872381937,"M",0,0.25,1,"LOW LOW LOW",NA
4,13,221.422414310824,11,8,8.5002268738262,"M",0,0.25,1,"LOW LOW LOW",NA
5,1,171.44798628989,9,5,5.50038458522396,"M",0,0.25,1,"LOW LOW LOW",NA
5,2,62.8460126830968,4,0,0.499356488970479,"M",0,0.25,1,"LOW LOW LOW",NA
5,3,218.538250129572,10,6,6.50135369562997,"M",0,0.25,1,"LOW LOW LOW",NA
5,4,166.096267145576,8,4,4.49874232681915,"M",0,0.25,1,"LOW LOW LOW",NA
5,5,154.855138217808,7,3,3.50084922732514,"M",0,0.25,1,"LOW LOW LOW",NA
5,6,152.881263774458,8,4,4.49947039738184,"M",0,0.25,1,"LOW LOW LOW",NA
5,7,100.176498285015,5,1,1.49978250406431,"M",0,0.25,1,"LOW LOW LOW",NA
5,8,64.2049349283398,4,0,0.500248355913162,"M",0,0.25,1,"LOW LOW LOW",NA
5,9,218.774250232986,12,8,8.50161294403126,"M",0,0.25,1,"LOW LOW LOW",NA
5,10,60.2832330990321,4,0,0.499741303969283,"M",0,0.25,1,"LOW LOW LOW",NA
5,11,157.89192837861,9,5,5.49744458655146,"M",0,0.25,1,"LOW LOW LOW",NA
5,12,64.168400755635,4,0,0.500817140682293,"M",0,0.25,1,"LOW LOW LOW",NA
5,13,137.219175341062,6,2,2.49925115554081,"M",0,0.25,1,"LOW LOW LOW",NA
5,14,121.614677486516,6,2,2.50122487299807,"M",0,0.25,1,"LOW LOW LOW",NA
6,1,125.658272328646,7,2,2.50139928728319,"M",0,0.25,1,"LOW LOW LOW",NA
6,2,145.75302648206,9,4,4.50179188398607,"M",0,0.25,1,"LOW LOW LOW",NA
6,3,64.9233509390686,5,0,0.501382736430596,"M",0,0.25,1,"LOW LOW LOW",NA
6,4,99.2410130636759,6,1,1.49971897829223,"M",0,0.25,1,"LOW LOW LOW",NA
6,5,115.720114303344,7,2,2.49973112323427,"M",0,0.25,1,"LOW LOW LOW",NA
6,6,61.9461574677597,5,0,0.499521564413881,"M",0,0.25,1,"LOW LOW LOW",NA
6,7,122.281402294227,7,2,2.50034344702354,"M",0,0.25,1,"LOW LOW LOW",NA
6,8,62.9051041804499,5,0,0.500370625993528,"M",0,0.25,1,"LOW LOW LOW",NA
6,9,177.905624086317,11,6,6.49934984551486,"M",0,0.25,1,"LOW LOW LOW",NA
6,10,61.6287844921515,5,0,0.501539676137732,"M",0,0.25,1,"LOW LOW LOW",NA
6,11,60.5868579500156,5,0,0.498362608227711,"M",0,0.25,1,"LOW LOW LOW",NA
7,1,124.10540887852,8,2,2.50136807787088,"M",0,0.25,1,"LOW LOW LOW",NA
7,2,160.810593592349,13,7,7.49866781571051,"M",0,0.25,1,"LOW LOW LOW",NA
7,3,62.9349990222025,6,0,0.50036523734606,"M",0,0.25,1,"LOW LOW LOW",NA
7,4,133.081528331173,8,2,2.50077428230292,"M",0,0.25,1,"LOW LOW LOW",NA
7,5,99.031929496205,7,1,1.50010795017516,"M",0,0.25,1,"LOW LOW LOW",NA
7,6,200.421956398232,14,8,8.49933708958155,"M",0,0.25,1,"LOW LOW LOW",NA
7,7,100.817461768637,7,1,1.50069926717253,"M",0,0.25,1,"LOW LOW LOW",NA
7,8,61.0378602994591,6,0,0.500884134749736,"M",0,0.25,1,"LOW LOW LOW",NA
7,9,63.7671414216586,6,0,0.498358386731794,"M",0,0.25,1,"LOW LOW LOW",NA
7,10,63.5542661338361,6,0,0.500773290463437,"M",0,0.25,1,"LOW LOW LOW",NA
