"Year","season","fleet","CPUE","sd"
0,1,2,0.000146845342717486,0.1
1,1,2,0.00026241650744414,0.1
2,1,2,0.000362947034318513,0.1
3,1,2,0.000364836956320217,0.1
4,1,2,0.000395369594174202,0.1
5,1,2,0.000354312641701546,0.1
6,1,2,0.000487945393569823,0.1
7,1,2,0.00043144237955265,0.1
8,1,2,0.000499817793784609,0.1
9,1,2,0.000488422840074918,0.1
10,1,2,0.000424183117660082,0.1
11,1,2,0.000534110146805297,0.1
12,1,2,0.000543576228311578,0.1
13,1,2,0.00046366749334443,0.1
14,1,2,0.000379409437228886,0.1
15,1,2,0.000388371564031392,0.1
16,1,2,0.000498980990243745,0.1
17,1,2,0.000435295453832004,0.1
18,1,2,0.000438564561290693,0.1
19,1,2,0.000388766739724668,0.1
20,1,2,0.000454858276410653,0.1
21,1,2,0.000381585489060454,0.1
22,1,2,0.000442648306597987,0.1
23,1,2,0.000411679343667989,0.1
24,1,2,0.000470536158091914,0.1
25,1,2,0.0004894407193896,0.1
26,1,2,0.000455517513983733,0.1
27,1,2,0.000432214717333114,0.1
28,1,2,0.000468492402343173,0.1
29,1,2,0.000506378361611482,0.1
30,1,2,0.00051913855692156,0.1
31,1,2,0.000412660759469387,0.1
32,1,2,0.00042410259879063,0.1
33,1,2,0.000516770849368383,0.1
34,1,2,0.000507587151781395,0.1
35,1,2,0.00049631308422808,0.1
36,1,2,0.000396674900786081,0.1
37,1,2,0.000460261801504191,0.1
38,1,2,0.000417948582500765,0.1
39,1,2,0.000415994123918661,0.1
40,1,2,0.0005082010357636,0.1
41,1,2,0.000548118509307842,0.1
42,1,2,0.000502453244406185,0.1
43,1,2,0.000525691363347709,0.1
44,1,2,0.000525416069805186,0.1
45,1,2,0.00040983211020611,0.1
46,1,2,0.000540751057358328,0.1
47,1,2,0.000518823380897886,0.1
48,1,2,0.000539189610109101,0.1
49,1,2,0.000526489535898783,0.1
50,1,2,0.000532016607640933,0.1
51,1,2,0.000436129216012165,0.1
52,1,2,0.000384163446000954,0.1
53,1,2,0.000285041487267445,0.1
54,1,2,0.000370460676094295,0.1
55,1,2,0.000261305271380929,0.1
56,1,2,0.000216939788372974,0.1
57,1,2,0.000207664401123047,0.1
58,1,2,0.000259626191077426,0.1
59,1,2,0.000258112450576353,0.1
60,1,2,0.000303830109529436,0.1
61,1,2,0.000224241572900123,0.1
62,1,2,0.000229656073347665,0.1
63,1,2,0.000194027421050837,0.1
64,1,2,0.00019612502323452,0.1
65,1,2,0.000212351573323718,0.1
66,1,2,0.000214259756650263,0.1
67,1,2,0.000150872147165358,0.1
68,1,2,0.000178551870003904,0.1
69,1,2,0.000214501637555167,0.1
70,1,2,0.000212687147305656,0.1
71,1,2,0.000297356279090074,0.1
72,1,2,0.00032723258892154,0.1
73,1,2,0.000337196931681784,0.1
74,1,2,0.000269355476682175,0.1
75,1,2,0.00034274054989799,0.1
76,1,2,0.000361119844579193,0.1
77,1,2,0.000258083484625926,0.1
78,1,2,0.000314899420300322,0.1
79,1,2,0.000353702828253945,0.1
80,1,2,0.000364315184390277,0.1
81,1,2,0.000371864349664622,0.1
82,1,2,0.000424916880366918,0.1
83,1,2,0.00040673311561666,0.1
84,1,2,0.000287135685796207,0.1
85,1,2,0.000285311245568288,0.1
86,1,2,0.000269742653923941,0.1
87,1,2,0.000250817651181928,0.1
88,1,2,0.000351474311364997,0.1
89,1,2,0.00033868897342879,0.1
90,1,2,0.000308848276628059,0.1
91,1,2,0.000311690743800469,0.1
92,1,2,0.000295953044011186,0.1
93,1,2,0.000263412214324714,0.1
94,1,2,0.00025473882752835,0.1
95,1,2,0.000268430960328144,0.1
96,1,2,0.00023125764699305,0.1
97,1,2,0.000211489472020854,0.1
98,1,2,0.000253979490017297,0.1
99,1,2,0.000290020111229147,0.1
