"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.4321635564704,0,0,0.502273224849447,0,0.25,0.05,"LOW LOW LOW",NA
1,2,2,63.0876237110818,0,0,0.500367492682486,0,0.25,0.05,"LOW LOW LOW",NA
1,3,3,61.3738679933837,0,0,0.498773776373083,0,0.25,0.05,"LOW LOW LOW",NA
1,4,4,66.5909988059965,0,0,0.498347784040145,0,0.25,0.05,"LOW LOW LOW",NA
1,5,5,60.9855883262026,0,0,0.499553670450415,0,0.25,0.05,"LOW LOW LOW",NA
1,6,6,63.8839565727109,0,0,0.500650765816151,0,0.25,0.05,"LOW LOW LOW",NA
1,7,7,62.1911511259093,0,0,0.500921020935242,0,0.25,0.05,"LOW LOW LOW",NA
1,8,8,63.9561959659822,0,0,0.500086170056986,0,0.25,0.05,"LOW LOW LOW",NA
1,9,9,62.1470707760029,0,0,0.501750751989773,0,0.25,0.05,"LOW LOW LOW",NA
1,10,10,60.5580040955769,0,0,0.499924652264598,0,0.25,0.05,"LOW LOW LOW",NA
1,11,11,66.1156198533354,0,0,0.499117868312142,0,0.25,0.05,"LOW LOW LOW",NA
1,12,12,61.3795326147779,0,0,0.501619665126206,0,0.25,0.05,"LOW LOW LOW",NA
1,2,2,99.3970035222957,1,1,1.50166363417235,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,5,5,94.5052963655901,1,1,1.49936017022306,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,6,6,101.278617426087,1,1,1.50058626278828,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,7,7,97.2974770438014,1,1,1.50062485891034,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,8,8,101.450081442464,1,1,1.50158428286219,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,9,9,97.1947524241751,1,1,1.49949826588911,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,10,10,93.5235827885257,1,1,1.500998908059,0,0.25,0.186605496863371,"LOW LOW LOW",NA
1,11,11,106.634979079586,1,1,1.49956260777136,0,0.25,0.186605496863371,"LOW LOW LOW",NA
2,13,1,61.8828642017587,1,0,0.500290536504367,0,0.25,0.05,"LOW LOW LOW",NA
2,14,2,60.9241695940634,1,0,0.499246682301639,0,0.25,0.05,"LOW LOW LOW",NA
