"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
70,4,4.49962299092246,17.5099991272351,"LOW LOW MED",0.155397420283407,NA
95,0,0.499544906330081,6.31144577815505,"LOW LOW MED",0.228382107429206,NA
23,0,0.497106257810156,6.08336018618642,"LOW LOW MED",0,NA
51,0,0.499230154029367,6.08799761522709,"LOW LOW MED",0.175186962005682,NA
81,3,3.50060729345413,13.7638732895439,"LOW LOW MED",0.109855142887682,NA
18,4,4.50050349947894,17.0721911022652,"LOW LOW MED",0,NA
22,0,0.499086520672767,6.15645204871687,"LOW LOW MED",0,NA
15,12,12.499683324431,20.5849634377606,"LOW LOW MED",0,NA
21,0,0.50038242018882,6.30720253632996,"LOW LOW MED",0,NA
24,6,6.50012663884871,20.0213492683143,"LOW LOW MED",0,NA
42,0,0.501097813247108,6.31789199304719,"LOW LOW MED",0,NA
62,7,7.49908954663493,19.1401527815055,"LOW LOW MED",0.102199655701406,NA
76,1,1.49971345824657,10.1541268697354,"LOW LOW MED",0.149386187666096,NA
4,3,3.50014269302228,15.1839432745036,"LOW LOW MED",0,NA
98,3,3.50064210135455,13.6386215544685,"LOW LOW MED",0.238794296816923,NA
20,2,2.49946294591358,12.5539761100835,"LOW LOW MED",0,NA
16,4,4.49958745514166,15.2163662625722,"LOW LOW MED",0,NA
12,5,5.49957360379138,16.3884534601754,"LOW LOW MED",0,NA
79,5,5.49969021837186,17.8463753392097,"LOW LOW MED",0.187179713812657,NA
75,0,0.500061114445609,6.19641232749481,"LOW LOW MED",0.106907726917416,NA
19,5,5.50067217722974,19.1091160573578,"LOW LOW MED",0,NA
75,0,0.499942362400076,6.46995293832205,"LOW LOW MED",0.140507577033713,NA
32,8,8.49860306611736,19.8377928764457,"LOW LOW MED",0,NA
8,0,0.50093026369974,6.14296366770503,"LOW LOW MED",0,NA
53,1,1.49982354201729,9.22389803301897,"LOW LOW MED",0.149769219779409,NA
89,0,0.500745383698697,6.09019168438098,"LOW LOW MED",0.26691098776646,NA
9,1,1.49941076987767,9.83493700938134,"LOW LOW MED",0,NA
100,2,2.50178449927668,12.8070674003763,"LOW LOW MED",0.292784180655144,NA
65,3,3.49960211088864,15.6664083993147,"LOW LOW MED",0.142669174191542,NA
41,2,2.49850863438617,13.0309442770152,"LOW LOW MED",0,NA
23,1,1.50008389483012,9.31514513876644,"LOW LOW MED",0,NA
39,0,0.499199079757973,6.20610817763529,"LOW LOW MED",0,NA
15,1,1.49928957490754,10.4273130302858,"LOW LOW MED",0,NA
96,2,2.5004504804803,13.8862098131298,"LOW LOW MED",0.208101860038005,NA
17,0,0.500994384339263,6.55181537750645,"LOW LOW MED",0,NA
43,7,7.4990031071106,18.4171102236975,"LOW LOW MED",0,NA
57,2,2.49883659421194,12.0069189095243,"LOW LOW MED",0.164210664690472,NA
16,1,1.49934257263189,9.40193463047181,"LOW LOW MED",0,NA
18,2,2.49946286876662,11.7721496626301,"LOW LOW MED",0,NA
90,0,0.501255323397262,6.22212498620574,"LOW LOW MED",0.204036796023138,NA
48,0,0.4989883262541,6.27401616627058,"LOW LOW MED",0,NA
