"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,94.3271838977869,1,1,1.49884632718348,"M",0,0.25,1,"LOW LOW MED",NA
1,2,192.704507943912,5,5,5.49955134723545,"M",0,0.25,1,"LOW LOW MED",NA
1,3,125.433395624654,2,2,2.49966732403511,"M",0,0.25,1,"LOW LOW MED",NA
1,4,98.5284790689501,1,1,1.49990845880491,"M",0,0.25,1,"LOW LOW MED",NA
1,5,178.932149495342,6,6,6.5004288692792,"M",0,0.25,1,"LOW LOW MED",NA
1,6,97.7342635187212,1,1,1.50044280516084,"M",0,0.25,1,"LOW LOW MED",NA
1,7,143.402946617736,3,3,3.4983156682312,"M",0,0.25,1,"LOW LOW MED",NA
1,8,221.801235970003,6,6,6.50058357895031,"M",0,0.25,1,"LOW LOW MED",NA
1,9,147.279549154367,4,4,4.50100842066947,"M",0,0.25,1,"LOW LOW MED",NA
1,10,182.800368961487,14,14,14.5010188375129,"M",0,0.25,1,"LOW LOW MED",NA
1,11,126.555333859775,2,2,2.49905497504565,"M",0,0.25,1,"LOW LOW MED",NA
1,12,123.643414996817,2,2,2.49929977689103,"M",0,0.25,1,"LOW LOW MED",NA
1,13,125.596004774779,2,2,2.50073018009599,"M",0,0.25,1,"LOW LOW MED",NA
1,14,61.0846835729484,0,0,0.498649166964205,"M",0,0.25,1,"LOW LOW MED",NA
2,1,97.2006903690623,2,1,1.50074124729622,"M",0,0.25,1,"LOW LOW MED",NA
2,2,206.350910178295,9,8,8.50013759639046,"M",0,0.25,1,"LOW LOW MED",NA
2,3,151.082274086047,4,3,3.49854381124484,"M",0,0.25,1,"LOW LOW MED",NA
2,4,194.988095006341,7,6,6.50021834003011,"M",0,0.25,1,"LOW LOW MED",NA
2,5,176.573687240908,7,6,6.50102962583806,"M",0,0.25,1,"LOW LOW MED",NA
2,6,195.198569350773,7,6,6.50057544726594,"M",0,0.25,1,"LOW LOW MED",NA
2,7,168.008745571462,7,6,6.4989036278837,"M",0,0.25,1,"LOW LOW MED",NA
2,8,188.082014398299,5,4,4.50024530810615,"M",0,0.25,1,"LOW LOW MED",NA
2,9,172.012086988497,6,5,5.4998486198819,"M",0,0.25,1,"LOW LOW MED",NA
2,10,155.259012799021,5,4,4.50112461691668,"M",0,0.25,1,"LOW LOW MED",NA
2,11,190.57577278592,7,6,6.50157485150131,"M",0,0.25,1,"LOW LOW MED",NA
2,12,176.144394528107,6,5,5.499499622561,"M",0,0.25,1,"LOW LOW MED",NA
2,13,94.7581923470372,2,1,1.49930078762373,"M",0,0.25,1,"LOW LOW MED",NA
2,14,203.869252490148,9,8,8.49900790854406,"M",0,0.25,1,"LOW LOW MED",NA
2,15,119.348368171257,3,2,2.49989345388765,"M",0,0.25,1,"LOW LOW MED",NA
3,1,187.919740912324,10,8,8.50237739153335,"M",0,0.25,1,"LOW LOW MED",NA
3,2,156.357162786434,6,4,4.49969792170696,"M",0,0.25,1,"LOW LOW MED",NA
3,3,102.429501570078,3,1,1.50108221354036,"M",0,0.25,1,"LOW LOW MED",NA
3,4,122.27596687523,4,2,2.49925092802918,"M",0,0.25,1,"LOW LOW MED",NA
3,5,130.107062116491,4,2,2.50064555779629,"M",0,0.25,1,"LOW LOW MED",NA
3,6,63.5364454446512,2,0,0.49927896976466,"M",0,0.25,1,"LOW LOW MED",NA
3,7,100.671981586534,3,1,1.50077577860388,"M",0,0.25,1,"LOW LOW MED",NA
3,8,130.678352560755,5,3,3.49990688677126,"M",0,0.25,1,"LOW LOW MED",NA
3,9,164.47002051062,5,3,3.49750951049007,"M",0,0.25,1,"LOW LOW MED",NA
3,10,128.586390454818,4,2,2.4980093859026,"M",0,0.25,1,"LOW LOW MED",NA
3,11,100.419250974555,3,1,1.49996811566648,"M",0,0.25,1,"LOW LOW MED",NA
3,12,61.1015758042154,2,0,0.499540287334793,"M",0,0.25,1,"LOW LOW MED",NA
4,1,63.158826481089,3,0,0.502195549378713,"M",0,0.25,1,"LOW LOW MED",NA
4,2,153.12295992213,6,3,3.50001957335411,"M",0,0.25,1,"LOW LOW MED",NA
4,3,128.248415701512,5,2,2.49973314490062,"M",0,0.25,1,"LOW LOW MED",NA
4,4,62.3774715968263,3,0,0.499822342721649,"M",0,0.25,1,"LOW LOW MED",NA
4,5,96.0480663573706,4,1,1.49917744133502,"M",0,0.25,1,"LOW LOW MED",NA
4,6,164.033489972188,7,4,4.49854911439919,"M",0,0.25,1,"LOW LOW MED",NA
4,7,93.6106931112638,4,1,1.49937613366326,"M",0,0.25,1,"LOW LOW MED",NA
4,8,145.93455035124,6,3,3.5003145244644,"M",0,0.25,1,"LOW LOW MED",NA
4,9,176.763595816896,10,7,7.49885752291764,"M",0,0.25,1,"LOW LOW MED",NA
4,10,190.477361226662,16,13,13.50097279787,"M",0,0.25,1,"LOW LOW MED",NA
4,11,93.0769566167489,4,1,1.49992671059003,"M",0,0.25,1,"LOW LOW MED",NA
4,12,183.827096018713,10,7,7.49985146567028,"M",0,0.25,1,"LOW LOW MED",NA
5,1,204.052300812571,12,8,8.50154585356744,"M",0,0.25,1,"LOW LOW MED",NA
5,2,178.899304964674,9,5,5.50052013289244,"M",0,0.25,1,"LOW LOW MED",NA
5,3,62.5467560604312,4,0,0.499029495730008,"M",0,0.25,1,"LOW LOW MED",NA
5,4,117.874110393223,6,2,2.50012887943755,"M",0,0.25,1,"LOW LOW MED",NA
5,5,64.8621196398647,4,0,0.5006548051861,"M",0,0.25,1,"LOW LOW MED",NA
5,6,96.601116211637,5,1,1.49976184392088,"M",0,0.25,1,"LOW LOW MED",NA
5,7,205.014785983254,11,7,7.50110132331555,"M",0,0.25,1,"LOW LOW MED",NA
5,8,137.077678360884,7,3,3.50067491503382,"M",0,0.25,1,"LOW LOW MED",NA
5,9,138.634527043073,7,3,3.49930896347988,"M",0,0.25,1,"LOW LOW MED",NA
5,10,154.016375977919,7,3,3.50034598767113,"M",0,0.25,1,"LOW LOW MED",NA
5,11,61.7720793751191,4,0,0.499606926266745,"M",0,0.25,1,"LOW LOW MED",NA
5,12,63.8156527757917,4,0,0.499196310699137,"M",0,0.25,1,"LOW LOW MED",NA
5,13,94.046256607706,5,1,1.50104029193274,"M",0,0.25,1,"LOW LOW MED",NA
6,1,99.1635764874228,6,1,1.5008418279914,"M",0,0.25,1,"LOW LOW MED",NA
