"Year","season","fleet","CPUE","sd"
0,1,2,0.000125949801940264,0.1
1,1,2,0.000187897330053508,0.1
2,1,2,0.000266998350268534,0.1
3,1,2,0.000362964088926276,0.1
4,1,2,0.000420538547485485,0.1
5,1,2,0.000396982447161824,0.1
6,1,2,0.000474553484824295,0.1
7,1,2,0.000507416205839022,0.1
8,1,2,0.000569788176028925,0.1
9,1,2,0.000535302761874287,0.1
10,1,2,0.000615716063898482,0.1
11,1,2,0.000623221876692759,0.1
12,1,2,0.000617459008522512,0.1
13,1,2,0.000486154352224961,0.1
14,1,2,0.000611707284501561,0.1
15,1,2,0.000832449623486613,0.1
16,1,2,0.000586954141627035,0.1
17,1,2,0.000674174173083392,0.1
18,1,2,0.000505656059802062,0.1
19,1,2,0.000625176224306072,0.1
20,1,2,0.000481012780499202,0.1
21,1,2,0.000590005736765429,0.1
22,1,2,0.000579794337462534,0.1
23,1,2,0.000559219751221709,0.1
24,1,2,0.000617364467733491,0.1
25,1,2,0.000626195690516606,0.1
26,1,2,0.000507060628938343,0.1
27,1,2,0.000442356041784667,0.1
28,1,2,0.000500845178871551,0.1
29,1,2,0.000539095414745331,0.1
30,1,2,0.000523979328212403,0.1
31,1,2,0.000439925890768878,0.1
32,1,2,0.000480999028563284,0.1
33,1,2,0.000505573909836615,0.1
34,1,2,0.000489381075069014,0.1
35,1,2,0.000470719904857147,0.1
36,1,2,0.00038742780908246,0.1
37,1,2,0.000489135335092732,0.1
38,1,2,0.00044718554555368,0.1
39,1,2,0.000385048329246657,0.1
40,1,2,0.000386821536213999,0.1
41,1,2,0.000470495477083244,0.1
42,1,2,0.000414726537008704,0.1
43,1,2,0.000582232667643996,0.1
44,1,2,0.000508146232661224,0.1
45,1,2,0.000486332936022293,0.1
46,1,2,0.000524304282988319,0.1
47,1,2,0.000533769298031365,0.1
48,1,2,0.000556216649697633,0.1
49,1,2,0.000522668960539678,0.1
50,1,2,0.000596339069109011,0.1
51,1,2,0.000460303247002646,0.1
52,1,2,0.00035897437204826,0.1
53,1,2,0.000418809624048721,0.1
54,1,2,0.000405028929478224,0.1
55,1,2,0.000379884927284346,0.1
56,1,2,0.000313827524261817,0.1
57,1,2,0.000329848494414913,0.1
58,1,2,0.000243922487197052,0.1
59,1,2,0.000231377236704495,0.1
60,1,2,0.000251930230918201,0.1
61,1,2,0.00035520549535629,0.1
62,1,2,0.000290480127340876,0.1
63,1,2,0.000314038722647163,0.1
64,1,2,0.000269841690892623,0.1
65,1,2,0.000375990244381725,0.1
66,1,2,0.000303891873331445,0.1
67,1,2,0.000281576295070044,0.1
68,1,2,0.000239618108879802,0.1
69,1,2,0.000285510585096195,0.1
70,1,2,0.000254518999470872,0.1
71,1,2,0.000245139322339452,0.1
72,1,2,0.000347219286090033,0.1
73,1,2,0.000312221020930477,0.1
74,1,2,0.000333591398574339,0.1
75,1,2,0.000317241391730042,0.1
76,1,2,0.000391686157358224,0.1
77,1,2,0.000295803149299832,0.1
78,1,2,0.000366347061591004,0.1
79,1,2,0.000346906714544455,0.1
80,1,2,0.000327915521858913,0.1
81,1,2,0.000440143737262716,0.1
82,1,2,0.000392867224713683,0.1
83,1,2,0.000364711639672322,0.1
84,1,2,0.000371795535248945,0.1
85,1,2,0.000345348928613995,0.1
86,1,2,0.000346879062554234,0.1
87,1,2,0.000292783885550635,0.1
88,1,2,0.000251338687701366,0.1
89,1,2,0.000295908422317898,0.1
90,1,2,0.000296355405164217,0.1
91,1,2,0.000241474614084671,0.1
92,1,2,0.000230565247842776,0.1
93,1,2,0.000340067639556383,0.1
94,1,2,0.000274948748389974,0.1
95,1,2,0.00029611823067325,0.1
96,1,2,0.000256825156743081,0.1
97,1,2,0.000301948441787242,0.1
98,1,2,0.000247124883907791,0.1
99,1,2,0.00022400838690941,0.1
