"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,59.3128689263324,0,0,0.499575100192183,0,0.25,0.05,"LOW MED HIGH",NA
1,2,2,64.8454640487218,0,0,0.498884478164747,0,0.25,0.05,"LOW MED HIGH",NA
1,3,3,62.8568801008263,0,0,0.498899827195465,0,0.25,0.05,"LOW MED HIGH",NA
1,4,4,64.6073037989754,0,0,0.499216700330737,0,0.25,0.05,"LOW MED HIGH",NA
1,5,5,60.9051032174573,0,0,0.499338027043468,0,0.25,0.05,"LOW MED HIGH",NA
1,6,6,63.9281088387825,0,0,0.499677919210255,0,0.25,0.05,"LOW MED HIGH",NA
1,7,7,61.824976281474,0,0,0.500955462272683,0,0.25,0.05,"LOW MED HIGH",NA
1,8,8,61.1861275030258,0,0,0.499695063967283,0,0.25,0.05,"LOW MED HIGH",NA
1,9,9,63.9447464893933,0,0,0.501132605179958,0,0.25,0.05,"LOW MED HIGH",NA
1,10,10,63.3646127791946,0,0,0.499133096156703,0,0.25,0.05,"LOW MED HIGH",NA
1,11,11,61.6593096762516,0,0,0.498499033615913,0,0.25,0.05,"LOW MED HIGH",NA
1,12,12,63.4205168553619,0,0,0.498609154838325,0,0.25,0.05,"LOW MED HIGH",NA
1,1,1,90.6904782237517,1,1,1.50091174727888,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,3,3,98.8547120250941,1,1,1.50074760833558,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,4,4,103.001324631158,1,1,1.50027582398759,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,6,6,101.383399879005,1,1,1.49893512242607,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,8,8,94.9672774012763,1,1,1.49963868541738,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,10,10,100.049713877783,1,1,1.5002075715539,0,0.25,0.186605496863371,"LOW MED HIGH",NA
1,12,12,100.181678282039,1,1,1.50063783282781,0,0.25,0.186605496863371,"LOW MED HIGH",NA
2,13,1,63.5499902400811,1,0,0.500034987047061,0,0.25,0.05,"LOW MED HIGH",NA
2,14,2,62.7225908529931,1,0,0.499950666548415,0,0.25,0.05,"LOW MED HIGH",NA
