"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,59.4503378445672,0,0,0.501564506754254,0,0.25,0.05,"LOW MED LOW",NA
1,1,1,91.0013900291401,1,1,1.50113820468682,0,0.25,0.186605496863371,"LOW MED LOW",NA
1,2,2,63.5843435844082,0,0,0.500547048049599,0,0.25,0.05,"LOW MED LOW",NA
1,2,2,100.568843215217,1,1,1.49961948810141,0,0.25,0.186605496863371,"LOW MED LOW",NA
1,2,2,129.550532328336,2,2,2.49910413933406,0,0.25,0.5,"LOW MED LOW",NA
1,3,3,62.530060998773,0,0,0.500440301524886,0,0.25,0.05,"LOW MED LOW",NA
1,3,3,98.0888705126734,1,1,1.49889116037812,0,0.25,0.186605496863371,"LOW MED LOW",NA
1,3,3,125.491347317721,2,2,2.49977708949496,0,0.25,0.5,"LOW MED LOW",NA
1,3,3,146.608357288418,3,3,3.49951609324482,0,0.25,0.813394503136629,"LOW MED LOW",NA
1,3,3,162.881634820046,4,4,4.50083964485641,0,0.25,0.95,"LOW MED LOW",NA
1,3,3,175.422215233128,5,5,5.50127263630164,0,0.25,0.98806954215117,"LOW MED LOW",NA
1,3,3,185.086289159928,6,6,6.500328054284,0,0.25,0.997237569060774,"LOW MED LOW",NA
1,4,4,61.2435386161651,0,0,0.499807849378314,0,0.25,0.05,"LOW MED LOW",NA
1,4,4,95.0997175870599,1,1,1.4985141771926,0,0.25,0.186605496863371,"LOW MED LOW",NA
1,4,4,120.653310486581,2,2,2.4980948263753,0,0.25,0.5,"LOW MED LOW",NA
1,4,4,139.940369154242,3,3,3.49953537451425,0,0.25,0.813394503136629,"LOW MED LOW",NA
1,4,4,154.49764231393,4,4,4.49898260796368,0,0.25,0.95,"LOW MED LOW",NA
1,4,4,165.485020197583,5,5,5.50114581043032,0,0.25,0.98806954215117,"LOW MED LOW",NA
1,4,4,173.777951946125,6,6,6.49935572810191,0,0.25,0.997237569060774,"LOW MED LOW",NA
1,4,4,180.037199394809,7,7,7.49927357564947,0,0.25,0.999364902956742,"LOW MED LOW",NA
1,4,4,184.761485065042,8,8,8.50050781817305,0,0.25,0.999854227405248,"LOW MED LOW",NA
1,4,4,188.327229234281,9,9,9.50001499303228,0,0.25,0.999966553716173,"LOW MED LOW",NA
1,5,5,62.0311507123732,0,0,0.501212292911142,0,0.25,0.05,"LOW MED LOW",NA
1,5,5,96.9248414844319,1,1,1.49818314805834,0,0.25,0.186605496863371,"LOW MED LOW",NA
1,5,5,123.600214401817,2,2,2.49976737246464,0,0.25,0.5,"LOW MED LOW",NA
1,5,5,143.992884381323,3,3,3.5008753133572,0,0.25,0.813394503136629,"LOW MED LOW",NA
1,5,5,159.582581671817,4,4,4.49919562291409,0,0.25,0.95,"LOW MED LOW",NA
1,5,5,171.500523846798,5,5,5.50004650493828,0,0.25,0.98806954215117,"LOW MED LOW",NA
1,5,5,180.611499065849,6,6,6.50113001482678,0,0.25,0.997237569060774,"LOW MED LOW",NA
