"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,3,222.051267293397,53,14,14.5022191996136,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
44,3,260.21263896764,53,10,10.4994098727472,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
44,8,206.245512298142,56,13,13.500893033002,"FISHED",0.172176243644208,0.25,1,"LOW MED MED",NA
45,8,193.656748658933,50,6,6.49869735624287,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
47,1,165.780084584855,54,8,8.5002480381399,"FISHED",0.127564310049638,0.25,1,"LOW MED MED",NA
47,9,187.691423074402,50,4,4.49959135917395,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
48,1,208.306485587579,52,5,5.49958228704769,"FISHED",0.118984759482555,0.25,1,"LOW MED MED",NA
49,5,173.600414723093,53,5,5.49868800325309,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
49,7,123.232239078211,50,2,2.50257370564706,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
50,2,101.439089450071,50,1,1.49889672022365,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
50,3,174.886137553024,53,4,4.50119700920744,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
50,4,103.282398009524,50,1,1.5023970288419,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
50,5,202.009149027749,57,8,8.49999944173682,"FISHED",0.120040292176418,0.25,1,"LOW MED MED",NA
50,6,172.388859400145,53,4,4.5032447068978,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
50,7,99.4461568211767,50,1,1.50097956591884,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
51,1,154.825527344227,53,3,3.50101210394119,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
51,8,61.9669185141411,50,0,0.49754624461468,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
51,10,62.7986330931168,50,0,0.501187055786118,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
51,11,64.1971227110895,50,0,0.500824698063365,"FISHED",0.184634029702283,0.25,1,"LOW MED MED",NA
51,12,152.168098560835,55,5,5.49950252010473,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
52,3,98.948857003785,52,1,1.50234074998281,"FISHED",0.118984759482555,0.25,1,"LOW MED MED",NA
52,5,96.2096942459963,52,1,1.50039888067743,"FISHED",0.118984759482555,0.25,1,"LOW MED MED",NA
52,7,149.600028761196,55,4,4.50018435864774,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
52,9,62.0424969381414,51,0,0.501556490320243,"FISHED",0.1192902040435,0.25,1,"LOW MED MED",NA
53,2,168.34554351839,56,4,4.50113200084834,"FISHED",0.172176243644208,0.25,1,"LOW MED MED",NA
53,3,64.6750061091175,52,0,0.501529643596299,"FISHED",0.118984759482555,0.25,1,"LOW MED MED",NA
53,7,145.927633913111,55,3,3.49952777197713,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
53,9,140.675785823801,55,3,3.50087579476016,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
54,3,62.5208118222183,53,0,0.499858970490262,"FISHED",0.150354415830225,0.25,1,"LOW MED MED",NA
54,4,194.412449075996,59,6,6.50051282679758,"FISHED",0.129142808169127,0.25,1,"LOW MED MED",NA
54,7,119.107508912316,55,2,2.49936733747794,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
55,8,192.94914498365,59,5,5.49992220255341,"FISHED",0.129142808169127,0.25,1,"LOW MED MED",NA
55,12,136.474868875569,56,2,2.49856493281579,"FISHED",0.172176243644208,0.25,1,"LOW MED MED",NA
56,2,63.0400694361565,55,0,0.500331243219613,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
56,4,63.298216449145,55,0,0.50026118969329,"FISHED",0.128097582841292,0.25,1,"LOW MED MED",NA
56,5,148.98509862454,58,3,3.4976196858402,"FISHED",0.156361404294148,0.25,1,"LOW MED MED",NA
56,6,123.051877745714,57,2,2.49983394922562,"FISHED",0.120040292176418,0.25,1,"LOW MED MED",NA
56,7,126.3864709825,58,3,3.50078828853084,"FISHED",0.156361404294148,0.25,1,"LOW MED MED",NA
56,11,155.996622883408,59,4,4.49897251648342,"FISHED",0.129142808169127,0.25,1,"LOW MED MED",NA
57,10,154.017993933049,60,4,4.49907396195273,"FISHED",0.126675036898814,0.25,1,"LOW MED MED",NA
58,1,152.253617317271,61,4,4.49975590054679,"FISHED",0.165257069049403,0.25,1,"LOW MED MED",NA
58,5,125.037993853983,59,2,2.50068861719913,"FISHED",0.129142808169127,0.25,1,"LOW MED MED",NA
58,6,187.676959419498,63,6,6.50036879554951,"FISHED",0.113445975980721,0.25,1,"LOW MED MED",NA
58,7,104.846206140864,58,1,1.50072019880868,"FISHED",0.156361404294148,0.25,1,"LOW MED MED",NA
60,3,102.710428083626,60,1,1.50012655741854,"FISHED",0.126675036898814,0.25,1,"LOW MED MED",NA
