"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,144.719768373153,3,3,3.50014863095456,"M",0,0.25,1,"MED HIGH HIGH",NA
1,2,96.5512857224235,1,1,1.49985199070157,"M",0,0.25,1,"MED HIGH HIGH",NA
1,3,66.103756182622,0,0,0.498304026205203,"M",0,0.25,1,"MED HIGH HIGH",NA
1,4,60.1139335670843,0,0,0.498689551605042,"M",0,0.25,1,"MED HIGH HIGH",NA
1,5,168.173063049474,5,5,5.50034035287299,"M",0,0.25,1,"MED HIGH HIGH",NA
1,6,180.204384877192,5,5,5.50067125718604,"M",0,0.25,1,"MED HIGH HIGH",NA
1,7,167.110443500026,4,4,4.50022970837458,"M",0,0.25,1,"MED HIGH HIGH",NA
1,8,61.8656193745975,0,0,0.49943312860594,"M",0,0.25,1,"MED HIGH HIGH",NA
1,9,66.187481803599,0,0,0.499034443783261,"M",0,0.25,1,"MED HIGH HIGH",NA
1,10,62.3910858897637,0,0,0.500362614487143,"M",0,0.25,1,"MED HIGH HIGH",NA
1,11,125.487969287373,2,2,2.50025622465014,"M",0,0.25,1,"MED HIGH HIGH",NA
1,12,92.4923367365781,1,1,1.49872507342503,"M",0,0.25,1,"MED HIGH HIGH",NA
1,13,160.749960375437,3,3,3.49936337311487,"M",0,0.25,1,"MED HIGH HIGH",NA
2,1,176.042766160947,6,5,5.49962564816324,"M",0,0.25,1,"MED HIGH HIGH",NA
2,2,124.488823250614,3,2,2.50168117699261,"M",0,0.25,1,"MED HIGH HIGH",NA
2,3,192.670387034821,9,8,8.49903730843157,"M",0,0.25,1,"MED HIGH HIGH",NA
2,4,196.698619503383,9,8,8.49862854137963,"M",0,0.25,1,"MED HIGH HIGH",NA
2,5,204.797484770398,7,6,6.4998090456986,"M",0,0.25,1,"MED HIGH HIGH",NA
2,6,65.2778088470643,1,0,0.499351790068329,"M",0,0.25,1,"MED HIGH HIGH",NA
2,7,224.45032152316,9,8,8.5001276828284,"M",0,0.25,1,"MED HIGH HIGH",NA
2,8,212.593700463128,8,7,7.49992823729188,"M",0,0.25,1,"MED HIGH HIGH",NA
2,9,176.706391841558,6,5,5.49935257690116,"M",0,0.25,1,"MED HIGH HIGH",NA
2,10,64.04377616648,1,0,0.50082101037208,"M",0,0.25,1,"MED HIGH HIGH",NA
2,11,58.7257694898262,1,0,0.500622756374598,"M",0,0.25,1,"MED HIGH HIGH",NA
2,12,119.662863851278,3,2,2.49878897562722,"M",0,0.25,1,"MED HIGH HIGH",NA
2,13,123.244871722319,3,2,2.50055900383762,"M",0,0.25,1,"MED HIGH HIGH",NA
3,1,102.981077448926,3,1,1.49876850548735,"M",0,0.25,1,"MED HIGH HIGH",NA
3,2,174.113237708719,7,5,5.49995496379268,"M",0,0.25,1,"MED HIGH HIGH",NA
3,3,63.9034338405066,2,0,0.499509735335852,"M",0,0.25,1,"MED HIGH HIGH",NA
3,4,65.5732301898408,2,0,0.499507058978526,"M",0,0.25,1,"MED HIGH HIGH",NA
3,5,98.7972020187409,3,1,1.50141529057271,"M",0,0.25,1,"MED HIGH HIGH",NA
3,6,230.389754151655,11,9,9.49896220460134,"M",0,0.25,1,"MED HIGH HIGH",NA
3,7,145.782117193365,5,3,3.50095010502117,"M",0,0.25,1,"MED HIGH HIGH",NA
3,8,161.328486087157,5,3,3.49877475371083,"M",0,0.25,1,"MED HIGH HIGH",NA
3,9,62.5655633236494,2,0,0.501105610794633,"M",0,0.25,1,"MED HIGH HIGH",NA
