"Year","season","fleet","CPUE","sd"
0,1,2,9.09731866384546e-05,0.1
1,1,2,0.000202507523616373,0.1
2,1,2,0.000296687169230926,0.1
3,1,2,0.000366950552611219,0.1
4,1,2,0.000315611870639086,0.1
5,1,2,0.000449554476528122,0.1
6,1,2,0.000582913264055845,0.1
7,1,2,0.000538372167490601,0.1
8,1,2,0.000425911066292005,0.1
9,1,2,0.000606823099795557,0.1
10,1,2,0.000546328086902448,0.1
11,1,2,0.000516574184914865,0.1
12,1,2,0.000635593030592957,0.1
13,1,2,0.000528077583934213,0.1
14,1,2,0.000573653047628283,0.1
15,1,2,0.000475538584750631,0.1
16,1,2,0.000517662166554432,0.1
17,1,2,0.0005851665540968,0.1
18,1,2,0.000488555570077673,0.1
19,1,2,0.000516420004875276,0.1
20,1,2,0.000587740020329527,0.1
21,1,2,0.000562875656916745,0.1
22,1,2,0.000476549552548159,0.1
23,1,2,0.00042652180688527,0.1
24,1,2,0.000490713569747703,0.1
25,1,2,0.000502584401083048,0.1
26,1,2,0.000463877931117569,0.1
27,1,2,0.000409416763136448,0.1
28,1,2,0.000470124937588687,0.1
29,1,2,0.000361903767990482,0.1
30,1,2,0.000453544224694699,0.1
31,1,2,0.00041182137119908,0.1
32,1,2,0.000376525435144466,0.1
33,1,2,0.000506808183327531,0.1
34,1,2,0.000440939098261041,0.1
35,1,2,0.000521437383577442,0.1
36,1,2,0.000436943566289417,0.1
37,1,2,0.000448692473066153,0.1
38,1,2,0.000616788338129583,0.1
39,1,2,0.00056195504366645,0.1
40,1,2,0.00055267906843353,0.1
41,1,2,0.000636405998938864,0.1
42,1,2,0.000579577483498754,0.1
43,1,2,0.000633325893770671,0.1
44,1,2,0.00059454287671174,0.1
45,1,2,0.000578612376444349,0.1
46,1,2,0.000544655397830094,0.1
47,1,2,0.000605469014408021,0.1
48,1,2,0.000684402115325944,0.1
49,1,2,0.000449208398129981,0.1
50,1,2,0.000467514769783493,0.1
51,1,2,0.000457763765542382,0.1
52,1,2,0.000415772741099193,0.1
53,1,2,0.000297237745698798,0.1
54,1,2,0.000273875366460764,0.1
55,1,2,0.000379880782035719,0.1
56,1,2,0.000426452232597781,0.1
57,1,2,0.00027112662376068,0.1
58,1,2,0.000211275840955405,0.1
59,1,2,0.000159756939638207,0.1
60,1,2,0.000252018014681978,0.1
61,1,2,0.000318796018858364,0.1
62,1,2,0.000222363043325388,0.1
63,1,2,0.000236545901087219,0.1
64,1,2,0.000162017314348311,0.1
65,1,2,0.000160122113720196,0.1
66,1,2,0.000225431217134494,0.1
67,1,2,0.000166942664007296,0.1
68,1,2,0.000203246844089527,0.1
69,1,2,0.00017609108960652,0.1
70,1,2,0.00026808646026624,0.1
71,1,2,0.000296591819872993,0.1
72,1,2,0.000242237892674213,0.1
73,1,2,0.000248000602347847,0.1
74,1,2,0.000316244779290417,0.1
75,1,2,0.000315195220943372,0.1
76,1,2,0.000249731263396866,0.1
77,1,2,0.000239485465539819,0.1
78,1,2,0.000165580880020907,0.1
79,1,2,0.000172746346329935,0.1
80,1,2,0.000187779781394461,0.1
81,1,2,0.000200504639193951,0.1
82,1,2,0.000262138391484912,0.1
83,1,2,0.000229701618649377,0.1
84,1,2,0.000226336513987343,0.1
85,1,2,0.000312931591631432,0.1
86,1,2,0.000219088407112514,0.1
87,1,2,0.000220443335719654,0.1
88,1,2,0.00017209458671325,0.1
89,1,2,0.000171665737236672,0.1
90,1,2,0.000159759712905523,0.1
91,1,2,8.9360561551845e-05,0.1
92,1,2,8.77878938592847e-05,0.1
93,1,2,0.000136893005678417,0.1
94,1,2,0.000161254658288173,0.1
95,1,2,0.000162827760922178,0.1
96,1,2,0.00020219274051935,0.1
97,1,2,0.000316853553495537,0.1
98,1,2,0.000253710352637187,0.1
99,1,2,0.000187451690642677,0.1
