"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,141.500688772216,3,3,3.50014333265484,"M",0,0.25,1,"MED HIGH MED",NA
1,2,135.511573978106,2,2,2.49965158632442,"M",0,0.25,1,"MED HIGH MED",NA
1,3,190.257090822968,14,14,14.4997290320201,"M",0,0.25,1,"MED HIGH MED",NA
1,4,130.09470045874,2,2,2.50031033416533,"M",0,0.25,1,"MED HIGH MED",NA
1,5,61.8591128049536,0,0,0.502223512451248,"M",0,0.25,1,"MED HIGH MED",NA
1,6,63.2464851718984,0,0,0.499495598400713,"M",0,0.25,1,"MED HIGH MED",NA
1,7,61.5275478891793,0,0,0.498797213748699,"M",0,0.25,1,"MED HIGH MED",NA
1,8,97.9241447630116,1,1,1.49840834699792,"M",0,0.25,1,"MED HIGH MED",NA
1,9,62.5053928404298,0,0,0.499633329932707,"M",0,0.25,1,"MED HIGH MED",NA
1,10,62.2878857743138,0,0,0.502629006268724,"M",0,0.25,1,"MED HIGH MED",NA
1,11,159.793706477134,4,4,4.49938195800909,"M",0,0.25,1,"MED HIGH MED",NA
2,1,59.5865763461756,1,0,0.500379067699228,"M",0,0.25,1,"MED HIGH MED",NA
2,2,63.4219665497867,1,0,0.501560663580745,"M",0,0.25,1,"MED HIGH MED",NA
2,3,210.071710838301,11,10,10.5000520781281,"M",0,0.25,1,"MED HIGH MED",NA
2,4,149.286493887921,3,2,2.4986164506696,"M",0,0.25,1,"MED HIGH MED",NA
2,5,102.40834768212,2,1,1.49941597739201,"M",0,0.25,1,"MED HIGH MED",NA
2,6,122.803774639007,3,2,2.50045609902654,"M",0,0.25,1,"MED HIGH MED",NA
2,7,148.723401776005,4,3,3.50096173932849,"M",0,0.25,1,"MED HIGH MED",NA
2,8,156.609814881122,4,3,3.49947342365839,"M",0,0.25,1,"MED HIGH MED",NA
2,9,152.008308391819,4,3,3.49993675332784,"M",0,0.25,1,"MED HIGH MED",NA
2,10,190.102096566957,14,13,13.5015354382993,"M",0,0.25,1,"MED HIGH MED",NA
2,11,195.632531836008,6,5,5.49963417713,"M",0,0.25,1,"MED HIGH MED",NA
2,12,226.844278161788,9,8,8.4986928856684,"M",0,0.25,1,"MED HIGH MED",NA
2,13,99.9035037487897,2,1,1.49985324802074,"M",0,0.25,1,"MED HIGH MED",NA
2,14,174.423654467571,8,7,7.49952413302777,"M",0,0.25,1,"MED HIGH MED",NA
3,1,98.3187800916936,3,1,1.49948748121275,"M",0,0.25,1,"MED HIGH MED",NA
3,2,230.251470598058,11,9,9.49903756286552,"M",0,0.25,1,"MED HIGH MED",NA
3,3,130.562668204901,4,2,2.50096609243706,"M",0,0.25,1,"MED HIGH MED",NA
3,4,204.127679239118,14,12,12.5011992540554,"M",0,0.25,1,"MED HIGH MED",NA
3,5,199.681969133303,7,5,5.4993433470465,"M",0,0.25,1,"MED HIGH MED",NA
3,6,63.9978942371844,2,0,0.500867868577066,"M",0,0.25,1,"MED HIGH MED",NA
3,7,95.5503672759422,3,1,1.49880272162063,"M",0,0.25,1,"MED HIGH MED",NA
3,8,63.8209937735227,2,0,0.500004137310782,"M",0,0.25,1,"MED HIGH MED",NA
3,9,121.49704829493,4,2,2.49971911104779,"M",0,0.25,1,"MED HIGH MED",NA
3,10,212.367886898085,7,5,5.49923531927673,"M",0,0.25,1,"MED HIGH MED",NA
3,11,216.517066534367,14,12,12.5012085316283,"M",0,0.25,1,"MED HIGH MED",NA
3,12,243.052951128801,11,9,9.49837975651486,"M",0,0.25,1,"MED HIGH MED",NA
3,13,103.726275484203,3,1,1.49847690814924,"M",0,0.25,1,"MED HIGH MED",NA
4,1,199.269699683059,10,7,7.49837653069465,"M",0,0.25,1,"MED HIGH MED",NA
4,2,219.424620518893,14,11,11.4994858399157,"M",0,0.25,1,"MED HIGH MED",NA
4,3,131.867643979603,5,2,2.49964343816582,"M",0,0.25,1,"MED HIGH MED",NA
4,4,161.122648265712,8,5,5.49952482498644,"M",0,0.25,1,"MED HIGH MED",NA
4,5,59.9214975669502,3,0,0.500976782640623,"M",0,0.25,1,"MED HIGH MED",NA
4,6,63.3300481395216,3,0,0.499728406496024,"M",0,0.25,1,"MED HIGH MED",NA
4,7,62.4265254095287,3,0,0.500363678204403,"M",0,0.25,1,"MED HIGH MED",NA
4,8,152.651158826314,6,3,3.50140029119543,"M",0,0.25,1,"MED HIGH MED",NA
4,9,163.453598146036,7,4,4.50023533498642,"M",0,0.25,1,"MED HIGH MED",NA
4,10,63.5848314710097,3,0,0.498895328454385,"M",0,0.25,1,"MED HIGH MED",NA
4,11,153.056102479888,6,3,3.50183401537939,"M",0,0.25,1,"MED HIGH MED",NA
4,12,60.6769676385532,3,0,0.500865104069732,"M",0,0.25,1,"MED HIGH MED",NA
5,1,190.270367102522,11,7,7.50046677108198,"M",0,0.25,1,"MED HIGH MED",NA
5,2,93.2517793151308,5,1,1.49977253023474,"M",0,0.25,1,"MED HIGH MED",NA
5,3,94.1328846431529,5,1,1.5005600437893,"M",0,0.25,1,"MED HIGH MED",NA
5,4,131.595210635577,6,2,2.49905873234548,"M",0,0.25,1,"MED HIGH MED",NA
5,5,62.2458745188158,4,0,0.499672599301087,"M",0,0.25,1,"MED HIGH MED",NA
5,6,135.133045485588,6,2,2.50043093986187,"M",0,0.25,1,"MED HIGH MED",NA
5,7,189.357151234681,12,8,8.49991712985589,"M",0,0.25,1,"MED HIGH MED",NA
5,8,143.777225690347,7,3,3.49938805233007,"M",0,0.25,1,"MED HIGH MED",NA
5,9,133.676605807741,7,3,3.50016877649589,"M",0,0.25,1,"MED HIGH MED",NA
5,10,92.0406728467696,5,1,1.49904201899726,"M",0,0.25,1,"MED HIGH MED",NA
5,11,100.499268734812,5,1,1.50197750327098,"M",0,0.25,1,"MED HIGH MED",NA
5,12,63.4905750999591,4,0,0.500990653194807,"M",0,0.25,1,"MED HIGH MED",NA
5,13,161.87060983321,9,5,5.50054731740797,"M",0,0.25,1,"MED HIGH MED",NA
6,1,100.379852346292,6,1,1.50022487132641,"M",0,0.25,1,"MED HIGH MED",NA
6,2,103.440842233042,6,1,1.50115043165071,"M",0,0.25,1,"MED HIGH MED",NA
6,3,172.541567453072,11,6,6.50084139581232,"M",0,0.25,1,"MED HIGH MED",NA
6,4,93.583654858862,6,1,1.50053745501626,"M",0,0.25,1,"MED HIGH MED",NA
6,5,132.121137707978,7,2,2.49891699967854,"M",0,0.25,1,"MED HIGH MED",NA
6,6,130.56110845456,7,2,2.49990301223047,"M",0,0.25,1,"MED HIGH MED",NA
6,7,203.291263916779,11,6,6.50000804190385,"M",0,0.25,1,"MED HIGH MED",NA
6,8,217.361981504848,17,12,12.5009373723985,"M",0,0.25,1,"MED HIGH MED",NA
6,9,134.400662652838,7,2,2.49866906752407,"M",0,0.25,1,"MED HIGH MED",NA
6,10,169.153602730014,13,8,8.49977294520524,"M",0,0.25,1,"MED HIGH MED",NA
7,1,62.9240943368344,6,0,0.502355166872259,"M",0,0.25,1,"MED HIGH MED",NA
7,2,227.274024143265,13,7,7.50006592532698,"M",0,0.25,1,"MED HIGH MED",NA
7,3,135.326301664978,8,2,2.5003350781382,"M",0,0.25,1,"MED HIGH MED",NA
7,4,100.216454137964,7,1,1.50020424394177,"M",0,0.25,1,"MED HIGH MED",NA
7,5,127.963276744495,8,2,2.50127513389532,"M",0,0.25,1,"MED HIGH MED",NA
7,6,123.929909697496,8,2,2.50000522529209,"M",0,0.25,1,"MED HIGH MED",NA
7,7,127.113340468058,8,2,2.50071595179612,"M",0,0.25,1,"MED HIGH MED",NA
7,8,63.2605364880042,6,0,0.500156761713609,"M",0,0.25,1,"MED HIGH MED",NA
7,9,64.9047393200501,6,0,0.50025338109135,"M",0,0.25,1,"MED HIGH MED",NA
7,10,98.7219868253225,7,1,1.49908956417751,"M",0,0.25,1,"MED HIGH MED",NA
7,11,124.160535974237,8,2,2.4999114469647,"M",0,0.25,1,"MED HIGH MED",NA
7,12,147.78729015546,9,3,3.49952739707302,"M",0,0.25,1,"MED HIGH MED",NA
8,1,170.478102649865,21,14,14.4998969008429,"M",0,0.25,1,"MED HIGH MED",NA
8,2,176.97017199995,12,5,5.49854249184056,"M",0,0.25,1,"MED HIGH MED",NA
8,3,61.3536920602331,7,0,0.500059267284344,"M",0,0.25,1,"MED HIGH MED",NA
8,4,61.6592581526656,7,0,0.500121912960689,"M",0,0.25,1,"MED HIGH MED",NA
8,5,159.932159984906,12,5,5.49864626021379,"M",0,0.25,1,"MED HIGH MED",NA
8,6,196.556592580543,17,10,10.4995423023183,"M",0,0.25,1,"MED HIGH MED",NA
8,7,119.478437607902,9,2,2.49984687910128,"M",0,0.25,1,"MED HIGH MED",NA
8,8,206.753479346775,15,8,8.49933679131651,"M",0,0.25,1,"MED HIGH MED",NA
8,9,155.486939637129,10,3,3.50008761780549,"M",0,0.25,1,"MED HIGH MED",NA
8,10,125.037641980029,9,2,2.50073891334352,"M",0,0.25,1,"MED HIGH MED",NA
8,11,62.7000611675239,7,0,0.501242790796128,"M",0,0.25,1,"MED HIGH MED",NA
8,12,67.9249112486879,7,0,0.500151481620451,"M",0,0.25,1,"MED HIGH MED",NA
9,1,128.784768311655,10,2,2.50110713765167,"M",0,0.25,1,"MED HIGH MED",NA
9,2,107.266604387484,9,1,1.50059769841074,"M",0,0.25,1,"MED HIGH MED",NA
9,3,146.459745137744,11,3,3.50158358600462,"M",0,0.25,1,"MED HIGH MED",NA
9,4,61.5229850539663,8,0,0.500864846846725,"M",0,0.25,1,"MED HIGH MED",NA
9,5,65.0893260371467,8,0,0.500549337914446,"M",0,0.25,1,"MED HIGH MED",NA
9,6,189.224289753104,14,6,6.49923786834511,"M",0,0.25,1,"MED HIGH MED",NA
9,7,63.718844470936,8,0,0.501159970291014,"M",0,0.25,1,"MED HIGH MED",NA
9,8,212.577302766128,16,8,8.49880190057715,"M",0,0.25,1,"MED HIGH MED",NA
9,9,144.197836564357,10,2,2.50225294983676,"M",0,0.25,1,"MED HIGH MED",NA
9,10,95.2611258757055,9,1,1.50022144458754,"M",0,0.25,1,"MED HIGH MED",NA
9,11,121.868181712665,10,2,2.50052561737835,"M",0,0.25,1,"MED HIGH MED",NA
9,12,171.148233402084,15,7,7.498921686576,"M",0,0.25,1,"MED HIGH MED",NA
10,1,204.884378317607,21,12,12.5001997570687,"M",0,0.25,1,"MED HIGH MED",NA
10,2,119.397634594474,11,2,2.50004764696561,"M",0,0.25,1,"MED HIGH MED",NA
10,3,94.5377258113853,10,1,1.49992316281743,"M",0,0.25,1,"MED HIGH MED",NA
10,4,163.135252416718,13,4,4.49876656892746,"M",0,0.25,1,"MED HIGH MED",NA
10,5,91.0807116762247,10,1,1.50011722708712,"M",0,0.25,1,"MED HIGH MED",NA
10,6,96.342469231539,10,1,1.49851704898544,"M",0,0.25,1,"MED HIGH MED",NA
10,7,140.331492338597,12,3,3.49992132645306,"M",0,0.25,1,"MED HIGH MED",NA
10,8,128.38889368571,11,2,2.50033568276676,"M",0,0.25,1,"MED HIGH MED",NA
10,9,210.249858084575,16,7,7.50211760575009,"M",0,0.25,1,"MED HIGH MED",NA
10,10,64.0366258862549,9,0,0.501038441771582,"M",0,0.25,1,"MED HIGH MED",NA
10,11,211.277443556416,22,13,13.4997150686048,"M",0,0.25,1,"MED HIGH MED",NA
11,1,133.151995885684,12,2,2.50010211533345,"M",0,0.25,1,"MED HIGH MED",NA
