"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.2825456360996,0,0,0.500868805902507,0,0.25,0.05,"MED HIGH MED",NA
1,2,2,62.3494949304052,0,0,0.500831065216278,0,0.25,0.05,"MED HIGH MED",NA
1,3,3,62.5518733062702,0,0,0.501214388990254,0,0.25,0.05,"MED HIGH MED",NA
1,4,4,62.0153251847798,0,0,0.498207499741316,0,0.25,0.05,"MED HIGH MED",NA
1,5,5,64.502733679768,0,0,0.501587960115242,0,0.25,0.05,"MED HIGH MED",NA
1,6,6,62.3388222414174,0,0,0.498784939528996,0,0.25,0.05,"MED HIGH MED",NA
1,7,7,62.070628975591,0,0,0.498608025706676,0,0.25,0.05,"MED HIGH MED",NA
1,8,8,62.063955585474,0,0,0.498982672369093,0,0.25,0.05,"MED HIGH MED",NA
1,9,9,61.848717730678,0,0,0.500377825722324,0,0.25,0.05,"MED HIGH MED",NA
1,10,10,62.4676310731323,0,0,0.499744401494441,0,0.25,0.05,"MED HIGH MED",NA
1,1,1,99.8561297725824,1,1,1.49970401232632,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,2,2,97.6668756457725,1,1,1.49959502005803,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,3,3,98.1399017232535,1,1,1.49948710815493,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,4,4,96.8880186573133,1,1,1.50026687654056,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,6,6,97.6419580181826,1,1,1.50052906247973,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,7,7,97.016726388217,1,1,1.50040684193932,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,9,9,96.5007311294975,1,1,1.50046785006798,0,0.25,0.186605496863371,"MED HIGH MED",NA
1,10,10,97.9428767467875,1,1,1.50073692704251,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,11,1,62.1443129776097,1,0,0.499906694398588,0,0.25,0.05,"MED HIGH MED",NA
2,12,2,64.6164798326367,1,0,0.498989479048558,0,0.25,0.05,"MED HIGH MED",NA
2,13,3,62.9407932702076,1,0,0.499732874530825,0,0.25,0.05,"MED HIGH MED",NA
2,14,4,66.6454170737452,1,0,0.50057429191953,0,0.25,0.05,"MED HIGH MED",NA
2,15,5,65.651293923522,1,0,0.500123725338155,0,0.25,0.05,"MED HIGH MED",NA
2,16,6,60.4369294607564,1,0,0.499072053902325,0,0.25,0.05,"MED HIGH MED",NA
2,17,7,64.9724691111454,1,0,0.500468619925457,0,0.25,0.05,"MED HIGH MED",NA
2,18,8,63.3508376755792,1,0,0.5007228653228,0,0.25,0.05,"MED HIGH MED",NA
2,19,9,63.0922444718471,1,0,0.49999997025851,0,0.25,0.05,"MED HIGH MED",NA
2,20,10,61.0980928068244,1,0,0.500842266814132,0,0.25,0.05,"MED HIGH MED",NA
2,21,11,62.1625165782909,1,0,0.499437691328127,0,0.25,0.05,"MED HIGH MED",NA
2,22,12,62.050525257855,1,0,0.500452346765253,0,0.25,0.05,"MED HIGH MED",NA
1,1,1,128.37978755076,2,2,2.49996256380223,0,0.25,0.5,"MED HIGH MED",NA
1,4,4,123.540538266589,2,2,2.49841204525048,0,0.25,0.5,"MED HIGH MED",NA
1,6,6,124.764202711363,2,2,2.49832581577347,0,0.25,0.5,"MED HIGH MED",NA
1,9,9,122.913438974774,2,2,2.49746083214877,0,0.25,0.5,"MED HIGH MED",NA
1,10,10,125.253662938358,2,2,2.49882398217345,0,0.25,0.5,"MED HIGH MED",NA
2,11,1,97.1883272569519,2,1,1.49942091182645,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,13,3,99.0517721343053,2,1,1.49934492215797,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,14,4,107.924610465839,2,1,1.50200941355905,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,17,7,103.875892637565,2,1,1.50077706470786,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,18,8,100.017208876862,2,1,1.50050096064504,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,19,9,99.4078765946626,2,1,1.49947964583359,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,20,10,94.7643502784378,2,1,1.49947988175926,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,21,11,97.2307417912788,2,1,1.49884375501142,0,0.25,0.186605496863371,"MED HIGH MED",NA
2,22,12,96.9699305688499,2,1,1.49909334064633,0,0.25,0.186605496863371,"MED HIGH MED",NA
3,23,1,64.5877924087924,2,0,0.500307681525176,0,0.25,0.05,"MED HIGH MED",NA
3,24,2,64.3164359035439,2,0,0.498870676764996,0,0.25,0.05,"MED HIGH MED",NA
3,25,3,61.0537846999013,2,0,0.499238374402474,0,0.25,0.05,"MED HIGH MED",NA
3,26,4,62.9135295770659,2,0,0.498846030772195,0,0.25,0.05,"MED HIGH MED",NA
3,27,5,61.2676742121722,2,0,0.501064845315854,0,0.25,0.05,"MED HIGH MED",NA
3,28,6,62.0589334110942,2,0,0.500367319197157,0,0.25,0.05,"MED HIGH MED",NA
3,29,7,63.3929075805147,2,0,0.500224987253413,0,0.25,0.05,"MED HIGH MED",NA
3,30,8,62.8349714350865,2,0,0.499676604292456,0,0.25,0.05,"MED HIGH MED",NA
3,31,9,61.997832418303,2,0,0.500443187659004,0,0.25,0.05,"MED HIGH MED",NA
3,32,10,64.985757331597,2,0,0.498891628298308,0,0.25,0.05,"MED HIGH MED",NA
3,33,11,64.520452565496,2,0,0.499721873626306,0,0.25,0.05,"MED HIGH MED",NA
