"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.2468469305054,0,0,0.500423140740259,0,0.25,0.05,"MED LOW HIGH",NA
1,1,1,99.7719736815738,1,1,1.50228186593132,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,1,1,128.241770314655,2,2,2.50043740006346,0,0.25,0.5,"MED LOW HIGH",NA
1,1,1,150.432776682766,3,3,3.50086847780699,0,0.25,0.813394503136629,"MED LOW HIGH",NA
1,1,1,167.729730713598,4,4,4.50022947057389,0,0.25,0.95,"MED LOW HIGH",NA
1,2,2,62.7072612619091,0,0,0.499507784633729,0,0.25,0.05,"MED LOW HIGH",NA
1,3,3,65.2623564853562,0,0,0.499834738767958,0,0.25,0.05,"MED LOW HIGH",NA
1,3,3,104.572510817745,1,1,1.49994119557506,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,3,3,136.189554109398,2,2,2.49897403520001,0,0.25,0.5,"MED LOW HIGH",NA
1,3,3,161.619050469392,3,3,3.50133896431937,0,0.25,0.813394503136629,"MED LOW HIGH",NA
1,3,3,182.071920750707,4,4,4.49828032095543,0,0.25,0.95,"MED LOW HIGH",NA
1,3,3,198.522105088705,5,5,5.49844361106044,0,0.25,0.98806954215117,"MED LOW HIGH",NA
1,3,3,211.75294071383,6,6,6.49972684928519,0,0.25,0.997237569060774,"MED LOW HIGH",NA
1,3,3,222.394463492072,7,7,7.50028591460046,0,0.25,0.999364902956742,"MED LOW HIGH",NA
1,3,3,230.953409445932,8,8,8.50236249844683,0,0.25,0.999854227405248,"MED LOW HIGH",NA
1,3,3,237.837344890854,9,9,9.49928178276407,0,0.25,0.999966553716173,"MED LOW HIGH",NA
1,4,4,63.5841696400557,0,0,0.500010525700661,0,0.25,0.05,"MED LOW HIGH",NA
1,4,4,100.568431788901,1,1,1.50005770004378,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,4,4,129.549855523896,2,2,2.49865162366455,0,0.25,0.5,"MED LOW HIGH",NA
1,5,5,61.8092082578286,0,0,0.500351536533121,0,0.25,0.05,"MED LOW HIGH",NA
1,6,6,64.8950955972395,0,0,0.501729331060194,0,0.25,0.05,"MED LOW HIGH",NA
1,6,6,103.690309264157,1,1,1.50077330986993,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,6,6,134.717594519148,2,2,2.49955908316026,0,0.25,0.5,"MED LOW HIGH",NA
1,6,6,159.532316215489,3,3,3.5006467538042,0,0.25,0.813394503136629,"MED LOW HIGH",NA
1,6,6,179.378409994118,4,4,4.49954896685859,0,0.25,0.95,"MED LOW HIGH",NA
1,7,7,61.0310462845346,0,0,0.500672648391396,0,0.25,0.05,"MED LOW HIGH",NA
1,8,8,61.1715990851742,0,0,0.499808866003649,0,0.25,0.05,"MED LOW HIGH",NA
1,8,8,94.9337750572432,1,1,1.50067323070093,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,8,8,120.386484305259,2,2,2.50014282413281,0,0.25,0.5,"MED LOW HIGH",NA
1,8,8,139.574833083488,3,3,3.50101542466608,0,0.25,0.813394503136629,"MED LOW HIGH",NA
1,8,8,154.040590942396,4,4,4.50243125811312,0,0.25,0.95,"MED LOW HIGH",NA
1,8,8,164.94607076513,5,5,5.49993402100668,0,0.25,0.98806954215117,"MED LOW HIGH",NA
1,8,8,173.167519743057,6,6,6.5015951474052,0,0.25,0.997237569060774,"MED LOW HIGH",NA
1,8,8,179.365525185765,7,7,7.49735977411742,0,0.25,0.999364902956742,"MED LOW HIGH",NA
1,9,9,60.3022250328726,0,0,0.499150494119242,0,0.25,0.05,"MED LOW HIGH",NA
1,9,9,92.9384800371516,1,1,1.50022857782767,0,0.25,0.186605496863371,"MED LOW HIGH",NA
1,9,9,117.192705407358,2,2,2.49979931072159,0,0.25,0.5,"MED LOW HIGH",NA
1,9,9,135.217673291437,3,3,3.50227118528752,0,0.25,0.813394503136629,"MED LOW HIGH",NA
1,9,9,148.613255391585,4,4,4.49937376943301,0,0.25,0.95,"MED LOW HIGH",NA
1,9,9,158.568425406634,5,5,5.50133478915389,0,0.25,0.98806954215117,"MED LOW HIGH",NA
1,9,9,165.96679072496,6,6,6.50142774183511,0,0.25,0.997237569060774,"MED LOW HIGH",NA
1,9,9,171.465020217844,7,7,7.49954331670709,0,0.25,0.999364902956742,"MED LOW HIGH",NA
1,9,9,175.551129277846,8,8,8.50087758994023,0,0.25,0.999854227405248,"MED LOW HIGH",NA
1,9,9,178.587795403157,9,9,9.50042328635881,0,0.25,0.999966553716173,"MED LOW HIGH",NA
1,10,10,66.0501865416749,0,0,0.499607079492649,0,0.25,0.05,"MED LOW HIGH",NA
1,11,11,61.980058579049,0,0,0.501508747130209,0,0.25,0.05,"MED LOW HIGH",NA
2,12,1,60.3047669339511,1,0,0.499412089210918,0,0.25,0.05,"MED LOW HIGH",NA
2,12,1,92.9442867837734,2,1,1.49839143798569,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,12,1,117.201960966365,3,2,2.49921894358209,0,0.25,0.5,"MED LOW HIGH",NA
2,13,2,62.8692780236074,1,0,0.500923593552571,0,0.25,0.05,"MED LOW HIGH",NA
2,13,2,98.8838161468337,2,1,1.49960860601935,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,13,2,126.788048291492,3,2,2.50237687038435,0,0.25,0.5,"MED LOW HIGH",NA
2,13,2,148.408377529613,4,3,3.49881241778697,0,0.25,0.813394503136629,"MED LOW HIGH",NA
2,13,2,165.159909481521,5,4,4.50034012037401,0,0.25,0.95,"MED LOW HIGH",NA
2,13,2,178.139074583274,6,5,5.50039288766929,0,0.25,0.98806954215117,"MED LOW HIGH",NA
2,13,2,188.195392251544,7,6,6.50021661822988,0,0.25,0.997237569060774,"MED LOW HIGH",NA
2,13,2,195.987074093351,8,7,7.49996759790796,0,0.25,0.999364902956742,"MED LOW HIGH",NA
2,13,2,202.024105532355,9,8,8.50002829193541,0,0.25,0.999854227405248,"MED LOW HIGH",NA
2,13,2,206.701625653873,10,9,9.49962915617338,0,0.25,0.999966553716173,"MED LOW HIGH",NA
2,14,3,64.5164956731356,1,0,0.498824275949974,0,0.25,0.05,"MED LOW HIGH",NA
2,15,4,65.4468443079789,1,0,0.501177650875509,0,0.25,0.05,"MED LOW HIGH",NA
2,15,4,105.016925590573,2,1,1.50022612494193,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,15,4,136.932995445007,3,2,2.49963435858971,0,0.25,0.5,"MED LOW HIGH",NA
2,15,4,162.675563616108,4,3,3.50113219013415,0,0.25,0.813394503136629,"MED LOW HIGH",NA
2,15,4,183.438765948544,5,4,4.50124481259903,0,0.25,0.95,"MED LOW HIGH",NA
2,15,4,200.185757477603,6,5,5.50058962248707,0,0.25,0.98806954215117,"MED LOW HIGH",NA
2,15,4,213.693390875572,7,6,6.50006052684008,0,0.25,0.997237569060774,"MED LOW HIGH",NA
2,15,4,224.588252779414,8,7,7.50066962421538,0,0.25,0.999364902956742,"MED LOW HIGH",NA
2,15,4,233.375729638361,9,8,8.49962082623065,0,0.25,0.999854227405248,"MED LOW HIGH",NA
2,15,4,240.463451376192,10,9,9.50044357699417,0,0.25,0.999966553716173,"MED LOW HIGH",NA
2,15,4,246.180200363334,11,10,10.5014226835682,0,0.25,0.999992326698485,"MED LOW HIGH",NA
2,16,5,63.5890808072412,1,0,0.500228972866431,0,0.25,0.05,"MED LOW HIGH",NA
2,16,5,100.580048339084,2,1,1.50053118970674,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,16,5,129.568965410239,3,2,2.50040951833265,0,0.25,0.5,"MED LOW HIGH",NA
2,17,6,64.7520156051048,1,0,0.499095072458573,0,0.25,0.05,"MED LOW HIGH",NA
2,18,7,61.6278374595998,1,0,0.500042817571077,0,0.25,0.05,"MED LOW HIGH",NA
2,18,7,95.9883384658549,2,1,1.5002353986955,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,18,7,122.085313488232,3,2,2.5005054786948,0,0.25,0.5,"MED LOW HIGH",NA
2,18,7,141.906098557535,4,3,3.50082210729193,0,0.25,0.813394503136629,"MED LOW HIGH",NA
2,18,7,156.960085482328,5,4,4.4999000971854,0,0.25,0.95,"MED LOW HIGH",NA
2,18,7,168.393665007026,6,5,5.50047346418992,0,0.25,0.98806954215117,"MED LOW HIGH",NA
2,18,7,177.077526724237,7,6,6.49934728906272,0,0.25,0.997237569060774,"MED LOW HIGH",NA
2,18,7,183.672963801554,8,7,7.50120745275065,0,0.25,0.999364902956742,"MED LOW HIGH",NA
2,18,7,188.682231758301,9,8,8.49914295509002,0,0.25,0.999854227405248,"MED LOW HIGH",NA
2,18,7,192.48679621223,10,9,9.49923646574277,0,0.25,0.999966553716173,"MED LOW HIGH",NA
2,18,7,195.376382237392,11,10,10.4988966503984,0,0.25,0.999992326698485,"MED LOW HIGH",NA
2,18,7,197.571037498964,12,11,11.5002496822695,0,0.25,0.999998239613493,"MED LOW HIGH",NA
2,18,7,199.237889316217,13,12,12.4987474602891,0,0.25,0.99999959613909,"MED LOW HIGH",NA
2,18,7,200.503871736931,14,13,13.499834829628,0,0.25,0.999999907347924,"MED LOW HIGH",NA
2,19,8,61.3838100438063,1,0,0.498942700429149,0,0.25,0.05,"MED LOW HIGH",NA
2,19,8,95.4236477878376,2,1,1.49969242164271,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,19,8,121.174705747978,3,2,2.50001704628728,0,0.25,0.5,"MED LOW HIGH",NA
2,20,9,64.2280344343194,1,0,0.501102812440587,0,0.25,0.05,"MED LOW HIGH",NA
2,20,9,102.096457121994,2,1,1.50144813188544,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,20,9,132.071209318256,3,2,2.49961004176541,0,0.25,0.5,"MED LOW HIGH",NA
2,20,9,155.797726174733,4,3,3.4991456560512,0,0.25,0.813394503136629,"MED LOW HIGH",NA
2,21,10,63.8635682292239,1,0,0.499828759650256,0,0.25,0.05,"MED LOW HIGH",NA
2,21,10,101.23024789,2,1,1.49959659224418,0,0.25,0.186605496863371,"MED LOW HIGH",NA
2,21,10,130.640005342017,3,2,2.49818911955567,0,0.25,0.5,"MED LOW HIGH",NA
2,21,10,153.787200683926,4,3,3.49897482669837,0,0.25,0.813394503136629,"MED LOW HIGH",NA
2,21,10,172.005394188944,5,4,4.50027076045456,0,0.25,0.95,"MED LOW HIGH",NA
2,21,10,186.344175612944,6,5,5.50238351525095,0,0.25,0.98806954215117,"MED LOW HIGH",NA
2,21,10,197.62963334335,7,6,6.49851082265842,0,0.25,0.997237569060774,"MED LOW HIGH",NA
2,21,10,206.511947148038,8,7,7.50009064061215,0,0.25,0.999364902956742,"MED LOW HIGH",NA
2,21,10,213.502846446024,9,8,8.50145147249383,0,0.25,0.999854227405248,"MED LOW HIGH",NA
2,21,10,219.005092152406,10,9,9.49874310748602,0,0.25,0.999966553716173,"MED LOW HIGH",NA
2,21,10,223.335680610764,11,10,10.4976557160251,0,0.25,0.999992326698485,"MED LOW HIGH",NA
