"Year","season","fleet","CPUE","sd"
0,1,2,0.000121643628808838,0.1
1,1,2,0.000214698576475288,0.1
2,1,2,0.000286170971335103,0.1
3,1,2,0.000311335590518159,0.1
4,1,2,0.000277530214627428,0.1
5,1,2,0.000313915557942907,0.1
6,1,2,0.000393552709298069,0.1
7,1,2,0.000359595955728731,0.1
8,1,2,0.000352218434298817,0.1
9,1,2,0.00050614050861751,0.1
10,1,2,0.000381452228019191,0.1
11,1,2,0.000384068937006232,0.1
12,1,2,0.000435836747200259,0.1
13,1,2,0.000505886793189922,0.1
14,1,2,0.000545481561451626,0.1
15,1,2,0.000575386817312251,0.1
16,1,2,0.00051302097795524,0.1
17,1,2,0.000614442536093819,0.1
18,1,2,0.000565828790245628,0.1
19,1,2,0.000524579595478911,0.1
20,1,2,0.000510392834342279,0.1
21,1,2,0.000485829347786531,0.1
22,1,2,0.000552356987260553,0.1
23,1,2,0.000574233078860871,0.1
24,1,2,0.000562349416589431,0.1
25,1,2,0.000611974302851192,0.1
26,1,2,0.00062227797703545,0.1
27,1,2,0.000539057940106068,0.1
28,1,2,0.000626941350924395,0.1
29,1,2,0.000528037236102854,0.1
30,1,2,0.000377249720867777,0.1
31,1,2,0.000503643789566469,0.1
32,1,2,0.000494680733594213,0.1
33,1,2,0.000452372336726126,0.1
34,1,2,0.000464555529822723,0.1
35,1,2,0.000453987622193378,0.1
36,1,2,0.000486985856513314,0.1
37,1,2,0.000455649787889839,0.1
38,1,2,0.000515847566105055,0.1
39,1,2,0.000600475607757617,0.1
40,1,2,0.000527233730029508,0.1
41,1,2,0.00052478264292247,0.1
42,1,2,0.000451470966876488,0.1
43,1,2,0.000457308080869369,0.1
44,1,2,0.000600821740765487,0.1
45,1,2,0.000483079140981118,0.1
46,1,2,0.000507609878870206,0.1
47,1,2,0.000523469609185625,0.1
48,1,2,0.00053885265647568,0.1
49,1,2,0.000440957243572842,0.1
50,1,2,0.000450656651816536,0.1
51,1,2,0.000386298651018591,0.1
52,1,2,0.000426353947447334,0.1
53,1,2,0.000412151246008628,0.1
54,1,2,0.000365869609402614,0.1
55,1,2,0.000314274992742318,0.1
56,1,2,0.000270621593437964,0.1
57,1,2,0.000283586698672701,0.1
58,1,2,0.000251435943647074,0.1
59,1,2,0.000262025246206606,0.1
60,1,2,0.000235741645086575,0.1
61,1,2,0.000214075991188255,0.1
62,1,2,0.000224622572310839,0.1
63,1,2,0.00017410222419503,0.1
64,1,2,0.000226197642075986,0.1
65,1,2,0.000312808138189094,0.1
66,1,2,0.000287255421506104,0.1
67,1,2,0.000250675426702113,0.1
68,1,2,0.000268471816186664,0.1
69,1,2,0.000234146772732643,0.1
70,1,2,0.000292964480362904,0.1
71,1,2,0.000307377736161833,0.1
72,1,2,0.000356413630301947,0.1
73,1,2,0.000440196688982631,0.1
74,1,2,0.0003248850943308,0.1
75,1,2,0.000320416170317963,0.1
76,1,2,0.000417159099928976,0.1
77,1,2,0.000437282383257024,0.1
78,1,2,0.000453343547469299,0.1
79,1,2,0.000353278023512961,0.1
80,1,2,0.000352180262997936,0.1
81,1,2,0.000404178881753187,0.1
82,1,2,0.000416774429656672,0.1
83,1,2,0.000453804971770989,0.1
84,1,2,0.000489209044543338,0.1
85,1,2,0.000389605742441344,0.1
86,1,2,0.000377694440624909,0.1
87,1,2,0.000352690557618754,0.1
88,1,2,0.000450365888052381,0.1
89,1,2,0.00037723890889356,0.1
90,1,2,0.00036961409200274,0.1
91,1,2,0.000266235641137788,0.1
92,1,2,0.000357066702996904,0.1
93,1,2,0.000314008384983578,0.1
94,1,2,0.000317872544357218,0.1
95,1,2,0.000273529109067256,0.1
96,1,2,0.00021901305578728,0.1
97,1,2,0.000178038639838212,0.1
98,1,2,0.000223592737975475,0.1
99,1,2,0.00027679979682312,0.1
