"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,98.2797369474574,1,1,1.50009082235465,"M",0,0.25,1,"MED LOW LOW",NA
1,2,117.184636160254,2,2,2.50116956050618,"M",0,0.25,1,"MED LOW LOW",NA
1,3,213.108221101505,7,7,7.49814461372256,"M",0,0.25,1,"MED LOW LOW",NA
1,4,188.685403072056,6,6,6.4993730026872,"M",0,0.25,1,"MED LOW LOW",NA
1,5,151.190518160582,3,3,3.49940701606992,"M",0,0.25,1,"MED LOW LOW",NA
1,6,171.717135007186,4,4,4.49920621241463,"M",0,0.25,1,"MED LOW LOW",NA
1,7,190.807810487834,8,8,8.50039484511038,"M",0,0.25,1,"MED LOW LOW",NA
1,8,148.423600331102,3,3,3.49819480952008,"M",0,0.25,1,"MED LOW LOW",NA
1,9,128.97792886553,2,2,2.50068687200088,"M",0,0.25,1,"MED LOW LOW",NA
1,10,128.728710866262,2,2,2.50235654331076,"M",0,0.25,1,"MED LOW LOW",NA
1,11,163.601972035676,4,4,4.4983994700325,"M",0,0.25,1,"MED LOW LOW",NA
2,1,63.2900306338782,1,0,0.499211431413149,"M",0,0.25,1,"MED LOW LOW",NA
2,2,61.3328413599964,1,0,0.500515431731269,"M",0,0.25,1,"MED LOW LOW",NA
2,3,191.624279940266,15,14,14.5000564965147,"M",0,0.25,1,"MED LOW LOW",NA
2,4,65.6898897322397,1,0,0.498945251329458,"M",0,0.25,1,"MED LOW LOW",NA
2,5,145.394774749941,4,3,3.49699299504761,"M",0,0.25,1,"MED LOW LOW",NA
2,6,170.993875638826,5,4,4.50125807851615,"M",0,0.25,1,"MED LOW LOW",NA
2,7,148.320919463254,5,4,4.50037957858876,"M",0,0.25,1,"MED LOW LOW",NA
2,8,126.136516959777,3,2,2.49941550221334,"M",0,0.25,1,"MED LOW LOW",NA
2,9,61.8004062448748,1,0,0.500289975968391,"M",0,0.25,1,"MED LOW LOW",NA
2,10,65.0479327226618,1,0,0.498466177946392,"M",0,0.25,1,"MED LOW LOW",NA
2,11,176.575302991079,7,6,6.50009566567656,"M",0,0.25,1,"MED LOW LOW",NA
2,12,96.3887546874971,2,1,1.5001217266446,"M",0,0.25,1,"MED LOW LOW",NA
2,13,102.031464725004,2,1,1.49967696354553,"M",0,0.25,1,"MED LOW LOW",NA
2,14,152.964038947776,4,3,3.50016128121166,"M",0,0.25,1,"MED LOW LOW",NA
3,1,177.785112787334,7,5,5.49829330595856,"M",0,0.25,1,"MED LOW LOW",NA
3,2,63.4075487154106,2,0,0.498672789146809,"M",0,0.25,1,"MED LOW LOW",NA
3,3,256.061045172417,10,8,8.49819998273352,"M",0,0.25,1,"MED LOW LOW",NA
3,4,99.1414860843118,3,1,1.49864186329667,"M",0,0.25,1,"MED LOW LOW",NA
3,5,63.6542498844934,2,0,0.500773085307653,"M",0,0.25,1,"MED LOW LOW",NA
3,6,59.2693195314792,2,0,0.497772451881415,"M",0,0.25,1,"MED LOW LOW",NA
3,7,186.24525135935,9,7,7.49986085662805,"M",0,0.25,1,"MED LOW LOW",NA
3,8,62.9595283708708,2,0,0.500767415487323,"M",0,0.25,1,"MED LOW LOW",NA
3,9,154.139277683522,5,3,3.5006517989826,"M",0,0.25,1,"MED LOW LOW",NA
3,10,181.700033101739,10,8,8.50151589075852,"M",0,0.25,1,"MED LOW LOW",NA
3,11,197.571519727988,8,6,6.50034754413768,"M",0,0.25,1,"MED LOW LOW",NA
3,12,60.4496275081746,2,0,0.498706528255721,"M",0,0.25,1,"MED LOW LOW",NA
3,13,128.615739290445,4,2,2.49810636389996,"M",0,0.25,1,"MED LOW LOW",NA
3,14,63.8735536879696,2,0,0.499737153395556,"M",0,0.25,1,"MED LOW LOW",NA
4,1,179.193620226245,8,5,5.49919681759296,"M",0,0.25,1,"MED LOW LOW",NA
4,2,189.852538935582,8,5,5.50040044122686,"M",0,0.25,1,"MED LOW LOW",NA
4,3,199.758244926935,10,7,7.50264032426745,"M",0,0.25,1,"MED LOW LOW",NA
4,4,166.035710483828,7,4,4.50036296032538,"M",0,0.25,1,"MED LOW LOW",NA
4,5,61.5293585163722,3,0,0.500451568218968,"M",0,0.25,1,"MED LOW LOW",NA
4,6,113.930712063417,5,2,2.49838218330859,"M",0,0.25,1,"MED LOW LOW",NA
4,7,147.303800778646,6,3,3.50030771098565,"M",0,0.25,1,"MED LOW LOW",NA
4,8,62.0095024942453,3,0,0.500355063088263,"M",0,0.25,1,"MED LOW LOW",NA
