"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
42,1,1.50070254380657,9.46531715176987,"MED LOW LOW",0,"early","med",NA
2,2,2.50188684924727,12.685689480244,"MED LOW LOW",0,"early","med",NA
28,2,2.49997806469101,12.7712174310895,"MED LOW LOW",0,"early","med",NA
29,0,0.498328621427903,6.32768140809554,"MED LOW LOW",0,"early","med",NA
37,0,0.500025913683268,6.11221883418123,"MED LOW LOW",0,"early","med",NA
79,0,0.498954832249127,6.36812248659968,"MED LOW LOW",0.103300138330087,"late","low",NA
46,1,1.50140181173514,9.8971074850089,"MED LOW LOW",0,"early","med",NA
44,0,0.501562405021825,6.11813182840074,"MED LOW LOW",0,"early","med",NA
27,3,3.49981868549215,13.3293662213302,"MED LOW LOW",0,"early","med",NA
61,2,2.49935434274931,11.7045783962944,"MED LOW LOW",0.220663944957778,"early","med",NA
14,8,8.50150810270523,19.9179055688578,"MED LOW LOW",0,"early","med",NA
21,1,1.50041408371183,9.83195666160418,"MED LOW LOW",0,"early","med",NA
32,6,6.49948918107648,16.7203643430713,"MED LOW LOW",0,"early","med",NA
27,1,1.50132672580971,9.58100796518677,"MED LOW LOW",0,"early","med",NA
41,0,0.501003438097151,6.53744130027315,"MED LOW LOW",0,"early","med",NA
98,0,0.501605243508793,6.11300346702537,"MED LOW LOW",0.118525535496883,"late","low",NA
37,4,4.5008151545997,16.7928841481084,"MED LOW LOW",0,"early","med",NA
13,3,3.49778595483303,14.1396700893122,"MED LOW LOW",0,"early","med",NA
45,2,2.50086681877138,13.5192076860611,"MED LOW LOW",0,"early","med",NA
5,3,3.50048706556659,15.2638905354549,"MED LOW LOW",0,"early","med",NA
68,1,1.49959593767188,10.8688200180983,"MED LOW LOW",0.187918967544101,"early","med",NA
31,1,1.49943875384673,10.0642336992609,"MED LOW LOW",0,"early","med",NA
78,2,2.49935806025743,12.4636965577669,"MED LOW LOW",0.159785643639043,"late","low",NA
29,8,8.49852269187749,21.3839532770795,"MED LOW LOW",0,"early","med",NA
90,0,0.500765003823168,5.8335625966106,"MED LOW LOW",0.10258400994353,"late","low",NA
46,3,3.50033596688583,14.5145867433073,"MED LOW LOW",0,"early","med",NA
6,2,2.49858471807884,12.5074227939802,"MED LOW LOW",0,"early","med",NA
82,2,2.4997284485831,11.8608900236934,"MED LOW LOW",0.178393394988962,"late","low",NA
48,0,0.50064969665331,6.28156250165253,"MED LOW LOW",0,"early","med",NA
23,3,3.49997650560103,14.3145001892336,"MED LOW LOW",0,"early","med",NA
24,2,2.49864778536199,12.2891183377826,"MED LOW LOW",0,"early","med",NA
18,0,0.500295841070276,6.13501890090606,"MED LOW LOW",0,"early","med",NA
14,4,4.50116725889358,14.0245334820718,"MED LOW LOW",0,"early","med",NA
81,2,2.50201919093786,12.8420467758251,"MED LOW LOW",0.18534240568988,"late","low",NA
66,3,3.50019733960185,14.5538809008986,"MED LOW LOW",0.275492908782326,"early","med",NA
39,8,8.4985975649309,18.1832915066103,"MED LOW LOW",0,"early","med",NA
21,2,2.50001533338663,12.4954112521622,"MED LOW LOW",0,"early","med",NA
2,1,1.49906113699188,9.82131162741053,"MED LOW LOW",0,"early","med",NA
47,0,0.502581326476692,6.1635956839866,"MED LOW LOW",0,"early","med",NA
75,4,4.50086065460082,14.9070478435116,"MED LOW LOW",0.116905459715053,"late","low",NA
89,0,0.497829576754022,6.39103635175368,"MED LOW LOW",0.154264862183481,"late","low",NA
65,0,0.501044713531227,6.07859847227303,"MED LOW LOW",0.25216981258709,"early","med",NA
83,3,3.50019741780565,14.4439819012487,"MED LOW LOW",0.192798387701623,"late","low",NA
22,8,8.49869493623885,22.2992187920007,"MED LOW LOW",0,"early","med",NA
38,2,2.49990371576455,12.5926994669066,"MED LOW LOW",0,"early","med",NA
33,1,1.49973850145181,9.67690054829675,"MED LOW LOW",0,"early","med",NA
91,6,6.5001567703233,15.8822675654147,"MED LOW LOW",0.107645738078281,"late","low",NA
21,1,1.498564246459,10.1244098749225,"MED LOW LOW",0,"early","med",NA
41,0,0.499650153628806,6.5484457056281,"MED LOW LOW",0,"early","med",NA
41,0,0.500201002918388,6.52504377448351,"MED LOW LOW",0,"early","med",NA
29,1,1.49973213181769,10.1853298194567,"MED LOW LOW",0,"early","med",NA
72,1,1.49995071008481,9.31083688952943,"MED LOW LOW",0.162277901195921,"early","med",NA
83,5,5.49996836559523,19.5849374197891,"MED LOW LOW",0.196672836039215,"late","low",NA
53,3,3.49922102217051,14.2476809220778,"MED LOW LOW",0.258885098178871,"early","med",NA
13,8,8.50019621254933,19.9905866963872,"MED LOW LOW",0,"early","med",NA
85,0,0.498914245531366,6.30973232430683,"MED LOW LOW",0.186061808257364,"late","low",NA
82,1,1.49921563203064,9.86390404044041,"MED LOW LOW",0.196376804914325,"late","low",NA
18,2,2.50046334751888,13.2807902004121,"MED LOW LOW",0,"early","med",NA
23,4,4.49906897492104,16.9973143854925,"MED LOW LOW",0,"early","med",NA
75,0,0.500407019973641,6.14030997225963,"MED LOW LOW",0.189399327500723,"late","low",NA
5,1,1.50084772079908,9.98722181222318,"MED LOW LOW",0,"early","med",NA
18,5,5.49994569224487,19.9485819000454,"MED LOW LOW",0,"early","med",NA
12,3,3.49971323353056,14.0502335432524,"MED LOW LOW",0,"early","med",NA
43,0,0.501408861468422,6.2687772390792,"MED LOW LOW",0,"early","med",NA
39,0,0.501504346125666,6.29035998778654,"MED LOW LOW",0,"early","med",NA
7,0,0.499374106259454,6.18340060093985,"MED LOW LOW",0,"early","med",NA
97,0,0.498118762358946,6.39938535437628,"MED LOW LOW",0.165755710517988,"late","low",NA
35,1,1.50017497630036,10.1118927485522,"MED LOW LOW",0,"early","med",NA
98,2,2.49979141639178,12.4045151266554,"MED LOW LOW",0.118525535496883,"late","low",NA
72,1,1.49961969215475,9.78831732331401,"MED LOW LOW",0.193620476871729,"early","med",NA
94,0,0.498632333260057,6.36551493397164,"MED LOW LOW",0.120068610482849,"late","low",NA
49,4,4.49928798898311,17.296032041102,"MED LOW LOW",0,"early","med",NA
79,1,1.5013568022399,10.1627459376176,"MED LOW LOW",0.145527164754458,"late","low",NA
15,3,3.50154550346633,16.2401170269087,"MED LOW LOW",0,"early","med",NA
48,2,2.49966637012,12.0613832696848,"MED LOW LOW",0,"early","med",NA
13,7,7.50092622385254,20.9134877407495,"MED LOW LOW",0,"early","med",NA
16,11,11.5004884267908,21.0909816206748,"MED LOW LOW",0,"early","med",NA
49,5,5.50092513095056,17.304992442244,"MED LOW LOW",0,"early","med",NA
61,3,3.49978684777584,14.6754086970069,"MED LOW LOW",0.296817232435569,"early","med",NA
40,0,0.500420364743298,6.25932442954063,"MED LOW LOW",0,"early","med",NA
33,2,2.49821228780998,12.6996989381556,"MED LOW LOW",0,"early","med",NA
19,3,3.50031720639443,16.1025206921044,"MED LOW LOW",0,"early","med",NA
63,3,3.50036787599656,15.3388945035674,"MED LOW LOW",0.210292135877535,"early","med",NA
35,2,2.50122395393998,11.7885217443091,"MED LOW LOW",0,"early","med",NA
98,0,0.50060559287827,6.18784835829314,"MED LOW LOW",0.132339860475622,"late","low",NA
92,6,6.49912962035327,18.7940021583927,"MED LOW LOW",0.169854217069224,"late","low",NA
56,2,2.50047627478937,12.0585876078975,"MED LOW LOW",0.226964612840675,"early","med",NA
51,11,11.498218284459,19.9508683931375,"MED LOW LOW",0.295447605894879,"early","med",NA
68,0,0.498609463536963,6.37367854743246,"MED LOW LOW",0.187918967544101,"early","med",NA
92,2,2.50039848094272,12.5846758192718,"MED LOW LOW",0.11818571339827,"late","low",NA
19,0,0.499432518415304,6.16508870456171,"MED LOW LOW",0,"early","med",NA
24,4,4.50056310343508,18.0670834285306,"MED LOW LOW",0,"early","med",NA
54,2,2.50072357401479,12.7240824204122,"MED LOW LOW",0.241870646132156,"early","med",NA
6,4,4.49975678210527,15.4154131403601,"MED LOW LOW",0,"early","med",NA
49,1,1.50032899321885,9.75221598939168,"MED LOW LOW",0,"early","med",NA
42,0,0.499597126817533,6.170519355026,"MED LOW LOW",0,"early","med",NA
60,6,6.49879756028716,20.1390725424053,"MED LOW LOW",0.290778961614706,"early","med",NA
44,2,2.49966895387856,12.6180800177633,"MED LOW LOW",0,"early","med",NA
25,1,1.50016893145343,10.0589051759669,"MED LOW LOW",0,"early","med",NA
14,0,0.498748821862367,6.07058042174516,"MED LOW LOW",0,"early","med",NA
35,8,8.50054676019529,20.7956592726929,"MED LOW LOW",0,"early","med",NA
86,1,1.49940815847394,9.73047341935034,"MED LOW LOW",0.10212513145525,"late","low",NA
10,0,0.497797762395387,6.33495466125513,"MED LOW LOW",0,"early","med",NA
93,1,1.50133785420395,9.80879575389939,"MED LOW LOW",0.177237282507122,"late","low",NA
80,2,2.49798758419625,12.7880338361776,"MED LOW LOW",0.116202309960499,"late","low",NA
8,2,2.50071106098756,12.1596804286989,"MED LOW LOW",0,"early","med",NA
50,7,7.49957088892606,18.8267494058305,"MED LOW LOW",0.265083581325598,"early","med",NA
37,2,2.50007643499338,12.0277826754645,"MED LOW LOW",0,"early","med",NA
6,3,3.4985471375239,14.5183321805708,"MED LOW LOW",0,"early","med",NA
2,2,2.4994795346177,11.9264171684798,"MED LOW LOW",0,"early","med",NA
13,0,0.501532267085551,6.03857109839578,"MED LOW LOW",0,"early","med",NA
15,0,0.500739150597782,6.54920426097879,"MED LOW LOW",0,"early","med",NA
14,3,3.49866063775306,16.8134361361875,"MED LOW LOW",0,"early","med",NA
85,1,1.49856995119542,10.4620745690183,"MED LOW LOW",0.135452251345851,"late","low",NA
11,0,0.50060324857335,6.28841306956064,"MED LOW LOW",0,"early","med",NA
17,0,0.499451784048658,6.46672906063638,"MED LOW LOW",0,"early","med",NA
8,3,3.49881108159153,15.128846098137,"MED LOW LOW",0,"early","med",NA
24,7,7.49888719948326,19.8519153594597,"MED LOW LOW",0,"early","med",NA
39,1,1.50021851016612,9.39527486141427,"MED LOW LOW",0,"early","med",NA
2,0,0.501297566908133,6.19269874639947,"MED LOW LOW",0,"early","med",NA
11,8,8.49836758331326,21.8929362834866,"MED LOW LOW",0,"early","med",NA
40,4,4.49947484541828,16.3710270012244,"MED LOW LOW",0,"early","med",NA
45,3,3.49792373739277,16.9615913878371,"MED LOW LOW",0,"early","med",NA
85,2,2.50057578348179,12.6961886539688,"MED LOW LOW",0.186061808257364,"late","low",NA
49,3,3.50049944467535,13.9139643120432,"MED LOW LOW",0,"early","med",NA
33,8,8.50208433110458,20.2825897197928,"MED LOW LOW",0,"early","med",NA
80,2,2.50211462784897,12.4195924202814,"MED LOW LOW",0.116202309960499,"late","low",NA
90,5,5.49993934182535,19.6519660764324,"MED LOW LOW",0.166907819057815,"late","low",NA
64,3,3.50016699119139,13.4632968906016,"MED LOW LOW",0.200963569828309,"early","med",NA
7,0,0.500337065132089,6.26838945076094,"MED LOW LOW",0,"early","med",NA
18,0,0.50073266587818,6.32809750534791,"MED LOW LOW",0,"early","med",NA
73,4,4.50037630495553,15.959023587144,"MED LOW LOW",0.112961715529673,"early","med",NA
64,1,1.5004235238034,9.94576130238044,"MED LOW LOW",0.200963569828309,"early","med",NA
76,5,5.50030740174534,19.0472760160573,"MED LOW LOW",0.172067608288489,"late","low",NA
73,3,3.49932036831757,13.9116302964527,"MED LOW LOW",0.112961715529673,"early","med",NA
7,0,0.499882381728735,6.29271444007643,"MED LOW LOW",0,"early","med",NA
80,4,4.50060392853379,16.0745180572561,"MED LOW LOW",0.116202309960499,"late","low",NA
43,3,3.50014842278991,16.2869033840504,"MED LOW LOW",0,"early","med",NA
28,1,1.50031451505968,10.4391575368691,"MED LOW LOW",0,"early","med",NA
7,2,2.49945621960132,12.6058227843491,"MED LOW LOW",0,"early","med",NA
8,3,3.49849645056706,13.8556331271939,"MED LOW LOW",0,"early","med",NA
58,0,0.500728604237982,6.24067855050959,"MED LOW LOW",0.275125498767011,"early","med",NA
18,1,1.50046984233262,9.75861995010393,"MED LOW LOW",0,"early","med",NA
19,0,0.501892745020716,6.26581620123371,"MED LOW LOW",0,"early","med",NA
29,5,5.49969065299593,15.3786557668603,"MED LOW LOW",0,"early","med",NA
40,1,1.50047200288291,9.90033848423566,"MED LOW LOW",0,"early","med",NA
10,10,10.4999088289962,25.0387637794132,"MED LOW LOW",0,"early","med",NA
70,3,3.49828630398607,14.5537329372183,"MED LOW LOW",0.190982725284994,"early","med",NA
25,3,3.4996297837873,16.0892718266909,"MED LOW LOW",0,"early","med",NA
15,3,3.49979958467889,15.6310769887549,"MED LOW LOW",0,"early","med",NA
85,2,2.49975306690469,12.333080131515,"MED LOW LOW",0.135452251345851,"late","low",NA
35,3,3.50121676619154,14.3958689508695,"MED LOW LOW",0,"early","med",NA
10,8,8.50183460887597,20.9836239980635,"MED LOW LOW",0,"early","med",NA
2,2,2.49909149970658,11.4266655103391,"MED LOW LOW",0,"early","med",NA
13,2,2.50167785580105,13.2643932427807,"MED LOW LOW",0,"early","med",NA
48,7,7.49891734092555,17.7351574990931,"MED LOW LOW",0,"early","med",NA
15,5,5.49976186078334,17.7519008858052,"MED LOW LOW",0,"early","med",NA
8,8,8.50038681003788,24.4572004711875,"MED LOW LOW",0,"early","med",NA
8,0,0.501671553465509,6.03817361269328,"MED LOW LOW",0,"early","med",NA
88,0,0.501357628441413,6.1450038745523,"MED LOW LOW",0.170279647456482,"late","low",NA
18,0,0.498829272499568,6.24574637552804,"MED LOW LOW",0,"early","med",NA
29,1,1.50066049723339,10.0523641934574,"MED LOW LOW",0,"early","med",NA
65,1,1.50039819494911,10.0579619419181,"MED LOW LOW",0.244615785731003,"early","med",NA
26,1,1.49934395883203,9.82128084502325,"MED LOW LOW",0,"early","med",NA
20,2,2.5003157895956,13.0875452983408,"MED LOW LOW",0,"early","med",NA
48,6,6.50037936920866,17.6605782603533,"MED LOW LOW",0,"early","med",NA
50,0,0.501491546096066,6.25921513838782,"MED LOW LOW",0.267158729885705,"early","med",NA
31,6,6.49957234810453,18.1940493979906,"MED LOW LOW",0,"early","med",NA
74,3,3.50073982464289,13.0184551423612,"MED LOW LOW",0.135021116980352,"early","med",NA
38,3,3.50108736243382,14.4931266338751,"MED LOW LOW",0,"early","med",NA
34,5,5.49922231475237,17.0168046142199,"MED LOW LOW",0,"early","med",NA
30,4,4.50030081165764,16.4235393210645,"MED LOW LOW",0,"early","med",NA
71,4,4.50088811807411,16.5552623280552,"MED LOW LOW",0.163726065121591,"early","med",NA
74,3,3.49981978437988,13.5585930063973,"MED LOW LOW",0.128773669525981,"early","med",NA
63,0,0.498613382090733,6.27008373324276,"MED LOW LOW",0.210292135877535,"early","med",NA
35,1,1.4996166050087,9.63777745039073,"MED LOW LOW",0,"early","med",NA
84,8,8.50026154710392,24.1636488868563,"MED LOW LOW",0.186476450180635,"late","low",NA
44,2,2.49976571462342,12.7608302969001,"MED LOW LOW",0,"early","med",NA
72,0,0.499279746234791,6.15452529840226,"MED LOW LOW",0.162277901195921,"early","med",NA
14,1,1.50016020160964,9.20787141338855,"MED LOW LOW",0,"early","med",NA
51,0,0.500234637796629,6.44438657675141,"MED LOW LOW",0.295447605894879,"early","med",NA
14,1,1.49977910508465,9.66793533176804,"MED LOW LOW",0,"early","med",NA
58,0,0.498700024293619,6.66122540180671,"MED LOW LOW",0.27702018674463,"early","med",NA
19,3,3.50083940482427,13.1494399128162,"MED LOW LOW",0,"early","med",NA
60,2,2.49718344031751,12.5022297823594,"MED LOW LOW",0.290778961614706,"early","med",NA
7,2,2.49898066559201,11.8240387830007,"MED LOW LOW",0,"early","med",NA
76,2,2.4983935203659,12.3214717533104,"MED LOW LOW",0.192105319909751,"late","low",NA
83,0,0.501849799903585,6.47191092115359,"MED LOW LOW",0.160240863845684,"late","low",NA
4,4,4.49840553125552,16.240752230363,"MED LOW LOW",0,"early","med",NA
84,0,0.497271103452102,6.20304364146939,"MED LOW LOW",0.153354662097991,"late","low",NA
17,2,2.49804968013915,13.3999663056465,"MED LOW LOW",0,"early","med",NA
50,0,0.499036782639222,6.48343600337096,"MED LOW LOW",0.265083581325598,"early","med",NA
21,4,4.49993975037666,14.9114287970283,"MED LOW LOW",0,"early","med",NA
3,1,1.50011321464325,9.40220312706281,"MED LOW LOW",0,"early","med",NA
23,2,2.50060127285409,12.7085424933253,"MED LOW LOW",0,"early","med",NA
5,0,0.500042260080852,6.08402671134255,"MED LOW LOW",0,"early","med",NA
32,10,10.4995812768244,19.7854879545232,"MED LOW LOW",0,"early","med",NA
11,7,7.49924219109266,20.0359484948979,"MED LOW LOW",0,"early","med",NA
10,7,7.50036722268968,18.0426901018537,"MED LOW LOW",0,"early","med",NA
95,0,0.501673825075251,6.32196419501392,"MED LOW LOW",0.152787182456814,"late","low",NA
89,1,1.49946250761065,9.61406664195668,"MED LOW LOW",0.154264862183481,"late","low",NA
32,6,6.50068871747016,18.2828330823957,"MED LOW LOW",0,"early","med",NA
28,1,1.49927633343454,9.86263656800739,"MED LOW LOW",0,"early","med",NA
19,0,0.498674661024403,6.01754053545806,"MED LOW LOW",0,"early","med",NA
50,2,2.5007426482564,13.3023979223673,"MED LOW LOW",0.20150034208782,"early","med",NA
32,0,0.498327625428067,6.38060461834689,"MED LOW LOW",0,"early","med",NA
12,4,4.4989042393345,16.4869551347573,"MED LOW LOW",0,"early","med",NA
24,2,2.50017188401153,13.2665993068441,"MED LOW LOW",0,"early","med",NA
7,2,2.49914260634682,12.3307473228472,"MED LOW LOW",0,"early","med",NA
28,2,2.50082893670112,12.2843987735545,"MED LOW LOW",0,"early","med",NA
11,1,1.50100861293877,9.70665147102853,"MED LOW LOW",0,"early","med",NA
90,0,0.49827431432543,5.9573917072519,"MED LOW LOW",0.166907819057815,"late","low",NA
85,0,0.50235688279634,6.36186867534185,"MED LOW LOW",0.161782615142874,"late","low",NA
7,2,2.49997397619106,11.6013086049047,"MED LOW LOW",0,"early","med",NA
71,1,1.49952340540854,9.3573609755731,"MED LOW LOW",0.19775259308517,"early","med",NA
