"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,61.905240667268,0,0,0.500105453296479,0,0.25,0.05,"MED LOW MED",NA
1,1,1,96.6320448955597,1,1,1.49990046918275,0,0.25,0.186605496863371,"MED LOW MED",NA
1,1,1,123.125950760242,2,2,2.49904780081414,0,0.25,0.5,"MED LOW MED",NA
1,1,1,143.338782420541,3,3,3.49935906420798,0,0.25,0.813394503136629,"MED LOW MED",NA
1,1,1,158.759633004608,4,4,4.50061046961537,0,0.25,0.95,"MED LOW MED",NA
1,1,1,170.524567118377,5,5,5.49977741867159,0,0.25,0.98806954215117,"MED LOW MED",NA
1,1,1,179.500315501825,6,6,6.50162063150766,0,0.25,0.997237569060774,"MED LOW MED",NA
1,1,1,186.348127675177,7,7,7.5007849992465,0,0.25,0.999364902956742,"MED LOW MED",NA
1,2,2,66.2025232825471,0,0,0.500249839713428,0,0.25,0.05,"MED LOW MED",NA
1,2,2,106.846044901126,1,1,1.49985307256478,0,0.25,0.186605496863371,"MED LOW MED",NA
1,2,2,140.006434740025,2,2,2.49921232181734,0,0.25,0.5,"MED LOW MED",NA
1,2,2,167.061458775272,3,3,3.49984712915453,0,0.25,0.813394503136629,"MED LOW MED",NA
1,2,2,189.135213912165,4,4,4.50168672521442,0,0.25,0.95,"MED LOW MED",NA
1,2,2,207.14483257703,5,5,5.49968781781492,0,0.25,0.98806954215117,"MED LOW MED",NA
1,2,2,221.838588235836,6,6,6.50199207965124,0,0.25,0.997237569060774,"MED LOW MED",NA
1,2,2,233.826985068575,7,7,7.49929459635596,0,0.25,0.999364902956742,"MED LOW MED",NA
1,2,2,243.608123530142,8,8,8.49977947567004,0,0.25,0.999854227405248,"MED LOW MED",NA
1,2,2,251.588395699903,9,9,9.50009062104681,0,0.25,0.999966553716173,"MED LOW MED",NA
1,2,2,258.099370281614,10,10,10.4995293135184,0,0.25,0.999992326698485,"MED LOW MED",NA
1,2,2,263.411568800898,11,11,11.4987051899626,0,0.25,0.999998239613493,"MED LOW MED",NA
1,3,3,62.6205043316336,0,0,0.499471133933125,0,0.25,0.05,"MED LOW MED",NA
1,4,4,62.5616823909973,0,0,0.500760125123575,0,0.25,0.05,"MED LOW MED",NA
1,4,4,98.162854491957,1,1,1.50139171456047,0,0.25,0.186605496863371,"MED LOW MED",NA
1,5,5,60.7687248599657,0,0,0.498876503867742,0,0.25,0.05,"MED LOW MED",NA
1,5,5,94.0068247173433,1,1,1.50062669163521,0,0.25,0.186605496863371,"MED LOW MED",NA
1,6,6,62.5969158752698,0,0,0.499259975524933,0,0.25,0.05,"MED LOW MED",NA
1,6,6,98.2453186450628,1,1,1.50020063954405,0,0.25,0.186605496863371,"MED LOW MED",NA
1,6,6,125.746209729103,2,2,2.50041229005419,0,0.25,0.5,"MED LOW MED",NA
1,6,6,146.96171874644,3,3,3.50079366810671,0,0.25,0.813394503136629,"MED LOW MED",NA
1,6,6,163.328381975252,4,4,4.49962454927425,0,0.25,0.95,"MED LOW MED",NA
1,6,6,175.954412537444,5,5,5.49993384061353,0,0.25,0.98806954215117,"MED LOW MED",NA
1,6,6,185.694739293649,6,6,6.49934754727825,0,0.25,0.997237569060774,"MED LOW MED",NA
1,6,6,193.208895453047,7,7,7.49842662845229,0,0.25,0.999364902956742,"MED LOW MED",NA
1,6,6,199.005676628982,8,8,8.49942038994672,0,0.25,0.999854227405248,"MED LOW MED",NA
1,7,7,62.1557680409555,0,0,0.499993437515894,0,0.25,0.05,"MED LOW MED",NA
1,8,8,63.7736555363409,0,0,0.500234415668807,0,0.25,0.05,"MED LOW MED",NA
1,8,8,101.017060226505,1,1,1.50055698385185,0,0.25,0.186605496863371,"MED LOW MED",NA
1,8,8,130.288524064851,2,2,2.50239615850692,0,0.25,0.5,"MED LOW MED",NA
1,9,9,63.0595594890446,0,0,0.500435387174753,0,0.25,0.05,"MED LOW MED",NA
1,9,9,99.3309771476787,1,1,1.49869695573593,0,0.25,0.186605496863371,"MED LOW MED",NA
1,9,9,127.519298677286,2,2,2.50206546716989,0,0.25,0.5,"MED LOW MED",NA
1,9,9,149.425844435564,3,3,3.5012048940292,0,0.25,0.813394503136629,"MED LOW MED",NA
1,9,9,166.450510006925,4,4,4.49919977430666,0,0.25,0.95,"MED LOW MED",NA
1,10,10,60.6974487928733,0,0,0.499493043055701,0,0.25,0.05,"MED LOW MED",NA
1,10,10,93.8432461760526,1,1,1.49840653669748,0,0.25,0.186605496863371,"MED LOW MED",NA
1,10,10,118.637592464682,2,2,2.49990452333084,0,0.25,0.5,"MED LOW MED",NA
1,11,11,62.0050935738312,0,0,0.499047010655779,0,0.25,0.05,"MED LOW MED",NA
1,11,11,96.8642150374115,1,1,1.50028273015145,0,0.25,0.186605496863371,"MED LOW MED",NA
1,11,11,123.501966264929,2,2,2.49812712325011,0,0.25,0.5,"MED LOW MED",NA
1,12,12,61.6466079387572,0,0,0.498907110934725,0,0.25,0.05,"MED LOW MED",NA
1,12,12,96.031835011676,1,1,1.49898673604018,0,0.25,0.186605496863371,"MED LOW MED",NA
1,12,12,122.155543889734,2,2,2.50007799298919,0,0.25,0.5,"MED LOW MED",NA
1,12,12,142.002676616188,3,3,3.50200281813586,0,0.25,0.813394503136629,"MED LOW MED",NA
1,12,12,157.081265927538,4,4,4.49836464304029,0,0.25,0.95,"MED LOW MED",NA
1,12,12,168.537019196992,5,5,5.49984786513578,0,0.25,0.98806954215117,"MED LOW MED",NA
1,12,12,177.240372028004,6,6,6.49962365610671,0,0.25,0.997237569060774,"MED LOW MED",NA
1,12,12,183.852626038664,7,7,7.50028240158486,0,0.25,0.999364902956742,"MED LOW MED",NA
1,12,12,188.876196144394,8,8,8.49826551912651,0,0.25,0.999854227405248,"MED LOW MED",NA
1,13,13,61.9490368458681,0,0,0.500633320006873,0,0.25,0.05,"MED LOW MED",NA
2,14,1,62.4907765760713,1,0,0.500200912502499,0,0.25,0.05,"MED LOW MED",NA
2,14,1,97.9969918130616,2,1,1.50050151007557,0,0.25,0.186605496863371,"MED LOW MED",NA
2,14,1,125.341748094729,3,2,2.50090481258367,0,0.25,0.5,"MED LOW MED",NA
2,14,1,146.401038450318,4,3,3.4993680306759,0,0.25,0.813394503136629,"MED LOW MED",NA
2,15,2,62.6595023975363,1,0,0.499209546154103,0,0.25,0.05,"MED LOW MED",NA
2,15,2,98.3918781763163,2,1,1.49945153628713,0,0.25,0.186605496863371,"MED LOW MED",NA
2,15,2,125.985111169942,3,2,2.49890188874723,0,0.25,0.5,"MED LOW MED",NA
2,16,3,62.4977649133677,1,0,0.498550099970522,0,0.25,0.05,"MED LOW MED",NA
2,16,3,98.0133334067484,2,1,1.50071588362931,0,0.25,0.186605496863371,"MED LOW MED",NA
2,16,3,125.368351772115,3,2,2.50120109263972,0,0.25,0.5,"MED LOW MED",NA
2,16,3,146.437901310904,4,3,3.49948018025115,0,0.25,0.813394503136629,"MED LOW MED",NA
2,16,3,162.666218610429,5,4,4.50054233498709,0,0.25,0.95,"MED LOW MED",NA
2,16,3,175.165692407399,6,5,5.4999182447677,0,0.25,0.98806954215117,"MED LOW MED",NA
2,16,3,184.79311355757,7,6,6.49777011223216,0,0.25,0.997237569060774,"MED LOW MED",NA
2,16,3,192.208404753687,8,7,7.50004139280297,0,0.25,0.999364902956742,"MED LOW MED",NA
2,16,3,197.919855688004,9,8,8.50057273043878,0,0.25,0.999854227405248,"MED LOW MED",NA
2,16,3,202.318964355806,10,9,9.49894208814158,0,0.25,0.999966553716173,"MED LOW MED",NA
2,16,3,205.70727273728,11,10,10.4984527128301,0,0.25,0.999992326698485,"MED LOW MED",NA
2,17,4,60.7806059181986,1,0,0.499756589915561,0,0.25,0.05,"MED LOW MED",NA
2,18,5,62.441468679127,1,0,0.501773874390918,0,0.25,0.05,"MED LOW MED",NA
2,18,5,97.8817239726358,2,1,1.49942823673908,0,0.25,0.186605496863371,"MED LOW MED",NA
2,18,5,125.154145763235,3,2,2.50116262553444,0,0.25,0.5,"MED LOW MED",NA
2,18,5,146.141155708972,4,3,3.50023514468501,0,0.25,0.813394503136629,"MED LOW MED",NA
2,18,5,162.291338110973,5,4,4.50143738975352,0,0.25,0.95,"MED LOW MED",NA
2,18,5,174.71942540365,6,5,5.4991482923097,0,0.25,0.98806954215117,"MED LOW MED",NA
2,18,5,184.283240220705,7,6,6.50127181738597,0,0.25,0.997237569060774,"MED LOW MED",NA
2,18,5,191.642904801498,8,7,7.49957911930921,0,0.25,0.999364902956742,"MED LOW MED",NA
2,19,6,61.4864585195254,1,0,0.499142210360981,0,0.25,0.05,"MED LOW MED",NA
2,19,6,95.6610022369476,2,1,1.49990529445112,0,0.25,0.186605496863371,"MED LOW MED",NA
2,20,7,64.50185632465,1,0,0.499032342799713,0,0.25,0.05,"MED LOW MED",NA
2,21,8,61.4931450874791,1,0,0.501792937100139,0,0.25,0.05,"MED LOW MED",NA
2,21,8,95.6764726225219,2,1,1.50003515392162,0,0.25,0.186605496863371,"MED LOW MED",NA
2,21,8,121.582140650681,3,2,2.49985964915033,0,0.25,0.5,"MED LOW MED",NA
2,21,8,141.214624799488,4,3,3.49982357767744,0,0.25,0.813394503136629,"MED LOW MED",NA
2,21,8,156.093007145552,5,4,4.49914568949811,0,0.25,0.95,"MED LOW MED",NA
2,22,9,60.8804177331323,1,0,0.499579988951549,0,0.25,0.05,"MED LOW MED",NA
2,23,10,60.0324203847047,1,0,0.500687075140798,0,0.25,0.05,"MED LOW MED",NA
2,23,10,92.3230409246176,2,1,1.49944932667477,0,0.25,0.186605496863371,"MED LOW MED",NA
2,23,10,116.213032603969,3,2,2.50019843051038,0,0.25,0.5,"MED LOW MED",NA
2,23,10,133.887877277023,4,3,3.49941443633635,0,0.25,0.813394503136629,"MED LOW MED",NA
2,23,10,146.964488537905,5,4,4.50060493445734,0,0.25,0.95,"MED LOW MED",NA
2,23,10,156.63912869635,6,5,5.50087629438277,0,0.25,0.98806954215117,"MED LOW MED",NA
2,24,11,60.637147794904,1,0,0.500460161595693,0,0.25,0.05,"MED LOW MED",NA
2,24,11,93.704953195261,2,1,1.50035593316495,0,0.25,0.186605496863371,"MED LOW MED",NA
2,24,11,118.416384005918,3,2,2.50096034685512,0,0.25,0.5,"MED LOW MED",NA
2,25,12,64.3520886790703,1,0,0.499589645365469,0,0.25,0.05,"MED LOW MED",NA
3,26,1,63.0722534491888,2,0,0.501579248405067,0,0.25,0.05,"MED LOW MED",NA
3,26,1,99.3608396781696,3,1,1.49902494543528,0,0.25,0.186605496863371,"MED LOW MED",NA
3,27,2,64.2970323915646,2,0,0.499241147805884,0,0.25,0.05,"MED LOW MED",NA
3,27,2,102.260809825215,3,1,1.49801195464017,0,0.25,0.186605496863371,"MED LOW MED",NA
3,28,3,64.1458999090976,2,0,0.498905923166316,0,0.25,0.05,"MED LOW MED",NA
3,28,3,101.900966176837,3,1,1.50094503466013,0,0.25,0.186605496863371,"MED LOW MED",NA
3,28,3,131.747774255107,4,2,2.49889401394125,0,0.25,0.5,"MED LOW MED",NA
3,28,3,155.342805082063,5,3,3.50113508431508,0,0.25,0.813394503136629,"MED LOW MED",NA
3,28,3,173.995569500458,6,4,4.4994180193473,0,0.25,0.95,"MED LOW MED",NA
3,28,3,188.741285367489,7,5,5.4989721550714,0,0.25,0.98806954215117,"MED LOW MED",NA
3,28,3,200.398331559355,8,6,6.50001101313231,0,0.25,0.997237569060774,"MED LOW MED",NA
3,28,3,209.613667535217,9,7,7.49814283268578,0,0.25,0.999364902956742,"MED LOW MED",NA
3,28,3,216.898739220638,10,8,8.50074652683151,0,0.25,0.999854227405248,"MED LOW MED",NA
3,29,4,60.9259663226636,2,0,0.499188066051294,0,0.25,0.05,"MED LOW MED",NA
3,30,5,64.0375219086325,2,0,0.498194359394638,0,0.25,0.05,"MED LOW MED",NA
3,30,5,101.643266777106,3,1,1.50026511989881,0,0.25,0.186605496863371,"MED LOW MED",NA
3,30,5,131.321802270915,4,2,2.49910547094952,0,0.25,0.5,"MED LOW MED",NA
3,31,6,64.35677025294,2,0,0.499400658368933,0,0.25,0.05,"MED LOW MED",NA
3,31,6,102.403199814881,3,1,1.50079929041205,0,0.25,0.186605496863371,"MED LOW MED",NA
3,31,6,132.579215840851,4,2,2.50058625476625,0,0.25,0.5,"MED LOW MED",NA
3,31,6,156.51291878444,5,3,3.50183120079143,0,0.25,0.813394503136629,"MED LOW MED",NA
3,31,6,175.495614714178,6,4,4.49846532422458,0,0.25,0.95,"MED LOW MED",NA
3,32,7,60.6856085477406,2,0,0.499746032809139,0,0.25,0.05,"MED LOW MED",NA
3,32,7,93.8160849472247,3,1,1.49947896976582,0,0.25,0.186605496863371,"MED LOW MED",NA
3,32,7,118.594136148884,4,2,2.4992083880476,0,0.25,0.5,"MED LOW MED",NA
3,32,7,137.1254670585,5,3,3.50084014538101,0,0.25,0.813394503136629,"MED LOW MED",NA
3,33,8,66.2745814499337,2,0,0.500624250742146,0,0.25,0.05,"MED LOW MED",NA
3,33,8,107.021196609402,3,1,1.50178747229707,0,0.25,0.186605496863371,"MED LOW MED",NA
3,33,8,140.301883789529,4,2,2.4999614146345,0,0.25,0.5,"MED LOW MED",NA
3,33,8,167.484611357123,5,3,3.50063644492828,0,0.25,0.813394503136629,"MED LOW MED",NA
3,33,8,189.686697330135,6,4,4.50227462909923,0,0.25,0.95,"MED LOW MED",NA
3,34,9,61.9604674035092,2,0,0.499450007205837,0,0.25,0.05,"MED LOW MED",NA
3,35,10,63.2073463067451,2,0,0.499939782802089,0,0.25,0.05,"MED LOW MED",NA
3,35,10,99.6788915603155,3,1,1.49934531084268,0,0.25,0.186605496863371,"MED LOW MED",NA
3,35,10,128.089169034718,4,2,2.49975871770869,0,0.25,0.5,"MED LOW MED",NA
3,35,10,150.219952377206,5,3,3.49954307616099,0,0.25,0.813394503136629,"MED LOW MED",NA
3,36,11,60.8025582810844,2,0,0.499488838008232,0,0.25,0.05,"MED LOW MED",NA
3,36,11,94.0845162302797,3,1,1.50139362321971,0,0.25,0.186605496863371,"MED LOW MED",NA
3,36,11,119.023828553457,4,2,2.49987619679443,0,0.25,0.5,"MED LOW MED",NA
3,36,11,137.711710441367,5,3,3.50086144206429,0,0.25,0.813394503136629,"MED LOW MED",NA
3,36,11,151.715181143802,6,4,4.50017693882054,0,0.25,0.95,"MED LOW MED",NA
3,36,11,162.208461917416,7,5,5.49808295533637,0,0.25,0.98806954215117,"MED LOW MED",NA
3,36,11,170.071437013634,8,6,6.49877854983678,0,0.25,0.997237569060774,"MED LOW MED",NA
3,36,11,175.963433873113,9,7,7.49992235808068,0,0.25,0.999364902956742,"MED LOW MED",NA
3,36,11,180.378509155344,10,8,8.50009266698607,0,0.25,0.999854227405248,"MED LOW MED",NA
3,36,11,183.686876456389,11,9,9.49866516383224,0,0.25,0.999966553716173,"MED LOW MED",NA
3,36,11,186.165949518331,12,10,10.4996326540731,0,0.25,0.999992326698485,"MED LOW MED",NA
3,36,11,188.023603970576,13,11,11.5006816718562,0,0.25,0.999998239613493,"MED LOW MED",NA
3,37,12,62.7543548320554,2,0,0.498824614620951,0,0.25,0.05,"MED LOW MED",NA
3,37,12,98.6141791817057,3,1,1.50022597156853,0,0.25,0.186605496863371,"MED LOW MED",NA
3,37,12,126.347749381262,4,2,2.4987153259196,0,0.25,0.5,"MED LOW MED",NA
4,38,1,65.1395112707663,3,0,0.500540888203412,0,0.25,0.05,"MED LOW MED",NA
4,38,1,104.27705289803,4,1,1.50132228167667,0,0.25,0.186605496863371,"MED LOW MED",NA
4,38,1,135.696011946255,5,2,2.49931889647842,0,0.25,0.5,"MED LOW MED",NA
4,39,2,63.6291667744045,3,0,0.499423063944539,0,0.25,0.05,"MED LOW MED",NA
4,40,3,60.5944899225423,3,0,0.500135405724044,0,0.25,0.05,"MED LOW MED",NA
4,40,3,93.6071766975437,4,1,1.49888254963342,0,0.25,0.186605496863371,"MED LOW MED",NA
4,40,3,118.260062225553,5,2,2.50052812596584,0,0.25,0.5,"MED LOW MED",NA
4,40,3,136.670098615484,6,3,3.50140807775231,0,0.25,0.813394503136629,"MED LOW MED",NA
4,40,3,150.418162285089,7,4,4.50064140755938,0,0.25,0.95,"MED LOW MED",NA
4,40,3,160.684804385096,8,5,5.50013974198271,0,0.25,0.98806954215117,"MED LOW MED",NA
4,40,3,168.351625149293,9,6,6.50160804045163,0,0.25,0.997237569060774,"MED LOW MED",NA
4,41,4,61.6275547284579,3,0,0.499406834352808,0,0.25,0.05,"MED LOW MED",NA
4,42,5,64.3815704768777,3,0,0.499287275030354,0,0.25,0.05,"MED LOW MED",NA
4,42,5,102.462338978318,4,1,1.49886710395646,0,0.25,0.186605496863371,"MED LOW MED",NA
