"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
82,1,1.50005755594359,9.29013589836974,"MED MED HIGH",0.224892481812276,NA
62,0,0.500016198332566,6.2371912891513,"MED MED HIGH",0.237704925821163,NA
45,3,3.49833258844026,14.4841277818988,"MED MED HIGH",0,NA
76,6,6.49837752347361,20.0491619867376,"MED MED HIGH",0.299669102928601,NA
44,5,5.49994540255075,20.6940770576937,"MED MED HIGH",0,NA
13,0,0.50046284132214,6.36675080180579,"MED MED HIGH",0,NA
77,0,0.50051228349437,6.1523542498049,"MED MED HIGH",0.269589119148441,NA
25,3,3.49847494495793,15.9516079602006,"MED MED HIGH",0,NA
9,1,1.50106339561049,9.6745598766634,"MED MED HIGH",0,NA
33,3,3.50004365057422,15.79253185637,"MED MED HIGH",0,NA
19,1,1.4992277490887,9.97398707933444,"MED MED HIGH",0,NA
39,3,3.49933955655411,16.2299049982706,"MED MED HIGH",0,NA
41,5,5.49873801770437,17.6235118409494,"MED MED HIGH",0,NA
29,7,7.49906866880191,19.7018364185555,"MED MED HIGH",0,NA
31,0,0.500678164632343,6.25622938232457,"MED MED HIGH",0,NA
18,5,5.50012862074425,16.8939922318789,"MED MED HIGH",0,NA
19,4,4.49889139034856,18.9439997924787,"MED MED HIGH",0,NA
27,4,4.49896965246263,16.6989031237102,"MED MED HIGH",0,NA
10,1,1.49807797522145,9.56273345594363,"MED MED HIGH",0,NA
36,1,1.49911512586626,9.74035075819688,"MED MED HIGH",0,NA
30,1,1.49776849877119,10.4188028790216,"MED MED HIGH",0,NA
32,0,0.50019384436705,6.20781419917888,"MED MED HIGH",0,NA
68,3,3.50123353830492,15.545087442552,"MED MED HIGH",0.269644649256952,NA
29,5,5.49863934033275,20.1396723806621,"MED MED HIGH",0,NA
42,2,2.4978115290767,12.3011139773274,"MED MED HIGH",0,NA
33,2,2.49911702674037,12.4428343142682,"MED MED HIGH",0,NA
41,1,1.49936100456309,8.7263923337141,"MED MED HIGH",0,NA
25,8,8.49967605527271,19.4465231977211,"MED MED HIGH",0,NA
48,1,1.49933367881109,9.68850071975868,"MED MED HIGH",0,NA
27,6,6.50025002915437,16.6680377347871,"MED MED HIGH",0,NA
45,6,6.50165326344134,17.4220769508997,"MED MED HIGH",0,NA
4,0,0.499338380345489,6.37604757567534,"MED MED HIGH",0,NA
11,6,6.50041680460214,22.2462443454038,"MED MED HIGH",0,NA
10,10,10.5011279900558,18.0206342467428,"MED MED HIGH",0,NA
54,3,3.50002684345988,14.4338346037641,"MED MED HIGH",0.256421345518902,NA
24,0,0.501072525457851,6.44844838272036,"MED MED HIGH",0,NA
58,2,2.50094979508897,14.111937507403,"MED MED HIGH",0.220093742851168,NA
96,0,0.50013344418689,6.37348449718484,"MED MED HIGH",0.385400963458233,NA
28,8,8.49885222329618,20.7320349981649,"MED MED HIGH",0,NA
29,9,9.4998997456277,20.3379421667128,"MED MED HIGH",0,NA
97,1,1.49986834147611,9.93821485782344,"MED MED HIGH",0.360807906789705,NA
49,5,5.49838068531444,17.9176114672185,"MED MED HIGH",0,NA
69,1,1.50131166731753,9.60494967926458,"MED MED HIGH",0.218497448530979,NA
16,5,5.49959013169216,17.3631220084532,"MED MED HIGH",0,NA
67,4,4.50238821796332,18.1067038514187,"MED MED HIGH",0.262712937686592,NA
85,3,3.49931278195373,14.0205972472123,"MED MED HIGH",0.364915737346746,NA
41,3,3.50095401819032,14.2861183764491,"MED MED HIGH",0,NA
81,0,0.49996157552976,6.43537932347317,"MED MED HIGH",0.243368963990361,NA
15,6,6.49996708291397,19.0979401197524,"MED MED HIGH",0,NA
71,0,0.498991892510432,6.396479347661,"MED MED HIGH",0.212413600948639,NA
48,7,7.50025034566412,19.6482772460751,"MED MED HIGH",0,NA
22,4,4.49837802823402,17.7121665491291,"MED MED HIGH",0,NA
90,5,5.49924920458819,16.9919354277748,"MED MED HIGH",0.365178494201973,NA
75,0,0.501376705920502,6.44038109864805,"MED MED HIGH",0.21985711583402,NA
19,0,0.499593926081488,6.0654214278287,"MED MED HIGH",0,NA
27,4,4.49886015126689,17.0026689562544,"MED MED HIGH",0,NA
51,0,0.500405085127989,6.11838718898401,"MED MED HIGH",0.25792332040146,NA
27,0,0.50116461436745,6.22466942747243,"MED MED HIGH",0,NA
60,2,2.50091954239158,12.8766483732138,"MED MED HIGH",0.251979815168306,NA
22,2,2.50084617301085,12.8586481668961,"MED MED HIGH",0,NA
9,8,8.4993251442357,19.6909125856503,"MED MED HIGH",0,NA
14,2,2.4996262736879,12.4620603168236,"MED MED HIGH",0,NA
35,0,0.501229308971903,5.97003945584344,"MED MED HIGH",0,NA
21,3,3.49978228710001,13.9614611487401,"MED MED HIGH",0,NA
10,0,0.500614083747419,6.25684828255377,"MED MED HIGH",0,NA
16,0,0.500541893380806,6.4071740479177,"MED MED HIGH",0,NA
15,7,7.49959782963616,19.0101995618754,"MED MED HIGH",0,NA
8,5,5.50049097942193,17.6512108037887,"MED MED HIGH",0,NA
32,3,3.49912692957612,14.3905708384487,"MED MED HIGH",0,NA
29,1,1.50086965114102,10.1342097217628,"MED MED HIGH",0,NA
99,0,0.499766732786843,6.36094008493214,"MED MED HIGH",0.362558130617254,NA
37,3,3.49982891494603,14.4288636688079,"MED MED HIGH",0,NA
26,3,3.49906036132457,15.0150862856434,"MED MED HIGH",0,NA
7,1,1.50048182246246,9.58377653772096,"MED MED HIGH",0,NA
56,0,0.498442265287659,6.30378698354311,"MED MED HIGH",0.242083761305548,NA
47,2,2.49933662226347,12.174837203797,"MED MED HIGH",0,NA
27,4,4.50039573119917,16.3858442115795,"MED MED HIGH",0,NA
