"Year","season","fleet","CPUE","sd"
0,1,2,0.000136846895151237,0.1
1,1,2,0.000187203866904634,0.1
2,1,2,0.000253928517193932,0.1
3,1,2,0.000305129672294017,0.1
4,1,2,0.000318318244619271,0.1
5,1,2,0.000349615597922487,0.1
6,1,2,0.000424301125926666,0.1
7,1,2,0.000488624648589096,0.1
8,1,2,0.00042556140718887,0.1
9,1,2,0.000507636904362125,0.1
10,1,2,0.000507357667168184,0.1
11,1,2,0.000558778628980606,0.1
12,1,2,0.00049933178986968,0.1
13,1,2,0.000476710760859972,0.1
14,1,2,0.000536714554069404,0.1
15,1,2,0.000464630375744155,0.1
16,1,2,0.000410353978674105,0.1
17,1,2,0.000449460746596493,0.1
18,1,2,0.000435276349442033,0.1
19,1,2,0.000436791167156716,0.1
20,1,2,0.000400127474816685,0.1
21,1,2,0.000327126074678894,0.1
22,1,2,0.000443677286966649,0.1
23,1,2,0.000426942984155934,0.1
24,1,2,0.000338066650854355,0.1
25,1,2,0.000345603947874874,0.1
26,1,2,0.000410279526493935,0.1
27,1,2,0.000416790777607407,0.1
28,1,2,0.000415016863194714,0.1
29,1,2,0.000456599863591804,0.1
30,1,2,0.000448476931585945,0.1
31,1,2,0.000554822164017914,0.1
32,1,2,0.000496532605139095,0.1
33,1,2,0.000564525053051544,0.1
34,1,2,0.00049720091777752,0.1
35,1,2,0.000385545297649877,0.1
36,1,2,0.000429162906497117,0.1
37,1,2,0.000381824773107644,0.1
38,1,2,0.000452281929219768,0.1
39,1,2,0.000385154816152738,0.1
40,1,2,0.000422322833945324,0.1
41,1,2,0.000469122418042188,0.1
42,1,2,0.000415976592485098,0.1
43,1,2,0.000492588657735721,0.1
44,1,2,0.000454386873456627,0.1
45,1,2,0.000473287607981927,0.1
46,1,2,0.000503799459835765,0.1
47,1,2,0.000559826436042959,0.1
48,1,2,0.000616011839631086,0.1
49,1,2,0.000589099800795508,0.1
50,1,2,0.000560638141449763,0.1
51,1,2,0.000406209187838521,0.1
52,1,2,0.000298144217144634,0.1
53,1,2,0.000276526829617647,0.1
54,1,2,0.000303811816538238,0.1
55,1,2,0.000315722596022346,0.1
56,1,2,0.000247878847043833,0.1
57,1,2,0.000237288862510289,0.1
58,1,2,0.000283866574621805,0.1
59,1,2,0.000306497250241149,0.1
60,1,2,0.000346306788129395,0.1
61,1,2,0.000348466594945729,0.1
62,1,2,0.000369355501798556,0.1
63,1,2,0.000272103050011389,0.1
64,1,2,0.000325319779658142,0.1
65,1,2,0.000329959624633849,0.1
66,1,2,0.00032569108305959,0.1
67,1,2,0.000251078367392264,0.1
68,1,2,0.000215352516755956,0.1
69,1,2,0.000226875792937646,0.1
70,1,2,0.000256053316623504,0.1
71,1,2,0.000238470591910608,0.1
72,1,2,0.000292259937158016,0.1
73,1,2,0.00027158145245112,0.1
74,1,2,0.000278419814627504,0.1
75,1,2,0.000261589040412219,0.1
76,1,2,0.000252427648490705,0.1
77,1,2,0.000256149164093039,0.1
78,1,2,0.000209385607948719,0.1
79,1,2,0.000284476863471939,0.1
80,1,2,0.000205143820174025,0.1
81,1,2,0.000198197323669957,0.1
82,1,2,0.000152270853290187,0.1
83,1,2,0.00015464924443271,0.1
84,1,2,0.00020835097867087,0.1
85,1,2,0.000160141230002352,0.1
86,1,2,0.000176746695706215,0.1
87,1,2,0.000145946795678729,0.1
88,1,2,0.0001333307526487,0.1
89,1,2,0.000121274417256759,0.1
90,1,2,0.000181312789680438,0.1
91,1,2,0.000161122983701042,0.1
92,1,2,0.000185394099924004,0.1
93,1,2,0.000103063468452925,0.1
94,1,2,0.000130449884632123,0.1
95,1,2,0.000197316735517781,0.1
96,1,2,0.000215557695436324,0.1
97,1,2,0.000184243858134646,0.1
98,1,2,0.00020758032298132,0.1
99,1,2,0.000171509155676199,0.1
