"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,106.031436536309,1,1,1.49958672182641,"M",0,0.25,1,"MED MED LOW",NA
1,2,113.368946823331,2,2,2.50110813919682,"M",0,0.25,1,"MED MED LOW",NA
1,3,98.0206112656286,1,1,1.50010432702675,"M",0,0.25,1,"MED MED LOW",NA
1,4,200.297043928828,6,6,6.49954955713272,"M",0,0.25,1,"MED MED LOW",NA
1,5,62.8027422137039,0,0,0.500746702509049,"M",0,0.25,1,"MED MED LOW",NA
1,6,165.872143751831,5,5,5.49922116447391,"M",0,0.25,1,"MED MED LOW",NA
1,7,137.387275677699,3,3,3.50109723926698,"M",0,0.25,1,"MED MED LOW",NA
1,8,193.891609012025,5,5,5.49997802413054,"M",0,0.25,1,"MED MED LOW",NA
1,9,103.391915031981,1,1,1.49972961041401,"M",0,0.25,1,"MED MED LOW",NA
1,10,127.90442529054,3,3,3.49954927545668,"M",0,0.25,1,"MED MED LOW",NA
1,11,130.527027453087,2,2,2.50134989308266,"M",0,0.25,1,"MED MED LOW",NA
2,1,93.7340731682945,2,1,1.50090690619791,"M",0,0.25,1,"MED MED LOW",NA
2,2,63.1724843606953,1,0,0.49799910728884,"M",0,0.25,1,"MED MED LOW",NA
2,3,101.139342529481,2,1,1.5022654078693,"M",0,0.25,1,"MED MED LOW",NA
2,4,63.5927035713316,1,0,0.500156586650236,"M",0,0.25,1,"MED MED LOW",NA
2,5,173.481877834744,6,5,5.49980098235009,"M",0,0.25,1,"MED MED LOW",NA
2,6,62.6005216539002,1,0,0.498637030014515,"M",0,0.25,1,"MED MED LOW",NA
2,7,61.7060135160923,1,0,0.49914812504219,"M",0,0.25,1,"MED MED LOW",NA
2,8,201.957045464301,13,12,12.4998357380645,"M",0,0.25,1,"MED MED LOW",NA
2,9,156.458320472231,6,5,5.49742353023952,"M",0,0.25,1,"MED MED LOW",NA
2,10,137.38411342484,4,3,3.50049117382915,"M",0,0.25,1,"MED MED LOW",NA
2,11,127.728173191635,3,2,2.50000240898231,"M",0,0.25,1,"MED MED LOW",NA
2,12,182.956855729511,6,5,5.49984305826211,"M",0,0.25,1,"MED MED LOW",NA
2,13,227.233663210733,12,11,11.4989603354579,"M",0,0.25,1,"MED MED LOW",NA
3,1,230.707031651285,10,8,8.50086003580393,"M",0,0.25,1,"MED MED LOW",NA
3,2,169.872513410285,6,4,4.50006932149032,"M",0,0.25,1,"MED MED LOW",NA
3,3,122.560763237779,4,2,2.50019427492842,"M",0,0.25,1,"MED MED LOW",NA
3,4,98.9294232515745,3,1,1.49995396980267,"M",0,0.25,1,"MED MED LOW",NA
3,5,121.019199652755,4,2,2.50010160097333,"M",0,0.25,1,"MED MED LOW",NA
3,6,128.175835340088,4,2,2.50155273872576,"M",0,0.25,1,"MED MED LOW",NA
3,7,139.94728583277,5,3,3.50078590097383,"M",0,0.25,1,"MED MED LOW",NA
3,8,62.0946630867239,2,0,0.500480256696224,"M",0,0.25,1,"MED MED LOW",NA
3,9,153.999913731894,6,4,4.50006249268738,"M",0,0.25,1,"MED MED LOW",NA
3,10,129.071296024541,4,2,2.49876940681367,"M",0,0.25,1,"MED MED LOW",NA
3,11,101.615272235979,3,1,1.49791986254262,"M",0,0.25,1,"MED MED LOW",NA
3,12,188.741324090337,9,7,7.49872327877054,"M",0,0.25,1,"MED MED LOW",NA
4,1,61.5173146422153,3,0,0.500180666835632,"M",0,0.25,1,"MED MED LOW",NA
4,2,147.018272780458,7,4,4.49816503617824,"M",0,0.25,1,"MED MED LOW",NA
4,3,186.869112846631,8,5,5.4988217778643,"M",0,0.25,1,"MED MED LOW",NA
4,4,94.6734613982514,4,1,1.50065334482109,"M",0,0.25,1,"MED MED LOW",NA
4,5,140.601750354165,6,3,3.50035672262201,"M",0,0.25,1,"MED MED LOW",NA
4,6,185.605069568761,9,6,6.50179901677558,"M",0,0.25,1,"MED MED LOW",NA
4,7,61.4835821708284,3,0,0.499379293112868,"M",0,0.25,1,"MED MED LOW",NA
4,8,178.480018079582,9,6,6.50003545448639,"M",0,0.25,1,"MED MED LOW",NA
4,9,63.9152992809905,3,0,0.499235856218605,"M",0,0.25,1,"MED MED LOW",NA
4,10,134.623017804735,5,2,2.49861209255745,"M",0,0.25,1,"MED MED LOW",NA
4,11,162.544832948931,7,4,4.49907241400738,"M",0,0.25,1,"MED MED LOW",NA
4,12,127.728134157132,5,2,2.49954692006277,"M",0,0.25,1,"MED MED LOW",NA
5,1,174.782705385784,8,4,4.50221068190294,"M",0,0.25,1,"MED MED LOW",NA
5,2,148.754098572076,7,3,3.50056325292674,"M",0,0.25,1,"MED MED LOW",NA
5,3,99.4441800306522,5,1,1.50021701540703,"M",0,0.25,1,"MED MED LOW",NA
5,4,207.4439726753,15,11,11.4981520917701,"M",0,0.25,1,"MED MED LOW",NA
5,5,160.789394880215,9,5,5.50091241245225,"M",0,0.25,1,"MED MED LOW",NA
5,6,131.15661705087,6,2,2.49930995914831,"M",0,0.25,1,"MED MED LOW",NA
5,7,211.443684590809,14,10,10.4991770564626,"M",0,0.25,1,"MED MED LOW",NA
5,8,131.002937002204,6,2,2.50112344875501,"M",0,0.25,1,"MED MED LOW",NA
5,9,62.0945308974258,4,0,0.499829703065768,"M",0,0.25,1,"MED MED LOW",NA
5,10,101.608635732547,5,1,1.50002376217992,"M",0,0.25,1,"MED MED LOW",NA
5,11,104.350500888088,5,1,1.49957005191085,"M",0,0.25,1,"MED MED LOW",NA
5,12,104.65575731315,5,1,1.49887886540571,"M",0,0.25,1,"MED MED LOW",NA
6,1,103.870289306966,6,1,1.50064389356825,"M",0,0.25,1,"MED MED LOW",NA
6,2,60.755220880128,5,0,0.498688101868194,"M",0,0.25,1,"MED MED LOW",NA
6,3,157.356901655799,8,3,3.50047708405675,"M",0,0.25,1,"MED MED LOW",NA
6,4,93.9070795987676,6,1,1.49743841725369,"M",0,0.25,1,"MED MED LOW",NA
6,5,65.3181636182995,5,0,0.498583123934434,"M",0,0.25,1,"MED MED LOW",NA
6,6,181.048838372762,16,11,11.5003477681354,"M",0,0.25,1,"MED MED LOW",NA
6,7,62.9540567160506,5,0,0.499687995637285,"M",0,0.25,1,"MED MED LOW",NA
6,8,63.9824220611586,5,0,0.502175067164578,"M",0,0.25,1,"MED MED LOW",NA
6,9,183.122190615271,10,5,5.49831145446442,"M",0,0.25,1,"MED MED LOW",NA
6,10,62.8149541123684,5,0,0.499875020877725,"M",0,0.25,1,"MED MED LOW",NA
6,11,64.2114915675491,5,0,0.500327732975902,"M",0,0.25,1,"MED MED LOW",NA
6,12,103.114841631418,6,1,1.49953917105235,"M",0,0.25,1,"MED MED LOW",NA
7,1,186.578717808839,11,5,5.49888754931886,"M",0,0.25,1,"MED MED LOW",NA
7,2,168.658514483866,10,4,4.5028681701491,"M",0,0.25,1,"MED MED LOW",NA
7,3,62.9856057705285,6,0,0.498966924278144,"M",0,0.25,1,"MED MED LOW",NA
7,4,134.148358485225,8,2,2.5006362039463,"M",0,0.25,1,"MED MED LOW",NA
7,5,65.583044430632,6,0,0.500542552336022,"M",0,0.25,1,"MED MED LOW",NA
7,6,95.7236894392549,7,1,1.50165094641778,"M",0,0.25,1,"MED MED LOW",NA
7,7,158.350658434451,10,4,4.50207586242415,"M",0,0.25,1,"MED MED LOW",NA
7,8,94.0403504498564,7,1,1.50051814816826,"M",0,0.25,1,"MED MED LOW",NA
7,9,170.758176543894,11,5,5.49991179982096,"M",0,0.25,1,"MED MED LOW",NA
7,10,165.875162992854,11,5,5.50074994796211,"M",0,0.25,1,"MED MED LOW",NA
7,11,63.3614908333192,6,0,0.500148565767712,"M",0,0.25,1,"MED MED LOW",NA
7,12,203.050822007883,13,7,7.50118331947589,"M",0,0.25,1,"MED MED LOW",NA
7,13,60.6355840233531,6,0,0.498544404141003,"M",0,0.25,1,"MED MED LOW",NA
7,14,63.2829308197599,6,0,0.50166703252208,"M",0,0.25,1,"MED MED LOW",NA
8,1,129.686326917554,9,2,2.50029709432329,"M",0,0.25,1,"MED MED LOW",NA
