"Year","season","fleet","CPUE","sd"
0,1,2,0.000111554468626459,0.1
1,1,2,0.000201297907525711,0.1
2,1,2,0.000246379483698565,0.1
3,1,2,0.000361926666900537,0.1
4,1,2,0.000402133868006976,0.1
5,1,2,0.000421030248899404,0.1
6,1,2,0.000448032094504924,0.1
7,1,2,0.000320218005206739,0.1
8,1,2,0.000433227389943131,0.1
9,1,2,0.000504918341973063,0.1
10,1,2,0.000418594051239738,0.1
11,1,2,0.000430476253100992,0.1
12,1,2,0.000360635508695885,0.1
13,1,2,0.000435716699228414,0.1
14,1,2,0.000375108451654617,0.1
15,1,2,0.000406198857966809,0.1
16,1,2,0.000371836925987321,0.1
17,1,2,0.000444992581949012,0.1
18,1,2,0.000512583104101776,0.1
19,1,2,0.000570471382180574,0.1
20,1,2,0.000593361102642561,0.1
21,1,2,0.000582239228022306,0.1
22,1,2,0.000600384495814694,0.1
23,1,2,0.000685895604985385,0.1
24,1,2,0.000631799095884283,0.1
25,1,2,0.000542748068687788,0.1
26,1,2,0.000623019409407126,0.1
27,1,2,0.000572134864206008,0.1
28,1,2,0.000612114117819231,0.1
29,1,2,0.000694766203341357,0.1
30,1,2,0.00063784595316592,0.1
31,1,2,0.000536289937393123,0.1
32,1,2,0.000421420353296206,0.1
33,1,2,0.000449381285814964,0.1
34,1,2,0.000551873742887235,0.1
35,1,2,0.000450175627902625,0.1
36,1,2,0.000430027281505105,0.1
37,1,2,0.000492230111308405,0.1
38,1,2,0.000549704473758618,0.1
39,1,2,0.000437332353734366,0.1
40,1,2,0.000482812413513602,0.1
41,1,2,0.000635920703891647,0.1
42,1,2,0.000610984959261255,0.1
43,1,2,0.000466278226494042,0.1
44,1,2,0.000604624250771843,0.1
45,1,2,0.000484810728809192,0.1
46,1,2,0.000628608568334934,0.1
47,1,2,0.000529728090386448,0.1
48,1,2,0.000621817386423533,0.1
49,1,2,0.00038126124526524,0.1
50,1,2,0.000526427690109491,0.1
51,1,2,0.000397920024218587,0.1
52,1,2,0.000333071501649177,0.1
53,1,2,0.00024122893268862,0.1
54,1,2,0.00033191540823841,0.1
55,1,2,0.00040598251207048,0.1
56,1,2,0.000370506798538288,0.1
57,1,2,0.000366843491258695,0.1
58,1,2,0.000261034442013792,0.1
59,1,2,0.000264948202763296,0.1
60,1,2,0.00033429376798763,0.1
61,1,2,0.000268410167094142,0.1
62,1,2,0.000269277420437828,0.1
63,1,2,0.000253549071145797,0.1
64,1,2,0.000172225200164219,0.1
65,1,2,0.000243496915473606,0.1
66,1,2,0.000220653801059679,0.1
67,1,2,0.000273411004720595,0.1
68,1,2,0.000254196218729625,0.1
69,1,2,0.000255976642053183,0.1
70,1,2,0.000240861127713952,0.1
71,1,2,0.000262178188444467,0.1
72,1,2,0.000306662024553812,0.1
73,1,2,0.000333101834487624,0.1
74,1,2,0.000247645443142308,0.1
75,1,2,0.000301840972192595,0.1
76,1,2,0.000271823584292975,0.1
77,1,2,0.000313361904945482,0.1
78,1,2,0.00028368687900433,0.1
79,1,2,0.000291187554483742,0.1
80,1,2,0.000329442588507659,0.1
81,1,2,0.000221583431455824,0.1
82,1,2,0.000312217229522749,0.1
83,1,2,0.000200069233658046,0.1
84,1,2,0.000186813127545136,0.1
85,1,2,0.000207765730990778,0.1
86,1,2,0.000287378383711719,0.1
87,1,2,0.000325936508334028,0.1
88,1,2,0.000310236329777994,0.1
89,1,2,0.000301779237276784,0.1
90,1,2,0.000277713243384774,0.1
91,1,2,0.000308544901836852,0.1
92,1,2,0.000358653704190142,0.1
93,1,2,0.000405368061183129,0.1
94,1,2,0.000364527460971847,0.1
95,1,2,0.000301086544640681,0.1
96,1,2,0.000328992583490795,0.1
97,1,2,0.000297455666241214,0.1
98,1,2,0.000245330475781352,0.1
99,1,2,0.000150131793424449,0.1
