"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,1,189.127943248545,51,13,13.5023302440199,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
42,3,220.640614504065,51,10,10.4998866687534,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
43,9,206.551850266203,54,12,12.5008239400502,"FISHED",0.293571910820901,0.25,1,"MED MED MED",NA
46,5,180.349060322035,51,6,6.50125419216368,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
46,9,181.600708378309,50,5,5.49914754202328,"FISHED",0.243448715354316,0.25,1,"MED MED MED",NA
47,4,209.79473265286,52,6,6.49797745795552,"FISHED",0.290315815992653,0.25,1,"MED MED MED",NA
47,7,192.756865906231,51,5,5.50138528190444,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
47,10,218.432262749578,55,9,9.50168621781642,"FISHED",0.282464969460852,0.25,1,"MED MED MED",NA
47,12,216.063029529761,53,7,7.49999725362089,"FISHED",0.261018991889432,0.25,1,"MED MED MED",NA
48,9,153.907909673351,51,4,4.49977431391308,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
48,12,163.427604438646,51,4,4.50099888440355,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
49,5,186.467014468118,55,7,7.49948736682023,"FISHED",0.282464969460852,0.25,1,"MED MED MED",NA
49,10,125.386929032863,50,2,2.49912068755787,"FISHED",0.243448715354316,0.25,1,"MED MED MED",NA
49,12,158.127769769883,51,3,3.49992755877812,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
50,3,98.7906970078647,50,1,1.49919697177675,"FISHED",0.243448715354316,0.25,1,"MED MED MED",NA
50,5,147.774703929524,54,5,5.50079659068359,"FISHED",0.293571910820901,0.25,1,"MED MED MED",NA
51,1,102.403181344914,51,1,1.5003642555389,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
51,2,125.494313290853,52,2,2.50047966740994,"FISHED",0.290315815992653,0.25,1,"MED MED MED",NA
51,6,63.7828904045904,50,0,0.497981970191673,"FISHED",0.243448715354316,0.25,1,"MED MED MED",NA
51,11,127.519718994373,52,2,2.50138903047412,"FISHED",0.290315815992653,0.25,1,"MED MED MED",NA
52,1,203.374212880643,62,11,11.498712128196,"FISHED",0.28351177314762,0.25,1,"MED MED MED",NA
52,2,101.311783048295,52,1,1.49989229230677,"FISHED",0.290315815992653,0.25,1,"MED MED MED",NA
52,3,62.3118775884519,51,0,0.498450756650879,"FISHED",0.247695050342008,0.25,1,"MED MED MED",NA
52,5,131.16038541978,53,2,2.49959663866093,"FISHED",0.261018991889432,0.25,1,"MED MED MED",NA
52,7,102.421086413572,52,1,1.49961709848083,"FISHED",0.290315815992653,0.25,1,"MED MED MED",NA
52,10,153.921254552479,54,3,3.49892199284837,"FISHED",0.293571910820901,0.25,1,"MED MED MED",NA
