"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,65.8819849217481,0,0,0.498923324783588,0,0.25,0.05,"MED MED MED",NA
1,1,1,106.068463547031,1,1,1.50101485718702,0,0.25,0.186605496863371,"MED MED MED",NA
1,1,1,138.697209429182,2,2,2.50132214419511,0,0.25,0.5,"MED MED MED",NA
1,2,2,63.8332086044841,0,0,0.499488321246144,0,0.25,0.05,"MED MED MED",NA
1,3,3,62.0969220837729,0,0,0.501651679274778,0,0.25,0.05,"MED MED MED",NA
1,3,3,97.0779444078431,1,1,1.50202983890048,0,0.25,0.186605496863371,"MED MED MED",NA
1,3,3,123.848434735606,2,2,2.4989721157176,0,0.25,0.5,"MED MED MED",NA
1,3,3,144.335519010892,3,3,3.50019262297002,0,0.25,0.813394503136629,"MED MED MED",NA
1,3,3,160.013999941342,4,4,4.50105791329822,0,0.25,0.95,"MED MED MED",NA
1,3,3,172.012523546921,5,5,5.50035628432288,0,0.25,0.98806954215117,"MED MED MED",NA
1,3,3,181.194826944314,6,6,6.49943948127218,0,0.25,0.997237569060774,"MED MED MED",NA
1,3,3,188.221916147404,7,7,7.49938452961162,0,0.25,0.999364902956742,"MED MED MED",NA
1,3,3,193.599649874019,8,8,8.49964681648722,0,0.25,0.999854227405248,"MED MED MED",NA
1,3,3,197.715154772073,9,9,9.50103170048841,0,0.25,0.999966553716173,"MED MED MED",NA
1,4,4,62.2982516360926,0,0,0.500875638821901,0,0.25,0.05,"MED MED MED",NA
1,4,4,97.5472630648427,1,1,1.49929247635931,0,0.25,0.186605496863371,"MED MED MED",NA
1,4,4,124.610301479054,2,2,2.50087548411018,0,0.25,0.5,"MED MED MED",NA
1,4,4,145.388417475004,3,3,3.50106540650738,0,0.25,0.813394503136629,"MED MED MED",NA
1,5,5,64.4144390201769,0,0,0.501172572225617,0,0.25,0.05,"MED MED MED",NA
