"Year","season","fleet","CPUE","sd"
0,1,2,0.000135292710817012,0.1
1,1,2,0.000197884956657125,0.1
2,1,2,0.000319419662730315,0.1
3,1,2,0.000360202369898855,0.1
4,1,2,0.0003553971869391,0.1
5,1,2,0.000414495784848704,0.1
6,1,2,0.000464011529470979,0.1
7,1,2,0.000439886195322543,0.1
8,1,2,0.00040110135211135,0.1
9,1,2,0.000478219228717851,0.1
10,1,2,0.000443972274358777,0.1
11,1,2,0.000516225354520815,0.1
12,1,2,0.000524002729810031,0.1
13,1,2,0.000509891689023835,0.1
14,1,2,0.000462488996301112,0.1
15,1,2,0.00052363474587839,0.1
16,1,2,0.000439025168317875,0.1
17,1,2,0.000474515610594213,0.1
18,1,2,0.00052247615730229,0.1
19,1,2,0.000486185911095837,0.1
20,1,2,0.000505160538937423,0.1
21,1,2,0.000449285857094804,0.1
22,1,2,0.000497721782409445,0.1
23,1,2,0.000488503087780497,0.1
24,1,2,0.000579099556966928,0.1
25,1,2,0.00050096267443292,0.1
26,1,2,0.000472285530316027,0.1
27,1,2,0.000550370647960497,0.1
28,1,2,0.00044545404346117,0.1
29,1,2,0.000446253772183781,0.1
30,1,2,0.000357722306251133,0.1
31,1,2,0.000438233315896058,0.1
32,1,2,0.00038920993332663,0.1
33,1,2,0.000359408341497928,0.1
34,1,2,0.000489915594560732,0.1
35,1,2,0.000363773141042777,0.1
36,1,2,0.000461562230910394,0.1
37,1,2,0.000583410439727345,0.1
38,1,2,0.00050907030709517,0.1
39,1,2,0.000512300759036294,0.1
40,1,2,0.000561327392204394,0.1
41,1,2,0.000514591414336951,0.1
42,1,2,0.000509260534789046,0.1
43,1,2,0.000414683480127286,0.1
44,1,2,0.000412281050909646,0.1
45,1,2,0.000469669353763258,0.1
46,1,2,0.000448211348896957,0.1
47,1,2,0.000393613915682542,0.1
48,1,2,0.000519470735539754,0.1
49,1,2,0.000484427684889848,0.1
50,1,2,0.000423810134246596,0.1
51,1,2,0.000365148667039489,0.1
52,1,2,0.000390511389743067,0.1
53,1,2,0.000451213566467286,0.1
54,1,2,0.000294448157491865,0.1
55,1,2,0.000324439584120355,0.1
56,1,2,0.000285249154368328,0.1
57,1,2,0.000372757586928362,0.1
58,1,2,0.000268257558835086,0.1
59,1,2,0.000236569429002958,0.1
60,1,2,0.000244554784752349,0.1
61,1,2,0.000252296249576675,0.1
62,1,2,0.000250244440467503,0.1
63,1,2,0.000182050160495834,0.1
64,1,2,0.000177011575987447,0.1
65,1,2,0.000235687265315523,0.1
66,1,2,0.000287913875352638,0.1
67,1,2,0.000193923276825409,0.1
68,1,2,0.00017947397271972,0.1
69,1,2,0.00018835654626036,0.1
70,1,2,0.000180620273981207,0.1
71,1,2,0.000175790043322641,0.1
72,1,2,0.00017786177973644,0.1
73,1,2,0.000195969903806237,0.1
74,1,2,0.000280706119950622,0.1
75,1,2,0.000235943038185537,0.1
76,1,2,0.000218118437365002,0.1
77,1,2,0.000254483491543695,0.1
78,1,2,0.000236507986590181,0.1
79,1,2,0.000190359531981827,0.1
80,1,2,0.000205250818465833,0.1
81,1,2,0.000159529521916723,0.1
82,1,2,0.000153471281245093,0.1
83,1,2,0.000175972471839716,0.1
84,1,2,0.000206554310593209,0.1
85,1,2,0.000182059939391534,0.1
86,1,2,0.000122564122838867,0.1
87,1,2,0.000127389059904767,0.1
88,1,2,0.000172040357978695,0.1
89,1,2,0.000186646790423246,0.1
90,1,2,0.000242786408001378,0.1
91,1,2,0.000185753757839756,0.1
92,1,2,0.000171369530864315,0.1
93,1,2,0.000185168518827952,0.1
94,1,2,0.000215232828039905,0.1
95,1,2,0.00024336367443022,0.1
96,1,2,0.000190271058224064,0.1
97,1,2,0.000244209301684741,0.1
98,1,2,0.00018053824802609,0.1
99,1,2,0.000192439987268793,0.1
