"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
41,12,215.502123398938,52,12,12.499742921338,"FISHED",0.150092078343482,0.25,0.999047229738145,"MED MED MED",NA
45,7,188.619257537832,55,11,11.5004448419741,"FISHED",0.293538046758671,0.25,0.985595455191168,"MED MED MED",NA
46,7,168.687386412668,51,6,6.50072919800491,"FISHED",0.100799842221021,0.25,0.900426450946831,"MED MED MED",NA
46,10,179.431952490704,50,5,5.49812856978705,"FISHED",0.0507691494398601,0.25,0.964184202085563,"MED MED MED",NA
48,3,205.976046947583,54,7,7.49959772892464,"FISHED",0.246461180612308,0.25,0.997497547219009,"MED MED MED",NA
48,4,217.919407378498,54,7,7.49903420203789,"FISHED",0.246461180612308,0.25,0.999254430324895,"MED MED MED",NA
49,8,195.142475386672,54,6,6.50006534298477,"FISHED",0.246461180612308,0.25,0.992520042063119,"MED MED MED",NA
50,1,212.524089534336,57,8,8.49978812038018,"FISHED",0.385476409075301,0.25,0.998711280534557,"MED MED MED",NA
50,5,191.200254746985,55,6,6.50070755867645,"FISHED",0.293538046758671,0.25,0.988879222510316,"MED MED MED",NA
50,8,212.236022272873,59,10,10.5004576661673,"FISHED",0.474460944757133,0.25,0.998673081988493,"MED MED MED",NA
50,14,154.6967066154,53,4,4.49904932328478,"FISHED",0.198645857807245,0.25,0.685995753977034,"MED MED MED",NA
51,1,152.343892394661,53,3,3.49977207913115,"FISHED",0.198645857807245,0.25,0.632411946777176,"MED MED MED",NA
52,10,188.662755719611,57,6,6.50204091187039,"FISHED",0.385476409075301,0.25,0.985658021825272,"MED MED MED",NA
53,2,162.67495445748,56,4,4.49994916512841,"FISHED",0.339876456246336,0.25,0.830829203879869,"MED MED MED",NA
53,4,223.263256745757,61,9,9.49949485382948,"FISHED",0.560491653804168,0.25,0.999566502031713,"MED MED MED",NA
53,9,159.092316113223,56,4,4.50041483813676,"FISHED",0.339876456246336,0.25,0.773426564904987,"MED MED MED",NA
53,12,177.867250404047,57,5,5.50017286853089,"FISHED",0.385476409075301,0.25,0.95827464136256,"MED MED MED",NA
54,12,171.706373233272,56,3,3.4991652975202,"FISHED",0.339876456246336,0.25,0.924735337566169,"MED MED MED",NA
54,14,166.89563355377,57,4,4.50031270623965,"FISHED",0.385476409075301,0.25,0.882886282355071,"MED MED MED",NA
54,15,194.832872643846,60,7,7.49780128068906,"FISHED",0.51784552761,0.25,0.992283020468585,"MED MED MED",NA
54,16,201.987057149085,61,8,8.50037934742536,"FISHED",0.560491653804168,0.25,0.996252705019406,"MED MED MED",NA
55,5,156.033269279317,57,3,3.50066588458621,"FISHED",0.385476409075301,0.25,0.714464983486044,"MED MED MED",NA
55,10,181.149397021806,61,7,7.49990113656469,"FISHED",0.560491653804168,0.25,0.969742001839482,"MED MED MED",NA
57,4,182.63329558462,62,6,6.50159485764907,"FISHED",0.602399323339636,0.25,0.973863370505825,"MED MED MED",NA
57,5,175.772305422882,61,5,5.49940771879539,"FISHED",0.560491653804168,0.25,0.94889038310838,"MED MED MED",NA
57,8,199.14790994168,63,7,7.50105098215895,"FISHED",0.643568536216405,0.25,0.995006942837986,"MED MED MED",NA
57,11,151.733969322422,59,3,3.50251046813798,"FISHED",0.474460944757133,0.25,0.617901626222619,"MED MED MED",NA
57,12,194.531960558247,62,6,6.49807145690114,"FISHED",0.602399323339636,0.25,0.9920455145807,"MED MED MED",NA
58,7,148.403901196258,60,3,3.50070592954987,"FISHED",0.51784552761,0.25,0.535575142509483,"MED MED MED",NA
58,10,151.626204409093,60,3,3.49941180274396,"FISHED",0.51784552761,0.25,0.615315005511056,"MED MED MED",NA
59,2,152.520660544435,62,4,4.50030627038379,"FISHED",0.602399323339636,0.25,0.636574190709523,"MED MED MED",NA
59,7,150.580378230926,61,3,3.49989326210411,"FISHED",0.560491653804168,0.25,0.589893303556387,"MED MED MED",NA
60,4,156.005626057505,63,4,4.50011456860701,"FISHED",0.643568536216405,0.25,0.713892062469878,"MED MED MED",NA
60,6,162.652472146107,63,4,4.49896847198292,"FISHED",0.643568536216405,0.25,0.83050812586403,"MED MED MED",NA
61,2,128.349987205123,62,2,2.49835925637601,"FISHED",0.602399323339636,0.25,0.130836800551699,"MED MED MED",NA
61,4,205.567599331155,66,6,6.49947589858894,"FISHED",0.762645434894517,0.25,0.997391863278354,"MED MED MED",NA
61,10,141.979139875846,64,4,4.49954662519462,"FISHED",0.683999292434475,0.25,0.375245130329436,"MED MED MED",NA
63,3,137.982211423976,65,3,3.50020323279565,"FISHED",0.723691591993846,0.25,0.285855777769597,"MED MED MED",NA
