"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.0235528102519,0,0,0.501795275593726,0,0.25,0.000179015200149347,"MED MED MED",NA
1,1,1,96.9071619204002,1,1,1.50082422363361,0,0.25,0.00614443557704543,"MED MED MED",NA
1,1,1,123.571561257718,2,2,2.49976729706975,0,0.25,0.0848079137813853,"MED MED MED",NA
1,1,1,143.953345429618,3,3,3.50141156225499,0,0.25,0.423277289414081,"MED MED MED",NA
1,1,1,159.532812297583,4,4,4.49693123144221,0,0.25,0.781168054636821,"MED MED MED",NA
1,1,1,171.441474750433,5,5,5.50021263376311,0,0.25,0.922841878690281,"MED MED MED",NA
1,2,2,61.2780092330142,0,0,0.501957055934737,0,0.25,0.000165966665394688,"MED MED MED",NA
1,3,3,64.216373751675,0,0,0.500284007211897,0,0.25,0.000223646885634598,"MED MED MED",NA
1,3,3,102.068693039969,1,1,1.50015736032538,0,0.25,0.0103334437948488,"MED MED MED",NA
1,3,3,132.025258948686,2,2,2.50038637959498,0,0.25,0.179399521939052,"MED MED MED",NA
1,4,4,60.9440248423103,0,0,0.499740017580481,0,0.25,0.000160433938762385,"MED MED MED",NA
1,4,4,94.4096708011191,1,1,1.49906092465605,0,0.25,0.00477477975876554,"MED MED MED",NA
1,5,5,64.2035259248405,0,0,0.50168526252558,0,0.25,0.000223355400208417,"MED MED MED",NA
1,6,6,60.774264540633,0,0,0.499328806893625,0,0.25,0.000157692799855378,"MED MED MED",NA
1,6,6,94.0195435262492,1,1,1.50016774799132,0,0.25,0.00459019612030483,"MED MED MED",NA
1,6,6,118.919778624478,2,2,2.49938326584115,0,0.25,0.054626980631252,"MED MED MED",NA
1,6,6,137.569696052312,3,3,3.50018488407588,0,0.25,0.277382785784249,"MED MED MED",NA
1,6,6,151.538215574033,4,4,4.49952579498973,0,0.25,0.613198206488938,"MED MED MED",NA
1,7,7,60.035371829644,0,0,0.499985452700913,0,0.25,0.000146296984897858,"MED MED MED",NA
1,7,7,92.3297636249805,1,1,1.49946413579124,0,0.25,0.0038693220638081,"MED MED MED",NA
1,7,7,116.223720110617,2,2,2.49977620033516,0,0.25,0.042096239464407,"MED MED MED",NA
1,7,7,133.90236723163,3,3,3.50055920354803,0,0.25,0.209186856498943,"MED MED MED",NA
1,7,7,146.982434746492,4,4,4.50031269798166,0,0.25,0.499554139625868,"MED MED MED",NA
1,7,7,156.660107761979,5,5,5.50103045487429,0,0.25,0.727269646041991,"MED MED MED",NA
1,7,7,163.82041904388,6,6,6.50049069511413,0,0.25,0.846552944741078,"MED MED MED",NA
1,7,7,169.118186138477,7,7,7.49954594817686,0,0.25,0.904280022926661,"MED MED MED",NA
1,8,8,61.3662936913628,0,0,0.500907212327801,0,0.25,0.000167460783249349,"MED MED MED",NA
1,8,8,95.383170601747,1,1,1.50052832320052,0,0.25,0.00526822589139652,"MED MED MED",NA
1,8,8,121.109515434637,2,2,2.50060275149838,0,0.25,0.0673126109950436,"MED MED MED",NA
1,8,8,140.565881761398,3,3,3.50215138329044,0,0.25,0.342252729939112,"MED MED MED",NA
1,8,8,155.280377469981,4,4,4.50027626640941,0,0.25,0.698618186425227,"MED MED MED",NA
1,8,8,166.408682741461,5,5,5.50099188180252,0,0.25,0.877676588469931,"MED MED MED",NA
1,8,8,174.824817461117,6,6,6.50069198633986,0,0.25,0.944018257762896,"MED MED MED",NA
1,8,8,181.189786959297,7,7,7.49912415156213,0,0.25,0.969862100380189,"MED MED MED",NA
1,8,8,186.003497535738,8,8,8.49890527794749,0,0.25,0.981295653763233,"MED MED MED",NA
1,8,8,189.644019225647,9,9,9.50023562528512,0,0.25,0.987000359554725,"MED MED MED",NA
1,8,8,192.397279515032,10,10,10.5008685167894,0,0.25,0.990139351653222,"MED MED MED",NA
1,9,9,63.7464547370568,0,0,0.499305940754674,0,0.25,0.000213229026416281,"MED MED MED",NA
1,9,9,100.952604978297,1,1,1.5006016808355,0,0.25,0.00923660329446385,"MED MED MED",NA
1,9,9,130.182316269012,2,2,2.49928730924731,0,0.25,0.153483135219488,"MED MED MED",NA
1,9,9,153.145617137252,3,3,3.49932428229355,0,0.25,0.651122996810465,"MED MED MED",NA
1,9,9,171.185931717193,4,4,4.49977455704099,0,0.25,0.920974020544713,"MED MED MED",NA
1,9,9,185.358674216654,5,5,5.49999551398625,0,0.25,0.980055336710761,"MED MED MED",NA
1,9,9,196.492993913017,6,6,6.50001253836152,0,0.25,0.993472234344459,"MED MED MED",NA
1,9,9,205.240282950798,7,7,7.50195587878576,0,0.25,0.997303967769131,"MED MED MED",NA
1,9,9,212.112284797078,8,8,8.50021408380054,0,0.25,0.998656328821565,"MED MED MED",NA
1,10,10,63.7309915098578,0,0,0.498640595487438,0,0.25,0.000212894586834166,"MED MED MED",NA
1,11,11,59.5680124650009,0,0,0.501455730385788,0,0.25,0.000139517964509532,"MED MED MED",NA
1,11,11,91.26790332488,1,1,1.49977206284717,0,0.25,0.00347523343934647,"MED MED MED",NA
1,11,11,114.539416895816,2,2,2.499823361293,0,0.25,0.0357155480186545,"MED MED MED",NA
1,11,11,131.623492871852,3,3,3.49954357450217,0,0.25,0.173472609112718,"MED MED MED",NA
2,12,1,60.1306998424678,1,0,0.500629132706885,0,0.25,0.000147719640422762,"MED MED MED",NA
2,13,2,62.0976436552474,1,0,0.500216518337421,0,0.25,0.000180366697558854,"MED MED MED",NA
2,13,2,97.0796246767887,2,1,1.5011661704952,0,0.25,0.00625229694732201,"MED MED MED",NA
2,14,3,61.6198080023851,1,0,0.499973799319873,0,0.25,0.000171826412686553,"MED MED MED",NA
2,14,3,95.969734578794,2,1,1.49963074634698,0,0.25,0.00558970028509539,"MED MED MED",NA
2,15,4,60.2520513146097,1,0,0.501534343530967,0,0.25,0.000149550694363811,"MED MED MED",NA
2,15,4,92.8238952428312,2,1,1.49970620241975,0,0.25,0.00406758971040968,"MED MED MED",NA
2,15,4,117.010111753433,3,2,2.49863912850613,0,0.25,0.0454362282208865,"MED MED MED",NA
2,15,4,134.969582220835,4,3,3.50022038652538,0,0.25,0.227676642317449,"MED MED MED",NA
2,15,4,148.305383598784,5,4,4.49979499614287,0,0.25,0.533086255451477,"MED MED MED",NA
2,15,4,158.207880374228,6,5,5.50156765696672,0,0.25,0.757305401741172,"MED MED MED",NA
2,15,4,165.560977470426,7,6,6.50054832172237,0,0.25,0.868131752380444,"MED MED MED",NA
2,15,4,171.021018319941,8,7,7.49998703475814,0,0.25,0.919746751878313,"MED MED MED",NA
2,15,4,175.075370613723,9,8,8.50019175467473,0,0.25,0.945347579189104,"MED MED MED",NA
2,15,4,178.085929137943,10,9,9.50128226389793,0,0.25,0.959153434956407,"MED MED MED",NA
2,15,4,180.321418797205,11,10,10.499399980995,0,0.25,0.967175440575536,"MED MED MED",NA
2,15,4,181.981381218284,12,11,11.4983362211609,0,0.25,0.972124693094425,"MED MED MED",NA
2,16,5,65.0360290429745,1,0,0.500126435600787,0,0.25,0.000243050817622924,"MED MED MED",NA
2,16,5,104.028453994183,2,1,1.49975225704144,0,0.25,0.0125798006551719,"MED MED MED",NA
2,16,5,135.281187959908,3,2,2.49982952208875,0,0.25,0.233287756645383,"MED MED MED",NA
2,17,6,63.7124364493097,1,0,0.499106723780679,0,0.25,0.000212493969042599,"MED MED MED",NA
2,17,6,100.872020616418,2,1,1.50115746830778,0,0.25,0.00916202803132411,"MED MED MED",NA
2,17,6,130.049569989515,3,2,2.50007317270643,0,0.25,0.151740152596994,"MED MED MED",NA
2,18,7,63.6296330191257,1,0,0.502605115990247,0,0.25,0.00021071534709395,"MED MED MED",NA
2,19,8,61.0781286428507,1,0,0.500912819958629,0,0.25,0.00016263296930383,"MED MED MED",NA
2,19,8,94.7183578314498,2,1,1.50066414597104,0,0.25,0.00492605058855175,"MED MED MED",NA
2,19,8,120.040382184944,3,2,2.49936038444793,0,0.25,0.0608093963179159,"MED MED MED",NA
2,20,9,65.3684147265495,1,0,0.500120818576408,0,0.25,0.000251391155401779,"MED MED MED",NA
2,21,10,62.9431643653898,1,0,0.50029303635092,0,0.25,0.000196531661998596,"MED MED MED",NA
2,22,11,65.1033844444423,1,0,0.499127813665256,0,0.25,0.000244718270794148,"MED MED MED",NA
2,22,11,104.19023419591,2,1,1.50061719467669,0,0.25,0.0127854782356962,"MED MED MED",NA
2,22,11,135.551096056412,3,2,2.50036265620795,0,0.25,0.23822521442889,"MED MED MED",NA
2,23,12,61.4129870986645,1,0,0.500840152866701,0,0.25,0.000168256447864435,"MED MED MED",NA
3,24,1,62.4047242930107,2,0,0.498933977642468,0,0.25,0.000186077806855499,"MED MED MED",NA
3,24,1,97.7958650155131,3,1,1.50107459553675,0,0.25,0.00672074483347509,"MED MED MED",NA
3,24,1,125.014465033469,4,2,2.50096414423656,0,0.25,0.0968921340278536,"MED MED MED",NA
3,24,1,145.947731715841,5,3,3.50105149682163,0,0.25,0.473315552492693,"MED MED MED",NA
3,24,1,162.047077520042,6,4,4.50153357629487,0,0.25,0.82167915539994,"MED MED MED",NA
3,25,2,64.0448940410666,2,0,0.498317750146008,0,0.25,0.000219787577233806,"MED MED MED",NA
3,25,2,101.660786933656,3,1,1.50066658250282,0,0.25,0.00991837643094451,"MED MED MED",NA
