"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,3,3,95.3965087274172,1,1,1.50076478579476,0,0.25,0.00527532756567088,"MED MED MED",NA
1,5,5,98.8072560052224,1,1,1.50004732209443,0,0.25,0.00744216169887466,"MED MED MED",NA
1,9,9,128.818528125649,2,2,2.49861575613455,0,0.25,0.136342275114036,"MED MED MED",NA
1,1,1,140.682857374816,3,3,3.49950206730747,0,0.25,0.344931375067318,"MED MED MED",NA
1,2,2,142.679042850629,3,3,3.50104483334999,0,0.25,0.392046711270993,"MED MED MED",NA
1,6,6,152.365517045727,3,3,3.50009018775656,0,0.25,0.632922203466319,"MED MED MED",NA
1,9,9,151.237819085758,3,3,3.50099135305722,0,0.25,0.605939537374958,"MED MED MED",NA
1,10,10,145.881439178315,3,3,3.49792229753463,0,0.25,0.471637943144519,"MED MED MED",NA
1,12,12,159.388183892211,3,3,3.50124764252509,0,0.25,0.778647463840524,"MED MED MED",NA
1,1,1,155.426841631121,4,4,4.50113214443752,0,0.25,0.701739978883331,"MED MED MED",NA
1,2,2,157.930449695113,4,4,4.49991289919461,0,0.25,0.752090808459979,"MED MED MED",NA
1,6,6,170.190616332087,4,4,4.49974352707946,0,0.25,0.913299042457531,"MED MED MED",NA
1,10,10,161.963378583813,4,4,4.49978157580035,0,0.25,0.820430579041345,"MED MED MED",NA
1,12,12,179.192670319547,4,4,4.49890954265742,0,0.25,0.963335698981857,"MED MED MED",NA
2,15,3,146.365173614665,4,3,3.49875007664512,0,0.25,0.483891718215088,"MED MED MED",NA
2,16,4,154.559034380397,4,3,3.49934668333484,0,0.25,0.682976974647732,"MED MED MED",NA
2,23,11,167.17669263152,4,3,3.49955924995877,0,0.25,0.885804825238783,"MED MED MED",NA
3,29,6,124.225702500067,4,2,2.5002140407649,0,0.25,0.0901070460115821,"MED MED MED",NA
4,38,4,97.444730084309,4,1,1.49796170018541,0,0.25,0.00648688751407646,"MED MED MED",NA
1,1,1,166.581610964416,5,5,5.50072366026996,0,0.25,0.879549136984357,"MED MED MED",NA
1,2,2,169.542153130283,5,5,5.49933450306475,0,0.25,0.907941727449754,"MED MED MED",NA
1,12,12,195.025497231941,5,5,5.49767288383955,0,0.25,0.992431348810404,"MED MED MED",NA
2,13,1,165.965443698941,5,4,4.49860201662981,0,0.25,0.872762340108089,"MED MED MED",NA
2,15,3,162.574325283486,5,4,4.49992596538226,0,0.25,0.829388309063349,"MED MED MED",NA
2,16,4,172.992266284159,5,4,4.50013903913858,0,0.25,0.93333328923087,"MED MED MED",NA
2,19,7,170.268890841195,5,4,4.50110824180937,0,0.25,0.913926284792162,"MED MED MED",NA
2,23,11,189.285362324379,5,4,4.50083636433896,0,0.25,0.986524745640603,"MED MED MED",NA
3,25,2,139.634700879798,5,3,3.49819859770218,0,0.25,0.321297295737916,"MED MED MED",NA
3,26,3,164.039764246156,5,3,3.50123020753297,0,0.25,0.849423649795942,"MED MED MED",NA
3,27,4,158.127211396355,5,3,3.50146652152894,0,0.25,0.755796864375295,"MED MED MED",NA
3,32,9,128.292476241365,5,3,3.49926301217531,0,0.25,0.13017420265845,"MED MED MED",NA
4,38,4,124.443729207639,5,2,2.5001802656437,0,0.25,0.0919385339466531,"MED MED MED",NA
4,47,13,126.824523645787,5,2,2.49880472034826,0,0.25,0.114207667097047,"MED MED MED",NA
1,1,1,175.020909102287,6,6,6.50047167839119,0,0.25,0.945061184557871,"MED MED MED",NA
1,2,2,178.382757675239,6,6,6.49995905383159,0,0.25,0.960317970973755,"MED MED MED",NA
1,12,12,207.68315482673,6,6,6.49961235150165,0,0.25,0.997894942142815,"MED MED MED",NA
2,13,1,179.101351943975,6,5,5.50120634878822,0,0.25,0.963006809184727,"MED MED MED",NA
2,16,4,187.532183355108,6,5,5.49913267904087,0,0.25,0.983941513365889,"MED MED MED",NA
2,17,5,171.716152660461,6,5,5.4998390137013,0,0.25,0.9248044161455,"MED MED MED",NA
3,26,3,185.206766800091,6,4,4.50093565594805,0,0.25,0.979751612289058,"MED MED MED",NA
3,29,6,160.670633516075,6,4,4.49965686166616,0,0.25,0.800274670662262,"MED MED MED",NA
3,31,8,152.724708291824,6,4,4.50067691222147,0,0.25,0.641353427854783,"MED MED MED",NA
4,35,1,159.095281326489,6,3,3.50128469807074,0,0.25,0.773479318591725,"MED MED MED",NA
4,36,2,164.130066493622,6,3,3.50067275213599,0,0.25,0.850592589379087,"MED MED MED",NA
4,37,3,134.503156793266,6,3,3.49927363825562,0,0.25,0.219456880453602,"MED MED MED",NA
4,39,5,144.534311830197,6,3,3.49906189347307,0,0.25,0.437738046960662,"MED MED MED",NA
4,42,8,154.206353915438,6,3,3.50006762363913,0,0.25,0.67517344577629,"MED MED MED",NA
4,45,11,157.612441001553,6,3,3.49952867136234,0,0.25,0.74602179845031,"MED MED MED",NA
4,46,12,154.881966209402,6,3,3.50179561483529,0,0.25,0.690033255571331,"MED MED MED",NA
4,47,13,148.459088993564,6,3,3.49945995445684,0,0.25,0.536968606627048,"MED MED MED",NA
1,2,2,185.113577934013,7,7,7.50004379689652,0,0.25,0.979563053130634,"MED MED MED",NA
1,12,12,217.802402430042,7,7,7.49932929648881,0,0.25,0.999245527015696,"MED MED MED",NA
2,13,1,189.298367028498,7,6,6.5000275326913,0,0.25,0.986542287314138,"MED MED MED",NA
2,16,4,199.001099361473,7,6,6.49974960438235,0,0.25,0.994932338715908,"MED MED MED",NA
2,17,5,180.85713537776,7,6,6.50029413072325,0,0.25,0.968859050557136,"MED MED MED",NA
3,26,3,202.341222053151,7,5,5.50048786139263,0,0.25,0.99638458228072,"MED MED MED",NA
3,29,6,172.792291582588,7,5,5.50120038671925,0,0.25,0.932058764291735,"MED MED MED",NA
3,31,8,163.39601403168,7,5,5.49977060595788,0,0.25,0.840871433361568,"MED MED MED",NA
4,35,1,178.815335187239,7,4,4.49854935790685,0,0.25,0.961958244420424,"MED MED MED",NA
4,36,2,185.323920924124,7,4,4.50131149716041,0,0.25,0.979986246955563,"MED MED MED",NA
4,38,4,161.050617168325,7,4,4.49938841030233,0,0.25,0.80636984527652,"MED MED MED",NA
4,39,5,160.264410319475,7,4,4.50042080947916,0,0.25,0.7936005909851,"MED MED MED",NA
4,40,6,169.53723129308,7,4,4.49913268955652,0,0.25,0.907899950075841,"MED MED MED",NA
4,42,8,172.541184697638,7,4,4.50145268516996,0,0.25,0.930426363992335,"MED MED MED",NA
4,45,11,176.907542202501,7,4,4.50025590225386,0,0.25,0.954199768188885,"MED MED MED",NA
4,46,12,173.40550817384,7,4,4.49953265117309,0,0.25,0.935896987391409,"MED MED MED",NA
4,47,13,165.22418639092,7,4,4.50165244178713,0,0.25,0.864167603935001,"MED MED MED",NA
5,50,3,155.561142132527,7,3,3.50114936760857,0,0.25,0.704586102040387,"MED MED MED",NA
5,51,4,150.399662005068,7,3,3.50105394768519,0,0.25,0.58544722888045,"MED MED MED",NA
5,53,6,142.260599481101,7,3,3.50062947044185,0,0.25,0.381968187156154,"MED MED MED",NA
5,57,10,157.069179296049,7,3,3.49996204411361,0,0.25,0.735429655373462,"MED MED MED",NA
6,69,11,115.447144124909,7,2,2.50042712521173,0,0.25,0.0390291036548012,"MED MED MED",NA
1,2,2,190.238107724429,8,8,8.5006751577044,0,0.25,0.987751987022945,"MED MED MED",NA
1,12,12,225.892301472602,8,8,8.49856530132246,0,0.25,0.999668026379936,"MED MED MED",NA
2,13,1,197.214006715864,8,7,7.50147902931656,0,0.25,0.993930237484038,"MED MED MED",NA
2,17,5,187.848316163536,8,7,7.49900697665893,0,0.25,0.984440877211562,"MED MED MED",NA
3,26,3,216.211374715107,8,6,6.49866874498484,0,0.25,0.999113369756071,"MED MED MED",NA
3,29,6,182.083736747087,8,6,6.49941749926735,0,0.25,0.972404931691746,"MED MED MED",NA
4,35,1,194.568049188049,8,5,5.49997199894526,0,0.25,0.992074377207684,"MED MED MED",NA
