"Year","season","fleet","CPUE","sd"
0,1,2,0.000114928867537223,0.1
1,1,2,0.00022709845710087,0.1
2,1,2,0.000311677478028107,0.1
3,1,2,0.00031661660073644,0.1
4,1,2,0.000399981277547693,0.1
5,1,2,0.000442266029557847,0.1
6,1,2,0.00038874007520319,0.1
7,1,2,0.000357314963646414,0.1
8,1,2,0.000441699688550794,0.1
9,1,2,0.000356827936768107,0.1
10,1,2,0.000512247176440767,0.1
11,1,2,0.000384280401290484,0.1
12,1,2,0.000409801692985651,0.1
13,1,2,0.00044827825515656,0.1
14,1,2,0.000478186001466713,0.1
15,1,2,0.000452401010997307,0.1
16,1,2,0.000514715883552868,0.1
17,1,2,0.000499179781449157,0.1
18,1,2,0.000470087070275336,0.1
19,1,2,0.000457338056763419,0.1
20,1,2,0.000597290523721274,0.1
21,1,2,0.000483019102866482,0.1
22,1,2,0.000645383237614346,0.1
23,1,2,0.000544263234591289,0.1
24,1,2,0.000450451002540342,0.1
25,1,2,0.000522604917847707,0.1
26,1,2,0.000563420700785507,0.1
27,1,2,0.000436907961808338,0.1
28,1,2,0.000430960003688374,0.1
29,1,2,0.000589147442201475,0.1
30,1,2,0.000476945904773572,0.1
31,1,2,0.000600895207369928,0.1
32,1,2,0.000570043559346416,0.1
33,1,2,0.000494408023672709,0.1
34,1,2,0.000578796867152701,0.1
35,1,2,0.000555768558239679,0.1
36,1,2,0.000498419391537433,0.1
37,1,2,0.000513810228904777,0.1
38,1,2,0.000500668694936308,0.1
39,1,2,0.000529629413643368,0.1
40,1,2,0.00055826081435749,0.1
41,1,2,0.000511677278886738,0.1
42,1,2,0.000524775061581753,0.1
43,1,2,0.000489008443422181,0.1
44,1,2,0.00053993403997296,0.1
45,1,2,0.000517018553848044,0.1
46,1,2,0.000548857489068498,0.1
47,1,2,0.000758715565537339,0.1
48,1,2,0.000642201755552268,0.1
49,1,2,0.000598534989535753,0.1
50,1,2,0.00054027533078961,0.1
51,1,2,0.000319614535977438,0.1
52,1,2,0.000372814965262706,0.1
53,1,2,0.000355258562226602,0.1
54,1,2,0.000328650670985475,0.1
55,1,2,0.000288110647286258,0.1
56,1,2,0.000382219883856658,0.1
57,1,2,0.000286925138490707,0.1
58,1,2,0.000317521581406622,0.1
59,1,2,0.000272289334977169,0.1
60,1,2,0.000303401851600126,0.1
61,1,2,0.000240318041250194,0.1
62,1,2,0.000235039739924836,0.1
63,1,2,0.000295776640453435,0.1
64,1,2,0.000268861185369963,0.1
65,1,2,0.000325965523817719,0.1
66,1,2,0.000301733033086408,0.1
67,1,2,0.000334328585329019,0.1
68,1,2,0.000410378940022417,0.1
69,1,2,0.000241096202565541,0.1
70,1,2,0.000233320529110674,0.1
71,1,2,0.00018121837367375,0.1
72,1,2,0.000240748562361627,0.1
73,1,2,0.000205815523220598,0.1
74,1,2,0.000245116556158731,0.1
75,1,2,0.000261712551176077,0.1
76,1,2,0.000311735994426146,0.1
77,1,2,0.000243114395543221,0.1
78,1,2,0.000209065296516112,0.1
79,1,2,0.000215021887102253,0.1
80,1,2,0.000281884484038902,0.1
81,1,2,0.000260531037065828,0.1
82,1,2,0.000259650123943696,0.1
83,1,2,0.00025184526459053,0.1
84,1,2,0.000306056389545664,0.1
85,1,2,0.000327292855760108,0.1
86,1,2,0.000237391728533646,0.1
87,1,2,0.000227205498438638,0.1
88,1,2,0.000263992557508152,0.1
89,1,2,0.000259636474892727,0.1
90,1,2,0.000295604855138454,0.1
91,1,2,0.000223727361762691,0.1
92,1,2,0.000205435392119825,0.1
93,1,2,0.000210777808653936,0.1
94,1,2,0.000284878493059257,0.1
95,1,2,0.000190404154383009,0.1
96,1,2,0.000204325371572412,0.1
97,1,2,0.000191327921582767,0.1
98,1,2,0.000136602572859626,0.1
99,1,2,0.000119845245177215,0.1
