"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,66.1001978668332,0,0,0.499685738606066,0,0.25,0.05,"MED MED MED","R1"
1,2,2,63.4673494165206,0,0,0.499233400958945,0,0.25,0.05,"MED MED MED","R1"
1,3,3,63.4583361264266,0,0,0.498770325170158,0,0.25,0.05,"MED MED MED","R1"
1,4,4,63.9341169280952,0,0,0.500509812854892,0,0.25,0.05,"MED MED MED","R1"
1,5,5,62.2219031074725,0,0,0.497317900165926,0,0.25,0.05,"MED MED MED","R1"
1,6,6,62.6790914841165,0,0,0.500200151386232,0,0.25,0.05,"MED MED MED","R1"
1,7,7,63.3382249042779,0,0,0.500249740600834,0,0.25,0.05,"MED MED MED","R1"
1,8,8,61.0758113490334,0,0,0.498996269247211,0,0.25,0.05,"MED MED MED","R1"
1,9,9,64.057274441597,0,0,0.500093989794429,0,0.25,0.05,"MED MED MED","R1"
1,10,10,64.0315517101298,0,0,0.498371703035197,0,0.25,0.05,"MED MED MED","R1"
1,11,11,61.9681823190383,0,0,0.499792937909387,0,0.25,0.05,"MED MED MED","R1"
1,12,12,62.871336182101,0,0,0.50061724614454,0,0.25,0.05,"MED MED MED","R1"
1,13,13,59.0865892538703,0,0,0.501291862775029,0,0.25,0.05,"MED MED MED","R1"
1,14,14,64.1843322953941,0,0,0.500960531717666,0,0.25,0.05,"MED MED MED","R1"
1,1,1,106.597542534537,1,1,1.49856564096172,0,0.25,0.186605496863371,"MED MED MED","R1"
1,2,2,100.292288211716,1,1,1.501579322053,0,0.25,0.186605496863371,"MED MED MED","R1"
1,3,3,100.270996270783,1,1,1.49983570654432,0,0.25,0.186605496863371,"MED MED MED","R1"
1,4,4,101.397662030791,1,1,1.50001172616609,0,0.25,0.186605496863371,"MED MED MED","R1"
1,6,6,98.4377699893044,1,1,1.50123699950663,0,0.25,0.186605496863371,"MED MED MED","R1"
1,7,7,99.987450723874,1,1,1.49920676926911,0,0.25,0.186605496863371,"MED MED MED","R1"
1,9,9,101.690212445928,1,1,1.50204277795199,0,0.25,0.186605496863371,"MED MED MED","R1"
1,10,10,101.629079352207,1,1,1.50001018820448,0,0.25,0.186605496863371,"MED MED MED","R1"
1,14,14,101.992419598909,1,1,1.50033825486054,0,0.25,0.186605496863371,"MED MED MED","R1"
2,15,1,62.3901811268969,1,0,0.49902711836661,0,0.25,0.05,"MED MED MED","R1"
2,16,2,64.2128183784984,1,0,0.500407518915434,0,0.25,0.05,"MED MED MED","R1"
2,17,3,60.4411069475506,1,0,0.500758605011672,0,0.25,0.05,"MED MED MED","R1"
2,18,4,62.6640360388721,1,0,0.501491775150842,0,0.25,0.05,"MED MED MED","R1"
2,19,5,61.1811533824147,1,0,0.50150598106744,0,0.25,0.05,"MED MED MED","R1"
2,20,6,60.6400659561399,1,0,0.500571421050996,0,0.25,0.05,"MED MED MED","R1"
2,21,7,64.5122897388006,1,0,0.500450446305949,0,0.25,0.05,"MED MED MED","R1"
2,22,8,62.7812559796367,1,0,0.499221270235107,0,0.25,0.05,"MED MED MED","R1"
2,23,9,61.5072488703515,1,0,0.498605522629712,0,0.25,0.05,"MED MED MED","R1"
2,24,10,61.6099786174309,1,0,0.500930576811835,0,0.25,0.05,"MED MED MED","R1"
2,25,11,63.6341010058662,1,0,0.498817565775523,0,0.25,0.05,"MED MED MED","R1"
2,26,12,63.7473224341078,1,0,0.498304242386802,0,0.25,0.05,"MED MED MED","R1"
2,27,13,62.2904158963846,1,0,0.499005844019712,0,0.25,0.05,"MED MED MED","R1"
2,28,14,62.1922368174427,1,0,0.499450021639531,0,0.25,0.05,"MED MED MED","R1"
1,1,1,139.587599210623,2,2,2.49958540951911,0,0.25,0.5,"MED MED MED","R1"
1,2,2,129.0958469342,2,2,2.49951275636732,0,0.25,0.5,"MED MED MED","R1"
1,3,3,129.060861773584,2,2,2.49943497758186,0,0.25,0.5,"MED MED MED","R1"
1,4,4,130.916230778825,2,2,2.50059079123061,0,0.25,0.5,"MED MED MED","R1"
1,6,6,126.059947212646,2,2,2.49892735107742,0,0.25,0.5,"MED MED MED","R1"
1,9,9,131.399369859371,2,2,2.49916353828492,0,0.25,0.5,"MED MED MED","R1"
1,14,14,131.899050346769,2,2,2.49965959165041,0,0.25,0.5,"MED MED MED","R1"
2,16,2,102.060228364174,2,1,1.49853409496229,0,0.25,0.186605496863371,"MED MED MED","R1"
2,17,3,93.2559767599002,2,1,1.50051533229407,0,0.25,0.186605496863371,"MED MED MED","R1"
2,19,5,94.9558065576617,2,1,1.49939306893252,0,0.25,0.186605496863371,"MED MED MED","R1"
2,21,7,102.774305566934,2,1,1.49983075459836,0,0.25,0.186605496863371,"MED MED MED","R1"
2,22,8,98.6772664489353,2,1,1.5004845108529,0,0.25,0.186605496863371,"MED MED MED","R1"
2,23,9,95.7091074695469,2,1,1.49855781995065,0,0.25,0.186605496863371,"MED MED MED","R1"
2,24,10,95.9469625044324,2,1,1.50051122777278,0,0.25,0.186605496863371,"MED MED MED","R1"
2,25,11,100.68656384413,2,1,1.50023297829212,0,0.25,0.186605496863371,"MED MED MED","R1"
2,26,12,100.954660799106,2,1,1.49899347977354,0,0.25,0.186605496863371,"MED MED MED","R1"
2,27,13,97.5289785124575,2,1,1.49963403457973,0,0.25,0.186605496863371,"MED MED MED","R1"
3,29,1,61.5874708141423,2,0,0.501944832155088,0,0.25,0.05,"MED MED MED","R1"
3,30,2,61.6640198710067,2,0,0.499005417662941,0,0.25,0.05,"MED MED MED","R1"
3,31,3,63.0256125321033,2,0,0.501819228258282,0,0.25,0.05,"MED MED MED","R1"
3,32,4,62.4947667551065,2,0,0.501904138641811,0,0.25,0.05,"MED MED MED","R1"
3,33,5,59.1898120357815,2,0,0.499475577655575,0,0.25,0.05,"MED MED MED","R1"
3,34,6,59.6490647524021,2,0,0.499188334673269,0,0.25,0.05,"MED MED MED","R1"
3,35,7,63.918324804368,2,0,0.500841751673447,0,0.25,0.05,"MED MED MED","R1"
3,36,8,61.0771852329882,2,0,0.499599564006729,0,0.25,0.05,"MED MED MED","R1"
3,37,9,64.0618185676566,2,0,0.499609727269341,0,0.25,0.05,"MED MED MED","R1"
3,38,10,65.9382762231228,2,0,0.500678466453191,0,0.25,0.05,"MED MED MED","R1"
3,39,11,65.2083882943083,2,0,0.500112535578065,0,0.25,0.05,"MED MED MED","R1"
1,2,2,151.625280036415,3,3,3.50156502409118,0,0.25,0.813394503136629,"MED MED MED","R1"
1,3,3,151.576386389819,3,3,3.50059274990377,0,0.25,0.813394503136629,"MED MED MED","R1"
1,4,4,154.174731770759,3,3,3.50184930012361,0,0.25,0.813394503136629,"MED MED MED","R1"
1,9,9,154.853133530843,3,3,3.50281622090402,0,0.25,0.813394503136629,"MED MED MED","R1"
1,14,14,155.555538322706,3,3,3.5020004261939,0,0.25,0.813394503136629,"MED MED MED","R1"
2,16,2,132.011250673759,3,2,2.49933813872061,0,0.25,0.5,"MED MED MED","R1"
2,17,3,117.699108532553,3,2,2.50182671560109,0,0.25,0.5,"MED MED MED","R1"
2,22,8,126.450723223353,3,2,2.50119968390191,0,0.25,0.5,"MED MED MED","R1"
2,23,9,121.634763999277,3,2,2.49996034631035,0,0.25,0.5,"MED MED MED","R1"
2,24,10,122.018518811186,3,2,2.49965515809559,0,0.25,0.5,"MED MED MED","R1"
2,27,13,124.580591748375,3,2,2.49946800102926,0,0.25,0.5,"MED MED MED","R1"
3,29,1,95.8948268719709,3,1,1.50204311030521,0,0.25,0.186605496863371,"MED MED MED","R1"
3,30,2,96.0721911816402,3,1,1.49798820522134,0,0.25,0.186605496863371,"MED MED MED","R1"
3,31,3,99.2511364731127,3,1,1.50288796763472,0,0.25,0.186605496863371,"MED MED MED","R1"
3,32,4,98.0063223378258,3,1,1.49995381081088,0,0.25,0.186605496863371,"MED MED MED","R1"
3,36,8,94.7161846938639,3,1,1.49849368838183,0,0.25,0.186605496863371,"MED MED MED","R1"
3,37,9,101.701013790444,3,1,1.49923585222749,0,0.25,0.186605496863371,"MED MED MED","R1"
3,38,10,106.204835074525,3,1,1.50051077202233,0,0.25,0.186605496863371,"MED MED MED","R1"
3,39,11,104.442664839421,3,1,1.50185146062389,0,0.25,0.186605496863371,"MED MED MED","R1"
4,40,1,65.8200252829294,3,0,0.497316878702691,0,0.25,0.05,"MED MED MED","R1"
4,41,2,62.8330791721897,3,0,0.499851523766257,0,0.25,0.05,"MED MED MED","R1"
4,42,3,63.1520584297936,3,0,0.500820372331129,0,0.25,0.05,"MED MED MED","R1"
4,43,4,60.8083339541945,3,0,0.498818234620711,0,0.25,0.05,"MED MED MED","R1"
4,44,5,62.5235050650764,3,0,0.499797510121864,0,0.25,0.05,"MED MED MED","R1"
4,45,6,62.594513336512,3,0,0.500942538862912,0,0.25,0.05,"MED MED MED","R1"
4,46,7,58.9215410413127,3,0,0.499918013213744,0,0.25,0.05,"MED MED MED","R1"
4,47,8,59.697925020964,3,0,0.497994751932348,0,0.25,0.05,"MED MED MED","R1"
4,48,9,64.4640485358605,3,0,0.501210359580658,0,0.25,0.05,"MED MED MED","R1"
4,49,10,63.4573586552236,3,0,0.502939994351283,0,0.25,0.05,"MED MED MED","R1"
4,50,11,60.6378736898682,3,0,0.501110316626397,0,0.25,0.05,"MED MED MED","R1"
4,51,12,61.6353857630725,3,0,0.500075940032117,0,0.25,0.05,"MED MED MED","R1"
1,2,2,169.24724684953,4,4,4.50138052002722,0,0.25,0.95,"MED MED MED","R1"
1,3,3,169.184973296728,4,4,4.49928872913783,0,0.25,0.95,"MED MED MED","R1"
1,4,4,172.500751335235,4,4,4.50158461644294,0,0.25,0.95,"MED MED MED","R1"
1,9,9,173.368604121347,4,4,4.50130333036865,0,0.25,0.95,"MED MED MED","R1"
1,14,14,174.268091671623,4,4,4.4989452882304,0,0.25,0.95,"MED MED MED","R1"
2,16,2,155.713367614621,4,3,3.4989101378506,0,0.25,0.813394503136629,"MED MED MED","R1"
2,17,3,135.906302230772,4,3,3.50032244537129,0,0.25,0.813394503136629,"MED MED MED","R1"
2,22,8,147.939598758984,4,3,3.50074964697567,0,0.25,0.813394503136629,"MED MED MED","R1"
2,23,9,141.286902626426,4,3,3.5004311170701,0,0.25,0.813394503136629,"MED MED MED","R1"
2,24,10,141.814260058965,4,3,3.49841583679706,0,0.25,0.813394503136629,"MED MED MED","R1"
2,27,13,145.347323542706,4,3,3.50006475067564,0,0.25,0.813394503136629,"MED MED MED","R1"
3,29,1,121.934370781633,4,2,2.50127282223416,0,0.25,0.5,"MED MED MED","R1"
3,30,2,122.220715133022,4,2,2.49878310237874,0,0.25,0.5,"MED MED MED","R1"
3,31,3,127.388636248159,4,2,2.49994188865687,0,0.25,0.5,"MED MED MED","R1"
3,32,4,125.356937721159,4,2,2.49994998428432,0,0.25,0.5,"MED MED MED","R1"
3,36,8,120.036892285391,4,2,2.49881081062886,0,0.25,0.5,"MED MED MED","R1"
3,37,9,131.417218810543,4,2,2.49903725081553,0,0.25,0.5,"MED MED MED","R1"
3,38,10,138.92653518388,4,2,2.49992413388886,0,0.25,0.5,"MED MED MED","R1"
3,39,11,135.972584848736,4,2,2.49872896231788,0,0.25,0.5,"MED MED MED","R1"
4,40,1,105.918450178747,4,1,1.49935354867905,0,0.25,0.186605496863371,"MED MED MED","R1"
4,41,2,98.7988499669313,4,1,1.50077069756367,0,0.25,0.186605496863371,"MED MED MED","R1"
4,42,3,99.5486718021426,4,1,1.50083171597315,0,0.25,0.186605496863371,"MED MED MED","R1"
4,43,4,94.0977816984489,4,1,1.50024731421494,0,0.25,0.186605496863371,"MED MED MED","R1"
4,44,5,98.0735348019261,4,1,1.50082348694918,0,0.25,0.186605496863371,"MED MED MED","R1"
4,46,7,89.8079668882184,4,1,1.49976175156715,0,0.25,0.186605496863371,"MED MED MED","R1"
