"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
66,1,1.49855200266911,10.050711748602,"MED MED MED",0.278558884514496,"early","med","R0",6.76248898962513
76,1,1.49938884621112,9.09696063334192,"MED MED MED",0.27357651819475,"late","med","R0",15.3238454018719
50,1,1.50039724551879,9.79182915731681,"MED MED MED",0.251108968793415,"early","med","R0",47.7283157990314
78,1,1.49890903197854,9.69814551066931,"MED MED MED",0.255639269249514,"late","med","R0",34.613080881536
67,1,1.50047260723269,9.81710995215565,"MED MED MED",0.276335645234212,"early","med","R0",40.2527286554687
50,3,3.50055005087586,14.709317900656,"MED MED MED",0.251108968793415,"early","med","R0",49.718856997788
98,0,0.500611973578519,6.35216160847584,"MED MED MED",0.279363822331652,"late","med","R0",9.03058428084478
65,6,6.50122388756659,17.4105370166365,"MED MED MED",0.227303812419996,"early","med","R0",23.5897519392893
90,5,5.50198321147076,17.9122247040757,"MED MED MED",0.237674124934711,"late","med","R0",22.5256655714475
78,3,3.5023512344494,15.9537685996309,"MED MED MED",0.234278913890012,"late","med","R0",44.7992512839846
51,5,5.49863990610482,17.2577765690725,"MED MED MED",0.253762816009112,"early","med","R0",26.144699472934
68,0,0.499051894232936,6.19684657013941,"MED MED MED",0.215349217434414,"early","med","R0",11.6166486404836
95,3,3.50021952172562,14.806023238491,"MED MED MED",0.235128243430518,"late","med","R0",29.8632547492161
60,1,1.50004065678771,9.89005416411842,"MED MED MED",0.20151636635419,"early","med","R0",3.64920758875087
54,2,2.49880229866082,12.5705122364386,"MED MED MED",0.219195187371224,"early","med","R0",21.9971043174155
79,1,1.49954480385409,9.83460706486786,"MED MED MED",0.211835429538041,"late","med","R0",19.4420320331119
94,1,1.50104046080551,9.96341270157313,"MED MED MED",0.280358074931428,"late","med","R0",43.8473320100456
59,0,0.502282629353939,5.89280407244717,"MED MED MED",0.291843802318908,"early","med","R0",44.8089763172902
79,0,0.500708252015635,5.91550507013756,"MED MED MED",0.283885808871128,"late","med","R0",45.1569776167162
60,0,0.499181285589405,6.11553758001078,"MED MED MED",0.201222944259644,"early","med","R0",19.7011736454442
81,0,0.501396297609455,6.24769835924621,"MED MED MED",0.295149458688684,"late","med","R0",39.7099819616415
50,8,8.4986509710221,20.0587573219576,"MED MED MED",0.281528267334215,"early","med","R0",8.01903320243582
79,1,1.49914079530523,9.36101187470176,"MED MED MED",0.293866634438746,"late","med","R0",31.2422014772892
96,0,0.498999702302626,6.39858747571557,"MED MED MED",0.2053030742798,"late","med","R0",39.6634617471136
62,0,0.50079241863692,6.42324814097007,"MED MED MED",0.246244468074292,"early","med","R0",4.97752989176661
62,3,3.49852741461685,15.6753246369131,"MED MED MED",0.253242736845277,"early","med","R0",13.5869199526496
75,0,0.498947114136276,6.3242098903317,"MED MED MED",0.21521664489992,"late","med","R0",35.10217203293
87,2,2.50075012528581,12.2465700014916,"MED MED MED",0.214485497586429,"late","med","R0",40.1781700900756
50,0,0.498486315587038,6.39753278494599,"MED MED MED",0.20013576655183,"early","med","R0",6.95631777634844
66,1,1.49798948575935,10.1762878413124,"MED MED MED",0.278558884514496,"early","med","R0",9.65449615614489
93,0,0.499613081605651,6.39930207218296,"MED MED MED",0.272905423352495,"late","med","R0",42.2099715331569
73,7,7.49947724102223,19.6649109768482,"MED MED MED",0.241729139536619,"early","med","R0",21.0908941458911
66,0,0.500149774276977,6.50742608843243,"MED MED MED",0.278558884514496,"early","med","R0",30.9710444766097
85,4,4.50259825037158,15.8159224961834,"MED MED MED",0.221792581328191,"late","med","R0",37.6545444945805
64,0,0.499547381744264,6.3646470276497,"MED MED MED",0.265102969156578,"early","med","R0",41.9671259238385
59,3,3.50001708487694,15.1496087767311,"MED MED MED",0.291843802318908,"early","med","R0",28.3489698427729
59,0,0.49909732538831,6.28783070804565,"MED MED MED",0.291843802318908,"early","med","R0",28.63453340251
57,6,6.49874921465789,19.7726846073532,"MED MED MED",0.299344835313968,"early","med","R0",41.7582668131217
50,4,4.4991147167341,15.6015103715927,"MED MED MED",0.281528267334215,"early","med","R0",40.3709726990201
58,3,3.49928605553488,15.8524848136969,"MED MED MED",0.203992855153047,"early","med","R0",36.6035616956651
76,0,0.499108825970078,6.12004381012746,"MED MED MED",0.214514150493778,"late","med","R0",47.06992310239
69,0,0.500242891746097,6.29832042187703,"MED MED MED",0.274110022652894,"early","med","R0",24.4105548597872
87,0,0.498466258350507,6.27305250053556,"MED MED MED",0.245867590932176,"late","med","R0",4.0457172668539
68,2,2.49907738593261,11.7775053830798,"MED MED MED",0.251327085308731,"early","med","R0",47.6991246338002
56,5,5.50212839073722,17.143037272443,"MED MED MED",0.238850532495417,"early","med","R0",7.36297030234709
98,3,3.49814346981683,15.0203644090981,"MED MED MED",0.262454346683808,"late","med","R0",16.8287038803101
88,2,2.49867585814912,11.5769672974317,"MED MED MED",0.204572613211349,"late","med","R0",30.0954561913386
98,1,1.49934803416473,9.7672333927526,"MED MED MED",0.288145476952195,"late","med","R0",44.3203955423087
75,1,1.50055713621757,9.13968442776889,"MED MED MED",0.20910036873538,"late","med","R0",22.2548492136411
77,0,0.499523406063564,6.076971268928,"MED MED MED",0.237914540385827,"late","med","R0",21.4151303633116
98,1,1.50095126841693,9.67722161726911,"MED MED MED",0.288145476952195,"late","med","R0",16.0524336388335
76,0,0.500727890958541,6.01019330764789,"MED MED MED",0.209194484353066,"late","med","R0",44.8358367197216
56,2,2.49801898926133,12.779755439713,"MED MED MED",0.238850532495417,"early","med","R0",1.11021634656936
98,1,1.50028302352549,9.6222787654829,"MED MED MED",0.288145476952195,"late","med","R0",23.2219107099809
85,1,1.50034232152734,10.0421298870646,"MED MED MED",0.286327711422928,"late","med","R0",14.1773420153186
67,1,1.5013619708217,9.60578687053777,"MED MED MED",0.251279435912147,"early","med","R0",38.6789726791903
73,1,1.49953100135608,9.82132744552376,"MED MED MED",0.241729139536619,"early","med","R0",13.4858509991318
76,6,6.49904945783827,18.7823250499125,"MED MED MED",0.27357651819475,"late","med","R0",9.06539957504719
84,2,2.49949198036904,12.3244304653372,"MED MED MED",0.292980698030442,"late","med","R0",24.6238049934618
72,2,2.49914845494866,12.6496763238675,"MED MED MED",0.233275130484253,"early","med","R0",42.4129166873172
78,3,3.49932089890134,15.8917324330155,"MED MED MED",0.238486646604724,"late","med","R0",13.5659709339961
