"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
78,1,1.50047322886144,10.3065077875239,"HIGH LOW","late","low","R1",10.8320789071731
86,0,0.49909759910921,6.55093837065933,"HIGH LOW","late","low","R1",9.47172616794705
97,0,0.499368972709085,6.24704009339089,"HIGH LOW","late","low","R1",0.0253572994843125
88,2,2.49953695189132,12.9272041518109,"HIGH LOW","late","low","R1",8.78276499547064
65,2,2.50034750894968,12.4915680010667,"HIGH LOW","early","high","R1",3.31418612599373
57,2,2.50103852372778,13.0431112439755,"HIGH LOW","early","high","R1",4.57652780227363
68,1,1.50029191806074,9.43901077270505,"HIGH LOW","early","high","R1",8.85741908242926
73,1,1.5002672778917,9.72725455592707,"HIGH LOW","early","high","R1",9.21482101408765
75,4,4.49780232310686,16.6816597942856,"HIGH LOW","late","low","R1",7.5968546862714
85,2,2.50168888523383,13.0263796017227,"HIGH LOW","late","low","R1",0.127958865370601
93,0,0.500051895329101,6.23642704600574,"HIGH LOW","late","low","R1",11.6917250896804
70,2,2.50064886155794,12.3725290723125,"HIGH LOW","early","high","R1",5.27243481716141
81,3,3.501086153172,14.006916721167,"HIGH LOW","late","low","R1",10.5397231690586
59,1,1.50101032282298,9.47802635620019,"HIGH LOW","early","high","R1",0.816809262614697
72,3,3.50010542892085,15.4169881261227,"HIGH LOW","early","high","R1",4.29528168169782
64,1,1.49900220344302,10.0607074465814,"HIGH LOW","early","high","R1",7.25968015100807
81,2,2.50029961905514,11.8378981698903,"HIGH LOW","late","low","R1",0.391716942656785
97,0,0.501026617092066,6.21487339082539,"HIGH LOW","late","low","R1",3.67428801162168
65,0,0.498709583797997,6.33619894579816,"HIGH LOW","early","high","R1",12.3714994573966
50,4,4.49950498402729,16.9597633672523,"HIGH LOW","early","high","R1",1.05676461942494
54,2,2.49900355784263,12.2554579652533,"HIGH LOW","early","high","R1",1.35824443399906
89,1,1.50087957494158,9.65480588996555,"HIGH LOW","late","low","R1",12.3251614514738
97,1,1.49778426262565,9.70371893925528,"HIGH LOW","late","low","R1",7.35621915245429
67,3,3.50045168198319,14.9332381627909,"HIGH LOW","early","high","R1",5.40535686211661
67,1,1.49939871899473,9.88603795511799,"HIGH LOW","early","high","R1",5.02144078211859
67,0,0.499488300793803,6.24929756765854,"HIGH LOW","early","high","R1",12.5762970359065
59,0,0.500035433672981,6.1267619094226,"HIGH LOW","early","high","R1",0.840950596611947
83,2,2.50002872761533,12.4007933943233,"HIGH LOW","late","low","R1",7.5875186752528
78,2,2.50053754454106,12.4044398629067,"HIGH LOW","late","low","R1",12.0353658390231
91,1,1.50028814220108,9.32648440275091,"HIGH LOW","late","low","R1",9.65278707910329
98,3,3.49733278657444,14.5672756566609,"HIGH LOW","late","low","R1",6.31463410379365
74,2,2.50090553799761,12.1413186578141,"HIGH LOW","early","high","R1",2.03645511204377
70,3,3.50037562971873,15.5084388059671,"HIGH LOW","early","high","R1",10.8796219229698
73,12,12.5001491895507,20.3043298421661,"HIGH LOW","early","high","R1",8.38324464438483
67,0,0.49963535629904,6.45535312337118,"HIGH LOW","early","high","R1",7.79049948323518
80,0,0.499689530760792,6.76118403310112,"HIGH LOW","late","low","R1",10.4715992272831
88,0,0.500600293490749,6.03655678165408,"HIGH LOW","late","low","R1",1.38300027325749
97,1,1.49884522648368,10.3297242571604,"HIGH LOW","late","low","R1",1.01792238140479
94,3,3.50050748241168,14.3300266191087,"HIGH LOW","late","low","R1",0.110612022690475
67,5,5.50128312386243,16.945998164276,"HIGH LOW","early","high","R1",12.100092719309
87,1,1.50032704503513,9.61167742876329,"HIGH LOW","late","low","R1",12.5533467279747
79,2,2.49976885066587,13.3677485814998,"HIGH LOW","late","low","R1",12.4036246333271
56,3,3.49964453940931,15.1065543443346,"HIGH LOW","early","high","R1",3.33181510260329
85,1,1.49989753543774,10.3258615448063,"HIGH LOW","late","low","R1",12.6746011264622
56,0,0.50153840309562,6.33143433341137,"HIGH LOW","early","high","R1",12.1582456775941
72,0,0.500807179439579,6.32150490628103,"HIGH LOW","early","high","R1",11.6045507155359
55,1,1.49931049150855,10.6058850779893,"HIGH LOW","early","high","R1",6.982434859965
79,1,1.49983127438001,10.29552938514,"HIGH LOW","late","low","R1",11.5631019021384
55,0,0.501068021151538,6.25756798194813,"HIGH LOW","early","high","R1",12.1532220807858
69,3,3.50119187793924,14.450840168063,"HIGH LOW","early","high","R1",2.38428378710523
80,2,2.50141226803564,13.5907136890718,"HIGH LOW","late","low","R1",7.99656723160297
59,0,0.499544481980045,6.43058183678745,"HIGH LOW","early","high","R1",1.83315511466935
89,0,0.498777188426754,6.34565783251418,"HIGH LOW","late","low","R1",6.76341598620638
54,1,1.49996787035519,10.1902588961389,"HIGH LOW","early","high","R1",2.51308911293745
63,2,2.50074691138125,12.6219729022317,"HIGH LOW","early","high","R1",7.22110039787367
78,1,1.50012724966027,9.30878269060884,"HIGH LOW","late","low","R1",6.23201724840328
82,0,0.498893760095041,6.67041831664243,"HIGH LOW","late","low","R1",12.2459675781429
62,0,0.4998517400705,6.28814545599213,"HIGH LOW","early","high","R1",6.10250997776166
66,2,2.49973196876705,12.1733712055931,"HIGH LOW","early","high","R1",10.6259737545624
77,2,2.50082360836758,13.3981803827746,"HIGH LOW","late","low","R1",10.9884539991617
95,1,1.49941428109967,9.79947832097302,"HIGH LOW","late","low","R1",11.3423662111163
78,5,5.49989120642095,17.9590125629818,"HIGH LOW","late","low","R1",3.40624062763527
64,1,1.50133243167039,9.8098302457478,"HIGH LOW","early","high","R1",4.9382582702674
78,2,2.50110096636364,11.8145676489325,"HIGH LOW","late","low","R1",1.47337449481711
87,3,3.50012357925754,15.8516300432495,"HIGH LOW","late","low","R1",13.9496488529257
63,2,2.49940577637037,12.8750293537813,"HIGH LOW","early","high","R1",10.1863755704835
76,2,2.49859886287539,11.857507991845,"HIGH LOW","late","low","R1",7.57235413463786
86,0,0.499864669641463,6.25159445442885,"HIGH LOW","late","low","R1",4.9154104613699
85,0,0.501112769410474,6.16194529746088,"HIGH LOW","late","low","R1",1.96782005717978
88,3,3.50018553205734,16.5382525141595,"HIGH LOW","late","low","R1",8.34275370882824
72,1,1.50042881335531,9.74795549550542,"HIGH LOW","early","high","R1",11.2214099122211
84,0,0.500414055100673,6.29445188583784,"HIGH LOW","late","low","R1",8.67643603729084
53,1,1.50120845518021,9.80046247812993,"HIGH LOW","early","high","R1",12.0912381098606
59,0,0.500223751753417,6.3458627076931,"HIGH LOW","early","high","R1",4.81412289431319
64,1,1.50213182830097,9.7735125558507,"HIGH LOW","early","high","R1",9.27890988066792
56,0,0.500503132601537,6.24495240833893,"HIGH LOW","early","high","R1",12.7370145698078
67,0,0.500456089879254,6.28343935049251,"HIGH LOW","early","high","R1",4.28431907016784
71,0,0.499710408059334,6.29716408762565,"HIGH LOW","early","high","R1",1.77900669863448
84,3,3.50029289134677,14.0763042630155,"HIGH LOW","late","low","R1",5.23354816343635
90,3,3.49860704301343,13.470526978245,"HIGH LOW","late","low","R1",1.24279108317569
75,1,1.50061229696556,10.132246982451,"HIGH LOW","late","low","R1",11.1388849783689
59,1,1.50042590974968,9.45696558286412,"HIGH LOW","early","high","R1",0.00447233812883496
65,2,2.50012121886485,12.5756804006639,"HIGH LOW","early","high","R1",9.26260255975649
76,1,1.49917589557753,10.3248169844447,"HIGH LOW","late","low","R1",1.31258421577513
87,5,5.50162984489225,16.466200614827,"HIGH LOW","late","low","R1",6.36252558371052
74,0,0.499381742445366,6.13286969058938,"HIGH LOW","early","high","R1",1.38621478900313
100,1,1.50195110407202,9.58939905713852,"HIGH LOW","late","low","R1",8.01000406779349
73,2,2.49889982399855,13.4601862174003,"HIGH LOW","early","high","R1",11.2617328888737
68,2,2.49988058965651,13.4515160250088,"HIGH LOW","early","high","R1",12.7054495383054
53,1,1.50185120636105,10.0119875948792,"HIGH LOW","early","high","R1",5.49058564845473
52,0,0.500846643335759,6.53354997622733,"HIGH LOW","early","high","R1",3.82776773488149
97,1,1.50031387880265,9.76940473338289,"HIGH LOW","late","low","R1",7.19881974812597
92,0,0.50051283585982,6.21384263355318,"HIGH LOW","late","low","R1",0.452464167959988
83,1,1.49797217585979,9.79598079207944,"HIGH LOW","late","low","R1",8.3784981421195
78,0,0.49990864204164,6.48647387610445,"HIGH LOW","late","low","R1",11.6101058046333
97,0,0.499830456366579,6.11586478656279,"HIGH LOW","late","low","R1",2.54246958019212
94,2,2.50055370213692,12.8049389714168,"HIGH LOW","late","low","R1",0.0606843144632876
