"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
53,0,0.501686264875219,6.18243202591838,"LOW LOW","early","low","R1",13.9629026511684
71,2,2.50091457394887,12.0326318885909,"LOW LOW","early","low","R1",6.36859606252983
92,0,0.501826987616414,5.97682043263273,"LOW LOW","late","low","R1",4.58565057814121
50,1,1.50043561912312,10.0584989510477,"LOW LOW","early","low","R1",3.67633392103016
66,0,0.498562687566809,6.42054786090611,"LOW LOW","early","low","R1",11.498667338863
76,0,0.50178125172403,6.15301042403494,"LOW LOW","late","low","R1",12.2342839366756
97,1,1.50125826515027,9.62712542393768,"LOW LOW","late","low","R1",7.19122574804351
87,2,2.49919600039597,12.9987004057547,"LOW LOW","late","low","R1",8.75952993612736
70,0,0.499044889668253,6.57938914229393,"LOW LOW","early","low","R1",2.36790464026853
60,2,2.49865616178576,12.7011208693804,"LOW LOW","early","low","R1",11.968308695592
78,0,0.500620523206862,6.04484464848479,"LOW LOW","late","low","R1",4.31151060853153
50,1,1.49963485370836,10.3383685747297,"LOW LOW","early","low","R1",13.6397942202166
79,1,1.5016587169251,9.81746294792482,"LOW LOW","late","low","R1",7.60364162828773
90,2,2.49926839751021,12.7242283124911,"LOW LOW","late","low","R1",0.762528935912997
98,3,3.49959375406804,14.0893224957204,"LOW LOW","late","low","R1",4.84457181906328
66,0,0.500260360081952,6.16822271964016,"LOW LOW","early","low","R1",6.2601650217548
79,3,3.49879209980647,14.7087705589718,"LOW LOW","late","low","R1",9.29516962077469
93,0,0.501051867032305,6.386003670512,"LOW LOW","late","low","R1",13.9890403547324
90,1,1.498359796642,10.0039520333861,"LOW LOW","late","low","R1",8.53615779196844
82,4,4.50013418482631,14.951379164546,"LOW LOW","late","low","R1",4.52620882773772
60,4,4.49780332377773,18.0966699695385,"LOW LOW","early","low","R1",9.57135683950037
88,4,4.49939098625604,15.732189172813,"LOW LOW","late","low","R1",4.6741331522353
90,0,0.500484220013647,6.29307236535485,"LOW LOW","late","low","R1",5.04609770467505
77,3,3.49840838082512,13.9315247948914,"LOW LOW","late","low","R1",5.25270074605942
58,3,3.49951420296841,14.405435198415,"LOW LOW","early","low","R1",0.221416112501174
95,1,1.50058500133784,9.42167850936186,"LOW LOW","late","low","R1",5.65115301450714
80,0,0.500073697162933,6.44360116931868,"LOW LOW","late","low","R1",7.59983538230881
62,2,2.49961828459867,12.6896423070639,"LOW LOW","early","low","R1",10.2899960181676
76,1,1.50198993062715,10.0592800760254,"LOW LOW","late","low","R1",8.36738465540111
55,0,0.501530050854494,6.11541254256396,"LOW LOW","early","low","R1",3.52119369711727
96,1,1.50009057589542,9.99303108061677,"LOW LOW","late","low","R1",9.67134660156444
54,0,0.499297275218163,6.17373201428523,"LOW LOW","early","low","R1",2.92172541422769
90,4,4.50049102951443,16.8812693211632,"LOW LOW","late","low","R1",7.5565137360245
62,1,1.50006658059661,9.97487952481644,"LOW LOW","early","low","R1",7.58728842809796
66,0,0.498814267980078,6.18672353062773,"LOW LOW","early","low","R1",3.6787813026458
63,3,3.49859787242769,15.377557141499,"LOW LOW","early","low","R1",8.11470850836486
88,4,4.49955027630231,18.0603862200436,"LOW LOW","late","low","R1",10.6193060008809
86,1,1.49970460343036,9.4194656654275,"LOW LOW","late","low","R1",3.67665227595717
59,3,3.50072822156349,16.0763574766899,"LOW LOW","early","low","R1",11.5803841748275
55,3,3.49973641886058,14.7808900996725,"LOW LOW","early","low","R1",8.66677500866354
56,3,3.50161687011879,14.7523457222587,"LOW LOW","early","low","R1",5.88801744766533
61,1,1.49977524269231,9.81325328248925,"LOW LOW","early","low","R1",13.4102177503519
91,0,0.499906918423163,6.23474010830943,"LOW LOW","late","low","R1",8.88009403645992
94,0,0.499763924738587,5.89297796876095,"LOW LOW","late","low","R1",10.1890361839905
98,1,1.50044816045469,9.85911903768815,"LOW LOW","late","low","R1",5.21270047919825
99,0,0.498834096847839,6.31214252222983,"LOW LOW","late","low","R1",6.7197686410509
66,0,0.500307837153122,6.01763461401562,"LOW LOW","early","low","R1",5.43988089356571
80,3,3.49931640520935,13.9248738936044,"LOW LOW","late","low","R1",0.250733610242605
71,0,0.49988556785389,6.11002833383781,"LOW LOW","early","low","R1",4.54083421593532
79,0,0.498805427266379,6.49204025129559,"LOW LOW","late","low","R1",11.1607433431782
62,0,0.49893171303339,6.39656003282771,"LOW LOW","early","low","R1",5.72990236571059
83,0,0.500064652307487,6.27983883467057,"LOW LOW","late","low","R1",11.2310350784101
87,9,9.49926513556794,20.6056435699672,"LOW LOW","late","low","R1",8.82695624232292
96,0,0.499617173673219,6.31715666816089,"LOW LOW","late","low","R1",5.37432753434405
55,0,0.499101923976644,6.28388026813555,"LOW LOW","early","low","R1",2.6380721651949
93,2,2.49734560576207,13.190667573836,"LOW LOW","late","low","R1",8.51219182927161
83,1,1.49901687950955,9.76087088929296,"LOW LOW","late","low","R1",8.70881915744394
78,2,2.50041905992323,12.6513665630683,"LOW LOW","late","low","R1",12.8048585844226
74,0,0.500355028483104,6.15970549735767,"LOW LOW","early","low","R1",2.38108858792111
74,0,0.499969133597175,6.41139946269681,"LOW LOW","early","low","R1",9.76036084396765
82,1,1.50209836434764,9.9928022990828,"LOW LOW","late","low","R1",4.20783620420843
88,8,8.49940095814889,16.4845476493135,"LOW LOW","late","low","R1",5.74362793983892
75,1,1.4997815320763,9.59170254779154,"LOW LOW","late","low","R1",5.88802852062508
84,2,2.49924490873041,12.2801530125214,"LOW LOW","late","low","R1",5.62866237293929
88,1,1.49830854863438,9.53477530725286,"LOW LOW","late","low","R1",2.26359645649791
69,0,0.500553599978897,6.27157224876926,"LOW LOW","early","low","R1",12.4574934937991
82,0,0.50072379062536,6.64104326173348,"LOW LOW","late","low","R1",1.33372224168852
68,3,3.50064993951192,15.1652430301986,"LOW LOW","early","low","R1",7.47478990489617
72,4,4.50183840106393,15.2878818314721,"LOW LOW","early","low","R1",9.6156933484599
69,2,2.499263115013,12.2204399555201,"LOW LOW","early","low","R1",6.55164001462981
95,1,1.49941582929656,9.75159647696152,"LOW LOW","late","low","R1",1.97471192013472
77,1,1.49961814518783,9.15459857259088,"LOW LOW","late","low","R1",13.2469932846725
79,0,0.500110551076206,6.16224178192766,"LOW LOW","late","low","R1",3.52264883136377
89,2,2.49873478898137,12.3754314296273,"LOW LOW","late","low","R1",12.7104762285016
70,9,9.5008817043914,22.5740227771077,"LOW LOW","early","low","R1",9.92208822723478
59,2,2.50022933261052,12.326860937078,"LOW LOW","early","low","R1",3.50700939213857
93,2,2.50054780182058,12.636985485166,"LOW LOW","late","low","R1",6.18322044890374
69,2,2.50068861312579,11.9543545094416,"LOW LOW","early","low","R1",0.561461950652301
83,3,3.4995613754532,15.406854228546,"LOW LOW","late","low","R1",6.58629448991269
95,1,1.50088396095427,9.76601767936573,"LOW LOW","late","low","R1",8.55862869974226
73,2,2.49861002577844,13.2808210362654,"LOW LOW","early","low","R1",6.65087650902569
75,0,0.499830895693856,6.02639235354991,"LOW LOW","late","low","R1",2.69622297538444
86,6,6.50109147394144,18.1731766238415,"LOW LOW","late","low","R1",0.801942189224064
50,2,2.49996742581152,12.5309866869771,"LOW LOW","early","low","R1",8.91112507879734
76,2,2.49947167434073,12.7733190899129,"LOW LOW","late","low","R1",2.9984445576556
78,2,2.50003804703647,13.134924175175,"LOW LOW","late","low","R1",8.33763108449057
66,4,4.50017743306781,17.3608967205977,"LOW LOW","early","low","R1",9.28376416582614
76,4,4.50081004301995,15.8309849312671,"LOW LOW","late","low","R1",10.8203394738957
94,1,1.49965762000714,9.96254026675971,"LOW LOW","late","low","R1",7.48491404857486
86,1,1.49815473843002,10.4627697778257,"LOW LOW","late","low","R1",1.3904910213314
79,4,4.49987906662721,16.3922034823682,"LOW LOW","late","low","R1",0.0419123945757747
50,4,4.49944571585165,16.0479482515063,"LOW LOW","early","low","R1",10.7563458178192
72,0,0.501111376664597,6.5138271157329,"LOW LOW","early","low","R1",0.469545865897089
87,1,1.5011960585461,9.69708368525487,"LOW LOW","late","low","R1",11.5397128416225
78,4,4.50135054511908,15.467109820821,"LOW LOW","late","low","R1",13.7194534610026
74,5,5.5013690774492,15.6722175595363,"LOW LOW","early","low","R1",1.66831218125299
80,2,2.49984200562884,13.4539399858948,"LOW LOW","late","low","R1",10.7549023302272
56,0,0.499123602751409,6.26587173684143,"LOW LOW","early","low","R1",2.6181911402382
50,0,0.498358996370994,6.2574657151039,"LOW LOW","early","low","R1",6.18482118425891
76,0,0.500903045103307,5.91469666416345,"LOW LOW","late","low","R1",2.67659160541371
72,1,1.49890492655017,9.43736516859913,"LOW LOW","early","low","R1",4.36583294859156
82,4,4.4982780029515,15.0088529679196,"LOW LOW","late","low","R1",7.59905977640301
52,3,3.49930331933351,16.0443088245074,"LOW LOW","early","low","R1",13.9519722675905
98,0,0.498945390414715,6.29483937920923,"LOW LOW","late","low","R1",4.79765865160152
68,1,1.50030775761884,9.71357354522747,"LOW LOW","early","low","R1",8.6668849689886
56,4,4.50010693045903,16.4323687484609,"LOW LOW","early","low","R1",7.13347441516817
83,4,4.50015123236341,16.5744944469569,"LOW LOW","late","low","R1",6.86692983750254
96,2,2.50001304240614,12.2025217756337,"LOW LOW","late","low","R1",0.972002830356359
