"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG","Latitude_dd"
68,0,0.4999721009015,6.46218457894261,"MED HIGH",0.236303778155707,"early","med","R1",3.6518188607879
58,0,0.501007373136469,5.99730712158079,"MED HIGH",0.203026017942466,"early","med","R1",8.26195192243904
69,0,0.500142448917002,6.09006579856364,"MED HIGH",0.228419510601088,"early","med","R1",12.9153031632304
74,0,0.501398091833878,6.40365887502158,"MED HIGH",0.261387783195823,"early","med","R1",9.7756752949208
69,0,0.499840283122428,6.15355009410401,"MED HIGH",0.211407678644173,"early","med","R1",3.09691059635952
72,0,0.500324618305031,6.36243764292351,"MED HIGH",0.252699139807373,"early","med","R1",4.21992282709107
83,0,0.499096492290791,6.51786608011651,"MED HIGH",0.380001863045618,"late","high","R1",6.41319224005565
79,2,2.50045862228502,13.2246064788681,"MED HIGH",0.33162242830731,"late","high","R1",11.672784190625
80,1,1.49969608678251,9.70090693981346,"MED HIGH",0.347274255403318,"late","high","R1",3.83891674503684
70,4,4.50056874649784,15.1375438384789,"MED HIGH",0.252935102651827,"early","med","R1",8.80506168585271
52,6,6.4991832601238,16.1882881271398,"MED HIGH",0.23023898396641,"early","med","R1",2.04468013392761
81,0,0.499881993571905,6.40994786027495,"MED HIGH",0.318255798122846,"late","high","R1",3.38687101565301
54,0,0.50037135220474,6.20814565318184,"MED HIGH",0.211713727912866,"early","med","R1",11.3041055887006
77,0,0.499842883581726,6.40730841666554,"MED HIGH",0.353609443991445,"late","high","R1",7.16974002402276
62,0,0.499501033535577,6.51722300841234,"MED HIGH",0.229407393280417,"early","med","R1",11.8463698923588
82,1,1.4997010920941,9.76220208049661,"MED HIGH",0.346153204282746,"late","high","R1",4.79215902183205
71,2,2.49960683925814,11.8835915916367,"MED HIGH",0.200613666768186,"early","med","R1",3.35208036610857
90,0,0.499706884689695,6.12420191416088,"MED HIGH",0.359946854948066,"late","high","R1",7.90682187722996
57,0,0.500214159164725,6.60598289496099,"MED HIGH",0.227829211298376,"early","med","R1",4.25797687377781
75,2,2.50004284563249,12.2165002345152,"MED HIGH",0.379796546511352,"late","high","R1",9.40059804124758
90,1,1.49989750851932,10.287589728834,"MED HIGH",0.377805670420639,"late","high","R1",7.77958068437874
72,1,1.50062531773153,9.49052797374845,"MED HIGH",0.252699139807373,"early","med","R1",0.914449102710932
79,1,1.50171622854039,9.85114642900928,"MED HIGH",0.398743441631086,"late","high","R1",8.79814038192853
52,3,3.50026479905075,16.2344975416039,"MED HIGH",0.290608475566842,"early","med","R1",11.630887507461
89,0,0.500018625975591,6.45548203329744,"MED HIGH",0.372496079816483,"late","high","R1",10.4653058876283
55,2,2.49870595911889,12.1637867470173,"MED HIGH",0.205887730466202,"early","med","R1",13.0960947312415
86,1,1.50066323616369,9.80086431826022,"MED HIGH",0.316453372314572,"late","high","R1",3.46631710929796
53,1,1.50096875390306,10.3113988374654,"MED HIGH",0.268632612284273,"early","med","R1",8.10361856594682
52,0,0.499532291345203,6.10142481426967,"MED HIGH",0.23023898396641,"early","med","R1",13.3589113135822
53,0,0.50025184939485,6.28278380447301,"MED HIGH",0.205386795173399,"early","med","R1",9.30650323349983
98,1,1.49988196494395,9.98329960574479,"MED HIGH",0.334946164488792,"late","high","R1",8.97224071715027
99,2,2.49998909878557,12.7718024724974,"MED HIGH",0.309103687107563,"late","high","R1",6.99099382106215
56,1,1.49981847220247,10.5869440255305,"MED HIGH",0.239889159449376,"early","med","R1",2.79036168707535
92,0,0.49825259911844,6.10841371670491,"MED HIGH",0.332256510993466,"late","high","R1",6.40464084455743
79,1,1.50134258361891,9.4985669455246,"MED HIGH",0.398743441631086,"late","high","R1",9.93978483788669
54,1,1.50118417133937,9.45044740054283,"MED HIGH",0.292862975317985,"early","med","R1",5.66032510204241
53,1,1.49997454270395,10.19329853079,"MED HIGH",0.268632612284273,"early","med","R1",13.1434038328007
74,0,0.499767745556862,6.22175232890035,"MED HIGH",0.234569740272127,"early","med","R1",4.06769136572257
51,8,8.49859039958382,19.7462210973382,"MED HIGH",0.203989466535859,"early","med","R1",2.39004994370043
66,0,0.499013138712528,6.0952717435136,"MED HIGH",0.246805817005225,"early","med","R1",5.84641927154735
100,2,2.50147767823661,12.2086098801854,"MED HIGH",0.379974460438825,"late","high","R1",6.65924278693274
80,2,2.5005646519207,12.6180150303137,"MED HIGH",0.332272519450635,"late","high","R1",1.41489720018581
87,0,0.50009335813135,6.14279740457893,"MED HIGH",0.31323867959436,"late","high","R1",2.83050795597956
70,0,0.498609092344471,6.53396906671316,"MED HIGH",0.287498878641054,"early","med","R1",1.84069283073768
95,1,1.49863661528858,10.2500985244037,"MED HIGH",0.30036598474253,"late","high","R1",11.370683866553
93,3,3.49985120255232,15.4872419118202,"MED HIGH",0.318143253820017,"late","high","R1",3.73364433366805
92,2,2.49829208060612,12.6499314018689,"MED HIGH",0.340194478188641,"late","high","R1",7.89025436947122
70,4,4.50022487694866,15.6573040635678,"MED HIGH",0.252935102651827,"early","med","R1",12.2192901745439
52,1,1.49966864955561,9.66870765637675,"MED HIGH",0.269555838708766,"early","med","R1",4.85995695833117
62,0,0.499488523575782,6.25921854856424,"MED HIGH",0.291581409424543,"early","med","R1",7.28599897585809
66,11,11.499941579421,22.3485172153376,"MED HIGH",0.203734864201397,"early","med","R1",3.65548175154254
56,2,2.50079782882106,12.7980403467855,"MED HIGH",0.279203266277909,"early","med","R1",5.33249447587878
61,1,1.49906387129653,9.51538566030773,"MED HIGH",0.218902797158808,"early","med","R1",5.25154823251069
65,0,0.498904562922127,6.5357031181313,"MED HIGH",0.258276161877438,"early","med","R1",2.98633365379646
85,2,2.50007113150368,12.111271066457,"MED HIGH",0.377649290952832,"late","high","R1",13.6869797883555
76,0,0.499408896048617,6.15304672804336,"MED HIGH",0.325407474744134,"late","high","R1",8.89472561469302
84,3,3.50112428927767,14.876636052632,"MED HIGH",0.310017161513679,"late","high","R1",8.63474733149633
74,5,5.50113924648623,17.6806853741717,"MED HIGH",0.234569740272127,"early","med","R1",10.1286651459523
50,1,1.50069325820369,9.35892112148145,"MED HIGH",0.227783546014689,"early","med","R1",2.74771618889645
81,4,4.4995129998614,15.982319689312,"MED HIGH",0.396856973576359,"late","high","R1",8.59075810015202
90,1,1.49954947257296,10.1916709213199,"MED HIGH",0.385315920202993,"late","high","R1",0.591400769539177
81,0,0.498954772555092,6.49864912177245,"MED HIGH",0.396856973576359,"late","high","R1",12.3138953717425
75,0,0.49927104205673,6.45554848011365,"MED HIGH",0.318587914039381,"late","high","R1",5.29507582867518
58,0,0.500663976750152,6.3225441157238,"MED HIGH",0.292769877472892,"early","med","R1",10.40885689063
74,0,0.499213935547573,6.3684770787522,"MED HIGH",0.274321392830461,"early","med","R1",11.0060165412724
85,0,0.500178710907193,6.15937990174457,"MED HIGH",0.377649290952832,"late","high","R1",8.52382295159623
62,1,1.49859117419814,9.73570195171167,"MED HIGH",0.27028103179764,"early","med","R1",10.385664626956
52,9,9.49840338989823,22.1947681599706,"MED HIGH",0.23023898396641,"early","med","R1",9.62497101863846
70,0,0.500312387607685,6.05072390578419,"MED HIGH",0.252935102651827,"early","med","R1",10.077829644084
74,0,0.50227063331038,6.47025870643938,"MED HIGH",0.234569740272127,"early","med","R1",1.03668681392446
79,1,1.49888191429488,10.5281699174763,"MED HIGH",0.398743441631086,"late","high","R1",9.36847689421847
69,2,2.49939957053608,12.3617221175056,"MED HIGH",0.217408758029342,"early","med","R1",0.832116451114416
83,0,0.500559436936202,6.24340183450604,"MED HIGH",0.381429671263322,"late","high","R1",9.21578903915361
91,0,0.49971071581538,6.09327032474144,"MED HIGH",0.303135647973977,"late","high","R1",11.3663210910745
57,0,0.49939942821739,6.34621554412977,"MED HIGH",0.227829211298376,"early","med","R1",0.691005771514028
66,0,0.500212865481859,6.34067504537881,"MED HIGH",0.203734864201397,"early","med","R1",13.0672944257967
73,1,1.50062758417763,9.29520012522793,"MED HIGH",0.295926891127601,"early","med","R1",0.553286214359105
79,0,0.499187473133831,5.98771084737953,"MED HIGH",0.349979789345525,"late","high","R1",1.33525039814413
92,0,0.499341043026243,6.30809206075055,"MED HIGH",0.323605369590223,"late","high","R1",9.57100623380393
65,0,0.499692049689576,6.04787034910524,"MED HIGH",0.266247741458938,"early","med","R1",12.7199952155352
65,3,3.4999335396292,14.9911480387405,"MED HIGH",0.258276161877438,"early","med","R1",11.7687850729562
63,0,0.499576563535008,6.38285627146109,"MED HIGH",0.224536296864972,"early","med","R1",9.93977687461302
80,2,2.50120452990471,12.7288356471207,"MED HIGH",0.347274255403318,"late","high","R1",7.71776351192966
98,4,4.49937427876817,17.2537050826156,"MED HIGH",0.35017768770922,"late","high","R1",1.510323677212
77,0,0.500043618673352,6.35950266981397,"MED HIGH",0.377273122849874,"late","high","R1",9.15159717481583
50,0,0.499047217768536,6.30012997163134,"MED HIGH",0.264265110669658,"early","med","R1",13.7377941450104
87,1,1.49944866046216,9.9347750458271,"MED HIGH",0.305035420297645,"late","high","R1",13.1565688257106
58,0,0.501168729321287,6.36216183762544,"MED HIGH",0.251423387462273,"early","med","R1",7.0756701361388
77,4,4.5001228293519,17.4040911723669,"MED HIGH",0.353609443991445,"late","high","R1",9.69458431424573
50,3,3.49906608814726,16.1966419634049,"MED HIGH",0.264265110669658,"early","med","R1",6.25087635358796
