"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM"
33,8,227.040972900495,40,8,8.4994960747173,"FISHED",0.0707949688871563,0.25,0.999704560312965,"HIGH LOW"
38,10,170.623890220832,41,4,4.4996366174027,"FISHED",0.0511648503506062,0.25,0.916719702859672,"HIGH LOW"
40,10,222.655712651265,50,11,11.4994221444994,"FISHED",1.16305781700479,0.25,0.999538932282713,"HIGH LOW"
40,11,194.639389945687,47,8,8.50016292089765,"FISHED",0.0555775239797044,0.25,0.992131128116173,"HIGH LOW"
42,9,217.783399128175,50,9,9.50081525104452,"FISHED",1.16305781700479,0.25,0.999244070993675,"HIGH LOW"
43,2,254.030195933413,50,8,8.50205883584292,"FISHED",1.16305781700479,0.25,0.99998092342568,"HIGH LOW"
43,6,158.886313959995,46,4,4.50152237833755,"FISHED",0.0401627484615409,0.25,0.769740361358305,"HIGH LOW"
44,1,153.540921206314,47,4,4.50123745060669,"FISHED",0.0555775239797044,0.25,0.660184224086458,"HIGH LOW"
44,3,191.345460138082,52,9,9.49991134033933,"FISHED",1.39597861586569,0.25,0.989040190275034,"HIGH LOW"
45,9,125.912049126241,46,2,2.50079965291956,"FISHED",0.0401627484615409,0.25,0.105164904630607,"HIGH LOW"
46,7,190.698408792262,50,5,5.50048832591177,"FISHED",1.16305781700479,0.25,0.988304692903586,"HIGH LOW"
47,1,175.064959046342,50,4,4.50067991660948,"FISHED",1.16305781700479,0.25,0.945292937255364,"HIGH LOW"
47,3,168.282645935082,50,4,4.49980740671902,"FISHED",1.16305781700479,0.25,0.896680887446672,"HIGH LOW"
47,4,160.296398897214,50,4,4.501114996991,"FISHED",1.16305781700479,0.25,0.794132081606796,"HIGH LOW"
47,11,169.346706399238,51,5,5.50023193731743,"FISHED",1.38208604253345,0.25,0.906269599763485,"HIGH LOW"
48,1,175.20996376516,52,5,5.50054347591219,"FISHED",1.39597861586569,0.25,0.946049336024405,"HIGH LOW"
48,7,163.745013378313,51,4,4.499383315801,"FISHED",1.38208604253345,0.25,0.845555766215374,"HIGH LOW"
48,9,157.195656522164,51,4,4.50025811402046,"FISHED",1.38208604253345,0.25,0.73792070415222,"HIGH LOW"
48,10,153.428038012146,50,3,3.50188203635426,"FISHED",1.16305781700479,0.25,0.65760828357582,"HIGH LOW"
49,1,156.12517324273,51,3,3.50003824480322,"FISHED",1.38208604253345,0.25,0.716364782813051,"HIGH LOW"
49,4,128.95716031273,50,2,2.49911931143396,"FISHED",1.16305781700479,0.25,0.13800822666818,"HIGH LOW"
49,5,140.266544863599,51,3,3.49947730349525,"FISHED",1.38208604253345,0.25,0.335444090266196,"HIGH LOW"
49,8,178.172012410184,53,5,5.49995423587147,"FISHED",0.782364887903757,0.25,0.959494490267699,"HIGH LOW"
49,11,129.425187964131,51,3,3.50186705124776,"FISHED",1.38208604253345,0.25,0.143759138214411,"HIGH LOW"
50,3,130.465654852426,51,2,2.49857956296497,"FISHED",1.38208604253345,0.25,0.157258225476942,"HIGH LOW"
50,4,154.312724470671,53,4,4.50098983191013,"FISHED",0.782364887903757,0.25,0.677537556395104,"HIGH LOW"
50,7,152.260490861459,52,3,3.50099413010343,"FISHED",1.39597861586569,0.25,0.630441227883573,"HIGH LOW"
50,8,132.858122978789,51,2,2.50079791192807,"FISHED",1.38208604253345,0.25,0.192187516676746,"HIGH LOW"
50,9,151.424211052478,52,3,3.49957462404514,"FISHED",1.39597861586569,0.25,0.610449169649926,"HIGH LOW"
50,10,141.093219270668,53,4,4.50015067640378,"FISHED",0.782364887903757,0.25,0.354405582973874,"HIGH LOW"
51,1,145.021945826044,52,2,2.50087866106711,"FISHED",1.39597861586569,0.25,0.449958952514145,"HIGH LOW"
51,3,161.004307651007,54,4,4.4996964981829,"FISHED",1.52274603492169,0.25,0.805634642145499,"HIGH LOW"
51,8,171.289964226567,55,5,5.50084313137337,"FISHED",1.81476007118981,0.25,0.921739370435657,"HIGH LOW"
51,9,150.773062649225,53,3,3.49896309097056,"FISHED",0.782364887903757,0.25,0.594617680668649,"HIGH LOW"
51,10,169.286663420777,54,4,4.4977046967396,"FISHED",1.52274603492169,0.25,0.905750464782892,"HIGH LOW"
52,1,148.220721897937,54,3,3.50070528591295,"FISHED",1.52274603492169,0.25,0.530946093926948,"HIGH LOW"
52,3,151.588558923453,54,3,3.4997762287022,"FISHED",1.52274603492169,0.25,0.614409875113877,"HIGH LOW"
52,5,163.129322738704,55,4,4.50037958651195,"FISHED",1.81476007118981,0.25,0.837214714779281,"HIGH LOW"
52,6,154.849583551917,54,3,3.498968032932,"FISHED",1.52274603492169,0.25,0.689329578800903,"HIGH LOW"
52,7,137.914463413253,54,3,3.49994134142508,"FISHED",1.52274603492169,0.25,0.284453632381819,"HIGH LOW"
52,13,181.864994848182,56,5,5.50152244474869,"FISHED",1.01977763481097,0.25,0.971802680404504,"HIGH LOW"
53,4,149.295213523675,55,3,3.50046461125718,"FISHED",1.81476007118981,0.25,0.557997387662323,"HIGH LOW"
53,5,144.231689662888,55,3,3.49980207426096,"FISHED",1.81476007118981,0.25,0.43019070281687,"HIGH LOW"
53,8,152.356854995265,55,3,3.49995070237699,"FISHED",1.81476007118981,0.25,0.632717848845475,"HIGH LOW"
54,1,133.659280342931,55,2,2.50062377754874,"FISHED",1.81476007118981,0.25,0.205133204940603,"HIGH LOW"
54,8,171.03377392165,57,4,4.50088875102109,"FISHED",1.77445168994689,0.25,0.919842295193352,"HIGH LOW"
55,3,143.455536599898,57,3,3.50013165529644,"FISHED",1.77445168994689,0.25,0.410989147474917,"HIGH LOW"
55,4,131.557456049387,56,2,2.50016518958919,"FISHED",1.01977763481097,0.25,0.17251336864247,"HIGH LOW"
55,8,150.885784509446,57,3,3.50076469833177,"FISHED",1.77445168994689,0.25,0.597373435354825,"HIGH LOW"
55,10,164.15518215399,57,3,3.5001275572166,"FISHED",1.77445168994689,0.25,0.850916372766273,"HIGH LOW"
56,3,155.390520343824,58,3,3.50004130380333,"FISHED",1.80315199157041,0.25,0.700967547717803,"HIGH LOW"
56,5,145.597240797784,58,3,3.49948895149194,"FISHED",1.80315199157041,0.25,0.464453698207863,"HIGH LOW"
56,6,141.02393201002,58,3,3.49897920305337,"FISHED",1.80315199157041,0.25,0.352797635387034,"HIGH LOW"
57,6,145.07245801808,59,3,3.49989990121229,"FISHED",1.51154680933726,0.25,0.451228588706258,"HIGH LOW"
57,8,145.627638690163,62,6,6.50079423620876,"FISHED",1.63106928381091,0.25,0.465221474658729,"HIGH LOW"
57,12,126.58234397597,58,2,2.49870571615117,"FISHED",1.80315199157041,0.25,0.111743629529135,"HIGH LOW"
58,2,141.616882084158,60,3,3.50139854291295,"FISHED",1.69048773555198,0.25,0.366662704995164,"HIGH LOW"
58,3,123.155155272782,59,2,2.50040002320744,"FISHED",1.51154680933726,0.25,0.0815835114999243,"HIGH LOW"
58,5,147.395990808146,60,3,3.49910523560338,"FISHED",1.69048773555198,0.25,0.510050118353381,"HIGH LOW"
58,6,127.549497407007,59,2,2.49976237089488,"FISHED",1.51154680933726,0.25,0.121868282434641,"HIGH LOW"
58,7,145.928874823751,60,3,3.49891386441672,"FISHED",1.69048773555198,0.25,0.472838294043728,"HIGH LOW"
58,8,119.941731917816,59,2,2.49820482379815,"FISHED",1.51154680933726,0.25,0.0602398653257027,"HIGH LOW"
59,1,177.227458592267,62,4,4.4994661742597,"FISHED",1.63106928381091,0.25,0.955598549921327,"HIGH LOW"
59,7,154.255149981866,62,4,4.4988567194875,"FISHED",1.63106928381091,0.25,0.67625906772464,"HIGH LOW"
59,8,129.22248875432,60,2,2.49945124246368,"FISHED",1.69048773555198,0.25,0.141244356234509,"HIGH LOW"
59,9,147.744676483266,61,3,3.49874833221486,"FISHED",0.865126573261805,0.25,0.51889319397493,"HIGH LOW"
59,12,149.101754274071,61,3,3.49925993148876,"FISHED",0.865126573261805,0.25,0.553147495128578,"HIGH LOW"
60,2,167.301337597816,63,4,4.49916132349546,"FISHED",0.82755686549967,0.25,0.887078750724335,"HIGH LOW"
60,4,154.100733313161,62,3,3.4994397370431,"FISHED",1.63106928381091,0.25,0.672817135281922,"HIGH LOW"
60,5,145.039732560709,62,3,3.50108298862932,"FISHED",1.63106928381091,0.25,0.450405952918231,"HIGH LOW"
60,6,154.677516165749,62,3,3.49837010705293,"FISHED",1.63106928381091,0.25,0.685575894519164,"HIGH LOW"
60,8,140.256625925652,62,3,3.50031830578983,"FISHED",1.63106928381091,0.25,0.335219624869663,"HIGH LOW"
61,1,146.482543955952,63,3,3.49848345785686,"FISHED",0.82755686549967,0.25,0.486868384716962,"HIGH LOW"
61,2,146.122917668221,62,2,2.49823934152057,"FISHED",1.63106928381091,0.25,0.477751637239109,"HIGH LOW"
61,3,148.327435940049,63,3,3.49886034949849,"FISHED",0.82755686549967,0.25,0.533643519538364,"HIGH LOW"
61,4,133.288365896247,62,2,2.4979511882605,"FISHED",1.63106928381091,0.25,0.199060785401074,"HIGH LOW"
61,7,136.594542483305,63,3,3.50017863294376,"FISHED",0.82755686549967,0.25,0.257980628345443,"HIGH LOW"
61,10,157.106268763521,64,4,4.49979614902727,"FISHED",1.74147294166783,0.25,0.736161724483608,"HIGH LOW"
61,11,134.271706576168,62,2,2.49873768425334,"FISHED",1.63106928381091,0.25,0.215458034877084,"HIGH LOW"
61,12,159.351285136138,64,4,4.49847364241176,"FISHED",1.74147294166783,0.25,0.778001073641101,"HIGH LOW"
62,2,165.557148067154,65,4,4.50067834283226,"FISHED",1.71948853332374,0.25,0.868087235604753,"HIGH LOW"
62,3,177.756785461745,65,4,4.49990371779646,"FISHED",1.71948853332374,0.25,0.957823873945874,"HIGH LOW"
62,4,99.599969031384,62,1,1.50054194471882,"FISHED",1.63106928381091,0.25,0.00806088890070905,"HIGH LOW"
62,5,128.287201676697,63,2,2.50132159178439,"FISHED",0.82755686549967,0.25,0.130113576175422,"HIGH LOW"
62,7,148.948576622303,64,3,3.49901301225155,"FISHED",1.74147294166783,0.25,0.549300200204281,"HIGH LOW"
